y,y2
1.03,1.12
1.04,1.12
1.05,1.13
1.07,1.13
1.10,1.14
1.10,1.14
1.10,1.14
1.11,1.14
1.11,1.15
1.11,1.14
1.11,1.13
1.12,1.13
1.12,1.13
1.11,1.12
1.11,1.12
1.19,1.23
1.39,1.36
1.27,1.21
1.18,1.17
1.12,1.11
1.12,1.11
1.11,1.11
1.19,1.11
1.05,1.11
1.10,1.12
1.12,1.29
1.15,1.00
1.16,1.23
1.13,1.09
1.13,1.11
1.12,1.11
1.12,1.11
1.12,1.11
1.12,1.10
1.12,1.10
1.11,1.10
1.11,1.10
1.10,1.09
1.19,1.17
1.38,1.35
0.99,0.89
1.18,1.17
1.12,1.11
1.26,1.24
0.99,0.98
1.10,1.06
1.17,1.15
1.13,1.08
1.12,1.08
1.12,1.08
1.12,1.07
1.13,1.07
1.13,1.09
1.14,1.34
1.15,1.25
1.14,1.08
1.10,1.04
1.23,1.03
1.68,1.06
1.28,1.08
1.05,1.06
1.13,1.10
1.26,1.21
1.01,1.00
1.23,1.25
1.17,1.17
1.23,1.20
0.96,0.91
1.23,1.19
1.15,1.14
1.13,1.05
1.15,1.26
1.16,1.56
1.19,1.14
1.15,1.08
1.14,1.07
1.62,1.09
1.41,1.11
1.32,1.12
1.15,1.11
1.15,1.08
1.19,1.07
1.24,1.07
1.18,1.05
1.13,1.06
1.25,1.21
0.98,0.95
1.17,1.15
1.12,1.09
1.09,1.08
1.26,1.09
1.04,1.11
1.19,1.11
1.13,1.11
1.13,1.10
1.31,1.12
1.21,1.12
1.15,1.11
1.14,1.11
1.58,1.56
1.40,1.39
1.27,1.31
1.28,1.02
1.25,1.25
1.25,1.27
1.24,1.22
1.15,1.11
1.22,1.20
1.07,1.02
1.11,1.08
1.11,1.09
1.13,1.05
1.12,1.02
1.06,1.04
1.01,1.02
1.07,1.06
1.10,1.05
1.30,1.27
1.61,1.60
1.29,1.20
1.24,1.24
1.06,1.27
1.15,0.97
1.21,1.03
0.99,0.92
1.20,1.19
1.27,1.23
1.08,1.07
1.07,1.06
1.06,1.03
1.06,1.04
1.00,0.96
1.13,1.13
1.04,1.00
1.05,1.04
1.20,1.14
1.11,1.08
1.05,1.01
0.99,0.89
1.10,1.05
1.26,1.25
1.26,1.22
1.15,1.09
1.09,1.04
1.09,1.08
1.62,1.67
1.36,1.30
1.12,1.06
1.05,1.01
1.25,1.20
0.97,0.89
1.09,1.00
1.16,1.05
1.06,1.11
1.12,1.08
1.07,1.23
1.12,0.94
1.13,1.15
1.09,1.03
1.21,1.21
1.00,0.92
1.09,1.05
1.17,1.10
1.39,1.39
1.18,1.12
1.11,1.04
1.23,1.06
1.23,1.07
1.10,1.04
1.10,1.02
1.09,1.04
1.10,1.31
1.12,1.19
1.09,1.03
1.06,1.00
1.03,1.03
1.02,1.03
1.08,1.02
1.09,1.24
1.10,0.92
1.11,1.01
1.01,1.06
1.09,1.12
1.12,1.18
1.15,1.04
1.11,1.07
1.21,1.18
1.03,0.93
1.13,1.08
1.11,1.08
1.12,1.07
1.11,1.10
1.09,1.07
1.59,1.60
1.43,1.36
1.15,1.11
1.11,1.05
1.10,1.05
1.11,1.06
1.10,1.07
1.10,1.07
1.10,1.09
1.25,1.25
1.16,1.08
1.07,0.95
1.16,1.49
1.11,1.12
1.29,1.01
1.28,1.02
1.08,0.98
1.33,1.27
1.12,1.11
1.25,1.17
1.18,1.12
1.04,0.99
1.04,0.99
1.07,1.02
1.02,0.98
1.25,1.23
1.28,1.19
1.31,1.28
0.96,0.86
1.02,0.97
1.03,1.06
1.08,0.99
1.04,0.97
1.08,1.04
1.22,1.14
1.19,1.13
1.19,1.17
1.15,1.00
0.92,0.84
1.10,0.99
0.97,0.92
1.41,1.34
1.29,1.19
1.33,1.29
0.97,0.92
1.15,1.16
1.14,1.08
1.15,1.03
1.13,1.13
1.19,1.39
1.24,1.18
1.32,1.24
1.30,1.18
1.40,1.18
1.02,1.26
0.90,1.03
1.05,0.84
1.10,1.03
1.28,1.24
1.00,0.95
1.08,1.09
1.05,0.98
1.27,1.26
1.45,1.41
1.41,1.38
0.88,0.78
0.96,0.92
1.00,0.97
1.50,1.49
1.15,1.16
1.32,1.29
1.13,1.05
1.11,1.46
1.15,1.49
1.23,0.99
1.43,0.99
1.17,0.96
1.10,1.00
1.07,1.01
1.20,1.20
1.20,1.16
1.15,1.06
1.30,1.29
0.95,0.84
0.91,0.84
0.91,0.86
1.33,1.29
1.45,1.43
0.93,0.87
0.84,0.76
1.31,1.28
1.53,1.50
1.25,1.16
1.24,1.16
0.95,1.14
1.02,1.08
1.04,1.01
1.11,1.15
1.10,0.85
1.07,0.95
1.06,1.04
1.07,1.06
1.10,1.12
1.28,1.25
1.15,1.06
1.07,1.01
1.30,1.26
0.94,0.88
1.01,0.95
1.01,0.96
0.92,0.88
1.23,1.25
1.32,1.30
1.08,1.07
1.04,1.01
1.00,0.95
1.54,1.53
1.45,1.36
1.23,1.16
0.93,0.89
1.04,1.00
0.97,0.91
1.37,1.34
0.93,0.91
1.06,0.99
1.03,0.98
1.17,1.12
1.40,1.36
0.92,0.84
1.00,0.88
0.91,0.83
0.94,0.85
1.04,0.91
1.05,0.99
1.07,1.04
1.07,1.04
1.05,1.04
