x,y,z,x2,y2,z2
-0.07,1.12,0.15,0.37,1.00,0.11
-0.07,1.12,0.14,0.34,1.01,0.09
-0.04,1.16,0.10,0.27,1.14,0.03
-0.00,1.15,0.04,0.22,1.36,-0.03
0.02,1.16,0.00,0.21,1.30,-0.06
0.04,1.19,-0.02,0.29,1.06,-0.05
-0.01,1.16,-0.03,0.23,1.05,-0.05
-0.24,1.14,-0.05,0.21,1.08,-0.07
-0.19,1.12,-0.06,0.28,1.10,-0.10
-0.08,1.12,-0.07,0.25,1.11,-0.11
-0.16,1.14,-0.08,0.32,1.12,-0.13
-0.17,1.14,-0.06,0.32,1.12,-0.13
-0.14,1.12,-0.05,0.29,1.10,-0.11
-0.09,1.04,-0.02,0.28,1.04,-0.08
-0.12,1.06,-0.05,0.31,1.06,-0.12
-0.43,1.23,-0.16,0.55,1.22,-0.22
-0.64,1.20,0.11,0.64,1.20,-0.04
-0.31,1.00,-0.04,0.39,1.01,-0.07
-0.07,1.02,-0.06,0.24,1.02,-0.07
-0.10,1.03,-0.05,0.23,1.01,-0.07
-0.11,1.08,-0.05,0.23,1.03,-0.07
-0.13,1.11,-0.05,0.25,1.04,-0.08
-0.11,1.01,-0.04,0.26,1.21,-0.17
-0.12,1.09,-0.05,0.21,0.91,-0.16
-0.16,1.25,-0.10,0.22,0.90,-0.09
-0.22,1.01,-0.21,0.23,0.94,-0.08
-0.17,0.93,-0.07,0.26,0.99,-0.10
-0.18,0.99,-0.07,0.27,1.00,-0.11
-0.18,1.12,-0.10,0.26,1.07,-0.14
-0.17,1.12,-0.08,0.26,1.07,-0.12
-0.16,1.10,-0.07,0.26,1.06,-0.10
-0.16,1.11,-0.08,0.27,1.06,-0.11
-0.18,1.11,-0.08,0.29,1.07,-0.11
-0.18,1.10,-0.08,0.29,1.06,-0.11
-0.17,1.10,-0.07,0.29,1.06,-0.11
-0.18,1.10,-0.08,0.29,1.06,-0.11
-0.18,1.09,-0.08,0.30,1.06,-0.11
-0.20,1.10,-0.08,0.31,1.07,-0.11
-0.26,1.16,-0.10,0.34,1.13,-0.14
-0.45,1.03,-0.17,0.42,0.98,-0.17
-0.39,0.91,-0.02,0.43,0.89,-0.04
-0.29,1.02,-0.10,0.35,0.96,-0.10
-0.22,1.20,-0.15,0.30,1.16,-0.15
-0.21,1.37,-0.14,0.26,1.33,-0.14
-0.15,0.93,-0.11,0.22,0.88,-0.10
-0.12,0.93,-0.09,0.25,0.91,-0.09
-0.14,0.97,-0.10,0.25,0.97,-0.12
-0.14,1.05,-0.12,0.26,1.03,-0.13
-0.12,1.08,-0.10,0.24,1.03,-0.10
-0.14,1.03,-0.06,0.25,0.99,-0.08
-0.14,1.04,-0.07,0.25,0.99,-0.09
-0.14,1.06,-0.10,0.26,1.02,-0.11
-0.24,1.16,-0.15,0.29,1.02,-0.11
-0.71,1.31,-0.02,0.33,1.06,-0.10
-0.60,1.04,0.21,0.26,1.07,-0.12
-0.33,0.99,0.01,0.27,1.14,-0.20
-0.09,1.08,-0.05,0.40,1.35,-0.30
-0.09,1.09,-0.05,0.60,1.61,-0.24
-0.15,1.09,-0.06,0.43,1.45,-0.13
-0.11,1.05,-0.08,0.25,1.07,-0.10
-0.09,1.00,-0.08,0.24,1.03,-0.10
