y,y2
1.12,1.00
1.12,1.01
1.16,1.14
1.15,1.36
1.16,1.30
1.19,1.06
1.16,1.05
1.14,1.08
1.12,1.10
1.12,1.11
1.14,1.12
1.14,1.12
1.12,1.10
1.04,1.04
1.06,1.06
1.23,1.22
1.20,1.20
1.00,1.01
1.02,1.02
1.03,1.01
1.08,1.03
1.11,1.04
1.01,1.21
1.09,0.91
1.25,0.90
1.01,0.94
0.93,0.99
0.99,1.00
1.12,1.07
1.12,1.07
1.10,1.06
1.11,1.06
1.11,1.07
1.10,1.06
1.10,1.06
1.10,1.06
1.09,1.06
1.10,1.07
1.16,1.13
1.03,0.98
0.91,0.89
1.02,0.96
1.20,1.16
1.37,1.33
0.93,0.88
0.93,0.91
0.97,0.97
1.05,1.03
1.08,1.03
1.03,0.99
1.04,0.99
1.06,1.02
1.16,1.02
1.31,1.06
1.04,1.07
0.99,1.14
1.08,1.35
1.09,1.61
1.09,1.45
1.05,1.07
1.00,1.03
1.24,1.22
1.03,1.01
0.92,0.92
1.18,1.19
1.28,1.30
1.38,1.35
0.87,0.86
0.88,0.86
0.95,0.92
1.17,1.07
1.72,1.14
1.60,1.13
1.17,1.13
1.06,1.21
1.05,1.37
1.07,1.64
1.09,1.37
1.07,1.12
1.01,1.06
1.00,1.15
1.03,1.23
1.12,1.19
1.00,1.04
1.23,1.22
1.37,1.34
0.89,0.89
0.98,0.92
1.11,1.04
1.02,1.37
1.09,1.14
1.19,0.95
1.18,1.08
1.17,1.13
1.10,1.32
1.12,1.24
1.03,1.01
1.18,1.19
1.38,1.43
1.68,1.61
1.40,1.38
1.34,1.27
0.94,1.22
1.22,1.22
1.32,1.20
1.15,1.18
1.30,1.28
1.39,1.35
0.93,0.92
0.97,0.95
1.10,1.01
1.00,1.02
0.93,1.05
0.94,1.05
0.91,0.95
1.03,1.06
1.30,1.35
1.65,1.66
1.65,1.62
1.29,1.49
1.13,0.91
1.31,0.83
0.87,0.92
0.82,0.89
0.86,0.88
1.47,1.40
1.60,1.52
1.30,1.33
1.04,1.06
1.02,1.01
1.31,1.25
0.88,0.87
0.85,0.84
0.88,0.89
1.05,1.05
1.55,1.47
1.47,1.41
0.93,0.90
0.97,0.95
1.32,1.33
1.28,1.27
1.07,1.08
0.91,0.90
0.99,1.02
1.31,1.36
1.77,1.72
1.32,1.33
1.04,1.05
1.15,1.12
1.10,1.09
0.85,0.85
0.88,1.16
0.90,1.35
0.96,0.88
1.27,0.92
1.38,1.00
0.87,0.98
0.92,0.94
1.16,1.11
1.46,1.41
0.91,0.89
0.81,0.82
1.26,1.25
1.47,1.43
1.03,1.16
0.95,1.31
1.00,1.21
0.99,0.97
1.00,0.98
1.03,1.05
1.19,1.07
1.30,1.05
0.96,0.98
0.99,0.98
1.03,1.19
1.00,0.89
0.93,0.86
1.11,0.96
1.06,0.96
0.85,0.97
0.95,1.16
1.13,0.80
1.40,0.84
0.81,0.89
0.76,0.85
1.05,1.07
1.29,1.25
0.81,0.82
0.81,0.81
0.93,0.91
1.14,1.14
1.16,1.21
1.30,1.34
1.69,1.62
1.27,1.30
0.93,1.03
0.95,0.99
0.96,1.01
0.95,1.00
0.96,1.00
0.98,1.00
1.20,1.22
1.21,1.28
0.94,1.03
1.00,1.05
1.68,1.08
1.15,0.94
0.88,1.50
0.94,1.35
1.04,1.07
1.22,1.20
1.20,1.14
1.41,1.37
1.01,1.00
0.94,0.90
0.97,0.91
1.22,1.20
1.00,0.98
1.39,1.35
1.42,1.44
1.12,1.18
0.86,0.88
1.04,0.98
0.98,0.99
0.92,1.02
0.86,0.97
1.24,1.27
1.24,1.27
0.96,1.00
1.21,1.22
0.96,0.97
0.78,0.82
0.78,0.80
0.88,0.91
1.48,1.47
1.46,1.44
1.28,1.26
0.80,0.81
0.87,0.82
0.83,1.32
0.79,1.34
0.95,1.17
1.40,1.17
1.36,1.28
1.28,1.31
1.03,1.10
1.03,1.23
1.25,0.89
0.86,0.96
0.95,0.98
1.31,1.26
0.95,0.94
0.85,0.86
0.93,0.90
0.82,0.84
1.34,1.37
1.48,1.44
1.29,1.30
0.80,0.80
0.81,0.83
1.23,1.25
1.46,1.43
1.29,1.33
1.23,1.30
1.07,1.14
1.71,1.22
1.53,1.20
1.03,1.44
1.03,1.48
1.02,1.08
1.00,1.02
1.16,1.18
1.26,1.27
1.17,1.17
1.25,1.24
1.23,1.23
0.80,0.82
0.78,0.80
0.86,0.88
1.43,1.41
1.43,1.40
0.87,0.89
1.16,1.23
1.68,1.65
1.51,1.49
1.11,1.36
1.06,0.86
1.20,0.81
1.49,0.98
1.58,1.13
1.16,1.10
0.85,1.10
0.97,1.08
1.15,1.16
1.29,1.28
1.33,1.31
1.21,1.25
1.05,1.09
1.22,1.19
1.21,1.19
0.82,0.84
0.91,0.87
0.91,0.91
0.93,0.93
1.42,1.35
1.08,1.09
0.94,0.97
1.07,1.08
1.34,1.38
1.78,1.74
1.38,1.42
1.29,1.24
0.81,0.83
0.83,0.87
1.28,1.31
1.50,1.46
0.81,0.84
0.78,0.79
0.97,0.94
1.55,1.49
1.15,1.07
0.81,0.83
0.89,0.79
0.98,0.87
1.07,1.01
1.03,0.99
1.02,0.99
1.02,0.99
1.04,1.03
1.05,1.04
