x,y,z,x2,y2,z2,altezza
0.08,1.07,0.35,-0.14,1.07,0.33,1.61
0.08,1.07,0.35,-0.13,1.07,0.33,1.62
0.09,1.08,0.34,-0.15,1.09,0.34,1.62
0.10,1.02,0.35,-0.11,1.00,0.38,1.63
0.08,1.00,0.37,-0.08,0.98,0.40,1.64
0.10,1.02,0.35,-0.08,1.00,0.36,1.64
0.09,0.99,0.34,-0.06,0.98,0.34,1.64
0.10,1.01,0.31,-0.05,0.98,0.33,1.64
0.12,1.00,0.30,-0.06,0.98,0.33,1.64
0.12,1.02,0.30,-0.10,1.00,0.31,1.64
0.19,1.15,0.22,-0.23,1.17,0.21,1.64
0.33,1.33,0.08,-0.42,1.33,0.12,1.65
0.42,1.15,0.18,-0.53,1.17,0.21,1.65
0.09,0.91,0.39,-0.15,0.93,0.34,1.65
0.13,0.95,0.32,-0.19,0.95,0.32,1.64
0.16,0.98,0.32,-0.23,1.13,0.33,1.64
0.14,0.99,0.31,-0.22,1.06,0.34,1.64
0.10,0.97,0.34,-0.13,0.97,0.37,1.64
0.15,1.17,0.23,-0.15,0.99,0.37,1.63
0.23,0.95,0.07,-0.21,1.02,0.37,1.63
0.14,0.88,0.39,-0.14,1.07,0.33,1.63
0.14,0.92,0.37,-0.19,1.23,0.18,1.63
0.18,0.89,0.42,-0.11,0.99,0.32,1.63
0.13,0.99,0.37,-0.10,1.13,0.35,1.63
0.09,1.00,0.36,-0.12,1.09,0.35,1.64
0.12,1.01,0.34,-0.15,1.09,0.35,1.64
0.12,1.01,0.34,-0.15,1.09,0.36,1.63
0.10,1.02,0.34,-0.14,1.08,0.35,1.63
0.07,0.98,0.34,-0.16,1.04,0.36,1.63
0.08,0.97,0.34,-0.15,1.03,0.36,1.63
0.09,0.97,0.35,-0.13,1.04,0.36,1.62
0.07,0.97,0.34,-0.15,1.04,0.35,1.61
0.03,0.99,0.34,-0.15,1.07,0.37,1.62
0.04,1.00,0.34,-0.15,1.08,0.36,1.62
0.19,1.13,0.28,-0.21,1.12,0.32,1.62
0.39,1.30,0.15,-0.39,1.22,0.15,1.63
0.27,0.91,0.33,-0.32,0.95,0.30,1.63
0.06,1.00,0.36,-0.08,1.02,0.33,1.62
