x,y,z,x2,y2,z2
-0.00,1.11,-0.65,-0.18,0.83,-0.52
-0.01,1.11,-0.65,-0.19,0.82,-0.51
-0.00,1.10,-0.64,-0.18,0.82,-0.51
0.11,0.91,-0.54,-0.16,0.81,-0.50
0.20,0.85,-0.53,-0.13,0.83,-0.54
0.21,0.81,-0.48,-0.10,0.81,-0.48
0.22,0.81,-0.46,-0.13,0.81,-0.47
0.17,0.95,-0.65,-0.15,0.91,-0.65
0.18,0.99,-0.66,-0.10,0.93,-0.66
0.12,1.05,-0.65,-0.07,0.93,-0.63
0.12,1.11,-0.70,-0.08,1.04,-0.70
0.70,1.42,-0.67,-0.65,1.41,-0.70
0.75,1.14,-0.42,-0.66,1.06,-0.53
0.28,0.90,-0.52,-0.22,0.88,-0.57
0.15,1.04,-0.61,-0.10,1.03,-0.64
0.15,1.03,-0.59,-0.14,0.92,-0.58
0.15,1.03,-0.63,-0.18,0.83,-0.52
0.16,1.40,-0.78,-0.20,0.80,-0.49
0.12,1.26,-0.94,-0.20,0.82,-0.46
0.16,0.84,-0.72,-0.20,0.82,-0.45
0.19,0.77,-0.48,-0.14,0.88,-0.59
0.19,0.79,-0.46,-0.20,0.82,-0.65
0.13,0.82,-0.49,-0.11,0.74,-0.47
0.15,0.76,-0.45,-0.11,0.75,-0.45
0.24,0.73,-0.38,-0.17,0.72,-0.42
0.24,0.73,-0.37,-0.19,0.72,-0.40
0.21,0.74,-0.40,-0.19,0.74,-0.43
0.16,0.77,-0.45,-0.19,0.74,-0.43
0.21,0.74,-0.40,-0.21,0.75,-0.43
0.25,0.74,-0.38,-0.21,0.74,-0.40
0.21,0.77,-0.44,-0.22,0.76,-0.45
0.20,0.78,-0.45,-0.18,0.76,-0.47
0.20,0.80,-0.48,-0.18,0.76,-0.47
0.33,1.25,-0.76,-0.38,1.22,-0.75
0.35,1.44,-0.77,-0.44,1.38,-0.74
0.36,0.87,-0.69,-0.44,0.84,-0.64
0.31,0.71,-0.30,-0.33,0.71,-0.38
0.18,0.79,-0.53,-0.20,0.79,-0.57
0.11,1.36,-0.77,-0.17,1.36,-0.78
0.09,1.33,-0.79,-0.16,1.31,-0.78
0.13,0.77,-0.57,-0.13,0.75,-0.55
0.12,0.78,-0.52,-0.12,0.78,-0.55
0.11,0.80,-0.50,-0.12,0.77,-0.51
0.13,0.78,-0.48,-0.11,0.87,-0.67
0.19,0.82,-0.51,-0.09,1.10,-0.81
0.17,0.82,-0.50,-0.11,1.12,-0.83
0.16,0.81,-0.49,-0.14,1.21,-0.84
0.17,0.80,-0.47,-0.14,1.21,-0.82
0.16,0.80,-0.47,-0.31,1.31,-0.89
0.17,0.80,-0.47,-0.74,1.31,-0.67
0.10,0.88,-0.55,-0.64,0.92,-0.49
0.14,0.99,-0.72,-0.30,0.77,-0.53
0.24,1.27,-0.91,-0.24,0.78,-0.50
0.53,1.78,-0.84,-0.29,0.73,-0.34
0.49,1.63,-0.72,-0.27,0.76,-0.46
0.27,1.04,-0.66,-0.19,0.89,-0.62
0.12,1.13,-0.76,-0.16,1.13,-0.79
0.11,1.31,-0.82,-0.16,1.31,-0.82
0.15,0.90,-0.76,-0.17,0.90,-0.75
0.17,0.77,-0.56,-0.12,0.79,-0.61
0.23,1.20,-0.85,-0.23,1.24,-0.84
0.61,1.36,-0.68,-0.58,1.31,-0.67
0.23,1.27,-0.77,-0.18,1.24,-0.78
0.12,0.76,-0.47,-0.11,0.77,-0.52
0.09,0.87,-0.54,-0.07,0.84,-0.55
0.14,0.88,-0.59,-0.14,0.92,-0.68
0.18,0.77,-0.46,-0.22,1.11,-0.82
0.20,0.80,-0.50,-0.55,1.70,-0.78
0.13,0.86,-0.56,-0.52,1.40,-0.70
0.12,0.88,-0.59,-0.30,0.81,-0.53
0.14,0.90,-0.64,-0.21,0.74,-0.45
0.24,1.12,-0.82,-0.20,0.76,-0.47
0.54,1.78,-0.66,-0.14,0.78,-0.52
0.46,1.18,-0.67,-0.11,0.88,-0.64
0.44,0.95,-0.64,-0.02,1.11,-0.77
0.45,0.92,-0.61,0.28,1.25,-0.59
0.49,0.97,-0.64,-0.31,1.30,-0.73
-0.15,1.03,-0.67,0.29,1.31,-0.62
-0.22,0.99,-0.47,0.31,1.19,-0.46
0.19,0.81,-0.50,-0.05,0.90,-0.57
0.14,1.30,-0.74,-0.13,1.35,-0.72
0.11,1.22,-0.79,-0.14,1.23,-0.76
0.20,0.73,-0.50,-0.16,0.73,-0.48
0.16,0.76,-0.48,-0.13,0.77,-0.52
0.12,0.87,-0.60,-0.12,0.79,-0.51
