y,y2
1.11,0.83
1.11,0.82
1.10,0.82
0.91,0.81
0.85,0.83
0.81,0.81
0.81,0.81
0.95,0.91
0.99,0.93
1.05,0.93
1.11,1.04
1.42,1.41
1.14,1.06
0.90,0.88
1.04,1.03
1.03,0.92
1.03,0.83
1.40,0.80
1.26,0.82
0.84,0.82
0.77,0.88
0.79,0.82
0.82,0.74
0.76,0.75
0.73,0.72
0.73,0.72
0.74,0.74
0.77,0.74
0.74,0.75
0.74,0.74
0.77,0.76
0.78,0.76
0.80,0.76
1.25,1.22
1.44,1.38
0.87,0.84
0.71,0.71
0.79,0.79
1.36,1.36
1.33,1.31
0.77,0.75
0.78,0.78
0.80,0.77
0.78,0.87
0.82,1.10
0.82,1.12
0.81,1.21
0.80,1.21
0.80,1.31
0.80,1.31
0.88,0.92
0.99,0.77
1.27,0.78
1.78,0.73
1.63,0.76
1.04,0.89
1.13,1.13
1.31,1.31
0.90,0.90
0.77,0.79
1.20,1.24
1.36,1.31
1.27,1.24
0.76,0.77
0.87,0.84
0.88,0.92
0.77,1.11
0.80,1.70
0.86,1.40
0.88,0.81
0.90,0.74
1.12,0.76
1.78,0.78
1.18,0.88
0.95,1.11
0.92,1.25
0.97,1.30
1.03,1.31
0.99,1.19
0.81,0.90
1.30,1.35
1.22,1.23
0.73,0.73
0.76,0.77
0.87,0.79
1.32,0.74
0.93,0.77
0.78,0.79
0.95,0.81
1.20,0.80
1.40,0.80
1.24,0.80
0.88,0.86
1.09,1.15
1.58,1.60
1.78,1.75
1.56,1.41
1.36,1.10
1.24,0.89
1.02,1.35
1.01,1.14
0.93,0.74
1.21,1.21
1.33,1.30
0.73,0.73
0.75,0.78
0.81,1.10
0.84,0.85
1.04,0.74
1.04,0.78
0.83,0.82
1.07,1.11
1.29,1.34
1.74,1.73
1.42,1.40
1.26,0.83
0.88,0.87
0.74,1.20
0.85,0.69
0.83,0.74
0.85,0.88
1.38,1.36
0.90,0.90
0.78,0.77
0.84,0.80
1.19,1.19
1.13,1.13
0.72,0.74
0.81,0.82
0.79,0.80
1.33,1.37
1.28,1.27
1.33,1.30
0.80,0.81
0.96,0.96
1.26,1.27
1.37,1.28
0.96,0.85
1.10,1.11
1.15,1.20
1.66,1.68
1.75,1.73
1.07,1.02
0.91,0.89
1.35,1.34
0.86,0.87
0.75,0.74
0.94,0.81
1.13,0.77
0.70,0.76
0.73,0.93
0.78,1.16
0.78,0.67
0.82,0.76
1.19,1.23
1.27,1.24
0.75,0.73
0.75,0.77
1.45,1.47
1.43,1.40
1.07,0.78
1.29,0.73
1.41,0.75
1.04,0.80
0.80,1.08
0.77,1.26
0.76,1.30
0.77,1.14
0.84,0.73
1.09,0.75
1.25,0.73
0.80,0.72
0.76,0.82
0.81,1.23
0.79,0.94
0.87,0.69
1.17,0.76
0.73,0.91
0.79,1.22
0.82,0.68
0.82,0.69
1.21,1.18
0.98,0.91
0.69,0.69
0.77,0.77
0.82,0.82
1.11,1.11
1.10,1.13
1.50,1.56
1.79,1.76
1.23,1.23
0.85,0.85
0.82,0.81
0.74,0.74
0.72,0.73
0.77,0.75
1.00,0.85
1.24,1.22
1.23,1.16
0.84,0.86
0.83,1.30
0.88,1.33
1.09,0.73
1.56,0.82
0.91,0.89
1.19,1.21
0.95,0.93
1.28,1.29
1.17,1.08
0.84,0.79
0.89,0.88
1.22,1.21
1.21,1.18
1.04,1.08
1.35,1.28
1.36,1.28
0.90,0.86
0.77,0.77
0.84,1.03
0.86,0.90
0.98,0.75
0.88,1.01
1.21,1.33
1.11,1.05
0.91,0.89
1.38,1.34
0.86,0.87
0.81,0.81
0.91,0.90
0.92,0.92
1.43,1.39
1.25,1.23
1.08,1.06
0.76,0.74
0.83,0.77
1.40,0.81
0.86,0.87
0.82,1.41
1.01,1.21
1.37,1.37
1.26,1.11
1.12,0.80
1.08,0.89
0.74,1.20
0.85,0.71
1.03,1.05
1.44,1.41
0.82,0.79
0.73,0.74
0.77,0.77
0.80,0.81
1.47,1.49
1.41,1.40
1.07,1.06
0.69,0.70
0.74,0.76
1.44,1.45
1.35,1.34
1.41,1.35
1.04,0.96
0.93,1.22
0.93,1.69
0.96,1.01
1.76,0.81
1.68,0.85
0.89,0.83
1.07,1.03
1.15,1.13
1.29,1.24
0.95,0.88
0.99,0.96
1.15,1.12
0.77,0.75
0.81,0.81
0.98,0.97
1.43,1.45
1.21,1.21
0.88,0.88
1.24,1.28
1.78,1.73
1.34,1.26
1.35,0.80
0.81,0.85
0.72,0.85
0.73,0.83
0.76,1.27
0.77,0.81
0.75,0.69
0.93,0.92
1.14,1.14
1.14,1.14
1.34,1.34
1.06,0.93
0.88,0.86
1.43,1.45
1.06,1.04
0.73,0.74
0.81,0.82
0.79,0.81
0.93,0.95
1.51,1.52
1.14,1.14
1.25,1.26
1.30,1.34
1.58,1.58
1.74,1.66
1.29,1.27
1.26,1.24
0.79,0.79
0.82,0.83
1.46,1.44
1.44,1.39
0.73,0.73
0.80,0.81
1.33,1.33
1.37,1.34
0.96,0.96
0.74,0.75
0.76,0.75
0.74,0.73
0.74,0.74
0.73,0.71
0.74,0.72
0.85,0.74
1.15,0.74
1.21,0.71
1.16,0.71
0.99,0.73
0.96,0.76
0.95,0.79
