x,y,z,x2,y2,z2
-0.06,1.06,-0.17,-0.19,1.28,-0.11
-0.06,1.07,-0.17,-0.19,1.27,-0.11
-0.06,1.07,-0.17,-0.18,1.27,-0.10
-0.06,1.07,-0.17,-0.18,1.27,-0.10
-0.06,1.13,-0.19,-0.20,1.26,-0.14
-0.04,1.13,-0.19,-0.26,1.21,-0.19
-0.05,1.14,-0.19,-0.26,1.19,-0.18
-0.07,1.16,-0.21,-0.25,1.19,-0.18
-0.04,1.15,-0.22,-0.27,1.18,-0.18
-0.08,1.12,-0.21,-0.26,1.17,-0.18
-0.04,1.15,-0.22,-0.27,1.20,-0.20
0.08,1.22,-0.28,-0.29,1.25,-0.25
0.48,1.25,-0.26,-0.70,1.24,-0.27
0.38,1.26,-0.32,-0.60,1.28,-0.33
0.30,1.27,-0.35,-0.54,1.27,-0.37
0.20,1.22,-0.35,-0.45,1.22,-0.38
0.02,1.13,-0.27,-0.30,1.02,-0.26
0.04,1.33,-0.24,-0.27,1.01,-0.24
0.02,1.31,-0.28,-0.28,1.03,-0.23
0.04,0.98,-0.33,-0.29,1.05,-0.23
0.09,1.13,-0.28,-0.29,1.07,-0.26
0.06,1.13,-0.24,-0.27,0.97,-0.26
0.07,1.14,-0.24,-0.27,1.22,-0.32
0.04,1.15,-0.25,-0.25,1.17,-0.31
0.03,1.15,-0.26,-0.26,1.16,-0.31
0.00,1.15,-0.25,-0.23,1.13,-0.29
0.03,1.14,-0.26,-0.25,1.11,-0.28
0.02,1.15,-0.23,-0.26,1.11,-0.26
0.03,1.17,-0.22,-0.30,1.12,-0.25
0.08,1.20,-0.18,-0.34,1.11,-0.23
0.14,1.21,-0.19,-0.29,1.08,-0.25
0.06,1.08,-0.26,-0.28,0.99,-0.26
0.01,1.20,-0.20,-0.33,1.14,-0.24
0.03,1.16,-0.21,-0.36,1.09,-0.25
0.08,1.00,-0.21,-0.35,0.96,-0.22
0.19,1.30,-0.18,-0.39,1.24,-0.19
0.21,0.87,-0.22,-0.45,0.93,-0.23
0.13,1.08,-0.28,-0.35,1.06,-0.29
0.16,1.18,-0.30,-0.31,1.17,-0.29
0.11,1.36,-0.21,-0.26,1.35,-0.22
0.06,0.88,-0.40,-0.22,0.92,-0.40
0.12,0.80,-0.28,-0.25,0.85,-0.31
0.08,0.94,-0.36,-0.21,0.99,-0.38
0.00,0.92,-0.31,-0.21,0.96,-0.35
-0.03,0.89,-0.25,-0.23,0.95,-0.30
-0.01,0.94,-0.28,-0.25,1.01,-0.31
0.02,0.92,-0.25,-0.25,1.00,-0.29
0.03,0.92,-0.24,-0.27,1.16,-0.33
0.01,0.90,-0.24,-0.27,1.25,-0.28
0.01,0.89,-0.24,-0.64,1.32,-0.31
0.00,1.01,-0.30,-0.36,1.18,-0.28
0.10,1.11,-0.34,-0.25,1.19,-0.23
0.20,1.09,-0.27,-0.24,1.18,-0.23
0.59,1.75,-0.24,-0.27,1.21,-0.23
0.56,1.72,-0.09,-0.25,1.22,-0.22
0.38,1.57,-0.14,-0.26,1.22,-0.23
0.21,1.54,-0.13,-0.32,1.34,-0.20
0.12,1.55,-0.10,-0.27,1.40,-0.16
0.12,1.41,-0.30,-0.23,1.23,-0.39
0.09,0.81,-0.30,-0.22,0.89,-0.26
0.03,0.99,-0.36,-0.21,1.04,-0.30
0.48,1.34,-0.40,-0.73,1.28,-0.32
0.22,1.41,-0.29,-0.35,1.36,-0.29
0.05,0.89,-0.32,-0.18,0.93,-0.28
0.07,0.92,-0.29,-0.22,0.99,-0.27
0.02,1.00,-0.31,-0.25,1.06,-0.28
0.02,0.95,-0.27,-0.30,1.10,-0.30
0.02,0.94,-0.27,-0.64,1.55,-0.29
-0.01,0.95,-0.28,-0.54,1.46,-0.30
0.00,1.04,-0.31,-0.32,1.25,-0.28
0.25,1.25,-0.34,-0.17,1.15,-0.24
0.39,1.50,-0.23,-0.13,1.15,-0.22
0.28,1.33,-0.59,-0.16,1.15,-0.20
0.38,1.48,-0.38,-0.18,1.16,-0.21
0.37,1.53,-0.20,-0.19,1.16,-0.23
0.24,1.14,-0.34,-0.19,1.11,-0.24
0.31,1.11,-0.32,-0.18,1.18,-0.30
-0.11,1.18,-0.47,-0.55,1.18,-0.40
0.21,1.33,-0.26,-0.06,1.21,-0.32
0.29,1.33,-0.13,0.03,1.29,-0.30
0.20,1.36,-0.18,-0.09,1.31,-0.34
0.12,1.41,-0.20,-0.23,1.37,-0.30
0.08,0.94,-0.41,-0.20,1.00,-0.41
0.09,0.96,-0.26,-0.14,1.10,-0.38
0.13,1.04,-0.19,-0.08,1.14,-0.29
0.18,1.32,-0.16,-0.14,1.12,-0.26
0.13,1.33,-0.22,-0.20,1.16,-0.31
0.13,0.90,-0.36,-0.26,1.19,-0.33
0.12,1.13,-0.20,-0.26,1.35,-0.32
0.08,1.13,-0.20,-0.20,1.27,-0.27
0.20,1.24,-0.30,-0.28,1.27,-0.29
0.51,1.38,-0.31,-0.27,1.28,-0.29
0.20,1.30,-0.28,-0.32,1.42,-0.18
0.23,1.25,-0.27,-0.30,1.26,-0.31
0.28,1.38,-0.28,-0.40,1.34,-0.25
0.49,1.89,-0.12,-0.56,1.79,-0.15
0.26,1.72,-0.10,-0.34,1.59,-0.22
0.11,1.56,-0.09,-0.29,1.37,-0.21
0.09,1.50,-0.09,-0.27,0.92,-0.30
0.13,1.53,-0.02,-0.31,1.30,-0.33
0.18,1.52,-0.01,-0.71,1.27,-0.38
0.16,1.52,-0.06,-0.49,1.34,-0.40
0.14,1.53,-0.05,-0.39,1.48,-0.35
0.14,1.55,-0.09,-0.31,1.51,-0.27
0.09,1.05,-0.51,-0.17,0.97,-0.52
0.14,0.86,-0.35,-0.18,0.96,-0.44
0.13,1.32,-0.32,-0.19,1.35,-0.34
0.20,1.23,-0.25,-0.65,1.01,-0.33
