y,y2
1.06,1.28
1.07,1.27
1.07,1.27
1.07,1.27
1.13,1.26
1.13,1.21
1.14,1.19
1.16,1.19
1.15,1.18
1.12,1.17
1.15,1.20
1.22,1.25
1.25,1.24
1.26,1.28
1.27,1.27
1.22,1.22
1.13,1.02
1.33,1.01
1.31,1.03
0.98,1.05
1.13,1.07
1.13,0.97
1.14,1.22
1.15,1.17
1.15,1.16
1.15,1.13
1.14,1.11
1.15,1.11
1.17,1.12
1.20,1.11
1.21,1.08
1.08,0.99
1.20,1.14
1.16,1.09
1.00,0.96
1.30,1.24
0.87,0.93
1.08,1.06
1.18,1.17
1.36,1.35
0.88,0.92
0.80,0.85
0.94,0.99
0.92,0.96
0.89,0.95
0.94,1.01
0.92,1.00
0.92,1.16
0.90,1.25
0.89,1.32
1.01,1.18
1.11,1.19
1.09,1.18
1.75,1.21
1.72,1.22
1.57,1.22
1.54,1.34
1.55,1.40
1.41,1.23
0.81,0.89
0.99,1.04
1.34,1.28
1.41,1.36
0.89,0.93
0.92,0.99
1.00,1.06
0.95,1.10
0.94,1.55
0.95,1.46
1.04,1.25
1.25,1.15
1.50,1.15
1.33,1.15
1.48,1.16
1.53,1.16
1.14,1.11
1.11,1.18
1.18,1.18
1.33,1.21
1.33,1.29
1.36,1.31
1.41,1.37
0.94,1.00
0.96,1.10
1.04,1.14
1.32,1.12
1.33,1.16
0.90,1.19
1.13,1.35
1.13,1.27
1.24,1.27
1.38,1.28
1.30,1.42
1.25,1.26
1.38,1.34
1.89,1.79
1.72,1.59
1.56,1.37
1.50,0.92
1.53,1.30
1.52,1.27
1.52,1.34
1.53,1.48
1.55,1.51
1.05,0.97
0.86,0.96
1.32,1.35
1.23,1.01
1.21,1.02
1.13,1.16
1.12,1.23
1.26,1.35
1.32,1.32
1.50,1.40
1.78,1.76
1.64,1.48
1.34,1.36
0.82,1.33
0.92,1.01
0.99,0.87
1.02,0.96
1.35,1.33
1.62,1.61
1.46,1.42
1.33,1.32
1.36,1.36
1.48,1.46
0.84,0.94
0.84,0.95
0.79,0.84
0.81,0.80
1.69,1.68
1.66,1.64
1.12,1.07
0.82,0.85
0.91,0.95
1.42,1.37
1.32,1.32
1.29,1.33
1.24,1.21
1.40,1.37
1.76,1.72
1.35,1.18
1.03,1.00
1.11,1.11
1.40,1.41
0.77,0.86
0.85,1.00
1.20,1.23
0.95,1.16
0.81,1.16
0.82,1.37
0.82,0.94
0.88,0.97
0.94,1.06
1.31,1.38
0.85,0.96
0.82,0.89
1.00,1.05
1.70,1.72
1.66,1.71
1.54,1.62
1.41,1.55
1.37,1.45
1.22,1.29
1.02,1.23
0.99,1.22
1.01,1.36
1.04,1.26
1.34,1.28
1.36,1.30
0.94,1.35
0.76,1.28
0.81,1.22
0.82,1.28
0.82,0.98
1.20,1.04
0.88,1.13
0.73,1.18
0.83,1.19
0.85,0.82
0.94,1.17
1.19,1.28
0.78,0.85
0.78,0.95
0.91,1.07
1.10,1.20
1.19,1.24
1.27,1.29
1.84,1.82
1.72,1.66
1.20,1.29
1.10,1.22
1.11,1.16
1.16,1.19
1.11,1.12
1.10,1.15
1.13,1.19
1.40,1.37
1.24,1.27
0.95,0.93
1.05,1.70
0.91,1.29
1.45,1.27
1.57,1.21
1.59,1.42
1.50,1.36
1.11,1.14
1.38,1.40
1.36,1.39
1.46,1.48
1.43,1.43
1.52,1.58
0.93,0.94
1.23,1.28
1.46,1.49
1.25,1.26
1.05,1.05
1.07,1.16
1.07,1.11
1.06,1.07
1.05,1.11
1.16,1.19
1.35,1.25
1.42,1.34
1.56,1.50
1.42,1.35
0.86,0.87
1.25,1.32
0.89,0.92
1.20,1.11
1.59,1.57
1.53,1.49
0.90,0.89
0.82,0.79
1.18,0.90
1.70,0.89
1.67,0.93
1.64,1.65
1.54,1.56
1.32,1.28
1.19,1.19
1.44,1.10
0.91,1.35
0.83,0.89
0.82,0.85
1.24,1.30
1.28,1.30
0.94,0.96
0.91,0.95
0.80,0.80
1.64,1.63
1.73,1.77
1.68,1.70
0.78,0.76
0.72,0.75
1.18,1.11
1.77,1.78
1.60,1.56
1.28,1.28
1.28,1.32
1.18,1.50
1.11,1.61
1.43,1.09
1.62,1.04
1.37,1.03
1.18,1.08
1.08,1.13
1.37,1.33
1.20,1.27
1.37,1.41
1.39,1.40
0.83,0.85
0.77,0.75
0.82,0.80
1.72,1.71
1.74,1.74
0.99,0.97
0.88,0.84
1.63,1.59
1.69,1.58
1.62,1.21
1.01,1.16
0.72,1.07
0.74,1.32
0.72,1.34
0.73,1.30
0.73,0.73
0.91,0.94
1.18,1.20
1.20,1.20
1.36,1.33
1.31,1.24
1.35,1.29
1.56,1.49
1.43,1.39
0.79,0.79
0.87,0.93
1.09,1.13
0.72,0.75
1.67,1.68
1.77,1.76
1.56,1.52
1.38,1.35
1.36,1.34
1.67,1.59
1.60,1.52
1.49,1.42
0.80,0.79
0.75,0.75
1.47,1.40
1.65,1.63
0.82,0.80
0.83,0.81
0.93,0.89
1.34,1.35
1.35,1.33
0.72,0.76
0.76,0.78
0.80,0.92
0.76,1.02
0.77,1.16
0.78,1.07
1.20,1.27
1.12,1.20
1.30,1.33
1.31,1.36
1.38,1.39
1.07,1.05
1.03,0.98
