x,y,z,x2,y2,z2,altezza
0.00,1.18,0.22,-0.20,0.75,0.58,1.62
0.01,1.17,0.21,-0.19,0.75,0.56,1.62
0.02,1.09,0.21,-0.20,0.75,0.55,1.62
0.16,0.92,0.27,-0.21,0.75,0.56,1.63
0.20,0.86,0.33,-0.24,0.81,0.41,1.63
0.19,0.78,0.43,-0.21,0.77,0.45,1.63
0.24,0.75,0.50,-0.25,0.75,0.54,1.63
0.23,0.75,0.48,-0.24,0.75,0.54,1.63
0.21,0.76,0.44,-0.23,0.80,0.41,1.63
0.21,0.98,0.25,-0.22,1.10,0.20,1.63
0.20,1.25,0.14,-0.23,1.31,0.13,1.63
0.34,1.36,0.12,-0.38,1.40,0.12,1.64
0.64,1.41,0.38,-0.66,1.37,0.43,1.63
0.31,0.97,0.27,-0.38,0.98,0.28,1.63
0.18,0.79,0.40,-0.22,0.77,0.44,1.62
0.20,0.81,0.39,-0.25,0.76,0.48,1.62
0.21,0.91,0.33,-0.25,0.75,0.50,1.62
0.19,1.07,0.26,-0.25,0.77,0.47,1.62
0.15,1.21,0.20,-0.25,0.75,0.54,1.62
0.17,0.85,0.22,-0.27,0.75,0.54,1.63
0.18,0.84,0.27,-0.31,1.02,0.34,1.63
0.20,0.82,0.32,-0.20,1.20,0.13,1.63
0.22,0.83,0.32,-0.20,0.78,0.37,1.63
0.19,0.81,0.32,-0.24,0.77,0.42,1.64
0.20,0.80,0.34,-0.26,0.75,0.51,1.64
0.19,0.80,0.35,-0.24,0.76,0.48,1.64
0.19,0.81,0.36,-0.25,0.77,0.46,1.64
0.19,0.82,0.35,-0.26,0.76,0.49,1.64
0.19,0.82,0.35,-0.26,0.77,0.46,1.63
0.24,0.83,0.34,-0.33,0.83,0.38,1.63
0.41,1.11,0.23,-0.50,1.19,0.23,1.63
0.39,1.20,0.23,-0.47,1.30,0.24,1.64
0.36,1.15,0.24,-0.48,1.31,0.28,1.63
0.38,1.24,0.27,-0.52,1.36,0.33,1.63
0.41,1.32,0.29,-0.56,1.39,0.29,1.63
0.50,1.11,0.25,-0.62,1.16,0.16,1.63
0.43,0.87,0.54,-0.55,0.84,0.48,1.63
0.33,0.95,0.29,-0.43,0.97,0.25,1.63
0.19,1.25,0.19,-0.29,1.34,0.17,1.62
0.13,1.30,0.20,-0.20,1.38,0.16,1.62
0.13,0.81,0.30,-0.20,0.81,0.26,1.62
0.14,0.82,0.29,-0.18,0.81,0.30,1.63
0.15,0.81,0.32,-0.21,0.80,0.32,1.63
0.15,0.79,0.35,-0.23,0.80,0.33,1.63
0.12,0.78,0.39,-0.24,0.78,0.38,1.63
0.14,0.78,0.38,-0.22,0.79,0.37,1.63
0.13,0.78,0.39,-0.18,0.90,0.25,1.63
0.13,0.78,0.39,-0.14,1.15,0.10,1.63
0.13,0.79,0.39,-0.13,1.33,0.06,1.63
0.13,0.81,0.35,-0.65,1.35,0.32,1.63
0.09,0.86,0.28,-0.65,1.14,0.40,1.63
0.13,1.06,0.13,-0.25,0.76,0.44,1.63
0.20,1.31,0.06,-0.18,0.77,0.38,1.63
0.38,1.60,0.09,-0.20,0.73,0.46,1.64
0.42,1.68,0.37,-0.21,0.74,0.44,1.64
0.27,1.30,0.21,-0.21,0.79,0.37,1.63
0.16,1.15,0.24,-0.20,1.14,0.25,1.62
0.13,1.20,0.21,-0.16,1.27,0.18,1.62
0.14,1.06,0.15,-0.14,1.10,0.09,1.62
0.19,0.89,0.23,-0.17,0.84,0.27,1.62
0.22,1.28,0.09,-0.23,1.29,0.06,1.63
0.58,1.32,0.29,-0.58,1.29,0.27,1.63
0.22,1.38,0.19,-0.30,1.42,0.15,1.63
0.15,0.78,0.37,-0.15,0.77,0.40,1.63
0.17,0.80,0.34,-0.16,0.80,0.33,1.63
0.16,0.77,0.39,-0.17,0.98,0.17,1.63
0.14,0.79,0.37,-0.22,1.34,0.05,1.63
0.11,0.82,0.33,-0.50,1.67,0.06,1.65
0.07,0.87,0.27,-0.62,1.73,0.40,1.65
0.07,0.97,0.20,-0.38,0.92,0.30,1.65
0.18,1.26,0.05,-0.18,0.77,0.40,1.64
0.20,1.38,0.07,-0.19,0.73,0.46,1.65
0.51,1.73,0.35,-0.18,0.71,0.51,1.65
0.19,1.48,0.21,-0.14,0.76,0.42,1.64
-0.19,1.38,0.20,0.07,1.18,0.10,1.62
-0.18,1.40,0.17,0.10,1.19,0.08,1.62
-0.19,1.40,0.16,0.13,1.17,0.09,1.63
0.35,1.39,0.14,-0.33,1.00,0.13,1.64
0.43,1.39,0.25,-0.51,1.10,0.24,1.64
0.31,1.26,0.23,-0.40,1.10,0.20,1.63
0.22,1.20,0.26,-0.29,1.16,0.21,1.63
0.15,1.26,0.23,-0.19,1.29,0.19,1.63
0.17,0.78,0.38,-0.19,0.76,0.41,1.63
0.19,0.80,0.33,-0.18,0.76,0.39,1.63
0.21,0.97,0.25,-0.18,0.74,0.45,1.63
0.17,1.07,0.22,-0.24,0.73,0.54,1.62
