y,y2
1.35,0.71
1.33,0.76
1.13,0.74
1.18,1.15
1.18,1.27
1.21,1.31
1.24,1.34
1.26,1.25
1.24,1.25
1.28,1.29
1.30,1.31
1.30,1.27
1.31,1.28
1.06,0.82
1.05,0.82
1.10,1.00
1.10,1.00
1.12,0.89
1.13,0.91
0.69,1.03
0.74,1.23
0.76,0.72
0.80,0.72
1.01,1.02
1.20,1.24
1.06,1.26
1.36,0.90
0.84,1.44
0.83,0.80
0.76,0.73
0.75,0.68
0.75,0.69
0.76,0.70
1.08,1.03
1.35,1.37
0.79,0.82
0.78,0.70
1.01,0.98
1.12,1.15
1.19,1.24
0.74,0.71
0.77,0.74
0.76,0.74
0.75,0.73
0.75,0.71
0.74,0.77
0.74,0.76
0.73,0.94
0.74,1.31
0.76,1.20
0.85,0.79
1.11,0.70
1.26,0.70
1.66,0.68
1.52,0.70
1.17,0.99
1.13,1.11
1.17,1.20
0.73,0.75
0.98,0.94
1.25,1.23
1.25,1.21
1.03,1.06
0.75,0.70
0.75,0.73
0.74,0.77
0.73,1.17
0.76,1.74
0.76,1.66
0.76,0.98
0.78,0.72
1.30,0.69
1.75,0.68
1.41,0.71
1.28,0.86
1.29,1.02
1.29,1.02
1.21,0.94
1.22,1.02
1.16,1.11
1.13,1.13
1.08,1.10
0.74,0.71
0.82,0.72
0.82,0.70
1.14,0.69
0.84,0.71
0.83,0.70
0.96,0.70
1.08,0.69
1.26,0.70
1.17,0.69
0.86,0.78
1.16,1.13
1.49,1.46
1.63,1.65
0.97,1.40
0.83,0.81
0.80,0.80
0.78,1.17
0.80,1.17
0.87,1.06
1.10,1.09
1.18,1.24
0.74,0.72
0.75,0.93
0.74,1.09
0.82,0.92
1.00,0.70
1.07,0.74
0.86,0.73
0.79,0.78
1.34,1.33
1.73,1.67
1.53,1.32
1.30,0.87
0.70,1.14
0.72,1.33
0.73,0.69
0.73,0.73
0.75,0.72
1.48,1.43
1.33,1.37
1.23,1.27
1.22,1.27
1.20,1.26
0.99,1.06
0.74,0.74
0.76,0.76
0.75,0.76
1.54,1.51
1.49,1.49
1.41,1.43
0.72,0.71
1.09,1.06
1.24,1.24
1.34,1.31
1.09,1.08
1.10,1.10
1.34,1.37
1.57,1.57
1.71,1.70
1.28,1.31
1.08,1.11
1.15,1.18
0.72,0.75
0.85,0.71
1.16,0.72
1.16,0.72
0.71,0.91
0.77,1.40
0.75,1.28
0.78,0.69
0.87,0.81
1.14,1.17
1.10,1.18
0.77,0.75
0.77,0.76
1.35,1.32
1.22,1.15
1.10,0.84
1.18,0.67
1.29,0.72
0.99,0.80
0.78,1.19
0.73,1.28
0.73,1.33
0.80,1.28
0.87,0.88
1.08,0.73
1.15,0.74
0.74,0.76
0.71,0.81
0.71,1.18
0.72,0.96
0.95,0.72
0.94,0.79
0.72,1.07
0.72,1.27
0.75,0.68
0.82,0.78
1.23,1.26
0.91,0.96
0.73,0.73
0.73,0.75
0.74,0.75
0.81,0.81
1.29,1.27
1.56,1.52
1.72,1.68
1.45,1.43
0.86,0.81
0.72,0.69
0.72,0.69
0.72,0.71
0.73,0.72
1.05,1.07
1.27,1.26
1.24,1.20
0.82,0.83
0.82,1.20
0.80,1.51
0.97,0.88
1.54,0.82
1.41,1.19
1.44,1.46
0.77,0.80
1.24,1.25
1.29,1.28
1.22,1.26
1.24,1.28
1.25,1.31
1.12,1.19
1.02,1.03
1.33,1.33
1.35,1.40
0.72,0.72
0.72,0.83
0.72,1.05
0.97,1.03
1.06,0.89
1.09,1.08
1.27,1.27
1.36,1.31
1.24,1.30
1.30,1.37
0.81,0.85
0.80,0.76
0.83,0.78
0.91,0.84
1.49,1.53
1.43,1.47
0.99,1.08
0.73,0.70
0.75,0.73
1.49,0.71
1.37,0.69
1.22,1.44
1.14,1.30
1.30,1.32
1.34,1.27
1.28,1.17
1.20,1.40
0.73,1.27
0.79,0.70
1.27,1.28
1.34,1.40
0.72,0.72
0.76,0.74
0.76,0.74
0.90,0.88
1.48,1.54
1.45,1.49
0.89,0.99
0.74,0.70
0.72,0.69
1.42,1.38
1.26,1.21
1.36,1.31
1.05,1.17
0.78,1.29
0.84,1.69
0.97,1.21
1.64,0.76
1.56,0.76
1.01,0.82
0.89,0.83
1.19,1.16
1.30,1.28
1.38,1.39
1.30,1.35
0.87,0.99
0.73,0.70
0.72,0.71
1.26,1.11
1.48,1.49
1.33,1.35
0.70,0.69
0.99,0.96
1.73,1.69
1.60,1.37
1.30,0.69
0.70,0.71
0.71,0.71
0.70,0.72
0.72,1.30
0.73,0.71
0.73,0.71
0.73,0.69
0.75,0.78
1.22,1.25
1.34,1.29
1.36,1.28
1.38,1.36
1.34,1.35
0.88,0.97
0.71,0.70
0.73,0.72
0.73,0.72
1.01,0.91
1.54,1.55
1.53,1.54
1.53,1.54
1.20,1.21
1.39,1.39
1.74,1.70
1.47,1.48
1.04,1.09
0.73,0.71
0.78,0.74
1.47,1.39
1.29,1.31
0.71,0.69
0.75,0.71
0.86,0.77
1.24,1.28
0.74,0.81
0.75,0.72
1.07,1.11
1.19,1.19
1.22,1.21
1.17,1.16
1.09,1.05
1.04,1.02
1.56,1.61
1.87,1.86
1.71,1.69
0.92,0.85
0.75,0.68
0.76,0.70
