x,y,z,x2,y2,z2
-0.11,0.69,0.10,0.18,1.00,-0.24
-0.12,0.69,0.12,0.19,0.99,-0.24
-0.11,0.70,0.04,0.20,0.99,-0.23
-0.09,0.69,0.06,0.21,0.99,-0.23
-0.10,0.69,0.07,0.22,0.97,-0.23
-0.05,0.74,-0.05,0.23,0.94,-0.23
-0.06,0.71,-0.01,0.27,0.87,-0.21
-0.06,0.70,0.01,0.31,0.77,-0.15
-0.02,0.75,-0.10,0.30,0.78,-0.16
-0.03,1.00,-0.27,0.28,0.95,-0.26
-0.03,1.16,-0.32,0.27,1.11,-0.32
-0.24,1.25,-0.33,0.40,1.20,-0.34
-0.33,1.27,-0.12,0.57,1.24,-0.18
-0.06,0.92,-0.26,0.35,0.92,-0.26
-0.04,0.69,-0.04,0.31,0.79,-0.17
-0.05,0.67,0.03,0.30,0.83,-0.19
-0.03,0.68,0.02,0.30,0.82,-0.19
-0.04,0.68,0.02,0.30,0.85,-0.21
-0.04,0.68,0.02,0.27,1.08,-0.25
-0.06,0.69,0.04,0.26,0.71,-0.16
-0.10,0.80,-0.08,0.30,0.72,-0.14
-0.14,0.88,-0.25,0.31,0.73,-0.14
-0.10,0.68,0.02,0.31,0.74,-0.15
-0.07,0.70,-0.04,0.31,0.72,-0.14
-0.06,0.69,-0.03,0.32,0.72,-0.12
-0.06,0.70,-0.03,0.32,0.71,-0.11
-0.07,0.70,-0.02,0.33,0.70,-0.08
-0.06,0.69,-0.01,0.33,0.70,-0.07
-0.05,0.69,-0.01,0.34,0.69,-0.07
-0.06,0.69,-0.02,0.34,0.70,-0.08
-0.18,0.78,-0.11,0.42,0.74,-0.14
-0.32,1.07,-0.23,0.53,0.97,-0.27
-0.34,1.17,-0.24,0.54,1.09,-0.29
-0.40,1.24,-0.22,0.61,1.16,-0.26
-0.44,1.33,-0.21,0.60,1.26,-0.25
-0.52,0.86,-0.06,0.61,0.83,-0.09
-0.35,0.71,0.24,0.53,0.75,0.10
-0.22,0.81,-0.16,0.38,0.85,-0.21
-0.11,1.20,-0.32,0.24,1.12,-0.30
-0.08,1.29,-0.34,0.21,1.21,-0.33
-0.04,0.70,-0.11,0.24,0.73,-0.18
-0.05,0.71,-0.12,0.25,0.75,-0.21
-0.05,0.76,-0.21,0.25,0.77,-0.25
-0.03,0.87,-0.29,0.24,0.78,-0.26
-0.03,0.86,-0.30,0.25,0.77,-0.26
-0.04,0.83,-0.27,0.26,0.77,-0.26
-0.03,0.89,-0.29,0.26,0.77,-0.26
0.00,0.88,-0.29,0.25,0.79,-0.26
-0.07,1.14,-0.38,0.24,0.74,-0.19
-0.62,1.23,0.11,0.26,0.77,-0.24
-0.43,0.82,0.08,0.23,0.77,-0.24
-0.07,0.71,-0.10,0.29,0.91,-0.32
0.01,0.70,-0.10,0.30,1.02,-0.35
-0.04,0.66,-0.01,0.58,1.62,-0.25
-0.06,0.67,-0.02,0.44,1.55,-0.05
-0.04,0.83,-0.15,0.29,1.05,-0.22
-0.00,1.09,-0.23,0.27,1.05,-0.23
0.02,1.13,-0.24,0.26,1.07,-0.24
-0.17,0.80,-0.27,0.26,0.75,-0.20
-0.13,0.90,-0.30,0.32,0.92,-0.30
-0.12,1.19,-0.35,0.34,1.17,-0.37
-0.48,1.20,-0.03,0.73,1.23,-0.09
-0.13,1.33,-0.22,0.30,1.28,-0.23
-0.01,0.67,0.01,0.34,0.71,-0.11
-0.00,0.73,-0.13,0.32,0.75,-0.16
0.02,0.77,-0.17,0.30,0.74,-0.14
0.05,0.93,-0.23,0.29,0.72,-0.14
-0.43,1.61,-0.32,0.30,0.74,-0.16
-0.47,1.74,0.11,0.30,0.77,-0.21
-0.49,1.26,-0.15,0.26,0.79,-0.23
-0.09,0.77,-0.15,0.26,0.81,-0.23
0.03,0.70,-0.07,0.23,0.96,-0.27
-0.01,0.65,0.02,0.68,1.69,0.02
-0.11,0.72,-0.08,0.53,1.31,-0.26
0.11,0.95,-0.28,0.01,1.23,-0.22
0.20,1.00,-0.28,-0.09,1.22,-0.17
0.21,1.00,-0.29,-0.09,1.23,-0.17
-0.20,0.90,-0.17,0.37,1.17,-0.37
-0.23,0.97,-0.20,0.42,1.17,-0.29
-0.09,0.95,-0.19,0.27,1.02,-0.25
-0.04,0.93,-0.19,0.26,0.97,-0.25
-0.03,1.05,-0.23,0.24,1.05,-0.25
-0.11,0.71,-0.13,0.29,0.68,-0.12
-0.08,0.73,-0.16,0.29,0.71,-0.16
-0.04,0.70,-0.09,0.30,0.73,-0.18
-0.06,0.68,-0.02,0.29,0.86,-0.25
-0.05,0.68,-0.00,0.25,1.01,-0.28
-0.05,0.68,-0.00,0.27,0.76,-0.25
-0.03,0.68,-0.01,0.21,0.96,-0.34
-0.02,0.68,-0.01,0.23,1.01,-0.34
-0.01,0.68,-0.01,0.35,1.16,-0.37
-0.03,0.68,-0.02,0.56,1.23,-0.22
-0.05,0.75,-0.14,0.36,0.85,-0.26
-0.01,0.88,-0.30,0.27,0.89,-0.32
-0.17,1.33,-0.42,0.37,1.35,-0.43
-0.34,1.52,-0.16,0.55,1.58,-0.15
-0.05,1.18,-0.24,0.32,0.69,-0.11
-0.11,0.90,-0.33,0.42,0.66,-0.03
-0.08,0.67,0.07,0.40,0.67,-0.06
-0.01,1.00,-0.27,0.34,0.68,-0.08
-0.42,1.13,0.16,0.37,0.69,-0.09
-0.32,0.89,-0.02,0.35,0.70,-0.13
-0.15,1.10,-0.20,0.33,1.06,-0.24
-0.08,1.23,-0.23,0.27,1.16,-0.24
-0.07,0.69,-0.04,0.27,0.69,-0.12
-0.06,0.79,-0.21,0.30,0.71,-0.18
-0.08,0.99,-0.29,0.30,0.68,-0.09
-0.41,0.91,0.06,0.28,0.70,-0.15
-0.17,0.71,-0.05,0.18,0.84,-0.27
-0.24,0.76,-0.08,0.70,0.95,-0.22
-0.12,0.81,-0.21,0.46,0.83,-0.18
-0.24,0.87,-0.19,0.20,0.80,-0.28
-0.14,0.88,-0.14,0.25,0.84,-0.26
-0.49,1.76,-0.08,0.62,1.79,-0.16
-0.28,1.62,-0.02,0.44,1.61,0.01
-0.19,0.94,-0.02,0.26,1.38,-0.13
-0.29,1.16,0.09,0.22,0.60,-0.17
-0.13,1.42,-0.00,0.63,0.74,0.07
-0.19,0.65,0.05,0.55,0.94,-0.12
-0.29,0.73,0.05,0.25,0.80,-0.20
