y,y2
0.69,1.00
0.69,0.99
0.70,0.99
0.69,0.99
0.69,0.97
0.74,0.94
0.71,0.87
0.70,0.77
0.75,0.78
1.00,0.95
1.16,1.11
1.25,1.20
1.27,1.24
0.92,0.92
0.69,0.79
0.67,0.83
0.68,0.82
0.68,0.85
0.68,1.08
0.69,0.71
0.80,0.72
0.88,0.73
0.68,0.74
0.70,0.72
0.69,0.72
0.70,0.71
0.70,0.70
0.69,0.70
0.69,0.69
0.69,0.70
0.78,0.74
1.07,0.97
1.17,1.09
1.24,1.16
1.33,1.26
0.86,0.83
0.71,0.75
0.81,0.85
1.20,1.12
1.29,1.21
0.70,0.73
0.71,0.75
0.76,0.77
0.87,0.78
0.86,0.77
0.83,0.77
0.89,0.77
0.88,0.79
1.14,0.74
1.23,0.77
0.82,0.77
0.71,0.91
0.70,1.02
0.66,1.62
0.67,1.55
0.83,1.05
1.09,1.05
1.13,1.07
0.80,0.75
0.90,0.92
1.19,1.17
1.20,1.23
1.33,1.28
0.67,0.71
0.73,0.75
0.77,0.74
0.93,0.72
1.61,0.74
1.74,0.77
1.26,0.79
0.77,0.81
0.70,0.96
0.65,1.69
0.72,1.31
0.95,1.23
1.00,1.22
1.00,1.23
0.90,1.17
0.97,1.17
0.95,1.02
0.93,0.97
1.05,1.05
0.71,0.68
0.73,0.71
0.70,0.73
0.68,0.86
0.68,1.01
0.68,0.76
0.68,0.96
0.68,1.01
0.68,1.16
0.68,1.23
0.75,0.85
0.88,0.89
1.33,1.35
1.52,1.58
1.18,0.69
0.90,0.66
0.67,0.67
1.00,0.68
1.13,0.69
0.89,0.70
1.10,1.06
1.23,1.16
0.69,0.69
0.79,0.71
0.99,0.68
0.91,0.70
0.71,0.84
0.76,0.95
0.81,0.83
0.87,0.80
0.88,0.84
1.76,1.79
1.62,1.61
0.94,1.38
1.16,0.60
1.42,0.74
0.65,0.94
0.73,0.80
0.70,0.71
1.33,1.37
0.80,0.83
0.71,0.75
0.75,0.80
0.98,1.00
1.19,1.13
0.69,0.68
0.74,0.69
0.70,0.71
1.25,1.38
1.52,1.51
1.50,1.47
0.73,0.70
0.91,0.98
1.15,1.18
1.18,1.26
1.10,1.20
0.88,1.09
0.81,0.93
1.21,1.24
1.70,1.75
1.43,1.41
1.23,1.23
1.22,1.18
0.74,0.70
0.66,0.73
0.66,1.02
0.67,1.17
0.68,0.67
1.04,0.68
1.40,0.70
0.65,0.74
0.71,0.74
1.16,1.11
1.26,1.21
0.64,0.65
0.66,0.69
1.42,1.47
1.34,1.34
0.69,0.90
0.67,1.04
0.70,1.26
0.70,1.28
0.74,1.06
1.07,0.74
1.27,0.76
1.33,0.84
0.92,0.89
0.71,1.03
0.68,1.18
0.69,0.68
0.82,0.69
1.20,0.68
0.92,0.71
0.94,0.92
1.05,1.11
1.07,0.75
1.12,0.92
0.66,0.96
0.76,1.01
1.14,1.10
1.08,1.04
0.70,0.70
1.01,0.98
1.05,1.05
1.07,1.10
1.06,1.14
1.30,1.32
1.58,1.61
1.16,1.17
0.99,0.97
0.95,0.94
0.95,0.95
0.94,0.95
0.95,0.96
0.98,1.01
1.15,1.17
1.25,1.31
0.88,0.96
0.93,0.92
1.38,0.99
0.98,0.90
0.99,1.41
1.06,1.14
1.14,1.16
1.00,0.92
1.15,1.19
1.21,1.27
1.07,1.02
1.06,1.01
1.11,1.06
1.25,1.21
0.80,0.81
1.21,1.23
1.37,1.34
0.75,0.72
0.73,0.77
0.96,0.77
1.05,0.79
1.03,1.02
1.07,1.02
1.19,1.15
1.26,1.29
1.19,1.15
1.29,1.24
0.86,0.78
0.73,0.75
0.80,0.86
0.81,0.85
1.28,1.28
1.24,1.19
1.24,1.20
0.69,0.72
0.77,0.80
0.72,1.30
0.65,1.16
0.97,1.20
1.08,1.08
1.10,1.10
1.21,1.23
1.15,1.15
1.33,1.21
0.96,0.78
0.69,0.83
1.04,1.12
1.29,1.20
0.77,0.73
0.78,0.87
0.79,0.86
0.71,0.78
1.36,1.32
1.37,1.27
1.03,0.92
0.67,0.69
0.66,0.70
1.44,1.42
1.23,1.15
1.21,1.21
1.21,1.14
1.21,0.90
1.55,0.97
1.29,1.14
1.20,1.52
1.18,1.42
1.07,1.05
1.04,1.04
1.17,1.15
1.28,1.25
1.27,1.22
1.16,1.11
1.17,1.06
0.75,0.76
0.80,0.80
0.86,0.90
1.41,1.38
1.39,1.33
0.70,0.71
1.14,1.12
1.55,1.55
1.28,1.33
1.05,1.21
1.08,0.68
1.06,0.72
0.96,0.76
1.08,0.74
0.76,0.75
0.74,0.77
0.77,0.75
0.80,0.76
1.14,1.17
1.28,1.27
1.33,1.34
1.16,1.16
1.16,1.12
0.99,0.90
0.74,0.71
0.76,0.74
0.80,0.80
0.80,0.86
1.36,1.33
1.26,1.20
1.17,1.15
1.16,1.16
1.37,1.38
1.62,1.63
1.29,1.29
1.23,1.16
0.73,0.73
0.81,0.81
1.39,1.49
1.43,1.39
0.66,0.70
0.99,1.06
1.17,1.13
1.20,1.16
0.89,0.79
0.74,0.77
1.03,1.07
1.04,1.09
1.06,1.12
0.86,0.92
0.81,0.86
0.83,0.89
0.83,0.88
0.82,0.88
0.88,0.94
1.13,1.15
1.75,1.74
1.77,1.76
