x,y,z,x2,y2,z2
-0.32,1.04,0.12,0.09,1.10,0.03
-0.31,1.02,0.12,0.10,1.08,0.04
-0.23,0.93,0.14,0.12,0.99,0.07
-0.17,0.79,0.35,0.26,0.78,0.30
-0.10,0.79,0.35,0.40,0.75,0.39
-0.14,1.01,0.16,0.27,0.92,0.13
-0.13,1.69,0.31,0.24,1.70,0.23
-0.18,1.74,0.37,0.14,1.74,0.35
-0.20,1.74,0.36,0.10,1.73,0.35
-0.28,1.62,0.03,0.16,1.59,0.04
-0.18,1.41,-0.02,0.18,1.25,-0.09
-0.26,1.30,-0.13,0.12,1.34,-0.05
-0.29,1.27,-0.11,0.07,1.24,-0.07
-0.27,1.25,-0.08,0.17,1.22,-0.12
-0.27,1.16,-0.05,0.13,1.18,-0.10
-0.41,1.34,-0.07,0.30,1.32,-0.11
-0.80,1.18,0.29,0.79,1.19,0.36
-0.34,0.77,0.33,0.28,0.79,0.31
-0.23,0.86,0.17,0.12,0.95,0.06
-0.22,0.86,0.19,0.16,0.87,0.14
-0.15,0.80,0.28,0.19,0.78,0.29
-0.19,0.81,0.23,0.17,1.03,0.01
-0.16,0.79,0.26,0.16,1.61,0.07
-0.18,0.85,0.19,0.22,0.80,0.13
-0.25,1.74,0.08,0.19,0.80,0.22
-0.21,1.30,-0.08,0.18,0.83,0.17
-0.13,0.76,0.22,0.20,0.83,0.19
-0.16,0.80,0.18,0.18,0.81,0.19
-0.13,0.81,0.21,0.22,0.82,0.19
-0.16,0.78,0.31,0.34,0.76,0.26
-0.24,0.76,0.17,0.27,0.77,0.14
-0.28,0.84,-0.12,0.16,0.83,-0.07
-0.27,0.82,-0.16,0.19,0.78,-0.11
-0.19,0.78,-0.13,0.20,0.79,-0.19
-0.15,0.80,-0.21,0.20,0.82,-0.29
-0.17,0.80,-0.24,0.14,0.79,-0.23
-0.18,0.78,-0.17,0.17,0.79,-0.21
-0.26,1.07,-0.36,0.23,1.08,-0.45
-0.42,1.55,-0.43,0.31,1.58,-0.49
-0.58,0.96,-0.30,0.56,0.97,-0.39
-0.16,0.79,0.31,0.27,0.81,0.30
-0.37,0.88,-0.32,0.31,0.82,-0.29
-0.24,1.74,-0.40,0.15,1.75,-0.43
-0.19,1.65,-0.40,0.15,1.69,-0.41
-0.23,0.76,-0.23,0.20,0.76,-0.22
-0.34,0.85,0.33,0.38,0.84,0.29
-0.22,0.83,-0.29,0.18,0.81,-0.28
-0.14,1.11,-0.53,0.09,1.13,-0.53
-0.28,0.74,-0.04,0.29,0.75,-0.08
-0.29,0.77,0.19,0.33,0.78,0.15
-0.21,0.89,-0.36,0.20,0.88,-0.34
-0.01,1.11,-0.45,0.21,0.84,-0.29
0.02,1.20,-0.42,0.24,0.76,-0.03
-0.95,1.39,-0.10,0.16,0.83,-0.25
-0.74,1.01,0.30,0.11,0.84,-0.32
-0.28,0.74,-0.03,0.09,0.80,-0.23
-0.44,0.81,-0.09,0.09,0.85,-0.17
-0.31,0.77,-0.13,0.62,1.67,-0.56
-0.23,0.77,-0.19,0.55,2.06,0.08
-0.35,0.87,-0.31,0.46,2.05,-0.08
-0.35,1.91,-0.22,0.31,2.07,-0.08
-0.26,1.96,-0.15,0.22,2.00,-0.10
-0.22,1.06,-0.52,0.23,1.07,-0.53
-0.22,0.94,-0.40,0.16,0.92,-0.37
-0.23,1.40,-0.48,0.14,1.28,-0.51
-0.83,1.46,-0.16,0.84,1.46,-0.27
-0.26,1.72,-0.31,0.24,1.72,-0.33
-0.13,0.75,-0.13,0.20,0.77,-0.13
-0.10,0.81,-0.24,0.15,0.84,-0.28
-0.08,0.82,-0.22,0.17,0.80,-0.19
-0.16,1.02,-0.32,0.20,0.76,-0.07
-0.65,1.88,-0.51,0.10,0.81,-0.19
-0.47,1.95,-0.01,0.10,0.84,-0.29
-0.55,1.79,-0.25,0.14,0.84,-0.31
-0.39,0.87,-0.31,0.14,0.85,-0.26
-0.24,0.75,-0.07,0.22,1.01,-0.35
-0.29,0.81,-0.17,0.70,2.03,-0.08
-0.27,0.80,-0.20,0.45,2.06,-0.03
-0.16,0.87,-0.31,0.31,1.61,-0.49
0.25,1.08,-0.22,-0.28,1.32,-0.22
0.29,1.13,-0.20,-0.30,1.35,-0.18
-0.51,1.01,-0.42,0.51,1.33,-0.57
-0.74,1.09,0.26,0.79,1.10,0.17
-0.60,0.93,-0.15,0.64,0.99,-0.22
-0.42,1.83,-0.30,0.35,1.85,-0.34
-0.24,1.76,-0.28,0.21,1.76,-0.33
-0.12,0.76,-0.21,0.17,0.78,-0.22
-0.15,0.80,-0.30,0.18,0.81,-0.31
-0.13,0.78,-0.24,0.19,0.81,-0.28
-0.14,0.77,-0.24,0.14,1.55,-0.47
-0.17,0.80,-0.25,0.23,1.38,-0.53
-0.21,0.81,-0.23,0.20,0.72,-0.16
-0.21,0.81,-0.22,0.05,0.88,-0.36
-0.22,0.80,-0.20,-0.24,1.22,-0.29
-0.17,0.80,-0.24,0.26,1.32,-0.60
-0.14,0.81,-0.31,0.90,1.21,0.15
-0.18,0.80,-0.25,0.48,0.82,-0.02
-0.25,0.82,-0.17,0.12,0.85,-0.19
-0.37,0.98,-0.32,0.29,0.98,-0.37
-0.61,2.00,0.14,0.67,2.01,0.15
-0.40,2.07,0.02,0.42,2.10,-0.02
-0.25,1.47,-0.54,0.29,1.62,-0.41
-0.15,0.79,-0.28,0.30,0.77,-0.11
0.04,1.15,-0.38,0.26,0.80,-0.14
-0.90,1.34,0.03,0.15,0.85,-0.29
-0.65,0.95,0.21,0.16,0.83,-0.30
-0.43,1.43,-0.51,0.24,1.47,-0.57
-0.20,1.82,-0.20,0.14,1.81,-0.20
-0.15,0.75,-0.19,0.21,0.77,-0.20
-0.11,0.83,-0.29,0.16,0.83,-0.29
-0.06,1.16,-0.41,0.11,0.87,-0.32
-0.74,0.97,-0.00,0.11,0.86,-0.27
-0.57,0.85,-0.04,-0.11,1.24,-0.38
-0.53,0.90,-0.24,0.68,1.15,-0.40
-0.48,0.84,-0.18,0.67,0.95,0.20
-0.30,0.79,-0.15,0.16,0.85,-0.22
-0.22,0.80,-0.17,0.13,0.84,-0.20
-0.72,1.68,-0.36,0.71,1.73,-0.43
-0.48,1.98,0.07,0.53,2.00,0.09
-0.34,1.91,-0.12,0.27,1.91,-0.17
-0.31,1.85,-0.21,0.18,0.88,-0.42
-0.27,1.84,-0.26,0.22,0.79,-0.22
-0.12,0.76,-0.22,0.21,0.88,-0.34
-0.16,0.76,-0.20,0.15,0.78,-0.19
-0.16,0.78,-0.24,0.15,0.79,-0.25
-0.15,1.57,-0.38,0.16,1.61,-0.36
-0.15,1.69,-0.23,0.16,1.73,-0.22
-0.15,1.69,-0.24,0.16,1.73,-0.22
-0.16,1.72,-0.23,0.15,1.73,-0.21
-0.17,1.71,-0.25,0.14,1.73,-0.23
-0.15,1.39,-0.45,0.13,1.40,-0.47
-0.13,0.81,-0.26,0.14,0.81,-0.26
-0.13,0.83,-0.31,0.16,0.83,-0.29
-0.10,0.83,-0.31,0.16,0.85,-0.34
-0.15,1.14,-0.45,0.16,1.17,-0.48
-0.14,1.24,-0.44,0.13,1.26,-0.46
-0.14,1.34,-0.43,0.12,1.36,-0.44
-0.12,0.89,-0.40,0.15,0.94,-0.45
-0.20,1.04,-0.49,0.13,1.07,-0.50
-0.28,1.31,-0.49,0.19,1.31,-0.52
-0.73,1.33,-0.32,0.75,1.35,-0.38
-0.66,1.28,-0.37,0.70,1.29,-0.39
-0.41,1.26,-0.49,0.36,1.22,-0.52
-0.38,1.34,-0.50,0.31,1.30,-0.55
-0.50,1.52,-0.52,0.47,1.51,-0.59
-0.65,1.86,-0.13,0.73,1.88,-0.19
-0.50,1.86,-0.20,0.50,1.92,-0.22
-0.38,1.89,-0.20,0.31,1.91,-0.24
-0.29,1.77,-0.34,0.23,1.79,-0.36
-0.16,1.06,-0.49,0.17,1.04,-0.50
-0.16,0.92,-0.38,0.18,0.98,-0.44
-0.15,0.94,-0.38,0.26,1.50,-0.54
-0.12,0.91,-0.34,0.40,1.48,-0.57
-0.13,0.95,-0.38,0.44,0.81,-0.33
-0.31,1.47,-0.46,0.31,0.81,-0.29
-0.47,1.30,-0.51,0.22,0.85,-0.32
-0.46,0.85,-0.34,0.20,0.85,-0.30
-0.33,1.08,-0.42,0.15,1.10,-0.46
-0.25,1.57,-0.42,0.12,1.58,-0.45
-0.20,1.39,-0.49,0.14,1.41,-0.52
-0.17,0.85,-0.34,0.18,0.85,-0.35
-0.17,0.85,-0.33,0.17,0.82,-0.31
-0.19,1.16,-0.48,0.19,1.16,-0.51
-0.16,1.29,-0.46,0.16,1.30,-0.50
-0.20,1.05,-0.43,0.11,1.22,-0.52
-0.24,0.91,-0.32,0.14,1.29,-0.56
-0.18,0.93,-0.35,0.72,1.38,-0.44
-0.15,0.94,-0.38,0.72,1.26,-0.35
-0.12,1.09,-0.45,0.37,0.99,-0.39
-0.14,1.25,-0.49,0.12,0.85,-0.24
-0.32,1.29,-0.54,0.13,0.86,-0.28
-0.70,1.38,-0.42,0.13,0.86,-0.30
-0.59,1.16,-0.40,0.14,0.86,-0.34
-0.29,0.80,-0.24,0.10,1.15,-0.49
-0.30,0.85,-0.28,0.24,1.34,-0.59
-0.26,0.85,-0.30,0.63,0.94,-0.29
-0.18,0.93,-0.40,0.50,0.87,-0.27
-0.19,1.42,-0.55,0.28,0.87,-0.35
-0.51,1.18,-0.52,0.22,0.87,-0.34
-0.57,0.85,-0.24,0.16,0.90,-0.38
-0.47,0.84,-0.27,0.10,1.51,-0.46
-0.43,1.04,-0.42,0.19,0.76,-0.16
-0.28,1.61,-0.43,0.15,0.85,-0.32
-0.19,0.88,-0.42,0.17,0.85,-0.32
-0.19,0.82,-0.31,0.18,0.85,-0.32
-0.18,1.44,-0.48,0.13,1.45,-0.48
-0.17,1.22,-0.53,0.15,1.24,-0.55
-0.15,0.77,-0.24,0.15,0.79,-0.26
-0.18,0.82,-0.32,0.17,0.82,-0.31
-0.15,0.80,-0.28,0.16,0.80,-0.27
-0.16,0.81,-0.28,0.17,0.81,-0.28
-0.25,1.15,-0.52,0.21,1.19,-0.56
-0.43,1.49,-0.53,0.40,1.51,-0.58
-0.60,1.80,-0.06,0.71,1.82,-0.10
-0.48,1.80,-0.20,0.45,1.86,-0.22
-0.37,1.57,-0.40,0.26,1.58,-0.45
-0.23,0.90,-0.35,0.21,0.89,-0.38
-0.31,0.78,-0.06,0.29,0.76,0.01
-0.26,0.80,-0.18,0.24,0.80,-0.19
-0.18,0.86,-0.28,0.14,0.92,-0.35
-0.27,1.15,-0.49,0.15,1.22,-0.54
-0.47,1.36,-0.52,0.39,1.39,-0.61
-0.77,1.22,-0.30,0.80,1.26,-0.34
-0.65,1.46,-0.43,0.65,1.50,-0.47
-0.57,1.21,-0.45,0.40,1.61,-0.47
-0.57,1.60,-0.31,0.41,1.45,-0.52
-0.53,1.50,-0.34,0.52,1.15,-0.50
-0.50,1.34,-0.39,0.65,1.72,-0.35
-0.43,1.54,-0.42,0.42,1.78,-0.33
-0.30,1.63,-0.44,0.27,1.71,-0.43
-0.20,1.05,-0.52,0.21,1.07,-0.56
-0.34,1.25,-0.52,0.32,1.24,-0.57
-0.79,1.34,-0.10,0.84,1.37,-0.20
-0.64,1.45,-0.35,0.59,1.52,-0.46
-0.33,1.70,-0.36,0.26,1.71,-0.41
-0.24,1.65,-0.40,0.20,1.66,-0.43
-0.19,1.38,-0.52,0.17,1.43,-0.53
-0.22,0.92,-0.38,0.18,0.95,-0.42
-0.77,1.38,-0.17,0.79,1.34,-0.26
-0.60,1.67,-0.19,0.57,1.72,-0.26
-0.20,1.08,-0.49,0.19,1.07,-0.50
-0.13,0.85,-0.31,0.18,0.83,-0.31
-0.11,1.14,-0.48,0.17,0.85,-0.32
-0.64,1.01,-0.32,0.09,0.92,-0.36
-0.56,0.93,-0.24,0.51,1.13,-0.50
-0.37,0.95,-0.38,0.57,0.94,-0.26
-0.35,1.28,-0.51,0.32,1.28,-0.55
-0.74,1.36,-0.28,0.80,1.33,-0.26
-0.50,1.59,-0.41,0.49,1.61,-0.45
-0.50,1.52,-0.42,0.45,1.57,-0.49
-0.52,0.96,-0.33,0.52,0.99,-0.42
-0.44,0.80,-0.12,0.43,0.80,-0.13
-0.47,0.87,-0.24,0.46,0.87,-0.28
-0.53,0.98,-0.32,0.56,0.99,-0.40
-0.57,1.39,-0.37,0.58,1.43,-0.47
-0.44,1.55,-0.36,0.40,1.57,-0.43
-0.27,1.24,-0.52,0.24,1.24,-0.54
-0.13,0.83,-0.32,0.17,0.82,-0.31
-0.16,0.84,-0.33,0.19,0.85,-0.38
-0.14,0.84,-0.33,0.22,1.19,-0.57
-0.12,0.87,-0.38,0.19,1.43,-0.50
-0.18,1.12,-0.55,0.18,1.39,-0.48
-0.20,1.37,-0.56,0.16,1.35,-0.51
-0.34,1.35,-0.57,0.34,1.34,-0.57
-0.69,1.35,-0.35,0.76,1.36,-0.31
-0.52,1.47,-0.44,0.49,1.57,-0.44
-0.46,1.47,-0.45,0.50,1.22,-0.53
-0.49,1.32,-0.48,0.40,0.84,-0.27
-0.41,0.81,-0.27,0.34,0.87,-0.33
-0.38,0.91,-0.34,0.29,0.95,-0.41
-0.28,1.38,-0.48,0.19,1.38,-0.50
-0.17,0.97,-0.47,0.18,0.96,-0.48
-0.16,0.82,-0.31,0.17,0.83,-0.33
-0.15,0.84,-0.35,0.16,0.84,-0.34
-0.15,0.92,-0.44,0.15,0.93,-0.46
-0.19,1.43,-0.49,0.15,1.45,-0.50
-0.17,1.51,-0.43,0.11,1.53,-0.42
-0.16,1.29,-0.52,0.12,1.32,-0.52
-0.15,0.86,-0.38,0.18,0.88,-0.41
-0.17,0.89,-0.43,0.18,0.91,-0.45
-0.22,1.20,-0.54,0.22,1.19,-0.57
-0.25,1.31,-0.54,0.19,1.32,-0.58
-0.58,1.32,-0.48,0.57,1.32,-0.54
-0.53,1.32,-0.50,0.62,1.26,-0.46
-0.38,1.42,-0.59,0.33,1.21,-0.52
-0.70,1.83,-0.51,0.24,1.18,-0.49
-0.64,1.57,-0.45,0.21,1.22,-0.52
-0.42,1.06,-0.39,0.64,1.61,-0.57
-0.32,1.08,-0.40,0.79,1.80,-0.25
-0.23,1.11,-0.45,0.65,1.51,-0.42
-0.20,1.11,-0.46,0.33,1.12,-0.50
-0.26,1.24,-0.52,0.22,1.26,-0.56
-0.59,1.33,-0.51,0.62,1.34,-0.50
-0.67,1.36,-0.34,0.76,1.38,-0.28
-0.37,1.31,-0.49,0.41,1.32,-0.53
-0.21,1.31,-0.52,0.19,1.30,-0.55
-0.15,0.76,-0.20,0.16,0.77,-0.20
-0.15,0.82,-0.29,0.17,0.82,-0.31
-0.15,0.93,-0.42,0.16,0.93,-0.45
-0.17,1.27,-0.50,0.15,1.30,-0.53
-0.18,1.28,-0.50,0.13,1.30,-0.51
-0.19,0.94,-0.43,0.18,0.97,-0.47
-0.33,1.21,-0.52,0.30,1.24,-0.57
-0.68,1.83,-0.36,0.75,1.82,-0.41
-0.49,1.99,0.00,0.60,1.98,0.02
-0.27,1.89,-0.20,0.28,1.87,-0.29
-0.24,1.80,-0.30,0.20,0.94,-0.44
-0.23,1.81,-0.31,0.20,0.82,-0.28
-0.21,1.79,-0.35,0.21,0.85,-0.31
-0.20,1.73,-0.39,0.22,0.85,-0.32
-0.19,0.95,-0.45,0.22,0.88,-0.33
-0.19,0.86,-0.32,0.24,0.87,-0.31
-0.18,0.86,-0.30,0.22,0.85,-0.30
-0.20,0.81,-0.27,0.21,0.86,-0.32
-0.17,0.91,-0.36,0.18,0.93,-0.38
