y,y2
1.04,1.10
1.02,1.08
0.93,0.99
0.79,0.78
0.79,0.75
1.01,0.92
1.69,1.70
1.74,1.74
1.74,1.73
1.62,1.59
1.41,1.25
1.30,1.34
1.27,1.24
1.25,1.22
1.16,1.18
1.34,1.32
1.18,1.19
0.77,0.79
0.86,0.95
0.86,0.87
0.80,0.78
0.81,1.03
0.79,1.61
0.85,0.80
1.74,0.80
1.30,0.83
0.76,0.83
0.80,0.81
0.81,0.82
0.78,0.76
0.76,0.77
0.84,0.83
0.82,0.78
0.78,0.79
0.80,0.82
0.80,0.79
0.78,0.79
1.07,1.08
1.55,1.58
0.96,0.97
0.79,0.81
0.88,0.82
1.74,1.75
1.65,1.69
0.76,0.76
0.85,0.84
0.83,0.81
1.11,1.13
0.74,0.75
0.77,0.78
0.89,0.88
1.11,0.84
1.20,0.76
1.39,0.83
1.01,0.84
0.74,0.80
0.81,0.85
0.77,1.67
0.77,2.06
0.87,2.05
1.91,2.07
1.96,2.00
1.06,1.07
0.94,0.92
1.40,1.28
1.46,1.46
1.72,1.72
0.75,0.77
0.81,0.84
0.82,0.80
1.02,0.76
1.88,0.81
1.95,0.84
1.79,0.84
0.87,0.85
0.75,1.01
0.81,2.03
0.80,2.06
0.87,1.61
1.08,1.32
1.13,1.35
1.01,1.33
1.09,1.10
0.93,0.99
1.83,1.85
1.76,1.76
0.76,0.78
0.80,0.81
0.78,0.81
0.77,1.55
0.80,1.38
0.81,0.72
0.81,0.88
0.80,1.22
0.80,1.32
0.81,1.21
0.80,0.82
0.82,0.85
0.98,0.98
2.00,2.01
2.07,2.10
1.47,1.62
0.79,0.77
1.15,0.80
1.34,0.85
0.95,0.83
1.43,1.47
1.82,1.81
0.75,0.77
0.83,0.83
1.16,0.87
0.97,0.86
0.85,1.24
0.90,1.15
0.84,0.95
0.79,0.85
0.80,0.84
1.68,1.73
1.98,2.00
1.91,1.91
1.85,0.88
1.84,0.79
0.76,0.88
0.76,0.78
0.78,0.79
1.57,1.61
1.69,1.73
1.69,1.73
1.72,1.73
1.71,1.73
1.39,1.40
0.81,0.81
0.83,0.83
0.83,0.85
1.14,1.17
1.24,1.26
1.34,1.36
0.89,0.94
1.04,1.07
1.31,1.31
1.33,1.35
1.28,1.29
1.26,1.22
1.34,1.30
1.52,1.51
1.86,1.88
1.86,1.92
1.89,1.91
1.77,1.79
1.06,1.04
0.92,0.98
0.94,1.50
0.91,1.48
0.95,0.81
1.47,0.81
1.30,0.85
0.85,0.85
1.08,1.10
1.57,1.58
1.39,1.41
0.85,0.85
0.85,0.82
1.16,1.16
1.29,1.30
1.05,1.22
0.91,1.29
0.93,1.38
0.94,1.26
1.09,0.99
1.25,0.85
1.29,0.86
1.38,0.86
1.16,0.86
0.80,1.15
0.85,1.34
0.85,0.94
0.93,0.87
1.42,0.87
1.18,0.87
0.85,0.90
0.84,1.51
1.04,0.76
1.61,0.85
0.88,0.85
0.82,0.85
1.44,1.45
1.22,1.24
0.77,0.79
0.82,0.82
0.80,0.80
0.81,0.81
1.15,1.19
1.49,1.51
1.80,1.82
1.80,1.86
1.57,1.58
0.90,0.89
0.78,0.76
0.80,0.80
0.86,0.92
1.15,1.22
1.36,1.39
1.22,1.26
1.46,1.50
1.21,1.61
1.60,1.45
1.50,1.15
1.34,1.72
1.54,1.78
1.63,1.71
1.05,1.07
1.25,1.24
1.34,1.37
1.45,1.52
1.70,1.71
1.65,1.66
1.38,1.43
0.92,0.95
1.38,1.34
1.67,1.72
1.08,1.07
0.85,0.83
1.14,0.85
1.01,0.92
0.93,1.13
0.95,0.94
1.28,1.28
1.36,1.33
1.59,1.61
1.52,1.57
0.96,0.99
0.80,0.80
0.87,0.87
0.98,0.99
1.39,1.43
1.55,1.57
1.24,1.24
0.83,0.82
0.84,0.85
0.84,1.19
0.87,1.43
1.12,1.39
1.37,1.35
1.35,1.34
1.35,1.36
1.47,1.57
1.47,1.22
1.32,0.84
0.81,0.87
0.91,0.95
1.38,1.38
0.97,0.96
0.82,0.83
0.84,0.84
0.92,0.93
1.43,1.45
1.51,1.53
1.29,1.32
0.86,0.88
0.89,0.91
1.20,1.19
1.31,1.32
1.32,1.32
1.32,1.26
1.42,1.21
1.83,1.18
1.57,1.22
1.06,1.61
1.08,1.80
1.11,1.51
1.11,1.12
1.24,1.26
1.33,1.34
1.36,1.38
1.31,1.32
1.31,1.30
0.76,0.77
0.82,0.82
0.93,0.93
1.27,1.30
1.28,1.30
0.94,0.97
1.21,1.24
1.83,1.82
1.99,1.98
1.89,1.87
1.80,0.94
1.81,0.82
1.79,0.85
1.73,0.85
0.95,0.88
0.86,0.87
0.86,0.85
0.81,0.86
0.91,0.93
1.29,1.30
1.34,1.38
1.58,1.65
1.67,1.66
1.21,1.20
0.77,0.78
0.80,0.80
0.80,0.82
0.90,0.90
1.22,1.22
1.20,1.21
1.20,1.20
1.27,1.30
1.39,1.43
1.86,1.86
1.87,1.91
1.46,1.49
0.84,0.85
0.89,0.91
1.35,1.43
1.59,1.63
0.80,0.81
0.80,0.80
1.00,0.99
1.41,1.45
1.19,1.20
0.80,0.82
0.82,0.84
0.82,0.84
0.82,0.83
0.81,0.86
0.81,0.86
0.79,0.83
0.81,0.84
0.82,0.84
