x,y,z,x2,y2,z2
-0.05,0.79,-0.06,-0.25,1.22,-0.36
-0.27,1.18,-0.10,-0.22,0.97,-0.37
-0.33,1.32,-0.08,-0.29,1.30,-0.34
-0.29,1.10,-0.08,-0.15,1.56,-0.42
-0.31,1.18,-0.08,-0.27,1.42,-0.39
-0.17,1.54,-0.07,-0.26,1.05,-0.32
-0.15,1.52,-0.08,-0.27,1.14,-0.33
-0.30,1.18,-0.11,-0.12,1.50,-0.39
-0.31,1.15,-0.11,-0.18,1.50,-0.40
-0.14,1.53,-0.07,-0.26,1.13,-0.33
-0.20,1.49,-0.07,-0.25,1.15,-0.34
-0.29,1.23,-0.09,-0.10,1.49,-0.39
-0.29,1.26,-0.09,-0.18,1.47,-0.41
-0.12,1.50,-0.08,-0.25,1.12,-0.36
-0.23,1.44,-0.09,-0.25,1.26,-0.30
-0.29,1.19,-0.08,-0.12,1.50,-0.36
-0.32,1.22,-0.08,-0.19,1.50,-0.37
-0.15,1.50,-0.09,-0.26,1.17,-0.30
-0.25,1.43,-0.09,-0.28,1.19,-0.30
-0.30,1.25,-0.11,-0.19,1.46,-0.36
-0.31,1.16,-0.10,-0.20,1.52,-0.39
-0.17,1.49,-0.08,-0.27,1.16,-0.32
-0.26,1.42,-0.08,-0.26,1.24,-0.32
-0.29,1.08,-0.07,-0.06,1.54,-0.38
-0.25,1.37,-0.10,-0.25,1.41,-0.36
-0.13,1.53,-0.06,-0.25,1.08,-0.31
-0.30,1.23,-0.10,-0.15,1.49,-0.36
-0.32,1.12,-0.11,-0.09,1.60,-0.39
-0.17,1.52,-0.08,-0.28,1.22,-0.34
-0.20,1.60,-0.06,-0.30,1.22,-0.34
-0.35,1.16,-0.09,-0.08,1.64,-0.39
-0.21,1.56,-0.10,-0.28,1.50,-0.39
-0.21,1.62,-0.08,-0.30,1.09,-0.32
-0.35,1.20,-0.12,-0.11,1.58,-0.37
-0.32,1.40,-0.12,-0.26,1.50,-0.38
-0.28,1.56,-0.10,-0.31,1.07,-0.32
-0.34,1.06,-0.15,-0.16,1.62,-0.36
-0.29,1.53,-0.08,-0.36,1.28,-0.36
-0.38,1.38,-0.09,-0.34,1.30,-0.34
-0.38,1.06,-0.10,-0.23,1.62,-0.39
-0.24,1.58,-0.08,-0.34,1.17,-0.36
-0.39,1.22,-0.12,-0.26,1.48,-0.38
-0.38,1.26,-0.12,-0.24,1.59,-0.39
-0.23,1.61,-0.04,-0.30,1.15,-0.31
-0.33,1.11,-0.10,-0.17,1.61,-0.36
-0.35,1.42,-0.10,-0.33,1.39,-0.35
-0.32,1.51,-0.07,-0.31,1.13,-0.31
-0.35,1.07,-0.11,-0.18,1.60,-0.39
-0.33,1.42,-0.10,-0.30,1.40,-0.36
-0.33,1.45,-0.08,-0.29,1.12,-0.31
-0.32,1.11,-0.10,-0.18,1.58,-0.36
-0.31,1.40,-0.12,-0.30,1.39,-0.36
-0.24,1.56,-0.07,-0.25,1.07,-0.29
-0.29,1.08,-0.16,-0.11,1.66,-0.37
-0.28,1.49,-0.08,-0.28,1.26,-0.36
-0.35,1.37,-0.11,-0.28,1.17,-0.36
-0.33,1.07,-0.11,-0.17,1.64,-0.42
-0.21,1.63,-0.05,-0.27,1.06,-0.39
-0.26,1.25,-0.43,-0.27,1.53,-0.07
-0.38,1.34,0.20,-0.26,1.60,-0.60
-0.35,1.40,-0.33,-0.20,1.68,-0.08
-0.14,1.82,0.05,-0.04,1.79,-0.55
-0.30,1.43,-0.44,-0.26,1.19,-0.01
-0.30,1.52,0.30,-0.22,1.58,-0.69
-0.31,1.20,-0.39,-0.27,1.60,0.02
-0.33,1.63,0.10,-0.35,1.12,-0.43
-0.34,1.70,0.00,-0.40,1.20,-0.50
-0.42,1.19,-0.21,-0.40,1.56,-0.17
-0.44,1.31,0.19,-0.42,1.48,-0.52
-0.39,1.41,-0.37,-0.28,1.19,0.01
-0.42,1.41,0.22,-0.27,1.33,-0.71
-0.38,1.30,-0.36,-0.37,1.51,-0.12
