velocityDx,velocitySx,velocity,distanza,distanzaDx,distanzaSx,Sesso
0.0,0.0,0.06,0.2,0.0,0.0,0
0.003,0.003,0.06,0.2,0.01,0.01,0
0.012,0.006,0.063,0.21,0.04,0.02,0
0.018,0.006,0.081,0.27,0.06,0.02,0
0.009,0.006,0.078,0.26,0.03,0.02,0
0.012,0.009,0.081,0.27,0.04,0.03,0
0.015,0.012,0.078,0.26,0.05,0.04,0
0.009,0.003,0.084,0.28,0.03,0.01,0
0.045,0.045,0.102,0.34,0.15,0.15,0
0.042,0.045,0.099,0.33,0.14,0.15,0
0.012,0.009,0.105,0.35,0.04,0.03,0
0.126,0.117,0.333,1.11,0.42,0.39,0
0.054,0.051,0.387,1.29,0.18,0.17,0
0.147,0.135,0.15,0.5,0.49,0.45,0
0.03,0.03,0.108,0.36,0.1,0.1,0
0.003,0.006,0.102,0.34,0.01,0.02,0
0.003,0.006,0.102,0.34,0.01,0.02,0
0.111,0.003,0.138,0.46,0.37,0.01,0
0.045,0.003,0.168,0.56,0.15,0.01,0
0.204,0.009,0.141,0.47,0.68,0.03,0
0.009,0.123,0.225,0.75,0.03,0.41,0
0.027,0.171,0.105,0.35,0.09,0.57,0
0.021,0.054,0.09,0.3,0.07,0.18,0
0.003,0.021,0.087,0.29,0.01,0.07,0
0.0,0.006,0.081,0.27,0.0,0.02,0
0.0,0.006,0.087,0.29,0.0,0.02,0
0.0,0.003,0.084,0.28,0.0,0.01,0
0.006,0.003,0.084,0.28,0.02,0.01,0
0.003,0.003,0.09,0.3,0.01,0.01,0
0.003,0.003,0.09,0.3,0.01,0.01,0
0.024,0.021,0.135,0.45,0.08,0.07,0
0.111,0.114,0.171,0.57,0.37,0.38,0
0.051,0.036,0.162,0.54,0.17,0.12,0
0.012,0.009,0.183,0.61,0.04,0.03,0
0.027,0.021,0.216,0.72,0.09,0.07,0
0.123,0.123,0.288,0.96,0.41,0.41,0
0.108,0.078,0.243,0.81,0.36,0.26,0
0.03,0.027,0.219,0.73,0.1,0.09,0
0.132,0.132,0.216,0.72,0.44,0.44,0
0.054,0.039,0.156,0.52,0.18,0.13,0
0.174,0.162,0.111,0.37,0.58,0.54,0
0.006,0.006,0.12,0.4,0.02,0.02,0
0.012,0.006,0.114,0.38,0.04,0.02,0
0.006,0.006,0.126,0.42,0.02,0.02,0
0.006,0.003,0.12,0.4,0.02,0.01,0
0.048,0.051,0.105,0.35,0.16,0.17,0
0.006,0.015,0.105,0.35,0.02,0.05,0
0.009,0.102,0.132,0.44,0.03,0.34,0
0.018,0.072,0.192,0.64,0.06,0.24,0
0.027,0.225,0.336,1.12,0.09,0.75,0
0.012,0.09,0.294,0.98,0.04,0.3,0
0.006,0.048,0.255,0.85,0.02,0.16,0
0.06,0.135,0.183,0.61,0.2,0.45,0
0.3,0.054,0.417,1.39,1.0,0.18,0
0.057,0.012,0.417,1.39,0.19,0.04,0
0.249,0.006,0.249,0.83,0.83,0.02,0
0.039,0.066,0.294,0.98,0.13,0.22,0
0.216,0.186,0.24,0.8,0.72,0.62,0
0.183,0.177,0.138,0.46,0.61,0.59,0
0.09,0.078,0.129,0.43,0.3,0.26,0
0.138,0.117,0.12,0.4,0.46,0.39,0
0.207,0.198,0.462,1.54,0.69,0.66,0
0.153,0.147,0.183,0.61,0.51,0.49,0
0.228,0.225,0.081,0.27,0.76,0.75,0
0.009,0.021,0.111,0.37,0.03,0.07,0
0.015,0.018,0.087,0.29,0.05,0.06,0
0.018,0.105,0.18,0.6,0.06,0.35,0
0.03,0.252,0.387,1.29,0.1,0.84,0
0.012,0.078,0.381,1.27,0.04,0.26,0
0.021,0.279,0.183,0.61,0.07,0.93,0
0.045,0.126,0.138,0.46,0.15,0.42,0
0.186,0.018,0.291,0.97,0.62,0.06,0
0.216,0.006,0.444,1.48,0.72,0.02,0
0.207,0.018,0.261,0.87,0.69,0.06,0
0.204,0.015,0.123,0.41,0.68,0.05,0
0.153,0.081,0.081,0.27,0.51,0.27,0
0.054,0.06,0.117,0.39,0.18,0.2,0
0.21,0.159,0.267,0.89,0.7,0.53,0
0.117,0.099,0.36,1.2,0.39,0.33,0
0.165,0.12,0.129,0.43,0.55,0.4,0
0.156,0.159,0.312,1.04,0.52,0.53,0
0.111,0.099,0.183,0.61,0.37,0.33,0
0.198,0.195,0.114,0.38,0.66,0.65,0
0.063,0.042,0.105,0.35,0.21,0.14,0
0.018,0.012,0.105,0.35,0.06,0.04,0
0.099,0.054,0.231,0.77,0.33,0.18,0
0.063,0.012,0.213,0.71,0.21,0.04,0
0.189,0.003,0.129,0.43,0.63,0.01,0
0.111,0.009,0.126,0.42,0.37,0.03,0
0.063,0.006,0.135,0.45,0.21,0.02,0
0.141,0.006,0.255,0.85,0.47,0.02,0
0.096,0.012,0.27,0.9,0.32,0.04,0
0.171,0.003,0.123,0.41,0.57,0.01,0
0.027,0.03,0.12,0.4,0.09,0.1,0
0.147,0.144,0.255,0.85,0.49,0.48,0
0.282,0.27,0.399,1.33,0.94,0.9,0
0.099,0.09,0.252,0.84,0.33,0.3,0
0.123,0.132,0.15,0.5,0.41,0.44,0
0.252,0.198,0.132,0.44,0.84,0.66,0
0.045,0.096,0.138,0.46,0.15,0.32,0
0.03,0.261,0.303,1.01,0.1,0.87,0
0.099,0.138,0.309,1.03,0.33,0.46,0
0.192,0.177,0.3,1.0,0.64,0.59,0
0.06,0.099,0.165,0.55,0.2,0.33,0
0.237,0.228,0.114,0.38,0.79,0.76,0
0.015,0.081,0.117,0.39,0.05,0.27,0
0.042,0.063,0.123,0.41,0.14,0.21,0
0.03,0.189,0.252,0.84,0.1,0.63,0
0.072,0.12,0.204,0.68,0.24,0.4,0
0.183,0.063,0.333,1.11,0.61,0.21,0
0.108,0.021,0.27,0.9,0.36,0.07,0
0.096,0.027,0.156,0.52,0.32,0.09,0
0.045,0.027,0.129,0.43,0.15,0.09,0
0.279,0.276,0.402,1.34,0.93,0.92,0
0.123,0.102,0.393,1.31,0.41,0.34,0
0.129,0.12,0.198,0.66,0.43,0.4,0
0.243,0.072,0.222,0.74,0.81,0.24,0
0.09,0.012,0.264,0.88,0.3,0.04,0
0.036,0.216,0.117,0.39,0.12,0.72,0
0.033,0.024,0.123,0.41,0.11,0.08,0
0.009,0.018,0.114,0.38,0.03,0.06,0
0.219,0.201,0.102,0.34,0.73,0.67,0
0.033,0.042,0.102,0.34,0.11,0.14,0
0.144,0.114,0.105,0.35,0.48,0.38,0
0.081,0.105,0.144,0.48,0.27,0.35,0
0.156,0.153,0.114,0.38,0.52,0.51,0
0.009,0.012,0.105,0.35,0.03,0.04,0
0.207,0.195,0.111,0.37,0.69,0.65,0
0.012,0.015,0.105,0.35,0.04,0.05,0
0.006,0.006,0.102,0.34,0.02,0.02,0
0.159,0.159,0.12,0.4,0.53,0.53,0
0.093,0.081,0.093,0.31,0.31,0.27,0
0.006,0.003,0.087,0.29,0.02,0.01,0
0.201,0.195,0.105,0.35,0.67,0.65,0
0.027,0.024,0.078,0.26,0.09,0.08,0
0.102,0.081,0.054,0.18,0.34,0.27,0
0.249,0.24,0.492,1.64,0.83,0.8,0
0.09,0.105,0.381,1.27,0.3,0.35,0
0.141,0.138,0.129,0.43,0.47,0.46,0
0.018,0.021,0.126,0.42,0.06,0.07,0
0.204,0.207,0.303,1.01,0.68,0.69,0
0.198,0.189,0.393,1.31,0.66,0.63,0
0.111,0.093,0.198,0.66,0.37,0.31,0
0.042,0.036,0.141,0.47,0.14,0.12,0
0.051,0.051,0.12,0.4,0.17,0.17,0
0.228,0.225,0.114,0.38,0.76,0.75,0
0.117,0.105,0.138,0.46,0.39,0.35,0
0.195,0.009,0.243,0.81,0.65,0.03,0
0.063,0.012,0.294,0.98,0.21,0.04,0
0.243,0.012,0.192,0.64,0.81,0.04,0
0.042,0.207,0.282,0.94,0.14,0.69,0
0.045,0.045,0.27,0.9,0.15,0.15,0
0.018,0.216,0.18,0.6,0.06,0.72,0
0.021,0.033,0.186,0.62,0.07,0.11,0
0.201,0.192,0.147,0.49,0.67,0.64,0
0.003,0.036,0.111,0.37,0.01,0.12,0
0.225,0.213,0.117,0.39,0.75,0.71,0
0.03,0.03,0.108,0.36,0.1,0.1,0
0.171,0.171,0.141,0.47,0.57,0.57,0
0.075,0.072,0.114,0.38,0.25,0.24,0
0.09,0.174,0.135,0.45,0.3,0.58,0
0.021,0.087,0.216,0.72,0.07,0.29,0
0.234,0.06,0.378,1.26,0.78,0.2,0
0.123,0.009,0.276,0.92,0.41,0.03,0
0.165,0.027,0.126,0.42,0.55,0.09,0
0.024,0.039,0.144,0.48,0.08,0.13,0
0.03,0.105,0.135,0.45,0.1,0.35,0
0.006,0.21,0.318,1.06,0.02,0.7,0
0.027,0.123,0.207,0.69,0.09,0.41,0
0.033,0.168,0.147,0.49,0.11,0.56,0
0.132,0.021,0.249,0.83,0.44,0.07,0
0.273,0.015,0.213,0.71,0.91,0.05,0
0.075,0.075,0.189,0.63,0.25,0.25,0
0.087,0.153,0.204,0.68,0.29,0.51,0
0.03,0.141,0.234,0.78,0.1,0.47,0
0.009,0.201,0.174,0.58,0.03,0.67,0
0.171,0.048,0.252,0.84,0.57,0.16,0
0.204,0.096,0.177,0.59,0.68,0.32,0
0.03,0.21,0.273,0.91,0.1,0.7,0
0.012,0.219,0.105,0.35,0.04,0.73,0
0.018,0.057,0.096,0.32,0.06,0.19,0
0.195,0.204,0.09,0.3,0.65,0.68,0
0.057,0.051,0.099,0.33,0.19,0.17,0
0.186,0.177,0.111,0.37,0.62,0.59,0
0.027,0.021,0.108,0.36,0.09,0.07,0
0.003,0.009,0.105,0.35,0.01,0.03,0
0.006,0.003,0.102,0.34,0.02,0.01,0
0.099,0.093,0.129,0.43,0.33,0.31,0
0.159,0.162,0.312,1.04,0.53,0.54,0
0.162,0.165,0.432,1.44,0.54,0.55,0
0.189,0.222,0.225,0.75,0.63,0.74,0
0.21,0.18,0.105,0.35,0.7,0.6,0
0.042,0.036,0.066,0.22,0.14,0.12,0
0.012,0.003,0.072,0.24,0.04,0.01,0
0.018,0.006,0.084,0.28,0.06,0.02,0
0.039,0.027,0.075,0.25,0.13,0.09,0
0.027,0.036,0.096,0.32,0.09,0.12,0
0.087,0.09,0.219,0.73,0.29,0.3,0
0.153,0.132,0.462,1.54,0.51,0.44,0
0.183,0.153,0.189,0.63,0.61,0.51,0
0.033,0.066,0.219,0.73,0.11,0.22,0
0.03,0.144,0.312,1.04,0.1,0.48,0
0.093,0.114,0.27,0.9,0.31,0.38,0
0.216,0.045,0.33,1.1,0.72,0.15,0
0.039,0.087,0.255,0.85,0.13,0.29,0
0.03,0.093,0.165,0.55,0.1,0.31,0
0.195,0.174,0.141,0.47,0.65,0.58,0
0.054,0.066,0.171,0.57,0.18,0.22,0
0.141,0.141,0.39,1.3,0.47,0.47,0
0.159,0.15,0.189,0.63,0.53,0.5,0
0.024,0.036,0.135,0.45,0.08,0.12,0
0.132,0.132,0.111,0.37,0.44,0.44,0
0.036,0.03,0.105,0.35,0.12,0.1,0
0.075,0.081,0.114,0.38,0.25,0.27,0
0.174,0.171,0.405,1.35,0.58,0.57,0
0.141,0.123,0.192,0.64,0.47,0.41,0
0.198,0.201,0.108,0.36,0.66,0.67,0
0.021,0.009,0.114,0.38,0.07,0.03,0
0.027,0.039,0.123,0.41,0.09,0.13,0
0.027,0.177,0.255,0.85,0.09,0.59,0
0.141,0.102,0.333,1.11,0.47,0.34,0
0.093,0.051,0.285,0.95,0.31,0.17,0
0.165,0.153,0.198,0.66,0.55,0.51,0
0.141,0.144,0.45,1.5,0.47,0.48,0
0.147,0.135,0.213,0.71,0.49,0.45,0
0.012,0.012,0.189,0.63,0.04,0.04,0
0.195,0.201,0.267,0.89,0.65,0.67,0
0.093,0.069,0.219,0.73,0.31,0.23,0
0.021,0.018,0.198,0.66,0.07,0.06,0
0.069,0.066,0.267,0.89,0.23,0.22,0
0.177,0.156,0.264,0.88,0.59,0.52,0
0.051,0.054,0.183,0.61,0.17,0.18,0
0.087,0.093,0.144,0.48,0.29,0.31,0
0.201,0.183,0.114,0.38,0.67,0.61,0
0.021,0.009,0.123,0.41,0.07,0.03,0
0.177,0.003,0.216,0.72,0.59,0.01,0
0.045,0.006,0.228,0.76,0.15,0.02,0
0.009,0.156,0.153,0.51,0.03,0.52,0
0.027,0.063,0.09,0.3,0.09,0.21,0
0.069,0.069,0.198,0.66,0.23,0.23,0
0.111,0.123,0.378,1.26,0.37,0.41,0
0.102,0.093,0.216,0.72,0.34,0.31,0
0.141,0.015,0.267,0.89,0.47,0.05,0
0.102,0.054,0.27,0.9,0.34,0.18,0
0.024,0.174,0.198,0.66,0.08,0.58,0
0.036,0.081,0.222,0.74,0.12,0.27,0
0.12,0.111,0.135,0.45,0.4,0.37,0
0.15,0.147,0.117,0.39,0.5,0.49,0
0.033,0.03,0.132,0.44,0.11,0.1,0
0.036,0.024,0.12,0.4,0.12,0.08,0
0.015,0.009,0.108,0.36,0.05,0.03,0
0.138,0.129,0.102,0.34,0.46,0.43,0
0.015,0.015,0.093,0.31,0.05,0.05,0
0.057,0.054,0.102,0.34,0.19,0.18,0
0.12,0.111,0.126,0.42,0.4,0.37,0
0.006,0.015,0.117,0.39,0.02,0.05,0
0.129,0.12,0.108,0.36,0.43,0.4,0
0.021,0.012,0.084,0.28,0.07,0.04,0
0.144,0.147,0.363,1.21,0.48,0.49,0
0.051,0.045,0.303,1.01,0.17,0.15,0
0.072,0.072,0.183,0.61,0.24,0.24,0
0.021,0.165,0.294,0.98,0.07,0.55,0
0.018,0.039,0.243,0.81,0.06,0.13,0
0.099,0.105,0.282,0.94,0.33,0.35,0
0.138,0.03,0.324,1.08,0.46,0.1,0
0.114,0.03,0.207,0.69,0.38,0.1,0
0.087,0.033,0.129,0.43,0.29,0.11,0
0.006,0.009,0.126,0.42,0.02,0.03,0
0.168,0.153,0.42,1.4,0.56,0.51,0
0.09,0.09,0.306,1.02,0.3,0.3,0
0.075,0.069,0.168,0.56,0.25,0.23,0
0.111,0.105,0.129,0.43,0.37,0.35,0
0.198,0.189,0.105,0.35,0.66,0.63,0
0.018,0.015,0.105,0.35,0.06,0.05,0
0.078,0.075,0.102,0.34,0.26,0.25,0
0.183,0.171,0.093,0.31,0.61,0.57,0
0.048,0.042,0.087,0.29,0.16,0.14,0
0.141,0.129,0.12,0.4,0.47,0.43,0
0.111,0.093,0.159,0.53,0.37,0.31,0
0.198,0.207,0.417,1.39,0.66,0.69,0
0.114,0.108,0.282,0.94,0.38,0.36,0
0.102,0.093,0.144,0.48,0.34,0.31,0
0.249,0.045,0.243,0.81,0.83,0.15,0
0.048,0.015,0.276,0.92,0.16,0.05,0
0.012,0.009,0.264,0.88,0.04,0.03,0
0.012,0.012,0.264,0.88,0.04,0.04,0
0.003,0.165,0.147,0.49,0.01,0.55,0
0.006,0.096,0.123,0.41,0.02,0.32,0
0.003,0.015,0.114,0.38,0.01,0.05,0
0.099,0.081,0.129,0.43,0.33,0.27,0
0.057,0.06,0.132,0.44,0.19,0.2,0
0.117,0.093,0.336,1.12,0.39,0.31,0
0.075,0.069,0.399,1.33,0.25,0.23,0
0.114,0.099,0.228,0.76,0.38,0.33,0
0.045,0.036,0.15,0.5,0.15,0.12,0
0.144,0.138,0.111,0.37,0.48,0.46,0
0.162,0.147,0.108,0.36,0.54,0.49,0
0.03,0.021,0.102,0.34,0.1,0.07,0
0.003,0.009,0.093,0.31,0.01,0.03,0
0.045,0.048,0.102,0.34,0.15,0.16,0
0.177,0.159,0.117,0.39,0.59,0.53,0
0.024,0.015,0.105,0.35,0.08,0.05,0
0.045,0.039,0.123,0.41,0.15,0.13,0
0.039,0.03,0.171,0.57,0.13,0.1,0
0.06,0.06,0.261,0.87,0.2,0.2,0
0.171,0.165,0.453,1.51,0.57,0.55,0
0.117,0.069,0.273,0.91,0.39,0.23,0
0.168,0.171,0.138,0.46,0.56,0.57,0
0.201,0.189,0.141,0.47,0.67,0.63,0
0.081,0.057,0.246,0.82,0.27,0.19,0
0.177,0.174,0.285,0.95,0.59,0.58,0
0.054,0.075,0.174,0.58,0.18,0.25,0
0.231,0.234,0.096,0.32,0.77,0.78,0
0.027,0.03,0.099,0.33,0.09,0.1,0
0.087,0.093,0.18,0.6,0.29,0.31,0
0.159,0.138,0.144,0.48,0.53,0.46,0
0.114,0.102,0.114,0.38,0.38,0.34,0
0.135,0.135,0.096,0.32,0.45,0.45,0
0.006,0.009,0.087,0.29,0.02,0.03,0
0.024,0.012,0.09,0.3,0.08,0.04,0
0.006,0.003,0.093,0.31,0.02,0.01,0
0.003,0.012,0.084,0.28,0.01,0.04,0
0.015,0.021,0.09,0.3,0.05,0.07,0
0.18,0.171,0.126,0.42,0.6,0.57,0
0.132,0.168,0.132,0.44,0.44,0.56,0
0.051,0.021,0.135,0.45,0.17,0.07,0
0.033,0.027,0.129,0.43,0.11,0.09,0
0.03,0.027,0.123,0.41,0.1,0.09,0
0.024,0.015,0.123,0.41,0.08,0.05,0
0.03,0.012,0.123,0.41,0.1,0.04,0
