x,y,z,x2,y2,z2
-0.02,0.99,-0.39,-0.22,0.96,-0.37
-0.02,0.99,-0.38,-0.22,0.95,-0.36
0.01,0.96,-0.39,-0.20,0.94,-0.37
0.07,0.96,-0.40,-0.19,0.92,-0.36
0.09,0.94,-0.40,-0.17,0.92,-0.37
0.07,0.92,-0.37,-0.20,0.91,-0.37
0.07,0.89,-0.33,-0.19,0.88,-0.34
0.10,0.89,-0.34,-0.18,0.88,-0.34
0.12,1.00,-0.44,-0.22,0.99,-0.44
0.11,1.12,-0.52,-0.22,1.12,-0.51
0.12,1.16,-0.53,-0.23,1.15,-0.52
0.52,1.29,-0.51,-0.59,1.29,-0.49
0.61,1.26,-0.36,-0.68,1.28,-0.35
0.19,1.03,-0.48,-0.31,1.05,-0.46
0.13,0.96,-0.44,-0.23,1.00,-0.42
0.12,0.96,-0.43,-0.22,0.98,-0.42
0.13,0.96,-0.44,-0.21,1.00,-0.43
0.12,1.33,-0.49,-0.20,1.00,-0.44
0.11,1.46,-0.42,-0.21,1.00,-0.43
0.17,0.78,-0.38,-0.22,1.03,-0.43
0.15,0.80,-0.36,-0.23,1.44,-0.40
0.11,0.87,-0.40,-0.23,0.87,-0.47
0.12,0.82,-0.35,-0.18,0.78,-0.32
0.11,0.82,-0.36,-0.18,0.83,-0.37
0.11,0.82,-0.36,-0.16,0.83,-0.36
0.11,0.82,-0.36,-0.18,0.83,-0.36
0.11,0.82,-0.36,-0.17,0.83,-0.36
0.10,0.83,-0.37,-0.18,0.83,-0.36
0.11,0.83,-0.36,-0.19,0.83,-0.35
0.11,0.82,-0.35,-0.19,0.83,-0.34
0.19,0.83,-0.37,-0.26,0.83,-0.35
0.21,1.17,-0.51,-0.36,1.18,-0.47
0.20,1.34,-0.49,-0.34,1.30,-0.45
0.24,1.32,-0.49,-0.37,1.30,-0.44
0.30,1.38,-0.48,-0.42,1.35,-0.42
0.44,1.00,-0.49,-0.52,0.95,-0.41
0.36,0.76,-0.23,-0.45,0.78,-0.22
0.30,0.79,-0.31,-0.43,0.81,-0.30
0.29,1.20,-0.48,-0.43,1.23,-0.43
0.18,1.34,-0.48,-0.34,1.32,-0.45
0.15,0.78,-0.35,-0.22,0.80,-0.34
0.16,0.78,-0.33,-0.24,0.80,-0.33
0.14,0.80,-0.36,-0.24,0.81,-0.35
0.16,0.81,-0.36,-0.26,0.81,-0.35
0.15,0.81,-0.34,-0.25,0.81,-0.34
0.13,0.74,-0.20,-0.22,0.74,-0.19
0.12,0.74,-0.18,-0.22,0.76,-0.24
0.11,0.75,-0.21,-0.15,1.01,-0.46
0.05,0.75,-0.22,-0.24,1.20,-0.57
-0.04,0.76,-0.24,-0.95,1.39,-0.44
-0.05,0.77,-0.28,-0.96,1.14,-0.27
-0.04,0.79,-0.27,-0.84,1.06,-0.33
0.10,0.92,-0.34,-0.49,0.79,-0.24
0.61,1.76,-0.50,-0.31,0.75,-0.24
0.70,1.72,-0.34,-0.31,0.77,-0.27
0.49,0.92,-0.34,-0.33,0.78,-0.27
0.46,0.83,-0.25,-0.52,0.89,-0.30
0.35,1.52,-0.41,-0.45,1.50,-0.40
0.21,0.93,-0.48,-0.25,0.95,-0.49
0.18,0.76,-0.23,-0.25,0.78,-0.29
0.12,1.12,-0.51,-0.28,1.11,-0.50
0.71,1.42,-0.33,-0.83,1.41,-0.28
0.23,1.44,-0.50,-0.38,1.45,-0.46
0.09,0.74,-0.23,-0.18,0.75,-0.26
0.12,0.74,-0.23,-0.25,0.74,-0.25
0.08,0.76,-0.24,-0.21,0.78,-0.27
0.07,0.73,-0.19,-0.38,1.00,-0.48
-0.02,0.75,-0.24,-0.77,1.73,-0.61
-0.04,0.77,-0.27,-0.81,1.78,-0.36
0.03,0.78,-0.26,-0.56,0.88,-0.36
0.17,0.84,-0.28,-0.25,0.71,-0.14
0.45,1.28,-0.61,-0.23,0.73,-0.19
0.73,1.86,-0.28,-0.22,0.73,-0.21
0.37,1.32,-0.52,-0.24,0.75,-0.26
0.15,0.73,-0.26,-0.26,0.74,-0.22
-0.13,1.11,-0.45,-0.06,0.87,-0.35
-0.24,1.20,-0.34,0.09,1.00,-0.36
0.42,1.27,-0.57,-0.42,0.97,-0.51
0.59,1.06,-0.29,-0.60,0.89,-0.25
0.18,0.72,-0.14,-0.25,0.73,-0.16
0.45,1.08,-0.41,-0.59,1.09,-0.35
0.22,1.37,-0.45,-0.39,1.34,-0.42
0.19,0.74,-0.24,-0.19,0.74,-0.25
0.15,0.92,-0.35,-0.19,0.86,-0.32
0.16,0.89,-0.40,-0.19,0.86,-0.36
0.37,1.14,-0.42,-0.27,0.76,-0.24
0.21,1.27,-0.47,-0.27,0.79,-0.26
0.15,0.72,-0.17,-0.27,0.78,-0.25
0.05,0.97,-0.43,-0.26,0.76,-0.23
-0.06,1.15,-0.39,-0.24,0.77,-0.24
0.33,1.28,-0.61,-0.22,0.76,-0.23
0.58,1.15,-0.46,-0.21,0.77,-0.27
0.20,0.78,-0.24,-0.21,0.78,-0.27
0.12,0.78,-0.19,-0.28,0.75,-0.20
0.33,1.08,-0.51,-0.52,1.07,-0.46
0.65,1.84,-0.06,-0.68,1.82,0.02
0.37,1.81,-0.23,-0.47,1.80,-0.20
0.21,1.52,-0.47,-0.29,1.50,-0.47
0.19,0.73,-0.18,-0.17,0.86,-0.39
0.08,0.79,-0.27,-0.11,1.17,-0.45
-0.01,0.82,-0.31,-0.94,1.19,-0.18
0.30,0.87,-0.42,-0.67,0.83,-0.09
0.39,1.50,-0.47,-0.59,1.32,-0.41
0.21,1.55,-0.41,-0.34,1.54,-0.39
0.18,0.77,-0.32,-0.20,0.79,-0.35
0.15,0.78,-0.28,-0.11,1.02,-0.45
0.01,0.81,-0.29,-0.31,0.98,-0.48
-0.03,0.78,-0.20,-0.85,0.94,-0.16
0.02,0.90,-0.40,-0.53,0.74,-0.03
0.62,1.02,-0.45,-0.44,0.78,-0.22
0.50,0.80,-0.19,-0.40,0.79,-0.28
0.19,0.73,-0.22,-0.33,0.75,-0.23
0.12,0.83,-0.30,-0.31,0.82,-0.28
0.59,1.59,-0.54,-0.74,1.62,-0.42
0.63,1.77,-0.17,-0.68,1.77,-0.12
0.26,1.68,-0.36,-0.40,1.62,-0.37
0.20,0.88,-0.48,-0.30,1.42,-0.47
0.17,0.74,-0.22,-0.30,1.43,-0.51
0.17,0.80,-0.32,-0.22,0.75,-0.30
0.16,0.74,-0.23,-0.25,0.74,-0.23
0.15,0.74,-0.26,-0.23,0.76,-0.28
0.15,1.44,-0.46,-0.19,1.41,-0.44
0.12,1.54,-0.42,-0.22,1.54,-0.39
0.11,1.07,-0.50,-0.23,1.17,-0.49
0.20,0.84,-0.38,-0.28,0.85,-0.36
0.14,1.34,-0.49,-0.24,1.35,-0.46
0.14,1.36,-0.51,-0.21,1.34,-0.48
