y,y2
0.99,0.96
0.99,0.95
0.96,0.94
0.96,0.92
0.94,0.92
0.92,0.91
0.89,0.88
0.89,0.88
1.00,0.99
1.12,1.12
1.16,1.15
1.29,1.29
1.26,1.28
1.03,1.05
0.96,1.00
0.96,0.98
0.96,1.00
1.33,1.00
1.46,1.00
0.78,1.03
0.80,1.44
0.87,0.87
0.82,0.78
0.82,0.83
0.82,0.83
0.82,0.83
0.82,0.83
0.83,0.83
0.83,0.83
0.82,0.83
0.83,0.83
1.17,1.18
1.34,1.30
1.32,1.30
1.38,1.35
1.00,0.95
0.76,0.78
0.79,0.81
1.20,1.23
1.34,1.32
0.78,0.80
0.78,0.80
0.80,0.81
0.81,0.81
0.81,0.81
0.74,0.74
0.74,0.76
0.75,1.01
0.75,1.20
0.76,1.39
0.77,1.14
0.79,1.06
0.92,0.79
1.76,0.75
1.72,0.77
0.92,0.78
0.83,0.89
1.52,1.50
0.93,0.95
0.76,0.78
1.12,1.11
1.42,1.41
1.44,1.45
0.74,0.75
0.74,0.74
0.76,0.78
0.73,1.00
0.75,1.73
0.77,1.78
0.78,0.88
0.84,0.71
1.28,0.73
1.86,0.73
1.32,0.75
0.73,0.74
1.11,0.87
1.20,1.00
1.27,0.97
1.06,0.89
0.72,0.73
1.08,1.09
1.37,1.34
0.74,0.74
0.92,0.86
0.89,0.86
1.14,0.76
1.27,0.79
0.72,0.78
0.97,0.76
1.15,0.77
1.28,0.76
1.15,0.77
0.78,0.78
0.78,0.75
1.08,1.07
1.84,1.82
1.81,1.80
1.52,1.50
0.73,0.86
0.79,1.17
0.82,1.19
0.87,0.83
1.50,1.32
1.55,1.54
0.77,0.79
0.78,1.02
0.81,0.98
0.78,0.94
0.90,0.74
1.02,0.78
0.80,0.79
0.73,0.75
0.83,0.82
1.59,1.62
1.77,1.77
1.68,1.62
0.88,1.42
0.74,1.43
0.80,0.75
0.74,0.74
0.74,0.76
1.44,1.41
1.54,1.54
1.07,1.17
0.84,0.85
1.34,1.35
1.36,1.34
0.73,0.74
0.75,0.76
0.75,0.76
1.24,1.25
1.53,1.50
1.52,1.49
0.85,0.84
0.88,0.82
1.20,1.07
1.36,1.38
1.14,1.11
0.94,0.91
0.93,0.91
1.51,1.51
1.96,1.96
1.89,1.87
1.81,1.82
1.71,1.71
0.97,0.98
0.74,0.76
1.33,0.78
1.53,0.78
0.75,0.79
0.78,1.45
0.82,1.43
0.81,0.74
0.80,0.82
1.45,1.44
1.46,1.46
0.74,0.76
0.71,0.72
1.17,1.19
1.42,1.42
1.15,0.85
1.21,0.72
1.37,0.82
1.03,0.81
0.76,0.76
0.80,0.82
0.83,1.12
0.85,1.35
0.92,1.02
1.03,0.72
1.45,0.74
0.76,0.76
0.72,0.93
0.83,1.43
0.80,1.20
0.81,0.72
1.34,0.71
0.73,0.90
0.79,1.59
0.82,0.86
0.78,0.76
1.41,1.42
1.25,1.27
0.73,0.74
0.77,0.78
0.78,0.78
0.79,0.78
1.08,1.05
1.49,1.49
1.85,1.91
1.39,1.31
0.76,0.78
0.89,0.88
0.90,0.88
0.86,0.86
0.96,0.93
1.04,1.00
1.22,1.19
1.15,1.20
0.82,0.94
0.80,1.05
0.80,1.51
0.96,1.14
1.67,1.00
1.66,1.28
1.65,1.57
1.04,1.01
1.22,1.22
1.41,1.39
1.04,1.05
1.02,1.00
1.46,1.44
1.36,1.35
1.11,1.08
1.32,1.34
1.59,1.58
0.95,0.95
0.92,0.94
0.88,1.06
0.92,1.03
1.03,0.81
0.86,0.78
1.21,1.21
1.33,1.34
1.58,1.57
1.58,1.57
0.95,0.91
0.76,0.78
0.79,0.80
0.91,0.95
1.50,1.47
1.58,1.57
1.33,1.31
0.74,0.76
0.77,0.77
1.33,0.77
1.44,0.77
1.41,1.23
1.35,1.37
1.28,1.24
1.39,1.37
1.56,1.54
1.13,1.50
0.85,1.36
0.89,0.80
0.99,1.05
1.38,1.37
0.88,0.88
0.82,0.82
0.91,0.88
0.87,0.87
1.33,1.30
1.37,1.35
1.20,1.18
0.83,0.83
0.84,0.86
1.26,1.25
1.31,1.28
1.26,1.24
1.39,1.35
1.31,1.28
1.27,1.66
1.26,1.60
1.41,1.29
1.69,1.23
1.48,1.29
1.26,1.22
1.27,1.25
1.33,1.36
1.58,1.57
1.61,1.60
1.29,1.29
0.73,0.74
0.75,0.76
0.91,0.92
1.52,1.49
1.38,1.36
0.92,0.93
1.27,1.21
1.72,1.75
1.85,1.85
1.71,1.71
0.89,1.58
0.80,1.63
0.83,1.63
0.81,1.60
0.82,1.06
0.81,0.81
0.81,0.84
1.08,1.06
1.27,1.26
1.36,1.35
1.40,1.39
1.61,1.59
1.61,1.61
1.17,1.19
0.74,0.76
0.78,0.80
0.78,0.78
0.87,0.89
1.46,1.42
1.39,1.37
1.25,1.25
1.33,1.31
1.45,1.45
1.70,1.79
1.81,1.81
1.42,1.39
0.78,0.79
0.91,0.89
1.49,1.45
1.53,1.55
0.78,0.78
0.75,0.74
0.92,0.97
1.45,1.43
1.09,1.11
0.75,0.75
0.76,0.76
0.74,0.75
0.75,0.76
0.75,0.75
0.78,0.81
1.31,1.31
1.66,1.73
1.63,1.71
1.61,1.69
1.58,1.70
1.60,1.72
1.63,1.74
