x,y,z,x2,y2,z2,altezza
-0.13,1.25,0.01,0.08,1.23,0.00,1.79
-0.13,1.23,0.01,0.09,1.24,-0.00,1.79
-0.14,1.25,-0.01,0.16,1.27,-0.06,1.79
-0.17,1.95,-0.20,0.17,1.88,-0.29,1.79
-0.20,2.02,-0.19,0.03,1.95,0.03,1.80
-0.15,1.57,-0.32,-0.30,1.64,0.32,1.80
-0.20,1.55,-0.26,-0.21,1.67,0.41,1.80
-0.19,1.58,-0.10,-0.09,1.65,0.31,1.80
-0.17,1.40,-0.04,0.21,1.40,-0.08,1.80
-0.24,1.36,-0.09,0.23,1.36,-0.12,1.79
-0.26,1.40,-0.09,0.24,1.40,-0.13,1.79
-0.52,1.41,-0.09,0.55,1.41,-0.15,1.79
-0.09,1.52,-0.04,0.46,1.44,-0.17,1.79
0.31,1.59,0.34,0.18,1.37,-0.24,1.79
0.28,1.65,0.39,0.15,1.32,-0.21,1.79
0.21,1.66,0.39,0.18,1.43,-0.15,1.79
0.20,1.65,0.51,0.20,1.62,-0.17,1.78
0.17,1.67,0.50,0.14,1.79,-0.02,1.78
0.19,1.67,0.47,0.14,1.62,-0.11,1.78
0.20,1.68,0.37,0.18,0.84,0.08,1.77
-0.02,1.86,0.14,0.11,0.88,0.10,1.78
-0.22,0.98,-0.07,0.16,0.92,0.08,1.77
-0.23,0.83,0.19,0.19,0.91,0.10,1.77
-0.29,0.86,0.13,0.15,0.90,0.11,1.72
-0.28,0.88,0.05,0.23,0.85,0.07,1.71
-0.17,0.89,-0.03,0.25,0.89,-0.10,1.78
-0.14,0.84,-0.03,0.19,0.87,-0.11,1.79
-0.21,0.86,-0.10,0.11,0.89,-0.13,1.78
-0.16,0.85,-0.15,0.16,0.91,-0.21,1.79
-0.16,0.84,-0.11,0.30,0.83,-0.12,1.79
-0.24,0.85,-0.12,0.25,0.85,-0.11,1.79
-0.37,1.03,-0.28,0.36,1.04,-0.34,1.79
-0.44,1.36,-0.38,0.44,1.42,-0.44,1.79
-0.46,1.44,-0.38,0.44,1.46,-0.43,1.79
-0.49,1.43,-0.36,0.47,1.47,-0.42,1.78
-0.60,0.98,-0.17,0.63,1.00,-0.21,1.77
-0.52,0.93,-0.16,0.55,0.92,-0.17,1.77
-0.41,1.22,-0.40,0.39,1.15,-0.43,1.78
-0.28,1.44,-0.40,0.25,1.45,-0.42,1.79
-0.23,1.37,-0.39,0.20,1.41,-0.40,1.79
-0.21,0.83,-0.19,0.23,0.82,-0.18,1.79
-0.22,0.78,-0.05,0.27,0.80,-0.05,1.80
-0.21,0.88,-0.21,0.20,0.89,-0.23,1.79
-0.16,0.93,-0.29,0.17,0.99,-0.33,1.79
-0.13,0.78,-0.06,0.24,0.79,-0.05,1.79
-0.22,0.79,-0.09,0.28,0.79,-0.05,1.79
-0.23,1.21,-0.48,0.17,0.85,-0.19,1.79
-0.25,1.48,-0.53,0.12,0.85,-0.18,1.79
-0.35,1.47,-0.52,0.07,0.84,-0.16,1.79
-0.85,1.44,-0.36,0.04,0.87,-0.21,1.79
-0.77,1.34,-0.29,0.05,0.96,-0.32,1.79
-0.42,0.92,-0.21,0.16,1.14,-0.41,1.79
-0.17,0.79,-0.08,0.30,1.29,-0.42,1.79
-0.18,0.82,-0.14,0.74,1.87,-0.37,1.79
-0.19,0.84,-0.18,0.59,1.93,-0.15,1.79
-0.28,1.15,-0.37,0.38,1.83,-0.24,1.79
-0.22,1.63,-0.29,0.23,1.73,-0.25,1.79
-0.19,1.56,-0.29,0.18,1.64,-0.28,1.78
-0.22,0.98,-0.34,0.22,1.00,-0.36,1.77
-0.23,1.05,-0.35,0.21,1.03,-0.38,1.78
-0.25,1.38,-0.43,0.20,1.38,-0.49,1.78
-0.58,1.45,-0.28,0.64,1.46,-0.33,1.78
-0.24,1.35,-0.43,0.25,1.36,-0.45,1.78
-0.16,0.94,-0.30,0.20,0.95,-0.33,1.77
-0.19,1.19,-0.41,0.21,1.27,-0.44,1.78
-0.16,1.20,-0.43,0.20,1.21,-0.45,1.79
-0.26,1.27,-0.42,0.20,1.12,-0.42,1.79
-0.56,1.79,-0.31,0.16,1.18,-0.44,1.80
-0.44,1.73,-0.26,0.15,1.18,-0.45,1.80
-0.33,1.49,-0.35,0.21,1.22,-0.47,1.79
-0.23,1.01,-0.30,0.33,1.35,-0.51,1.79
-0.14,0.88,-0.19,0.43,1.45,-0.52,1.79
-0.12,0.96,-0.26,0.65,1.80,-0.34,1.79
0.07,1.25,-0.43,0.15,1.52,-0.46,1.79
0.04,1.22,-0.44,0.01,1.40,-0.44,1.78
0.05,1.13,-0.42,-0.05,1.33,-0.44,1.70
0.07,1.11,-0.43,-0.11,1.29,-0.43,1.65
-0.46,1.05,-0.29,0.55,1.29,-0.37,1.77
-0.57,1.12,-0.21,0.62,1.29,-0.32,1.79
-0.32,1.22,-0.38,0.32,1.30,-0.42,1.80
-0.18,1.45,-0.36,0.20,1.50,-0.36,1.80
-0.17,1.34,-0.39,0.17,1.38,-0.43,1.79
-0.21,0.98,-0.31,0.20,1.02,-0.37,1.79
-0.16,1.12,-0.35,0.17,1.21,-0.40,1.79
-0.14,1.12,-0.34,0.17,1.24,-0.42,1.79
-0.17,1.09,-0.33,0.17,1.44,-0.38,1.79
-0.18,1.09,-0.32,0.21,1.11,-0.44,1.78
-0.19,0.98,-0.28,0.19,1.00,-0.37,1.79
-0.18,0.80,-0.04,0.04,1.32,-0.35,1.79
-0.17,0.79,0.00,0.02,1.21,-0.22,1.79
-0.14,0.80,-0.04,0.42,1.36,-0.49,1.78
-0.15,0.81,-0.08,0.63,1.30,-0.37,1.79
-0.26,1.17,-0.40,0.31,1.26,-0.49,1.79
-0.32,1.50,-0.46,0.32,1.49,-0.56,1.79
-0.46,1.60,-0.46,0.41,1.60,-0.54,1.80
-0.51,1.79,-0.13,0.55,1.81,-0.18,1.79
-0.29,1.66,-0.38,0.26,1.71,-0.35,1.79
-0.24,1.21,-0.52,0.24,1.65,-0.34,1.78
-0.20,1.10,-0.46,0.27,1.67,-0.31,1.78
-0.22,1.34,-0.47,0.23,1.66,-0.32,1.79
-0.65,1.45,-0.24,0.23,1.65,-0.32,1.79
-0.41,1.64,-0.26,0.23,1.68,-0.31,1.78
-0.24,1.62,-0.29,0.21,1.66,-0.28,1.78
-0.19,1.38,-0.41,0.17,1.45,-0.41,1.78
-0.21,1.08,-0.40,0.18,1.14,-0.41,1.78
-0.17,1.29,-0.44,0.17,1.35,-0.43,1.78
-0.23,1.20,-0.43,0.14,1.32,-0.42,1.78
-0.44,1.13,-0.35,0.13,1.28,-0.43,1.78
-0.37,1.14,-0.36,0.17,1.23,-0.45,1.78
-0.32,1.12,-0.38,0.37,1.15,-0.45,1.78
-0.27,1.15,-0.40,0.27,1.18,-0.46,1.78
-0.27,1.28,-0.45,0.24,1.31,-0.51,1.79
-0.32,1.43,-0.48,0.30,1.44,-0.54,1.80
-0.53,1.74,-0.29,0.59,1.73,-0.34,1.80
-0.37,1.65,-0.39,0.35,1.65,-0.44,1.79
-0.30,1.57,-0.42,0.20,1.52,-0.42,1.79
-0.30,1.56,-0.42,0.22,1.31,-0.47,1.79
-0.24,1.48,-0.45,0.22,1.40,-0.47,1.78
-0.21,1.26,-0.48,0.21,1.39,-0.48,1.78
-0.20,1.29,-0.50,0.18,1.30,-0.51,1.78
-0.16,1.16,-0.46,0.18,1.14,-0.47,1.78
-0.16,1.38,-0.40,0.19,1.39,-0.42,1.78
-0.14,1.38,-0.39,0.17,1.38,-0.43,1.78
-0.14,1.37,-0.42,0.18,1.35,-0.45,1.79
-0.15,1.33,-0.43,0.17,1.34,-0.45,1.79
-0.15,1.34,-0.41,0.16,1.35,-0.42,1.79
-0.16,1.21,-0.45,0.17,1.21,-0.46,1.78
-0.15,1.25,-0.43,0.18,1.28,-0.45,1.78
-0.13,1.12,-0.42,0.16,1.13,-0.45,1.79
-0.12,1.10,-0.42,0.17,1.11,-0.44,1.78
-0.15,1.22,-0.42,0.18,1.25,-0.44,1.78
-0.16,1.25,-0.42,0.17,1.26,-0.45,1.78
-0.15,1.27,-0.42,0.16,1.29,-0.43,1.78
-0.15,1.23,-0.43,0.17,1.24,-0.45,1.78
-0.14,1.27,-0.46,0.15,1.27,-0.48,1.79
-0.23,1.32,-0.46,0.21,1.31,-0.50,1.79
-0.49,1.46,-0.35,0.47,1.48,-0.44,1.78
-0.25,1.36,-0.46,0.24,1.38,-0.50,1.79
-0.19,1.33,-0.46,0.21,1.34,-0.50,1.79
-0.29,1.37,-0.47,0.26,1.36,-0.52,1.80
-0.50,1.64,-0.43,0.46,1.59,-0.54,1.80
-0.49,1.81,-0.22,0.49,1.82,-0.30,1.79
-0.29,1.57,-0.42,0.26,1.56,-0.45,1.78
-0.17,1.40,-0.43,0.15,1.38,-0.44,1.79
-0.16,1.40,-0.42,0.16,1.40,-0.43,1.79
-0.17,1.20,-0.44,0.18,1.25,-0.46,1.78
-0.13,1.30,-0.43,0.16,1.31,-0.47,1.78
-0.15,1.29,-0.42,0.19,1.32,-0.48,1.79
-0.16,1.29,-0.42,0.41,1.36,-0.47,1.78
-0.16,1.29,-0.43,0.47,1.34,-0.45,1.78
-0.24,1.39,-0.41,0.32,1.36,-0.46,1.79
-0.44,1.31,-0.43,0.28,1.33,-0.45,1.78
-0.47,1.37,-0.37,0.26,1.34,-0.46,1.78
-0.34,1.47,-0.38,0.25,1.34,-0.46,1.79
