x,y,z,x2,y2,z2,altezza
0.24,1.11,0.03,-0.07,1.09,0.01,1.68
0.25,1.11,0.03,-0.08,1.12,-0.02,1.68
0.25,1.11,0.03,-0.07,1.12,-0.02,1.68
0.23,1.11,0.02,-0.08,1.13,0.02,1.68
0.19,1.11,0.01,-0.09,1.15,0.03,1.68
0.13,1.09,0.01,-0.11,1.14,0.03,1.70
0.07,1.13,0.00,-0.16,1.12,0.01,1.69
0.02,1.12,0.00,-0.20,1.12,0.01,1.70
0.04,1.13,-0.01,-0.21,1.13,-0.01,1.70
0.05,1.14,-0.01,-0.20,1.15,-0.03,1.70
-0.04,1.20,-0.04,-0.18,1.18,-0.05,1.70
-0.05,1.21,-0.06,-0.23,1.18,-0.05,1.71
0.48,1.24,-0.05,-0.67,1.25,0.05,1.70
0.28,1.16,-0.04,-0.48,1.17,-0.02,1.70
0.05,1.18,-0.04,-0.26,1.22,-0.03,1.70
0.05,1.17,-0.03,-0.25,1.22,-0.04,1.70
0.04,1.14,-0.02,-0.23,1.20,-0.02,1.70
0.06,1.24,-0.06,-0.23,1.18,-0.00,1.70
0.10,1.34,-0.05,-0.24,1.17,-0.00,1.70
0.13,1.04,-0.16,-0.22,1.17,-0.00,1.70
0.17,0.82,0.05,-0.22,1.18,0.00,1.70
0.16,0.92,-0.01,-0.28,1.23,-0.11,1.70
0.14,0.91,0.01,-0.23,0.79,0.07,1.70
0.10,0.96,-0.02,-0.23,0.84,0.06,1.70
0.04,1.12,-0.05,-0.24,1.00,0.02,1.70
0.02,1.16,-0.04,-0.25,1.12,0.04,1.70
0.05,1.16,-0.01,-0.23,1.15,0.02,1.70
0.04,1.16,-0.01,-0.24,1.15,0.03,1.70
0.04,1.17,-0.02,-0.25,1.15,0.03,1.70
0.04,1.17,-0.02,-0.25,1.16,0.02,1.70
0.06,1.17,-0.02,-0.26,1.17,0.02,1.69
0.07,1.16,-0.01,-0.26,1.19,0.03,1.69
0.08,1.16,-0.01,-0.26,1.18,0.03,1.69
0.11,1.24,-0.02,-0.28,1.22,0.02,1.69
0.18,1.38,-0.00,-0.38,1.33,0.02,1.69
0.33,1.23,-0.10,-0.44,1.20,-0.09,1.70
0.33,0.86,0.07,-0.40,0.83,0.05,1.70
0.26,1.01,-0.03,-0.43,0.98,-0.00,1.69
