x,y,z,x2,y2,z2,altezza
-0.05,0.95,0.11,-0.35,1.04,0.13,1.68
-0.06,0.96,0.12,-0.34,1.04,0.12,1.68
-0.07,0.97,0.11,-0.34,1.04,0.11,1.68
-0.05,1.01,0.09,-0.34,1.05,0.11,1.69
-0.07,1.08,0.07,-0.31,1.11,0.10,1.70
-0.05,1.13,0.07,-0.33,1.15,0.08,1.71
-0.03,1.13,0.07,-0.32,1.15,0.08,1.72
-0.04,1.08,0.09,-0.30,1.11,0.11,1.72
-0.04,1.07,0.09,-0.32,1.10,0.09,1.72
-0.07,1.10,0.07,-0.31,1.12,0.07,1.72
-0.11,1.11,0.07,-0.30,1.11,0.06,1.72
0.03,1.20,-0.04,-0.42,1.22,-0.01,1.72
0.55,1.35,0.15,-0.80,1.38,0.07,1.72
0.27,1.19,0.05,-0.49,1.21,0.02,1.72
-0.05,1.07,0.06,-0.24,1.11,0.08,1.72
0.05,1.12,0.03,-0.29,1.12,0.04,1.72
0.09,1.11,0.02,-0.25,1.14,0.06,1.71
0.12,1.32,-0.01,-0.25,1.15,0.05,1.71
0.10,1.39,-0.02,-0.26,1.17,0.02,1.71
0.11,0.83,0.00,-0.29,1.17,0.01,1.71
0.19,0.82,0.15,-0.29,1.14,0.02,1.71
0.13,0.92,0.05,-0.29,1.27,-0.06,1.70
0.15,0.94,0.06,-0.30,0.73,0.18,1.70
0.12,0.89,0.08,-0.34,0.82,0.11,1.71
0.03,0.98,0.02,-0.33,0.90,0.08,1.71
0.05,0.99,0.01,-0.29,0.97,0.04,1.66
0.06,0.96,0.04,-0.28,1.00,0.04,1.63
0.07,0.95,0.08,-0.31,1.00,0.09,1.64
0.01,0.95,0.12,-0.36,1.01,0.12,1.66
-0.06,0.96,0.18,-0.44,0.99,0.18,1.64
-0.05,0.98,0.19,-0.43,1.00,0.18,1.68
-0.05,0.98,0.20,-0.39,1.01,0.18,1.69
-0.02,1.05,0.17,-0.39,1.07,0.16,1.71
0.01,1.11,0.14,-0.40,1.13,0.14,1.71
0.04,1.27,0.11,-0.41,1.26,0.12,1.71
0.17,1.32,0.05,-0.46,1.32,0.07,1.71
0.34,0.84,0.37,-0.54,0.80,0.29,1.70
0.16,0.87,0.22,-0.46,0.89,0.21,1.70
-0.02,1.22,0.08,-0.31,1.21,0.10,1.70
0.02,1.42,0.11,-0.30,1.38,0.07,1.70
0.08,0.91,0.05,-0.27,0.89,0.08,1.69
0.13,0.82,0.23,-0.33,0.83,0.22,1.70
0.06,0.87,0.19,-0.37,0.89,0.19,1.70
-0.03,1.09,0.11,-0.35,1.07,0.12,1.71
-0.05,1.17,0.14,-0.36,1.13,0.13,1.71
-0.06,1.17,0.14,-0.36,1.10,0.14,1.71
-0.05,1.17,0.14,-0.36,1.10,0.14,1.71
-0.04,1.17,0.14,-0.31,1.09,0.14,1.71
-0.01,1.17,0.15,-0.29,1.10,0.11,1.72
-0.02,1.18,0.15,-0.65,1.41,-0.03,1.71
-0.05,1.17,0.14,-0.77,1.28,0.18,1.71
-0.07,1.07,0.15,-0.37,0.96,0.22,1.71
-0.00,0.98,0.18,-0.27,1.01,0.18,1.72
0.22,1.20,0.01,-0.26,1.01,0.17,1.72
0.46,1.66,0.22,-0.27,1.01,0.17,1.72
0.19,1.22,0.06,-0.27,1.04,0.15,1.71
0.03,1.10,0.08,-0.30,1.10,0.13,1.71
0.06,1.32,0.09,-0.30,1.28,0.11,1.71
0.11,1.12,0.02,-0.23,1.10,0.03,1.71
0.20,0.79,0.27,-0.29,0.80,0.23,1.70
0.15,0.84,0.22,-0.29,0.85,0.21,1.70
0.37,1.30,0.04,-0.47,1.32,0.07,1.70
0.34,1.43,0.12,-0.45,1.43,0.11,1.70
0.07,0.87,0.13,-0.20,0.90,0.12,1.70
0.11,0.84,0.20,-0.29,0.84,0.22,1.71
0.07,0.92,0.16,-0.25,0.94,0.17,1.70
0.09,0.97,0.13,-0.29,1.16,0.05,1.71
0.09,0.97,0.14,-0.42,1.47,-0.00,1.71
0.09,1.00,0.13,-0.59,1.60,0.15,1.71
0.07,1.01,0.13,-0.41,1.21,0.13,1.71
0.10,1.02,0.13,-0.21,0.97,0.20,1.71
0.14,1.02,0.10,-0.24,0.99,0.15,1.71
0.44,1.53,0.03,-0.26,1.00,0.16,1.72
0.43,1.49,0.10,-0.26,0.98,0.17,1.71
0.17,1.09,0.08,-0.25,1.02,0.15,1.71
0.15,1.08,0.07,-0.26,1.04,0.14,1.71
0.15,1.22,0.05,-0.33,1.05,0.08,1.71
-0.09,1.25,0.04,-0.06,1.08,0.05,1.71
0.46,1.25,0.08,-0.54,1.11,0.06,1.71
0.10,0.98,0.11,-0.23,0.95,0.12,1.71
0.09,1.07,0.09,-0.22,1.03,0.11,1.70
0.14,1.35,0.07,-0.25,1.29,0.05,1.70
0.12,0.89,0.09,-0.23,0.90,0.08,1.70
0.16,0.83,0.20,-0.29,0.84,0.19,1.70
0.12,0.86,0.18,-0.25,0.89,0.16,1.69
0.10,0.91,0.17,-0.23,0.95,0.13,1.69
0.12,1.22,0.09,-0.15,1.19,0.10,1.69
0.16,0.81,0.16,-0.17,1.23,0.14,1.69
0.12,0.82,0.20,-0.21,1.19,0.15,1.70
0.08,0.95,0.14,-0.20,1.15,0.15,1.70
0.19,1.26,0.00,-0.22,1.17,0.14,1.71
0.57,1.43,0.13,-0.25,1.16,0.15,1.71
0.32,1.16,0.10,-0.24,1.16,0.15,1.71
0.07,0.99,0.15,-0.23,1.06,0.16,1.71
0.19,1.18,0.01,-0.31,1.16,0.07,1.72
0.48,1.66,0.12,-0.62,1.67,0.07,1.73
0.33,1.63,0.14,-0.43,1.61,0.13,1.72
0.23,1.50,0.11,-0.27,1.38,-0.05,1.72
0.22,1.32,0.10,-0.25,0.90,0.11,1.71
0.13,1.12,0.10,-0.22,1.10,0.08,1.71
0.14,1.14,0.11,-0.64,1.48,0.06,1.71
0.13,1.15,0.09,-0.58,1.23,0.15,1.71
0.08,1.31,0.05,-0.24,1.28,0.07,1.71
0.12,1.45,0.07,-0.22,1.39,0.05,1.71
0.17,0.91,-0.00,-0.22,0.95,-0.00,1.70
0.14,0.79,0.24,-0.25,0.81,0.20,1.70
0.10,0.85,0.18,-0.20,0.94,0.10,1.70
0.14,0.88,0.16,-0.63,1.21,0.00,1.70
0.09,0.96,0.13,-0.61,1.07,0.16,1.70
0.33,1.04,0.01,-0.34,0.99,0.14,1.70
0.57,1.14,0.18,-0.37,0.98,0.15,1.70
0.10,0.85,0.20,-0.28,1.00,0.12,1.71
0.08,0.94,0.12,-0.27,1.01,0.13,1.71
0.32,1.35,-0.07,-0.46,1.38,-0.02,1.72
0.45,1.69,0.20,-0.55,1.72,0.19,1.72
0.29,1.59,0.12,-0.38,1.56,0.12,1.71
0.17,1.28,-0.08,-0.29,1.27,0.07,1.71
0.11,0.78,0.20,-0.25,1.14,0.13,1.70
0.15,0.85,0.16,-0.19,0.96,0.04,1.70
0.13,0.85,0.17,-0.29,0.81,0.23,1.70
0.11,0.92,0.06,-0.27,0.88,0.14,1.70
0.13,1.10,-0.07,-0.25,1.07,-0.04,1.70
0.17,1.57,0.15,-0.24,1.57,0.13,1.70
0.14,1.59,0.15,-0.26,1.55,0.15,1.71
0.12,1.57,0.15,-0.28,1.52,0.16,1.72
0.11,1.55,0.16,-0.29,1.47,0.17,1.72
0.10,1.49,0.07,-0.27,1.44,0.11,1.72
0.12,0.88,0.03,-0.23,0.92,0.02,1.71
0.14,0.77,0.28,-0.33,0.79,0.27,1.71
0.11,0.81,0.18,-0.31,0.83,0.20,1.71
0.11,0.85,0.09,-0.27,0.88,0.09,1.71
0.15,1.39,0.04,-0.20,1.34,0.04,1.71
0.14,1.44,0.11,-0.22,1.39,0.10,1.71
0.11,1.07,-0.04,-0.22,1.12,0.01,1.71
0.12,0.78,0.26,-0.28,0.79,0.25,1.71
0.03,0.95,0.11,-0.27,0.93,0.15,1.71
0.41,1.34,-0.05,-0.54,1.33,-0.02,1.72
0.53,1.42,0.16,-0.57,1.43,0.07,1.72
0.18,0.98,0.07,-0.34,1.02,0.08,1.72
0.06,0.86,0.19,-0.29,0.89,0.19,1.72
0.18,1.06,-0.00,-0.38,1.07,0.04,1.72
0.48,1.69,0.13,-0.56,1.71,0.10,1.72
0.39,1.58,0.13,-0.46,1.62,0.15,1.72
0.27,1.59,0.13,-0.36,1.58,0.12,1.72
0.23,1.59,0.15,-0.30,1.57,0.14,1.71
0.18,1.35,-0.05,-0.25,1.37,-0.01,1.71
0.13,0.77,0.25,-0.25,0.79,0.22,1.71
0.12,0.79,0.23,-0.29,0.80,0.23,1.71
0.30,1.32,0.02,-0.26,0.86,0.17,1.70
0.38,0.82,0.14,-0.27,0.85,0.20,1.69
0.17,0.73,0.36,-0.29,0.87,0.17,1.71
0.15,0.80,0.23,-0.29,1.06,0.07,1.71
0.17,0.82,0.20,-0.50,0.86,0.10,1.70
0.13,0.83,0.20,-0.38,0.74,0.37,1.71
0.11,0.89,0.13,-0.32,0.87,0.15,1.71
0.13,1.34,0.05,-0.23,1.30,0.05,1.70
0.16,0.82,0.08,-0.24,0.86,0.07,1.70
0.15,0.80,0.23,-0.30,0.80,0.24,1.70
0.13,0.91,0.02,-0.20,0.93,0.03,1.70
0.16,1.58,0.14,-0.23,1.57,0.12,1.70
0.19,1.42,0.09,-0.23,1.37,0.08,1.71
0.14,1.10,0.01,-0.27,0.92,0.13,1.71
0.39,1.30,-0.10,-0.35,0.84,0.25,1.71
0.56,1.41,0.05,-0.29,0.95,0.15,1.71
0.19,0.86,0.13,-0.22,0.93,0.15,1.71
0.12,0.86,0.15,-0.21,0.92,0.13,1.72
0.14,0.81,0.23,-0.23,0.98,0.06,1.72
0.11,0.84,0.19,-0.60,1.47,-0.07,1.72
0.03,0.88,0.13,-0.54,1.15,0.04,1.70
-0.01,1.14,-0.03,-0.32,0.84,0.19,1.71
0.02,1.39,-0.07,-0.27,0.89,0.08,1.71
