x,y,z,x2,y2,z2,altezza
0.07,1.26,0.28,-0.20,1.19,0.27,1.73
0.06,1.25,0.27,-0.20,1.19,0.26,1.74
0.07,1.25,0.27,-0.20,1.20,0.26,1.74
0.06,1.25,0.26,-0.20,1.19,0.26,1.73
0.06,1.25,0.26,-0.20,1.20,0.25,1.74
0.05,1.25,0.25,-0.20,1.20,0.25,1.74
0.06,1.25,0.26,-0.20,1.21,0.25,1.74
0.06,1.25,0.26,-0.19,1.20,0.25,1.74
0.06,1.25,0.26,-0.18,1.20,0.26,1.74
0.06,1.25,0.26,-0.19,1.20,0.26,1.74
0.06,1.25,0.26,-0.19,1.20,0.25,1.74
0.06,1.25,0.26,-0.19,1.21,0.25,1.74
0.06,1.25,0.27,-0.19,1.21,0.26,1.74
0.06,1.25,0.27,-0.18,1.21,0.26,1.74
0.06,1.25,0.27,-0.16,1.22,0.27,1.74
0.07,1.18,0.27,-0.12,1.19,0.29,1.74
0.05,1.10,0.31,-0.15,1.15,0.32,1.73
0.16,1.32,0.28,-0.27,1.22,0.27,1.72
0.11,1.30,0.28,-0.21,1.21,0.31,1.73
0.12,1.32,0.27,-0.07,1.18,0.37,1.74
0.22,1.40,0.19,-0.09,1.24,0.36,1.74
0.56,1.09,0.22,-0.12,1.45,0.32,1.74
0.46,0.92,0.51,-0.22,0.93,0.52,1.74
0.19,0.96,0.48,-0.21,1.01,0.51,1.72
0.06,1.50,0.42,-0.21,1.11,0.49,1.73
0.04,1.58,0.47,-0.21,1.08,0.56,1.73
0.03,1.58,0.48,-0.20,1.09,0.58,1.73
0.06,1.58,0.47,-0.18,1.11,0.58,1.73
0.12,1.56,0.35,-0.14,1.16,0.59,1.73
0.24,0.83,0.38,-0.10,1.30,0.52,1.71
0.41,0.83,0.61,-0.04,1.43,0.34,1.73
0.36,0.90,0.60,-0.09,1.05,0.35,1.72
0.17,1.02,0.53,-0.23,1.21,0.46,1.72
0.11,1.37,0.51,-0.15,1.12,0.58,1.73
0.06,1.35,0.52,-0.19,1.12,0.63,1.73
0.16,1.27,0.55,-0.24,1.22,0.63,1.74
0.14,1.13,0.63,-0.19,1.13,0.64,1.73
0.11,1.11,0.61,-0.15,1.17,0.64,1.74
0.19,1.07,0.48,-0.12,1.15,0.53,1.72
0.23,1.46,0.29,-0.05,1.20,0.46,1.73
0.25,1.05,0.37,-0.01,1.18,0.48,1.73
0.31,1.49,0.34,0.01,1.15,0.46,1.73
0.29,1.22,0.30,0.01,1.23,0.46,1.73
0.33,1.22,0.31,0.02,1.15,0.49,1.73
0.39,1.46,0.30,-0.01,1.09,0.52,1.73
0.40,0.98,0.31,-0.34,1.19,0.35,1.69
0.32,0.86,0.63,-0.30,0.87,0.70,1.67
0.15,1.27,0.49,-0.32,1.25,0.55,1.70
0.10,1.63,0.58,-0.23,1.58,0.58,1.71
0.12,1.58,0.45,-0.15,1.48,0.45,1.69
0.24,0.81,0.42,-0.10,0.80,0.48,1.63
0.23,0.93,0.49,-0.16,1.01,0.49,1.69
0.16,1.51,0.54,-0.24,1.47,0.54,1.73
0.13,1.25,0.56,-0.26,1.20,0.60,1.73
0.15,1.12,0.63,-0.24,1.10,0.69,1.73
0.16,1.15,0.56,-0.13,1.22,0.56,1.73
0.26,1.13,0.52,-0.03,1.12,0.57,1.73
0.29,1.13,0.46,-0.01,1.19,0.50,1.73
0.26,1.12,0.47,-0.15,1.35,0.34,1.74
0.19,1.13,0.53,-0.63,1.43,0.43,1.74
0.07,1.28,0.49,-0.24,1.13,0.55,1.74
0.03,1.34,0.42,-0.26,1.09,0.60,1.74
0.16,1.32,0.35,-0.20,1.09,0.59,1.75
0.61,1.72,0.26,-0.05,1.10,0.57,1.75
0.40,1.35,0.30,-0.05,1.14,0.54,1.75
0.32,1.42,0.42,-0.08,1.36,0.49,1.74
0.21,1.44,0.44,-0.11,1.41,0.48,1.75
0.17,1.42,0.47,-0.14,1.38,0.51,1.73
0.16,1.26,0.37,-0.15,1.21,0.39,1.61
0.19,0.82,0.55,-0.16,0.83,0.60,1.62
0.12,1.32,0.33,-0.15,1.32,0.37,1.71
0.58,1.52,0.48,-0.53,1.47,0.51,1.73
0.21,1.54,0.41,-0.14,1.47,0.39,1.71
0.14,0.81,0.61,-0.06,0.84,0.62,1.68
0.06,1.15,0.45,-0.13,1.21,0.46,1.73
0.07,1.23,0.44,-0.08,1.33,0.44,1.75
0.24,1.04,0.57,-0.27,1.38,0.36,1.75
0.28,1.04,0.61,-0.60,1.84,0.46,1.75
0.20,1.18,0.53,-0.55,1.58,0.44,1.74
0.12,1.29,0.47,-0.18,1.16,0.58,1.74
0.20,1.31,0.34,-0.05,1.19,0.60,1.74
0.37,1.38,0.15,0.07,1.19,0.50,1.73
0.83,1.95,0.20,0.15,1.20,0.46,1.76
0.55,1.24,0.22,0.12,1.19,0.41,1.75
0.21,1.06,0.41,0.02,1.18,0.41,1.73
0.14,1.11,0.37,-0.20,1.17,0.38,1.72
0.14,1.07,0.30,-0.43,1.24,0.25,1.69
-0.02,1.15,0.17,0.31,1.31,0.32,1.64
0.24,1.05,0.33,0.32,1.36,0.53,1.68
0.30,1.06,0.49,-0.30,1.18,0.46,1.73
0.19,1.24,0.40,-0.31,1.27,0.46,1.73
0.13,1.58,0.35,-0.19,1.51,0.38,1.70
0.19,0.67,0.36,-0.15,0.68,0.41,1.47
0.15,0.96,0.27,-0.03,0.89,0.53,1.58
0.20,1.66,0.33,0.02,1.11,0.47,1.66
0.22,1.61,0.30,0.09,1.06,0.58,1.66
0.21,1.42,0.18,0.01,1.01,0.63,1.60
0.12,0.72,0.56,-0.12,1.01,0.68,1.58
0.04,1.00,0.46,-0.20,1.08,0.72,1.65
0.00,1.42,0.33,-0.18,1.12,0.74,1.70
0.35,1.51,0.24,-0.08,1.11,0.71,1.73
0.73,1.25,0.45,-0.02,1.10,0.70,1.74
0.32,1.02,0.57,-0.01,1.14,0.63,1.74
0.14,1.18,0.42,-0.09,1.14,0.51,1.70
0.32,1.67,0.33,-0.40,1.57,0.37,1.72
0.52,1.95,0.73,-0.50,1.89,0.68,1.72
0.20,1.18,0.60,-0.25,1.51,0.52,1.71
0.25,1.04,0.66,-0.18,1.33,0.34,1.59
0.30,0.92,0.71,-0.12,0.79,0.50,1.52
0.20,0.95,0.71,-0.21,1.23,0.38,1.59
0.17,1.04,0.72,-0.78,1.40,0.63,1.66
0.12,1.00,0.79,-0.26,0.99,0.89,1.72
0.11,1.07,0.71,-0.16,1.17,0.69,1.72
0.14,1.44,0.50,-0.20,1.45,0.55,1.69
0.15,0.76,0.46,-0.14,0.78,0.49,1.49
0.23,0.79,0.79,-0.10,0.89,0.65,1.56
0.18,0.84,0.79,-0.12,1.12,0.47,1.60
0.15,0.89,0.76,-0.79,0.97,0.72,1.59
0.01,1.14,0.47,-0.28,0.80,0.99,1.58
0.71,1.15,0.23,0.12,0.88,0.77,1.60
0.71,0.86,0.83,0.11,0.95,0.77,1.70
0.27,0.99,0.58,0.01,1.09,0.62,1.74
0.09,1.21,0.51,-0.16,1.13,0.65,1.75
0.59,1.87,0.40,-0.65,1.78,0.47,1.76
0.59,1.39,0.71,-0.62,1.45,0.69,1.75
0.16,1.44,0.52,-0.22,1.26,0.54,1.70
0.15,1.07,0.28,-0.08,1.09,0.61,1.58
0.27,0.75,0.77,-0.15,1.34,0.44,1.54
0.26,0.84,0.77,-0.17,0.72,0.56,1.56
0.15,0.79,0.80,-0.15,0.82,0.85,1.59
0.18,0.59,0.75,-0.14,0.61,0.71,1.46
0.18,1.40,0.39,-0.23,1.37,0.40,1.54
0.19,1.77,0.78,-0.18,1.74,0.82,1.73
0.16,1.32,0.66,-0.20,1.29,0.71,1.75
0.13,1.41,0.62,-0.28,1.36,0.65,1.75
0.13,1.66,0.58,-0.22,1.62,0.60,1.74
0.16,1.58,0.41,-0.18,1.51,0.42,1.69
0.26,0.73,0.51,-0.18,0.72,0.55,1.61
0.23,0.79,0.71,-0.25,0.81,0.74,1.65
0.17,0.71,0.70,-0.19,0.73,0.70,1.61
0.20,0.93,0.28,-0.20,0.86,0.35,1.63
0.19,1.79,0.64,-0.26,1.73,0.59,1.71
0.16,1.71,0.58,-0.21,1.63,0.54,1.72
0.17,1.10,0.24,-0.19,1.08,0.25,1.59
0.12,0.99,0.34,-0.12,1.01,0.40,1.66
0.13,1.39,0.26,-0.14,1.40,0.29,1.73
0.84,1.52,0.43,-0.70,1.45,0.49,1.74
0.48,1.56,0.64,-0.34,1.51,0.62,1.75
0.12,1.17,0.59,-0.12,1.17,0.64,1.75
0.09,1.19,0.53,-0.19,1.18,0.56,1.74
0.29,1.51,0.31,-0.39,1.48,0.35,1.75
0.67,1.87,0.54,-0.59,1.80,0.57,1.75
0.37,1.20,0.52,-0.17,1.16,0.60,1.75
0.31,1.47,0.47,-0.13,1.43,0.53,1.74
0.23,1.55,0.45,-0.15,1.52,0.47,1.72
0.18,1.16,0.26,-0.21,1.10,0.29,1.55
0.19,0.69,0.68,-0.19,0.73,0.70,1.54
0.19,0.95,0.57,-0.12,0.95,0.69,1.65
0.30,1.42,0.34,-0.07,0.92,0.73,1.63
0.50,0.72,0.63,-0.01,0.92,0.71,1.64
