x,y,z,x2,y2,z2,altezza
0.40,1.35,0.06,0.18,1.12,0.08,1.56
0.40,1.36,0.06,0.17,1.13,0.08,1.56
0.43,1.37,0.08,0.17,1.13,0.08,1.56
0.28,1.39,0.06,0.06,1.15,0.04,1.57
0.26,1.20,0.03,-0.04,1.15,0.06,1.57
0.26,1.15,0.01,-0.03,1.16,0.05,1.57
0.28,1.14,0.03,0.00,1.13,0.05,1.57
0.22,1.17,0.01,0.04,1.14,0.06,1.57
0.31,1.16,-0.00,0.00,1.14,0.01,1.58
0.19,1.08,0.03,-0.05,1.10,0.03,1.58
0.24,1.08,0.04,-0.06,1.10,0.03,1.59
0.19,1.03,-0.04,-0.06,1.03,-0.04,1.57
0.22,1.03,0.01,-0.05,1.04,0.01,1.56
0.22,1.14,-0.01,-0.04,1.11,-0.00,1.57
0.23,1.10,0.03,-0.02,1.13,0.02,1.57
0.25,1.17,-0.09,-0.09,1.20,-0.04,1.58
0.54,1.28,-0.07,-0.35,1.28,0.00,1.58
0.33,1.13,0.02,-0.13,1.15,0.01,1.57
0.23,1.22,-0.01,-0.01,1.10,0.01,1.56
0.21,1.14,0.00,-0.02,1.10,0.02,1.56
0.18,1.18,-0.01,-0.03,1.13,0.00,1.57
0.17,1.25,-0.03,-0.06,1.12,-0.00,1.57
0.21,1.50,-0.01,-0.05,1.09,0.01,1.59
0.18,0.89,-0.13,-0.03,1.06,0.03,1.58
0.22,1.04,-0.05,-0.03,1.17,0.00,1.58
0.26,1.06,0.01,-0.06,1.11,-0.10,1.58
0.27,1.08,0.01,-0.08,0.82,0.06,1.58
0.24,1.14,-0.01,0.01,1.01,0.03,1.56
0.35,1.17,-0.03,-0.06,1.14,0.04,1.54
0.44,1.18,-0.02,-0.08,1.14,0.04,1.52
0.37,1.14,-0.01,-0.08,1.12,0.02,1.47
0.27,1.12,-0.04,-0.10,1.10,-0.00,1.54
0.19,1.12,-0.04,-0.10,1.11,-0.03,1.58
0.18,1.12,-0.07,-0.09,1.13,-0.06,1.59
0.17,1.19,-0.11,-0.10,1.12,-0.05,1.59
0.21,1.12,-0.04,-0.09,1.13,-0.07,1.59
0.20,1.13,-0.03,-0.10,1.11,-0.04,1.59
0.22,1.12,-0.02,-0.16,1.18,-0.08,1.58
0.27,1.35,-0.04,-0.21,1.31,-0.07,1.58
0.28,1.43,-0.04,-0.26,1.35,-0.08,1.58
0.31,0.81,-0.05,-0.25,0.76,0.02,1.56
0.20,1.00,-0.15,-0.10,0.95,-0.11,1.57
0.16,1.32,-0.10,-0.07,1.25,-0.12,1.56
0.16,1.45,-0.07,-0.07,1.36,-0.10,1.56
0.17,0.77,-0.25,-0.15,0.79,-0.25,1.52
0.14,0.76,-0.02,-0.09,0.76,0.01,1.56
0.13,0.93,-0.14,-0.05,0.87,-0.10,1.55
0.24,0.81,-0.06,-0.02,0.85,-0.07,1.55
0.14,0.87,-0.09,-0.05,0.86,-0.05,1.54
0.23,0.86,-0.08,-0.04,0.90,-0.07,1.55
0.27,0.87,-0.06,-0.11,0.88,-0.03,1.56
0.19,0.94,-0.09,-0.08,0.95,-0.08,1.56
0.21,0.95,-0.07,-0.08,1.13,-0.11,1.57
0.24,0.94,-0.04,-0.51,1.29,-0.16,1.58
0.21,0.98,-0.07,-0.28,1.14,-0.16,1.58
0.16,0.99,-0.07,-0.11,0.91,-0.07,1.57
0.22,0.97,-0.15,-0.05,0.83,0.01,1.57
0.39,1.63,-0.29,-0.06,0.83,-0.01,1.57
0.34,1.21,-0.26,-0.03,0.85,-0.04,1.57
0.23,0.97,-0.11,-0.02,0.88,-0.04,1.58
0.18,1.10,-0.13,-0.04,1.03,-0.09,1.57
0.20,1.38,-0.08,-0.08,1.30,-0.09,1.57
0.18,1.29,-0.13,-0.10,1.24,-0.13,1.58
0.17,0.87,-0.08,-0.14,0.88,-0.06,1.57
0.14,1.10,-0.11,-0.10,1.12,-0.13,1.57
0.48,1.27,-0.25,-0.47,1.25,-0.19,1.57
0.32,1.37,-0.12,-0.18,1.29,-0.10,1.57
0.20,0.87,-0.10,-0.15,0.85,-0.08,1.57
0.18,0.96,-0.09,-0.11,0.90,-0.06,1.57
0.19,1.00,-0.09,-0.10,1.00,-0.11,1.56
0.15,1.10,-0.11,-0.12,1.08,-0.12,1.57
0.17,1.08,-0.08,-0.31,1.38,-0.24,1.58
0.18,1.10,-0.09,-0.27,1.49,-0.15,1.58
0.17,1.08,-0.09,-0.12,1.01,-0.09,1.58
0.18,1.10,-0.12,-0.05,1.00,-0.07,1.58
0.12,0.99,-0.06,-0.04,0.96,-0.04,1.58
0.53,1.53,-0.25,-0.00,0.98,-0.05,1.59
0.44,1.33,-0.19,-0.02,1.00,-0.06,1.58
0.25,1.06,-0.11,-0.08,1.03,-0.07,1.56
0.30,1.12,-0.12,-0.13,1.04,-0.09,1.55
0.11,1.17,-0.11,-0.25,1.02,-0.07,1.56
-0.11,1.19,-0.06,0.08,1.06,-0.14,1.57
0.33,1.15,-0.17,-0.23,1.06,-0.16,1.56
0.22,1.02,-0.08,-0.13,1.05,-0.13,1.54
0.18,1.10,-0.13,-0.13,1.11,-0.16,1.54
0.19,1.35,-0.11,-0.13,1.30,-0.14,1.56
0.15,0.94,-0.21,-0.19,0.95,-0.23,1.54
0.18,0.95,-0.13,-0.10,0.90,-0.10,1.56
0.18,1.24,-0.15,-0.04,1.01,-0.12,1.56
0.22,1.36,-0.08,-0.02,1.01,-0.11,1.56
0.24,1.45,-0.03,-0.03,0.99,-0.06,1.57
0.21,0.91,-0.17,-0.06,0.98,-0.03,1.57
0.05,1.20,-0.12,-0.06,1.00,-0.06,1.57
0.07,1.32,-0.13,-0.08,1.00,-0.07,1.57
0.06,1.30,-0.10,-0.07,1.00,-0.07,1.58
0.53,1.29,-0.22,-0.05,0.99,-0.07,1.58
0.33,1.18,-0.13,-0.05,1.04,-0.09,1.57
0.23,1.11,-0.10,-0.09,1.07,-0.10,1.57
0.20,0.99,-0.07,-0.09,1.01,-0.10,1.58
0.34,1.56,-0.01,-0.21,1.55,-0.02,1.58
0.29,1.35,-0.10,-0.16,1.25,-0.12,1.57
0.26,1.24,-0.09,-0.12,1.29,-0.10,1.57
0.27,1.23,-0.07,-0.10,0.79,-0.03,1.57
0.22,1.23,-0.10,-0.11,1.11,-0.14,1.57
0.24,1.22,-0.09,-0.40,1.25,-0.17,1.58
0.22,1.24,-0.09,-0.09,1.12,-0.14,1.58
0.21,1.33,-0.09,-0.05,1.23,-0.11,1.57
0.22,1.47,-0.05,-0.12,1.37,-0.11,1.58
0.19,0.89,-0.22,-0.17,0.86,-0.22,1.55
0.17,0.92,-0.11,-0.10,0.91,-0.11,1.57
0.21,1.00,-0.11,-0.08,1.05,-0.15,1.57
