x,y,z,x2,y2,z2,altezza
0.14,1.20,-0.39,-0.13,1.15,-0.40,1.59
0.14,1.20,-0.39,-0.13,1.15,-0.40,1.59
0.14,1.20,-0.39,-0.13,1.15,-0.40,1.59
0.14,1.20,-0.39,-0.13,1.15,-0.40,1.59
0.14,1.20,-0.39,-0.13,1.15,-0.40,1.59
0.14,1.20,-0.39,-0.13,1.15,-0.40,1.59
0.14,1.20,-0.39,-0.13,1.15,-0.40,1.59
0.12,1.20,-0.40,-0.12,1.15,-0.39,1.59
0.11,1.20,-0.40,-0.13,1.16,-0.40,1.59
0.09,1.20,-0.40,-0.13,1.17,-0.40,1.59
0.11,1.23,-0.39,-0.16,1.23,-0.39,1.60
0.10,1.22,-0.39,-0.14,1.21,-0.39,1.59
0.06,1.18,-0.40,-0.11,1.21,-0.39,1.59
0.04,1.18,-0.40,-0.10,1.20,-0.38,1.59
0.04,1.19,-0.40,-0.09,1.20,-0.38,1.59
0.04,1.24,-0.40,-0.10,1.19,-0.39,1.59
0.05,1.25,-0.41,-0.10,1.21,-0.39,1.59
0.06,1.14,-0.45,-0.11,1.21,-0.40,1.59
0.10,1.15,-0.42,-0.11,1.22,-0.39,1.59
0.08,1.18,-0.41,-0.09,1.24,-0.38,1.59
0.06,1.20,-0.41,-0.15,1.00,-0.38,1.59
0.07,1.21,-0.41,-0.11,1.08,-0.40,1.59
0.06,1.22,-0.41,-0.08,1.20,-0.42,1.59
0.06,1.22,-0.41,-0.07,1.24,-0.41,1.59
0.06,1.23,-0.42,-0.07,1.23,-0.41,1.59
0.06,1.23,-0.42,-0.09,1.24,-0.42,1.59
0.05,1.22,-0.42,-0.08,1.23,-0.41,1.60
0.05,1.21,-0.42,-0.10,1.24,-0.41,1.60
0.07,1.22,-0.42,-0.10,1.23,-0.41,1.59
0.07,1.22,-0.42,-0.11,1.23,-0.41,1.59
0.08,1.21,-0.42,-0.11,1.23,-0.41,1.59
0.09,1.22,-0.42,-0.12,1.22,-0.41,1.59
0.17,1.23,-0.43,-0.19,1.24,-0.42,1.59
0.24,1.31,-0.43,-0.26,1.31,-0.42,1.59
0.26,1.19,-0.43,-0.33,1.18,-0.40,1.59
0.19,1.26,-0.43,-0.22,1.27,-0.41,1.59
0.12,1.24,-0.44,-0.14,1.26,-0.41,1.59
0.09,1.31,-0.44,-0.10,1.31,-0.41,1.60
0.08,1.08,-0.48,-0.14,1.08,-0.45,1.59
0.09,1.18,-0.45,-0.12,1.17,-0.42,1.60
0.07,1.25,-0.44,-0.10,1.24,-0.41,1.60
0.08,1.24,-0.43,-0.09,1.24,-0.40,1.60
0.09,1.24,-0.43,-0.09,1.26,-0.43,1.60
0.10,1.25,-0.43,-0.10,1.27,-0.43,1.60
0.10,1.26,-0.43,-0.11,1.27,-0.45,1.60
0.10,1.27,-0.43,-0.11,1.28,-0.45,1.60
0.09,1.27,-0.43,-0.12,1.29,-0.46,1.60
0.09,1.27,-0.42,-0.43,1.32,-0.44,1.59
0.09,1.27,-0.42,-0.45,1.30,-0.36,1.59
0.08,1.28,-0.42,-0.33,1.30,-0.40,1.59
0.09,1.28,-0.43,-0.19,1.24,-0.42,1.59
0.18,1.36,-0.46,-0.14,1.22,-0.42,1.60
0.34,1.55,-0.37,-0.15,1.23,-0.41,1.59
0.22,1.40,-0.41,-0.15,1.24,-0.40,1.59
0.10,1.25,-0.43,-0.11,1.24,-0.40,1.59
0.07,1.27,-0.43,-0.09,1.26,-0.41,1.59
0.07,1.28,-0.44,-0.10,1.26,-0.43,1.59
0.08,1.13,-0.46,-0.13,1.10,-0.45,1.60
0.07,1.25,-0.45,-0.12,1.26,-0.44,1.59
0.23,1.28,-0.47,-0.32,1.29,-0.43,1.60
0.29,1.30,-0.41,-0.37,1.27,-0.38,1.60
0.08,1.10,-0.43,-0.14,1.10,-0.44,1.59
0.10,1.23,-0.45,-0.15,1.23,-0.44,1.60
0.08,1.27,-0.44,-0.14,1.27,-0.43,1.60
0.08,1.22,-0.45,-0.12,1.26,-0.46,1.60
0.09,1.21,-0.44,-0.20,1.39,-0.50,1.60
0.09,1.20,-0.44,-0.39,1.58,-0.30,1.60
0.09,1.23,-0.43,-0.32,1.44,-0.33,1.60
0.07,1.25,-0.44,-0.14,1.20,-0.43,1.60
0.11,1.27,-0.47,-0.11,1.19,-0.43,1.60
0.36,1.49,-0.50,-0.13,1.19,-0.43,1.60
0.34,1.49,-0.41,-0.13,1.20,-0.42,1.60
0.16,1.25,-0.45,-0.11,1.19,-0.42,1.60
0.12,1.20,-0.46,-0.10,1.21,-0.43,1.60
0.06,1.27,-0.48,-0.07,1.27,-0.45,1.60
0.03,1.26,-0.48,-0.20,1.24,-0.49,1.60
0.00,1.07,-0.36,-0.41,1.05,-0.30,1.60
0.09,1.16,-0.41,-0.24,1.16,-0.39,1.60
0.08,1.19,-0.42,-0.13,1.22,-0.42,1.60
0.09,1.27,-0.44,-0.09,1.29,-0.43,1.60
0.10,1.21,-0.48,-0.12,1.19,-0.48,1.60
0.12,1.11,-0.45,-0.15,1.10,-0.44,1.60
0.09,1.26,-0.45,-0.14,1.25,-0.42,1.60
0.08,1.24,-0.45,-0.11,1.22,-0.40,1.60
0.09,1.28,-0.46,-0.10,1.21,-0.40,1.60
0.14,1.04,-0.49,-0.15,1.23,-0.40,1.60
0.10,1.18,-0.47,-0.14,1.23,-0.40,1.60
0.06,1.24,-0.45,-0.13,1.22,-0.41,1.60
0.07,1.24,-0.44,-0.14,1.21,-0.41,1.60
0.43,1.29,-0.44,-0.15,1.22,-0.40,1.60
0.26,1.25,-0.47,-0.13,1.22,-0.41,1.60
0.12,1.21,-0.45,-0.13,1.24,-0.41,1.60
0.12,1.24,-0.46,-0.15,1.28,-0.44,1.60
0.37,1.54,-0.40,-0.38,1.50,-0.38,1.60
0.26,1.41,-0.42,-0.27,1.39,-0.40,1.60
0.16,1.34,-0.42,-0.12,1.29,-0.45,1.60
0.13,1.31,-0.42,-0.18,0.98,-0.46,1.60
0.13,1.30,-0.42,-0.10,1.21,-0.46,1.60
0.10,1.28,-0.42,-0.35,1.30,-0.47,1.60
0.12,1.28,-0.42,-0.38,1.26,-0.42,1.60
0.10,1.24,-0.44,-0.09,1.24,-0.45,1.59
0.11,1.27,-0.45,-0.10,1.26,-0.45,1.59
0.11,1.19,-0.49,-0.10,1.18,-0.48,1.60
0.14,1.14,-0.47,-0.15,1.13,-0.48,1.60
0.15,1.22,-0.46,-0.14,1.21,-0.51,1.60
0.13,1.21,-0.45,-0.42,1.12,-0.49,1.60
0.12,1.19,-0.45,-0.42,1.09,-0.40,1.60
0.12,1.16,-0.45,-0.15,1.13,-0.46,1.60
0.35,1.19,-0.43,-0.17,1.15,-0.45,1.60
0.15,1.20,-0.47,-0.15,1.19,-0.45,1.60
0.15,1.25,-0.48,-0.18,1.26,-0.47,1.60
0.19,1.30,-0.48,-0.23,1.32,-0.48,1.60
0.37,1.52,-0.36,-0.44,1.45,-0.39,1.60
0.20,1.36,-0.45,-0.24,1.30,-0.43,1.60
0.12,1.30,-0.49,-0.16,1.20,-0.42,1.60
0.11,1.07,-0.47,-0.12,1.25,-0.41,1.60
0.13,1.22,-0.46,-0.14,1.07,-0.52,1.60
0.13,1.07,-0.46,-0.11,0.98,-0.43,1.60
0.10,1.00,-0.46,-0.13,0.97,-0.43,1.60
0.12,1.04,-0.52,-0.12,1.01,-0.53,1.60
0.12,1.29,-0.48,-0.17,1.30,-0.47,1.60
0.09,1.23,-0.46,-0.13,1.23,-0.45,1.60
0.09,1.28,-0.45,-0.13,1.26,-0.44,1.60
0.09,1.28,-0.46,-0.12,1.27,-0.44,1.60
0.09,1.29,-0.46,-0.11,1.29,-0.45,1.60
0.11,0.99,-0.49,-0.16,0.98,-0.46,1.59
0.11,1.01,-0.46,-0.13,1.02,-0.44,1.60
0.10,1.01,-0.47,-0.13,1.02,-0.45,1.60
0.11,0.92,-0.47,-0.13,0.93,-0.45,1.60
0.13,1.37,-0.50,-0.18,1.35,-0.50,1.60
0.11,1.33,-0.47,-0.11,1.33,-0.46,1.60
0.10,1.27,-0.50,-0.10,1.27,-0.48,1.60
0.13,1.00,-0.47,-0.14,1.00,-0.45,1.60
0.10,1.23,-0.49,-0.09,1.25,-0.48,1.60
0.19,1.28,-0.50,-0.22,1.28,-0.49,1.60
0.36,1.31,-0.42,-0.38,1.26,-0.41,1.60
0.17,1.21,-0.48,-0.20,1.22,-0.45,1.60
0.14,1.22,-0.47,-0.21,1.22,-0.46,1.60
0.19,1.26,-0.48,-0.26,1.28,-0.47,1.60
0.50,1.62,-0.37,-0.48,1.58,-0.44,1.60
0.39,1.48,-0.35,-0.38,1.47,-0.32,1.60
0.20,1.32,-0.46,-0.16,1.34,-0.41,1.60
0.13,1.26,-0.46,-0.10,1.25,-0.42,1.60
0.11,1.22,-0.49,-0.10,1.21,-0.45,1.60
0.16,0.98,-0.46,-0.13,0.96,-0.41,1.60
0.19,1.26,-0.47,-0.15,1.17,-0.44,1.60
0.21,1.30,-0.47,-0.16,1.19,-0.43,1.60
0.32,1.02,-0.51,-0.15,1.20,-0.41,1.60
0.23,1.13,-0.47,-0.17,1.22,-0.43,1.60
0.15,1.21,-0.44,-0.24,1.27,-0.46,1.60
0.18,1.23,-0.43,-0.44,0.90,-0.42,1.59
0.18,1.24,-0.44,-0.33,1.06,-0.43,1.60
0.14,1.26,-0.44,-0.16,1.29,-0.45,1.60
0.13,1.30,-0.45,-0.12,1.32,-0.45,1.60
0.14,0.99,-0.51,-0.19,1.00,-0.50,1.60
0.17,0.94,-0.45,-0.15,0.95,-0.44,1.60
0.12,0.93,-0.50,-0.13,0.92,-0.49,1.60
0.14,1.39,-0.46,-0.16,1.37,-0.46,1.60
0.10,1.24,-0.47,-0.16,1.26,-0.44,1.60
0.13,1.26,-0.47,-0.14,1.18,-0.43,1.60
0.20,1.27,-0.49,-0.14,1.16,-0.43,1.60
0.46,1.31,-0.40,-0.14,1.16,-0.42,1.60
0.24,1.22,-0.47,-0.11,1.17,-0.44,1.60
0.13,1.17,-0.47,-0.10,1.17,-0.46,1.60
0.17,1.17,-0.46,-0.12,1.22,-0.49,1.60
0.16,1.19,-0.46,-0.50,1.33,-0.44,1.60
0.13,1.20,-0.46,-0.36,1.24,-0.42,1.60
0.12,1.21,-0.47,-0.15,1.18,-0.45,1.60
0.15,1.23,-0.49,-0.13,1.17,-0.44,1.60
0.34,1.17,-0.52,-0.13,1.17,-0.44,1.60
0.41,1.05,-0.42,-0.12,1.18,-0.43,1.59
0.19,1.15,-0.48,-0.10,1.18,-0.44,1.60
0.15,1.19,-0.48,-0.11,1.26,-0.48,1.60
0.17,1.20,-0.47,-0.37,0.96,-0.42,1.60
0.15,1.23,-0.48,-0.23,1.10,-0.45,1.60
0.14,0.98,-0.54,-0.18,1.15,-0.44,1.60
0.11,1.03,-0.49,-0.12,1.22,-0.44,1.60
0.14,1.16,-0.47,-0.14,1.19,-0.51,1.60
0.15,1.22,-0.47,-0.14,1.06,-0.49,1.60
0.11,1.23,-0.48,-0.12,1.24,-0.48,1.60
0.12,1.32,-0.46,-0.10,1.32,-0.46,1.60
0.14,0.91,-0.50,-0.19,0.91,-0.49,1.60
0.13,1.03,-0.50,-0.17,1.03,-0.48,1.60
0.12,1.17,-0.51,-0.17,1.17,-0.50,1.60
0.11,1.21,-0.49,-0.14,1.20,-0.49,1.60
0.14,1.23,-0.49,-0.16,1.22,-0.49,1.60
0.16,1.26,-0.49,-0.20,1.26,-0.49,1.60
0.50,1.68,-0.38,-0.56,1.59,-0.40,1.60
0.35,1.52,-0.36,-0.43,1.47,-0.32,1.60
0.22,1.36,-0.44,-0.27,1.34,-0.40,1.60
0.09,1.18,-0.45,-0.12,1.19,-0.42,1.60
0.09,1.19,-0.47,-0.08,1.20,-0.43,1.60
0.09,1.20,-0.47,-0.08,1.19,-0.44,1.60
0.09,1.21,-0.48,-0.09,1.20,-0.45,1.60
0.10,1.22,-0.49,-0.10,1.23,-0.46,1.60
0.09,1.24,-0.49,-0.12,1.26,-0.48,1.60
0.37,1.29,-0.52,-0.37,1.29,-0.49,1.60
0.33,1.25,-0.45,-0.37,1.21,-0.43,1.60
0.15,1.15,-0.46,-0.29,1.10,-0.48,1.60
0.12,1.14,-0.45,-0.29,1.41,-0.45,1.60
0.18,1.09,-0.47,-0.23,1.27,-0.45,1.60
0.31,1.25,-0.54,-0.14,1.12,-0.42,1.60
0.22,1.32,-0.49,-0.16,1.13,-0.42,1.59
0.10,1.14,-0.48,-0.11,1.14,-0.43,1.60
0.13,1.28,-0.48,-0.10,1.27,-0.47,1.60
0.15,1.03,-0.48,-0.21,1.03,-0.47,1.60
0.42,1.32,-0.44,-0.49,1.33,-0.42,1.60
0.33,1.27,-0.43,-0.38,1.29,-0.41,1.60
0.14,1.22,-0.47,-0.15,1.22,-0.46,1.60
0.10,1.23,-0.46,-0.09,1.22,-0.46,1.60
0.09,1.25,-0.48,-0.09,1.25,-0.47,1.60
0.10,1.05,-0.52,-0.15,1.05,-0.52,1.60
0.24,1.33,-0.51,-0.32,1.33,-0.49,1.60
0.38,1.31,-0.44,-0.43,1.26,-0.42,1.60
0.12,1.29,-0.52,-0.14,1.31,-0.50,1.60
0.15,1.09,-0.51,-0.16,1.05,-0.48,1.60
0.11,1.18,-0.51,-0.13,1.18,-0.50,1.60
0.12,1.18,-0.49,-0.23,1.18,-0.53,1.60
0.13,1.18,-0.48,-0.38,1.09,-0.45,1.60
0.49,1.15,-0.45,-0.21,1.11,-0.45,1.60
0.18,1.22,-0.48,-0.16,1.20,-0.47,1.60
0.48,1.37,-0.56,-0.57,1.31,-0.51,1.60
0.38,1.33,-0.47,-0.47,1.26,-0.41,1.60
0.25,1.34,-0.46,-0.29,1.31,-0.45,1.60
0.31,1.33,-0.47,-0.30,1.30,-0.46,1.60
0.38,1.09,-0.45,-0.40,1.04,-0.41,1.60
0.28,1.19,-0.50,-0.31,1.16,-0.47,1.60
0.28,0.95,-0.49,-0.29,0.95,-0.47,1.60
0.35,1.19,-0.60,-0.39,1.17,-0.58,1.59
0.24,1.37,-0.48,-0.31,1.37,-0.44,1.59
0.16,1.29,-0.52,-0.20,1.33,-0.48,1.60
0.14,0.92,-0.52,-0.14,0.93,-0.50,1.59
0.15,0.87,-0.49,-0.14,1.05,-0.47,1.60
0.14,0.89,-0.54,-0.15,1.05,-0.45,1.60
0.13,1.23,-0.54,-0.13,1.00,-0.45,1.60
0.12,1.16,-0.49,-0.13,0.95,-0.52,1.60
0.16,1.16,-0.48,-0.23,1.37,-0.52,1.60
0.10,1.23,-0.49,-0.13,1.27,-0.48,1.60
0.50,1.35,-0.50,-0.53,1.30,-0.50,1.60
0.35,1.30,-0.46,-0.38,1.23,-0.46,1.60
0.28,1.30,-0.53,-0.18,1.21,-0.48,1.60
0.41,1.01,-0.51,-0.24,1.26,-0.48,1.60
0.27,1.08,-0.48,-0.51,0.99,-0.49,1.59
0.24,1.15,-0.49,-0.36,1.03,-0.47,1.59
0.19,1.25,-0.48,-0.21,1.25,-0.49,1.59
0.13,1.20,-0.55,-0.17,1.21,-0.55,1.59
0.15,0.97,-0.48,-0.14,0.96,-0.48,1.59
0.12,1.06,-0.50,-0.13,1.04,-0.48,1.60
0.13,0.95,-0.50,-0.13,0.95,-0.49,1.60
0.17,1.30,-0.60,-0.19,1.27,-0.61,1.60
0.16,1.32,-0.51,-0.18,1.32,-0.50,1.60
0.14,1.31,-0.51,-0.15,1.31,-0.48,1.60
0.14,0.86,-0.48,-0.15,0.87,-0.47,1.60
0.13,0.85,-0.44,-0.12,0.86,-0.43,1.60
0.11,0.95,-0.53,-0.12,0.90,-0.50,1.60
0.12,1.30,-0.52,-0.15,1.28,-0.53,1.60
0.20,1.31,-0.54,-0.28,1.31,-0.52,1.60
0.50,1.30,-0.44,-0.54,1.19,-0.43,1.60
0.31,1.23,-0.48,-0.35,1.19,-0.47,1.60
0.17,1.10,-0.46,-0.29,1.33,-0.56,1.60
0.14,1.10,-0.46,-0.47,1.59,-0.36,1.60
0.12,1.18,-0.45,-0.37,1.35,-0.40,1.60
0.46,1.64,-0.27,-0.31,1.24,-0.43,1.60
0.32,1.48,-0.39,-0.27,1.20,-0.44,1.60
0.18,1.20,-0.48,-0.19,1.18,-0.45,1.60
0.13,1.18,-0.48,-0.15,1.18,-0.47,1.60
0.17,1.24,-0.51,-0.17,1.22,-0.50,1.60
0.52,1.29,-0.34,-0.53,1.23,-0.40,1.60
0.23,1.29,-0.47,-0.27,1.26,-0.47,1.60
0.13,1.29,-0.49,-0.14,1.27,-0.49,1.60
0.14,0.94,-0.50,-0.15,0.93,-0.49,1.60
0.13,0.91,-0.47,-0.13,0.91,-0.46,1.60
0.11,0.82,-0.46,-0.13,0.80,-0.43,1.60
0.14,1.23,-0.57,-0.19,1.16,-0.59,1.60
0.15,1.37,-0.48,-0.19,1.35,-0.48,1.60
0.14,0.94,-0.56,-0.21,0.92,-0.53,1.60
0.16,1.02,-0.48,-0.16,1.04,-0.47,1.60
0.20,1.34,-0.50,-0.21,1.34,-0.49,1.60
0.37,1.62,-0.33,-0.48,1.51,-0.37,1.60
0.21,1.42,-0.47,-0.25,1.28,-0.45,1.60
0.16,1.29,-0.56,-0.16,1.13,-0.42,1.60
0.15,0.83,-0.46,-0.20,1.15,-0.41,1.59
0.12,0.95,-0.49,-0.16,1.13,-0.44,1.60
0.13,1.00,-0.48,-0.13,1.07,-0.47,1.60
0.16,1.01,-0.46,-0.12,1.29,-0.51,1.60
0.18,1.07,-0.46,-0.18,0.98,-0.50,1.60
0.14,1.11,-0.48,-0.19,1.08,-0.49,1.60
0.13,1.15,-0.51,-0.19,1.15,-0.50,1.60
0.12,1.22,-0.53,-0.15,1.22,-0.52,1.60
0.14,1.27,-0.53,-0.15,1.26,-0.52,1.60
0.60,1.33,-0.42,-0.57,1.22,-0.50,1.60
0.40,1.31,-0.46,-0.33,1.23,-0.49,1.60
0.20,1.31,-0.50,-0.21,1.27,-0.49,1.60
0.14,1.29,-0.52,-0.14,1.30,-0.49,1.60
0.14,0.94,-0.50,-0.14,0.92,-0.48,1.60
0.15,0.89,-0.49,-0.12,0.89,-0.46,1.60
0.12,0.89,-0.48,-0.12,0.89,-0.47,1.59
0.12,0.85,-0.46,-0.11,0.85,-0.44,1.59
0.16,1.41,-0.53,-0.19,1.37,-0.54,1.59
0.15,1.37,-0.46,-0.18,1.41,-0.38,1.59
0.14,1.34,-0.45,-0.14,1.33,-0.41,1.60
0.16,1.29,-0.52,-0.14,1.27,-0.48,1.60
0.17,1.32,-0.53,-0.17,1.30,-0.51,1.60
0.53,1.65,-0.44,-0.55,1.56,-0.48,1.60
0.42,1.57,-0.39,-0.45,1.48,-0.40,1.59
0.22,1.32,-0.49,-0.21,1.30,-0.45,1.59
0.16,0.99,-0.55,-0.15,0.95,-0.52,1.59
0.17,0.93,-0.48,-0.14,0.89,-0.44,1.59
0.29,1.08,-0.54,-0.28,1.01,-0.52,1.60
0.21,1.32,-0.50,-0.25,1.29,-0.49,1.59
0.10,0.94,-0.49,-0.16,0.94,-0.49,1.59
0.10,0.98,-0.49,-0.09,0.99,-0.48,1.59
0.10,1.23,-0.49,-0.11,1.24,-0.50,1.59
0.10,1.31,-0.47,-0.13,1.29,-0.48,1.59
0.10,1.26,-0.52,-0.11,1.26,-0.51,1.59
0.14,0.87,-0.51,-0.17,0.84,-0.48,1.59
0.19,1.10,-0.55,-0.15,1.04,-0.55,1.57
0.20,1.24,-0.53,-0.17,1.24,-0.54,1.56
0.16,1.15,-0.51,-0.15,1.16,-0.51,1.57
0.09,0.97,-0.44,-0.09,0.94,-0.40,1.57
0.08,0.99,-0.45,-0.10,1.00,-0.44,1.57
0.08,0.99,-0.44,-0.10,1.00,-0.42,1.57
0.08,0.99,-0.44,-0.10,1.00,-0.42,1.57
0.08,0.99,-0.44,-0.10,1.00,-0.42,1.57
0.08,0.99,-0.44,-0.10,1.00,-0.42,1.57
0.08,0.99,-0.44,-0.10,1.00,-0.42,1.57
0.08,0.99,-0.44,-0.10,1.00,-0.42,1.57
0.08,0.99,-0.44,-0.10,1.00,-0.42,1.57
0.08,0.99,-0.44,-0.10,1.00,-0.42,1.57
0.08,0.99,-0.44,-0.10,1.00,-0.42,1.57
