distanza,altezza,distanzaDx,distanzaSx,Sesso
0.23,1.41,0.0,0.0,1
0.23,1.41,0.01,0.0,1
0.22,1.41,0.01,0.01,1
0.28,1.42,0.05,0.1,1
0.26,1.43,0.05,0.06,1
0.26,1.43,0.06,0.04,1
0.22,1.43,0.06,0.02,1
0.25,1.43,0.08,0.06,1
0.25,1.44,0.04,0.04,1
0.25,1.44,0.02,0.01,1
0.35,1.44,0.12,0.02,1
0.69,1.44,0.3,0.09,1
0.77,1.44,0.17,0.19,1
0.46,1.44,0.13,0.21,1
0.35,1.44,0.08,0.05,1
0.3,1.43,0.04,0.03,1
0.26,1.43,0.02,0.02,1
0.27,1.43,0.01,0.04,1
0.34,1.43,0.03,0.12,1
0.38,1.43,0.01,0.24,1
0.32,1.43,0.05,0.15,1
0.4,1.42,0.15,0.03,1
0.37,1.42,0.17,0.03,1
0.3,1.42,0.05,0.03,1
0.3,1.42,0.03,0.01,1
0.29,1.42,0.02,0.01,1
0.29,1.42,0.02,0.0,1
0.29,1.41,0.01,0.01,1
0.28,1.41,0.03,0.01,1
0.29,1.41,0.02,0.0,1
0.3,1.41,0.01,0.01,1
0.29,1.41,0.01,0.01,1
0.29,1.41,0.0,0.0,1
0.31,1.41,0.04,0.01,1
0.37,1.42,0.1,0.01,1
0.58,1.42,0.21,0.13,1
0.49,1.43,0.13,0.12,1
0.39,1.42,0.04,0.13,1
0.33,1.42,0.06,0.05,1
0.24,1.42,0.12,0.08,1
0.27,1.43,0.2,0.16,1
0.26,1.43,0.08,0.08,1
0.25,1.43,0.08,0.05,1
0.24,1.44,0.03,0.03,1
0.24,1.44,0.04,0.02,1
0.26,1.44,0.04,0.02,1
0.21,1.43,0.03,0.01,1
0.19,1.42,0.05,0.08,1
0.34,1.42,0.22,0.06,1
0.7,1.43,0.39,0.02,1
0.5,1.42,0.22,0.03,1
0.3,1.43,0.25,0.05,1
0.39,1.44,0.17,0.25,1
0.71,1.44,0.08,0.41,1
0.61,1.43,0.02,0.14,1
0.29,1.43,0.02,0.35,1
0.22,1.43,0.03,0.1,1
0.21,1.42,0.07,0.07,1
0.26,1.42,0.14,0.12,1
0.31,1.43,0.21,0.16,1
0.31,1.43,0.17,0.07,1
0.88,1.43,0.42,0.23,1
0.75,1.43,0.2,0.04,1
0.29,1.42,0.39,0.36,1
0.32,1.42,0.11,0.15,1
0.31,1.43,0.1,0.06,1
0.31,1.43,0.08,0.05,1
0.81,1.44,0.56,0.07,1
0.74,1.44,0.17,0.05,1
0.37,1.43,0.38,0.04,1
0.28,1.43,0.14,0.04,1
0.44,1.44,0.05,0.25,1
0.85,1.45,0.1,0.51,1
0.48,1.44,0.06,0.38,1
0.23,1.43,0.02,0.27,1
0.24,1.43,0.05,0.05,1
0.26,1.43,0.1,0.13,1
0.49,1.44,0.12,0.31,1
0.66,1.44,0.27,0.29,1
0.35,1.43,0.12,0.19,1
0.26,1.43,0.11,0.06,1
0.23,1.43,0.13,0.15,1
0.31,1.43,0.25,0.25,1
0.3,1.43,0.05,0.06,1
0.3,1.43,0.09,0.08,1
0.27,1.43,0.04,0.02,1
0.36,1.43,0.02,0.12,1
0.4,1.43,0.01,0.27,1
0.3,1.43,0.03,0.09,1
0.27,1.43,0.03,0.05,1
0.48,1.43,0.01,0.23,1
0.62,1.43,0.02,0.19,1
0.33,1.43,0.02,0.3,1
0.28,1.43,0.02,0.06,1
0.58,1.44,0.3,0.33,1
1.07,1.44,0.42,0.33,1
