distanza,altezza,distanzaDx,distanzaSx,Sesso
0.22,1.75,0.0,0.0,0
0.23,1.75,0.01,0.0,0
0.23,1.75,0.0,0.01,0
0.2,1.76,0.04,0.04,0
0.23,1.76,0.04,0.06,0
0.22,1.76,0.01,0.02,0
0.23,1.76,0.05,0.04,0
0.15,1.76,0.09,0.12,0
0.1,1.76,0.07,0.07,0
0.11,1.76,0.06,0.04,0
0.11,1.76,0.09,0.11,0
1.2,1.76,0.58,0.53,0
0.95,1.76,0.16,0.11,0
0.24,1.76,0.36,0.35,0
0.26,1.76,0.01,0.01,0
0.26,1.76,0.03,0.01,0
0.26,1.76,0.13,0.13,0
0.27,1.76,0.04,0.07,0
0.37,1.75,0.04,0.19,0
0.79,1.73,0.03,0.57,0
0.75,1.75,0.1,0.13,0
0.41,1.73,0.78,0.1,0
0.26,1.75,0.23,0.06,0
0.23,1.76,0.24,0.05,0
0.21,1.76,0.05,0.05,0
0.21,1.75,0.03,0.02,0
0.25,1.75,0.05,0.01,0
0.26,1.75,0.01,0.0,0
0.28,1.75,0.02,0.03,0
0.36,1.75,0.24,0.22,0
0.43,1.75,0.05,0.09,0
0.5,1.73,0.07,0.12,0
0.55,1.73,0.03,0.07,0
0.64,1.73,0.05,0.06,0
0.69,1.71,0.03,0.04,0
0.72,1.69,0.61,0.63,0
0.74,1.72,0.14,0.17,0
0.44,1.73,0.41,0.39,0
0.18,1.72,0.15,0.17,0
0.18,1.69,0.06,0.09,0
0.15,1.67,0.57,0.59,0
0.15,1.72,0.16,0.14,0
0.19,1.73,0.2,0.22,0
0.19,1.74,0.06,0.07,0
0.17,1.75,0.12,0.11,0
0.16,1.76,0.02,0.04,0
0.19,1.76,0.02,0.08,0
0.28,1.76,0.08,0.08,0
0.48,1.76,0.22,0.05,0
0.8,1.76,0.6,0.03,0
0.43,1.76,0.42,0.07,0
0.43,1.76,0.2,0.2,0
0.52,1.76,0.02,0.08,0
0.95,1.78,0.04,0.5,0
0.45,1.77,0.05,0.53,0
0.27,1.76,0.1,0.14,0
0.25,1.74,0.11,0.1,0
0.25,1.67,0.11,0.11,0
0.29,1.6,0.49,0.47,0
0.19,1.68,0.26,0.25,0
0.24,1.71,0.4,0.39,0
1.15,1.74,0.66,0.55,0
0.3,1.68,0.54,0.51,0
0.14,1.71,0.64,0.57,0
0.17,1.74,0.33,0.24,0
0.13,1.75,0.14,0.16,0
