distanza,altezza,distanzaDx,distanzaSx,Sesso
0.37,1.7,0.0,0.0,0
0.38,1.7,0.0,0.01,0
0.36,1.7,0.01,0.02,0
0.36,1.7,0.01,0.01,0
0.31,1.72,0.05,0.13,0
0.27,1.73,0.1,0.08,0
0.17,1.72,0.15,0.09,0
0.14,1.71,0.06,0.07,0
0.19,1.71,0.09,0.11,0
0.2,1.72,0.05,0.04,0
0.16,1.72,0.02,0.05,0
0.15,1.72,0.03,0.04,0
0.28,1.72,0.21,0.16,0
1.45,1.73,0.61,0.63,0
0.65,1.73,0.42,0.4,0
0.32,1.73,0.24,0.14,0
0.39,1.73,0.06,0.04,0
0.29,1.73,0.06,0.06,0
0.26,1.72,0.05,0.06,0
0.32,1.71,0.04,0.09,0
0.56,1.67,0.06,0.25,0
0.47,1.7,0.08,0.36,0
0.28,1.71,0.09,0.22,0
0.44,1.7,0.45,0.07,0
0.25,1.72,0.23,0.09,0
0.2,1.72,0.13,0.08,0
0.12,1.71,0.06,0.05,0
0.12,1.71,0.04,0.04,0
0.14,1.69,0.03,0.04,0
0.15,1.68,0.05,0.03,0
0.17,1.69,0.08,0.04,0
0.23,1.71,0.01,0.06,0
0.49,1.71,0.08,0.2,0
0.54,1.72,0.03,0.03,0
0.5,1.71,0.02,0.07,0
0.54,1.71,0.01,0.04,0
0.6,1.7,0.11,0.05,0
0.83,1.69,0.55,0.53,0
0.64,1.71,0.18,0.19,0
0.39,1.71,0.22,0.22,0
0.24,1.7,0.23,0.23,0
0.22,1.68,0.15,0.17,0
0.21,1.69,0.39,0.31,0
0.15,1.71,0.22,0.17,0
0.16,1.7,0.05,0.08,0
0.18,1.71,0.09,0.06,0
0.23,1.72,0.12,0.06,0
0.28,1.71,0.05,0.12,0
0.32,1.73,0.1,0.04,0
0.44,1.73,0.12,0.05,0
0.92,1.73,0.47,0.02,0
0.53,1.73,0.36,0.05,0
0.33,1.73,0.3,0.08,0
0.52,1.74,0.06,0.25,0
0.7,1.76,0.04,0.26,0
0.8,1.76,0.02,0.13,0
0.34,1.74,0.03,0.54,0
0.27,1.73,0.1,0.16,0
0.26,1.71,0.22,0.21,0
0.25,1.67,0.05,0.03,0
0.25,1.64,0.68,0.64,0
0.24,1.68,0.28,0.24,0
0.79,1.72,0.6,0.57,0
0.73,1.71,0.05,0.03,0
0.22,1.66,0.73,0.73,0
0.26,1.7,0.21,0.23,0
0.23,1.72,0.24,0.22,0
0.45,1.73,0.27,0.08,0
0.86,1.76,0.37,0.18,0
0.84,1.77,0.15,0.1,0
0.45,1.75,0.42,0.07,0
0.49,1.75,0.21,0.26,0
0.58,1.75,0.1,0.15,0
1.07,1.78,0.05,0.5,0
0.8,1.77,0.03,0.27,0
0.42,1.74,0.03,0.47,0
0.31,1.74,0.08,0.18,0
0.38,1.74,0.09,0.15,0
0.74,1.72,0.28,0.19,0
0.62,1.72,0.64,0.79,0
0.33,1.73,0.23,0.18,0
0.3,1.73,0.2,0.36,0
0.31,1.72,0.16,0.23,0
0.36,1.69,0.43,0.44,0
0.29,1.71,0.41,0.35,0
0.3,1.72,0.34,0.33,0
0.31,1.71,0.09,0.15,0
0.37,1.71,0.03,0.13,0
0.6,1.69,0.07,0.66,0
0.45,1.71,0.08,0.17,0
0.35,1.71,0.08,0.34,0
0.45,1.71,0.04,0.23,0
0.96,1.74,0.05,0.53,0
0.5,1.72,0.05,0.54,0
0.33,1.72,0.09,0.26,0
0.67,1.74,0.35,0.36,0
1.34,1.81,0.57,0.6,0
0.9,1.75,0.32,0.3,0
0.49,1.71,0.39,0.38,0
0.76,1.65,0.68,0.18,0
0.47,1.69,0.34,0.05,0
1.09,1.72,0.81,0.07,0
0.82,1.72,0.35,0.12,0
0.53,1.71,0.28,0.02,0
0.37,1.71,0.19,0.06,0
0.32,1.62,0.09,0.14,0
0.35,1.63,0.77,0.66,0
0.51,1.67,0.35,0.2,0
0.81,1.67,0.31,0.18,0
0.91,1.69,0.34,0.06,0
0.51,1.7,0.52,0.14,0
0.93,1.7,0.11,0.56,0
0.44,1.71,0.03,0.53,0
0.4,1.73,0.17,0.24,0
0.73,1.75,0.4,0.42,0
1.44,1.79,0.52,0.68,0
0.83,1.75,0.55,0.5,0
0.5,1.73,0.29,0.3,0
0.69,1.69,0.03,0.64,0
0.73,1.67,0.17,0.19,0
0.49,1.68,0.63,0.07,0
0.41,1.71,0.27,0.13,0
0.39,1.67,0.27,0.3,0
0.32,1.67,0.67,0.61,0
0.37,1.71,0.17,0.11,0
0.31,1.71,0.05,0.06,0
0.28,1.71,0.04,0.07,0
0.31,1.69,0.06,0.06,0
0.36,1.64,0.15,0.19,0
0.38,1.69,0.43,0.39,0
0.22,1.71,0.27,0.29,0
0.31,1.65,0.21,0.21,0
0.33,1.61,0.54,0.59,0
0.41,1.68,0.09,0.07,0
0.33,1.67,0.07,0.05,0
0.26,1.66,0.61,0.61,0
0.35,1.7,0.15,0.18,0
0.52,1.72,0.53,0.52,0
1.76,1.72,0.73,0.69,0
0.9,1.72,0.56,0.55,0
0.55,1.72,0.21,0.15,0
0.68,1.73,0.32,0.29,0
1.31,1.76,0.49,0.56,0
1.25,1.75,0.17,0.16,0
0.73,1.73,0.49,0.5,0
0.4,1.72,0.22,0.14,0
0.3,1.69,0.1,0.03,0
0.31,1.6,0.56,0.56,0
0.33,1.66,0.13,0.15,0
0.54,1.68,0.18,0.31,0
