velocityDx,velocitySx,velocity,distanza,distanzaDx,distanzaSx,Sesso
0.0,0.0,0.17,0.55,0.0,0.0,1
0.0,0.0,0.17,0.55,0.01,0.01,1
0.0,0.0,0.17,0.56,0.0,0.01,1
0.02,0.01,0.15,0.51,0.06,0.02,1
0.01,0.08,0.1,0.33,0.02,0.27,1
0.01,0.03,0.1,0.32,0.05,0.11,1
0.01,0.0,0.1,0.32,0.02,0.01,1
0.0,0.0,0.1,0.33,0.01,0.01,1
0.0,0.0,0.1,0.34,0.01,0.01,1
0.0,0.0,0.1,0.33,0.0,0.01,1
0.01,0.01,0.09,0.3,0.02,0.02,1
0.02,0.02,0.12,0.41,0.08,0.06,1
0.13,0.12,0.33,1.09,0.42,0.41,1
0.05,0.06,0.24,0.8,0.17,0.19,1
0.05,0.04,0.17,0.57,0.16,0.15,1
0.02,0.04,0.12,0.41,0.06,0.15,1
0.0,0.01,0.12,0.4,0.01,0.02,1
0.0,0.0,0.11,0.38,0.01,0.01,1
0.06,0.0,0.14,0.48,0.19,0.01,1
0.12,0.01,0.13,0.43,0.39,0.03,1
0.08,0.06,0.2,0.65,0.28,0.2,1
0.02,0.03,0.18,0.6,0.08,0.11,1
0.04,0.09,0.16,0.53,0.14,0.29,1
0.02,0.05,0.13,0.43,0.07,0.16,1
0.01,0.01,0.11,0.38,0.02,0.05,1
0.01,0.01,0.11,0.38,0.02,0.02,1
0.0,0.0,0.11,0.37,0.01,0.01,1
0.0,0.0,0.11,0.38,0.01,0.01,1
0.0,0.01,0.12,0.39,0.01,0.02,1
0.0,0.0,0.12,0.39,0.01,0.0,1
0.0,0.0,0.12,0.39,0.01,0.01,1
0.0,0.0,0.12,0.39,0.0,0.0,1
0.0,0.0,0.12,0.39,0.0,0.0,1
0.0,0.0,0.12,0.39,0.01,0.01,1
0.06,0.06,0.18,0.6,0.21,0.21,1
0.03,0.02,0.22,0.73,0.09,0.06,1
0.12,0.08,0.22,0.73,0.39,0.28,1
0.08,0.07,0.17,0.57,0.28,0.25,1
0.07,0.06,0.11,0.37,0.23,0.21,1
0.01,0.01,0.1,0.33,0.04,0.04,1
0.11,0.09,0.1,0.33,0.38,0.31,1
0.03,0.03,0.11,0.36,0.11,0.1,1
0.04,0.03,0.11,0.37,0.13,0.09,1
0.01,0.01,0.1,0.34,0.03,0.03,1
0.0,0.01,0.09,0.31,0.01,0.04,1
0.01,0.01,0.11,0.36,0.02,0.05,1
0.0,0.01,0.11,0.38,0.01,0.02,1
0.0,0.0,0.11,0.37,0.0,0.01,1
0.0,0.01,0.11,0.38,0.01,0.02,1
0.01,0.16,0.27,0.89,0.02,0.54,1
0.02,0.06,0.23,0.78,0.07,0.19,1
0.03,0.09,0.15,0.5,0.09,0.3,1
0.01,0.03,0.12,0.41,0.02,0.1,1
0.21,0.0,0.32,1.07,0.69,0.01,1
0.03,0.01,0.29,0.97,0.11,0.04,1
0.08,0.01,0.21,0.7,0.27,0.04,1
0.07,0.03,0.13,0.43,0.25,0.09,1
0.06,0.06,0.11,0.38,0.19,0.19,1
0.03,0.03,0.11,0.37,0.1,0.1,1
0.05,0.03,0.08,0.27,0.16,0.11,1
0.06,0.04,0.05,0.18,0.2,0.15,1
0.15,0.16,0.34,1.12,0.51,0.52,1
0.1,0.11,0.15,0.51,0.32,0.38,1
0.16,0.14,0.14,0.47,0.52,0.46,1
0.01,0.01,0.14,0.47,0.02,0.04,1
0.01,0.01,0.13,0.42,0.02,0.04,1
0.01,0.02,0.13,0.42,0.02,0.08,1
0.01,0.15,0.26,0.85,0.04,0.51,1
0.01,0.1,0.31,1.02,0.05,0.34,1
0.01,0.13,0.19,0.63,0.04,0.44,1
0.01,0.09,0.1,0.35,0.02,0.29,1
0.04,0.01,0.12,0.4,0.14,0.02,1
