distanza,altezza,distanzaDx,distanzaSx,Sesso
0.5,1.53,0.0,0.0,1
0.49,1.53,0.01,0.0,1
0.5,1.53,0.01,0.01,1
0.47,1.53,0.0,0.1,1
0.46,1.53,0.02,0.08,1
0.31,1.52,0.35,0.15,1
0.26,1.53,0.03,0.05,1
0.27,1.53,0.01,0.01,1
0.27,1.53,0.01,0.0,1
0.26,1.53,0.01,0.01,1
0.26,1.53,0.01,0.01,1
0.26,1.53,0.01,0.03,1
0.98,1.53,0.33,0.44,1
1.07,1.53,0.15,0.16,1
0.48,1.53,0.36,0.35,1
0.35,1.53,0.19,0.11,1
0.32,1.53,0.02,0.05,1
0.29,1.53,0.01,0.05,1
0.48,1.53,0.01,0.23,1
0.78,1.53,0.04,0.4,1
0.51,1.53,0.32,0.74,1
0.76,1.53,0.43,0.1,1
0.4,1.53,0.72,0.08,1
0.52,1.54,0.27,0.05,1
0.58,1.54,0.12,0.05,1
0.52,1.54,0.08,0.14,1
0.58,1.54,0.02,0.23,1
0.59,1.54,0.04,0.02,1
0.51,1.54,0.02,0.12,1
0.52,1.54,0.03,0.05,1
0.52,1.54,0.02,0.0,1
0.55,1.53,0.52,0.55,1
0.48,1.53,0.18,0.22,1
0.5,1.53,0.01,0.01,1
0.51,1.53,0.01,0.02,1
0.58,1.53,0.05,0.07,1
0.79,1.53,0.33,0.49,1
0.65,1.52,0.08,0.12,1
0.52,1.53,0.05,0.16,1
0.49,1.53,0.04,0.03,1
0.39,1.53,0.13,0.13,1
0.4,1.52,0.23,0.36,1
0.3,1.53,0.17,0.25,1
0.34,1.53,0.04,0.03,1
0.39,1.53,0.04,0.03,1
0.42,1.49,0.04,0.03,1
0.43,1.5,0.01,0.01,1
0.49,1.52,0.07,0.03,1
0.39,1.53,0.11,0.02,1
0.51,1.53,0.09,0.06,1
1.0,1.54,0.54,0.03,1
0.69,1.54,0.49,0.1,1
0.67,1.54,0.41,0.07,1
0.84,1.54,0.08,0.19,1
1.38,1.55,0.05,0.69,1
1.2,1.54,0.09,0.22,1
0.66,1.54,0.19,0.46,1
0.43,1.53,0.12,0.25,1
0.41,1.53,0.46,0.48,1
0.37,1.53,0.57,0.62,1
0.23,1.54,0.38,0.51,1
0.27,1.53,0.1,0.07,1
1.27,1.53,0.54,0.55,1
0.51,1.52,0.41,0.38,1
0.45,1.52,0.61,0.63,1
0.43,1.53,0.02,0.06,1
0.37,1.53,0.26,0.09,1
0.63,1.54,0.3,0.04,1
1.16,1.55,0.62,0.07,1
0.97,1.55,0.19,0.05,1
0.52,1.54,0.84,0.02,1
0.71,1.54,0.29,0.17,1
0.91,1.54,0.06,0.26,1
1.42,1.55,0.04,0.69,1
1.17,1.54,0.13,0.27,1
0.71,1.54,0.27,0.41,1
0.75,1.53,0.14,0.18,1
0.62,1.54,0.34,0.23,1
0.39,1.53,0.44,0.86,1
0.36,1.54,0.09,0.1,1
0.41,1.54,0.35,0.28,1
0.41,1.53,0.3,0.29,1
0.39,1.53,0.26,0.28,1
0.4,1.53,0.54,0.6,1
0.39,1.53,0.14,0.06,1
0.46,1.53,0.12,0.1,1
0.93,1.53,0.02,0.7,1
0.72,1.53,0.03,0.24,1
0.46,1.53,0.04,0.26,1
0.48,1.53,0.01,0.28,1
0.52,1.53,0.0,0.09,1
0.96,1.54,0.01,0.6,1
0.98,1.54,0.02,0.33,1
0.56,1.54,0.14,0.47,1
0.6,1.54,0.5,0.39,1
0.97,1.55,0.36,0.53,1
1.06,1.54,0.21,0.1,1
0.61,1.54,0.28,0.34,1
0.59,1.53,0.65,0.25,1
0.39,1.54,0.33,0.06,1
0.6,1.54,0.38,0.05,1
1.03,1.54,0.6,0.09,1
0.6,1.54,0.46,0.07,1
0.47,1.53,0.44,0.37,1
0.4,1.53,0.21,0.16,1
0.35,1.54,0.74,0.72,1
0.28,1.53,0.33,0.17,1
0.52,1.53,0.2,0.07,1
0.86,1.53,0.53,0.11,1
0.58,1.53,0.49,0.34,1
1.02,1.53,0.08,0.78,1
0.6,1.54,0.11,0.44,1
0.42,1.54,0.53,0.48,1
0.5,1.54,0.14,0.15,1
1.21,1.55,0.56,0.69,1
0.94,1.54,0.2,0.19,1
1.02,1.54,0.89,0.25,1
0.56,1.54,0.19,0.84,1
0.87,1.53,0.56,0.14,1
0.61,1.53,0.78,0.16,1
0.52,1.53,0.07,0.15,1
0.49,1.53,0.06,0.17,1
0.36,1.53,0.76,0.8,1
0.34,1.53,0.03,0.02,1
0.37,1.54,0.11,0.1,1
0.37,1.54,0.03,0.04,1
0.35,1.53,0.02,0.02,1
0.35,1.53,0.28,0.26,1
0.39,1.53,0.42,0.48,1
0.37,1.53,0.35,0.35,1
0.39,1.53,0.36,0.4,1
0.37,1.53,0.59,0.67,1
0.34,1.53,0.08,0.09,1
0.3,1.53,0.02,0.03,1
0.34,1.53,0.67,0.72,1
0.28,1.53,0.2,0.23,1
0.32,1.54,0.39,0.48,1
1.47,1.55,0.61,0.66,1
0.81,1.54,0.42,0.41,1
0.55,1.54,0.18,0.21,1
