distanza,altezza,distanzaDx,distanzaSx,Sesso
0.2,1.55,0.0,0.0,1
0.22,1.55,0.01,0.01,1
0.22,1.55,0.0,0.0,1
0.22,1.55,0.0,0.0,1
0.17,1.55,0.01,0.04,1
0.16,1.56,0.0,0.05,1
0.17,1.56,0.01,0.02,1
0.14,1.56,0.02,0.02,1
0.12,1.56,0.01,0.01,1
0.12,1.56,0.01,0.0,1
0.12,1.56,0.01,0.01,1
0.12,1.56,0.01,0.01,1
0.56,1.56,0.15,0.31,1
0.29,1.56,0.14,0.13,1
0.2,1.56,0.03,0.07,1
0.22,1.56,0.02,0.0,1
0.22,1.56,0.01,0.01,1
0.23,1.56,0.02,0.01,1
0.25,1.56,0.02,0.01,1
0.25,1.56,0.1,0.02,1
0.26,1.56,0.06,0.03,1
0.25,1.56,0.03,0.05,1
0.32,1.56,0.02,0.21,1
0.29,1.56,0.02,0.13,1
0.26,1.56,0.02,0.07,1
0.24,1.56,0.01,0.02,1
0.24,1.56,0.01,0.01,1
0.23,1.56,0.01,0.01,1
0.24,1.56,0.02,0.02,1
0.22,1.56,0.01,0.01,1
0.24,1.56,0.01,0.01,1
0.22,1.56,0.01,0.01,1
0.22,1.56,0.01,0.01,1
0.22,1.56,0.01,0.01,1
0.23,1.56,0.01,0.01,1
0.25,1.56,0.04,0.05,1
0.38,1.56,0.14,0.19,1
0.31,1.56,0.14,0.14,1
0.25,1.56,0.02,0.05,1
0.23,1.56,0.01,0.01,1
0.22,1.56,0.11,0.1,1
0.22,1.56,0.09,0.05,1
0.22,1.56,0.05,0.06,1
0.21,1.56,0.01,0.02,1
0.21,1.56,0.01,0.01,1
0.19,1.56,0.01,0.03,1
0.18,1.56,0.01,0.01,1
0.18,1.56,0.0,0.01,1
0.17,1.56,0.01,0.02,1
0.26,1.56,0.01,0.11,1
0.42,1.56,0.02,0.22,1
0.26,1.56,0.01,0.16,1
0.22,1.56,0.06,0.01,1
0.33,1.56,0.16,0.02,1
0.41,1.56,0.16,0.02,1
0.21,1.56,0.25,0.05,1
0.2,1.56,0.02,0.02,1
0.24,1.56,0.05,0.04,1
0.23,1.56,0.02,0.02,1
0.25,1.56,0.18,0.17,1
0.25,1.56,0.2,0.17,1
0.19,1.55,0.08,0.06,1
0.5,1.56,0.15,0.18,1
0.23,1.55,0.2,0.2,1
0.24,1.56,0.16,0.16,1
0.23,1.56,0.0,0.01,1
0.21,1.56,0.03,0.12,1
0.25,1.56,0.02,0.03,1
0.45,1.56,0.01,0.34,1
0.25,1.56,0.02,0.21,1
0.22,1.56,0.06,0.04,1
0.22,1.56,0.04,0.02,1
0.24,1.56,0.07,0.01,1
0.39,1.56,0.23,0.05,1
0.24,1.56,0.2,0.02,1
0.2,1.56,0.06,0.05,1
0.28,1.55,0.06,0.05,1
