distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.31,1.23,1.0,0.0,0.0,1
0.49,1.37,0.99,0.23,0.01,1
0.32,1.24,0.99,0.18,0.05,1
0.33,1.24,0.98,0.03,0.02,1
0.33,1.25,0.99,0.01,0.01,1
0.37,1.29,0.99,0.08,0.0,1
0.25,1.08,1.0,0.21,0.02,1
0.25,1.12,1.06,0.05,0.08,1
0.25,1.05,1.04,0.08,0.04,1
0.24,0.99,0.98,0.08,0.09,1
0.22,0.97,0.98,0.08,0.06,1
0.24,1.04,1.03,0.07,0.05,1
0.23,1.09,1.06,0.07,0.06,1
0.26,1.1,1.08,0.03,0.07,1
0.68,1.16,1.21,0.34,0.37,1
1.05,1.18,1.23,0.19,0.28,1
0.63,1.08,1.06,0.31,0.24,1
0.42,1.0,0.98,0.11,0.16,1
0.28,0.96,0.93,0.09,0.11,1
0.3,0.96,0.84,0.01,0.12,1
0.5,1.18,0.82,0.26,0.03,1
0.58,1.26,0.81,0.11,0.06,1
0.45,0.65,0.77,0.62,0.08,1
0.46,0.84,1.1,0.29,0.36,1
0.61,0.77,0.65,0.13,0.47,1
0.23,0.86,0.76,0.1,0.39,1
0.17,0.9,0.81,0.07,0.13,1
0.16,0.91,0.85,0.03,0.06,1
0.17,0.9,0.86,0.01,0.02,1
0.22,0.9,0.86,0.01,0.05,1
0.26,0.9,0.88,0.0,0.06,1
0.27,0.9,0.87,0.01,0.01,1
0.3,0.83,0.81,0.08,0.06,1
0.26,0.75,0.73,0.09,0.09,1
0.29,0.73,0.72,0.03,0.02,1
0.36,0.8,0.79,0.08,0.09,1
0.44,0.93,0.95,0.13,0.17,1
0.59,1.16,1.23,0.25,0.29,1
1.07,0.6,0.7,0.65,0.68,1
0.64,0.69,0.69,0.22,0.4,1
0.37,0.92,0.92,0.28,0.26,1
0.34,1.13,1.17,0.24,0.28,1
0.3,1.13,1.19,0.1,0.09,1
0.32,0.55,0.57,0.59,0.62,1
0.23,0.81,0.83,0.33,0.3,1
0.21,0.93,0.92,0.17,0.14,1
0.31,0.92,0.99,0.01,0.12,1
0.36,0.9,1.01,0.05,0.09,1
0.37,0.91,1.06,0.07,0.1,1
0.34,0.93,1.08,0.04,0.02,1
0.35,0.89,1.1,0.04,0.04,1
0.45,0.89,1.15,0.02,0.1,1
0.82,0.88,1.17,0.04,0.45,1
0.34,1.0,0.91,0.16,0.49,1
0.35,1.02,0.78,0.03,0.17,1
0.43,1.01,0.77,0.23,0.13,1
1.11,1.72,0.83,0.84,0.17,1
0.64,1.3,0.88,0.49,0.1,1
0.38,0.88,0.9,0.56,0.17,1
0.31,0.96,0.99,0.18,0.12,1
0.29,1.1,1.11,0.16,0.12,1
0.26,1.07,1.01,0.07,0.14,1
0.22,1.01,1.05,0.13,0.09,1
0.24,0.89,0.97,0.14,0.08,1
0.19,1.05,1.12,0.22,0.18,1
0.3,0.98,1.1,0.14,0.03,1
0.23,0.95,1.02,0.05,0.12,1
0.2,0.95,1.03,0.07,0.05,1
