distanza,altezza,distanzaDx,distanzaSx,Sesso
0.31,1.57,0.0,0.0,1
0.31,1.57,0.0,0.01,1
0.31,1.57,0.0,0.0,1
0.28,1.58,0.02,0.05,1
0.27,1.58,0.03,0.05,1
0.28,1.57,0.07,0.04,1
0.25,1.59,0.06,0.03,1
0.27,1.58,0.06,0.09,1
0.26,1.58,0.02,0.03,1
0.3,1.58,0.09,0.04,1
0.31,1.58,0.05,0.04,1
0.58,1.58,0.17,0.19,1
1.03,1.58,0.28,0.29,1
0.46,1.58,0.3,0.27,1
0.35,1.58,0.08,0.08,1
0.33,1.58,0.02,0.02,1
0.32,1.58,0.01,0.02,1
0.31,1.58,0.01,0.01,1
0.29,1.58,0.02,0.08,1
0.47,1.58,0.02,0.38,1
0.39,1.58,0.02,0.19,1
0.43,1.57,0.16,0.09,1
0.45,1.57,0.37,0.02,1
0.24,1.57,0.29,0.11,1
0.31,1.58,0.08,0.04,1
0.29,1.58,0.03,0.03,1
0.31,1.58,0.02,0.02,1
0.29,1.58,0.01,0.01,1
0.29,1.58,0.01,0.01,1
0.29,1.58,0.01,0.0,1
0.27,1.58,0.01,0.01,1
0.27,1.59,0.01,0.01,1
0.28,1.58,0.03,0.04,1
0.28,1.58,0.06,0.06,1
0.35,1.59,0.06,0.04,1
0.74,1.58,0.41,0.04,1
0.97,1.58,0.18,0.64,1
0.54,1.58,0.19,0.56,1
0.29,1.58,0.16,0.24,1
0.26,1.57,0.13,0.13,1
0.44,1.56,0.62,0.63,1
0.44,1.57,0.17,0.16,1
0.26,1.58,0.32,0.35,1
0.21,1.59,0.05,0.07,1
0.23,1.58,0.01,0.02,1
0.24,1.58,0.02,0.01,1
0.26,1.59,0.02,0.01,1
0.34,1.58,0.1,0.04,1
0.36,1.58,0.05,0.03,1
0.87,1.58,0.49,0.04,1
0.59,1.58,0.4,0.05,1
0.43,1.59,0.18,0.06,1
0.51,1.59,0.07,0.14,1
0.9,1.6,0.07,0.48,1
0.35,1.59,0.03,0.74,1
0.29,1.59,0.03,0.12,1
0.31,1.59,0.01,0.05,1
0.31,1.58,0.13,0.13,1
0.28,1.55,0.21,0.27,1
0.58,1.57,0.64,0.64,1
0.53,1.58,0.3,0.29,1
0.18,1.58,0.44,0.46,1
0.39,1.57,0.15,0.12,1
0.51,1.57,0.63,0.65,1
0.48,1.58,0.3,0.37,1
0.43,1.58,0.21,0.21,1
0.4,1.59,0.12,0.06,1
0.82,1.59,0.41,0.04,1
0.9,1.59,0.52,0.01,1
0.6,1.58,0.35,0.09,1
0.52,1.59,0.16,0.17,1
0.69,1.59,0.04,0.22,1
0.63,1.59,0.03,0.49,1
0.55,1.59,0.05,0.32,1
0.48,1.58,0.05,0.17,1
0.32,1.58,0.05,0.12,1
0.45,1.57,0.08,0.1,1
0.4,1.56,0.15,0.13,1
0.7,1.53,0.76,0.73,1
0.4,1.55,0.56,0.58,1
0.38,1.57,0.18,0.18,1
0.34,1.57,0.16,0.14,1
0.42,1.56,0.08,0.03,1
0.51,1.56,0.06,0.03,1
0.48,1.56,0.02,0.02,1
0.47,1.56,0.03,0.01,1
0.48,1.56,0.02,0.01,1
0.47,1.57,0.01,0.01,1
0.49,1.56,0.01,0.01,1
0.45,1.55,0.07,0.02,1
0.43,1.54,0.21,0.04,1
0.48,1.54,0.11,0.01,1
0.48,1.55,0.1,0.03,1
0.57,1.56,0.21,0.05,1
0.58,1.56,0.07,0.07,1
0.73,1.56,0.1,0.06,1
0.74,1.55,0.02,0.01,1
0.63,1.55,0.04,0.09,1
0.55,1.55,0.09,0.08,1
0.34,1.55,0.2,0.17,1
0.24,1.54,0.06,0.05,1
0.27,1.54,0.02,0.02,1
0.32,1.54,0.01,0.04,1
0.29,1.55,0.01,0.03,1
0.3,1.55,0.01,0.01,1
0.33,1.55,0.03,0.03,1
0.38,1.55,0.12,0.15,1
0.46,1.56,0.06,0.07,1
0.65,1.55,0.12,0.09,1
0.64,1.55,0.05,0.01,1
0.61,1.55,0.02,0.01,1
0.6,1.55,0.02,0.01,1
0.62,1.55,0.01,0.01,1
0.61,1.56,0.01,0.01,1
0.44,1.57,0.13,0.09,1
0.44,1.57,0.06,0.12,1
0.59,1.55,0.07,0.51,1
0.5,1.56,0.08,0.29,1
0.53,1.56,0.29,0.17,1
0.5,1.57,0.14,0.14,1
0.32,1.57,0.29,0.19,1
0.37,1.56,0.4,0.51,1
0.47,1.57,0.14,0.15,1
0.43,1.57,0.31,0.35,1
0.38,1.58,0.02,0.03,1
0.39,1.57,0.04,0.06,1
0.35,1.57,0.12,0.11,1
0.34,1.56,0.44,0.51,1
0.42,1.57,0.19,0.19,1
0.35,1.57,0.18,0.23,1
0.32,1.56,0.11,0.13,1
0.36,1.57,0.32,0.29,1
0.35,1.57,0.24,0.24,1
0.31,1.56,0.13,0.12,1
0.43,1.58,0.22,0.19,1
0.72,1.58,0.36,0.39,1
0.47,1.58,0.19,0.23,1
0.48,1.58,0.21,0.17,1
0.41,1.59,0.19,0.15,1
0.53,1.59,0.17,0.17,1
0.77,1.59,0.36,0.37,1
0.43,1.6,0.29,0.36,1
0.27,1.59,0.4,0.34,1
0.3,1.58,0.12,0.15,1
0.31,1.57,0.18,0.23,1
0.31,1.56,0.14,0.09,1
0.41,1.57,0.56,0.56,1
0.37,1.57,0.32,0.35,1
0.37,1.57,0.23,0.27,1
0.76,1.58,0.09,0.7,1
0.65,1.58,0.13,0.09,1
0.58,1.57,0.22,0.31,1
0.64,1.57,0.61,0.05,1
0.47,1.57,0.18,0.05,1
0.35,1.57,0.29,0.13,1
0.25,1.57,0.31,0.26,1
0.36,1.57,0.63,0.63,1
0.45,1.57,0.13,0.09,1
0.4,1.56,0.27,0.26,1
0.31,1.57,0.23,0.19,1
0.33,1.58,0.13,0.14,1
0.63,1.58,0.1,0.3,1
0.55,1.58,0.07,0.31,1
0.37,1.59,0.04,0.23,1
0.59,1.58,0.11,0.33,1
0.58,1.58,0.06,0.05,1
0.83,1.58,0.26,0.03,1
0.53,1.59,0.37,0.02,1
0.43,1.58,0.28,0.02,1
0.5,1.58,0.09,0.06,1
0.75,1.57,0.06,0.21,1
0.65,1.54,0.05,0.37,1
0.57,1.57,0.04,0.21,1
0.55,1.57,0.11,0.11,1
0.7,1.57,0.27,0.07,1
0.77,1.58,0.73,0.02,1
0.68,1.57,0.2,0.25,1
0.51,1.57,0.14,0.47,1
0.54,1.57,0.08,0.08,1
0.47,1.57,0.23,0.26,1
0.57,1.58,0.43,0.12,1
0.4,1.58,0.42,0.16,1
0.36,1.56,0.2,0.13,1
0.37,1.56,0.66,0.71,1
0.41,1.58,0.2,0.18,1
0.26,1.59,0.41,0.47,1
0.52,1.59,0.14,0.14,1
0.65,1.59,0.05,0.12,1
0.86,1.59,0.3,0.17,1
0.49,1.61,0.27,0.28,1
0.39,1.6,0.41,0.37,1
0.35,1.59,0.18,0.2,1
0.42,1.59,0.04,0.06,1
0.43,1.59,0.06,0.06,1
0.43,1.58,0.07,0.06,1
0.43,1.58,0.05,0.05,1
0.59,1.58,0.1,0.07,1
1.03,1.59,0.29,0.21,1
0.23,1.59,0.45,0.53,1
0.39,1.59,0.31,0.25,1
0.57,1.59,0.25,0.18,1
0.81,1.59,0.38,0.17,1
0.89,1.59,0.17,0.17,1
0.7,1.58,0.2,0.53,1
0.45,1.59,0.02,0.34,1
0.36,1.58,0.08,0.15,1
