distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.49,0.95,1.1,0.0,0.0,1
0.68,0.96,1.1,0.19,0.01,1
0.9,0.97,1.11,0.23,0.01,1
0.98,1.0,1.1,0.1,0.02,1
1.03,1.02,1.1,0.07,0.02,1
1.03,1.04,1.11,0.03,0.02,1
1.07,1.05,1.12,0.04,0.01,1
1.05,1.06,1.13,0.03,0.01,1
0.92,1.05,1.11,0.14,0.02,1
0.86,1.09,1.14,0.06,0.04,1
1.05,1.04,1.08,0.13,0.09,1
1.06,1.0,1.1,0.09,0.06,1
1.22,0.97,1.09,0.2,0.03,1
1.11,1.0,1.06,0.1,0.03,1
0.82,1.06,1.12,0.26,0.07,1
0.73,1.1,1.14,0.07,0.03,1
1.34,1.12,1.24,0.27,0.47,1
1.05,1.06,1.16,0.22,0.24,1
0.6,1.08,1.08,0.25,0.21,1
0.67,1.11,1.12,0.07,0.04,1
0.39,1.3,1.38,0.32,0.26,1
0.31,1.44,1.52,0.16,0.15,1
0.29,1.47,1.55,0.03,0.04,1
0.27,0.98,1.04,0.51,0.53,1
0.31,0.9,0.88,0.17,0.2,1
0.42,1.21,0.93,0.32,0.05,1
0.37,0.88,0.97,0.37,0.06,1
0.49,1.06,1.03,0.25,0.06,1
0.62,1.09,1.06,0.13,0.03,1
0.7,1.07,1.05,0.08,0.03,1
0.68,1.05,1.05,0.03,0.01,1
0.69,1.03,1.07,0.03,0.03,1
0.71,1.04,1.04,0.01,0.04,1
0.67,1.03,1.01,0.03,0.03,1
0.63,1.03,1.0,0.01,0.03,1
0.62,1.0,0.96,0.04,0.05,1
0.62,0.97,0.92,0.04,0.04,1
0.64,1.05,1.02,0.11,0.15,1
0.46,1.47,1.56,0.47,0.54,1
0.55,1.3,1.36,0.19,0.25,1
0.61,0.83,0.85,0.5,0.53,1
0.73,0.98,0.99,0.26,0.16,1
0.72,1.11,1.12,0.14,0.13,1
0.28,1.37,1.47,0.45,0.37,1
0.21,1.0,1.05,0.38,0.44,1
0.25,0.93,0.94,0.13,0.14,1
0.3,1.02,1.07,0.09,0.14,1
0.45,1.09,1.18,0.11,0.15,1
0.67,1.16,1.22,0.17,0.09,1
0.71,1.15,1.18,0.09,0.05,1
0.66,1.12,1.09,0.04,0.1,1
0.4,1.16,1.1,0.29,0.03,1
0.44,1.17,1.11,0.03,0.02,1
0.78,1.23,1.13,0.38,0.05,1
0.89,1.11,1.15,0.28,0.03,1
0.84,1.11,1.17,0.2,0.03,1
0.66,1.06,1.39,0.19,0.24,1
0.78,1.06,1.44,0.06,0.21,1
1.07,1.08,1.46,0.04,0.39,1
0.63,1.09,1.0,0.06,0.57,1
0.44,1.08,1.05,0.07,0.16,1
0.27,1.26,1.36,0.24,0.32,1
0.26,1.4,1.5,0.14,0.14,1
0.21,0.86,0.85,0.56,0.65,1
0.13,1.03,1.03,0.18,0.19,1
0.79,1.23,1.31,0.4,0.41,1
1.23,1.43,1.6,0.42,0.43,1
0.2,0.97,0.97,0.85,0.75,1
0.14,0.87,0.83,0.19,0.22,1
0.11,0.88,0.84,0.04,0.01,1
0.21,1.03,0.95,0.22,0.13,1
0.76,1.44,0.95,0.56,0.01,1
1.05,1.73,0.98,0.67,0.07,1
0.72,1.42,1.0,0.41,0.04,1
0.34,1.03,0.98,0.46,0.03,1
0.46,1.1,1.2,0.09,0.27,1
0.93,1.12,1.58,0.08,0.49,1
0.69,1.12,1.15,0.02,0.45,1
0.52,1.11,0.91,0.01,0.35,1
0.43,1.08,0.95,0.04,0.06,1
0.35,1.19,1.16,0.16,0.24,1
0.15,1.22,1.28,0.15,0.16,1
1.02,0.89,0.95,0.7,0.78,1
0.82,0.86,0.89,0.18,0.22,1
0.23,0.97,0.97,0.38,0.34,1
0.3,1.31,1.42,0.36,0.45,1
0.29,1.22,1.25,0.11,0.21,1
0.31,0.84,0.8,0.45,0.52,1
0.34,0.91,0.87,0.13,0.1,1
0.45,0.91,1.05,0.03,0.21,1
0.68,0.93,1.39,0.08,0.34,1
0.51,0.94,0.91,0.03,0.48,1
0.46,0.95,0.9,0.02,0.05,1
0.43,0.95,0.85,0.04,0.09,1
0.47,0.96,1.08,0.02,0.26,1
0.81,0.96,1.24,0.01,0.36,1
0.56,0.96,1.03,0.02,0.28,1
0.44,1.0,0.93,0.05,0.17,1
0.52,1.2,1.21,0.25,0.31,1
1.0,1.59,1.63,0.43,0.51,1
0.69,1.39,1.36,0.26,0.31,1
0.47,1.27,0.96,0.23,0.44,1
0.4,0.97,0.98,0.3,0.05,1
0.28,1.0,0.97,0.11,0.03,1
0.57,1.21,0.96,0.32,0.02,1
0.78,1.17,0.96,0.29,0.01,1
0.39,1.17,1.11,0.37,0.18,1
0.22,1.41,1.47,0.28,0.36,1
0.2,1.28,1.31,0.14,0.18,1
0.21,0.95,0.91,0.34,0.41,1
0.16,0.96,0.92,0.03,0.03,1
0.41,1.09,0.93,0.25,0.02,1
0.6,0.95,0.96,0.31,0.03,1
0.46,0.94,1.15,0.26,0.21,1
0.54,0.97,0.99,0.07,0.3,1
0.26,0.98,0.93,0.03,0.27,1
0.32,1.08,1.11,0.13,0.2,1
0.72,1.38,1.48,0.38,0.42,1
1.06,1.63,1.62,0.31,0.25,1
0.58,1.08,1.02,0.61,0.64,1
0.37,1.17,1.28,0.17,0.28,1
0.47,1.18,0.84,0.03,0.45,1
0.36,1.11,0.87,0.13,0.04,1
0.33,1.03,1.05,0.11,0.21,1
0.24,0.93,0.86,0.12,0.22,1
0.29,1.16,1.19,0.34,0.41,1
0.37,1.37,1.36,0.29,0.23,1
0.29,1.0,0.96,0.38,0.4,1
0.3,0.94,0.86,0.08,0.13,1
0.3,1.21,1.22,0.3,0.39,1
0.29,1.41,1.48,0.2,0.28,1
0.32,0.92,0.94,0.49,0.56,1
0.25,0.84,0.77,0.17,0.27,1
0.23,0.9,0.84,0.09,0.1,1
0.25,0.83,0.79,0.1,0.06,1
0.33,1.23,1.2,0.43,0.44,1
0.3,1.38,1.41,0.16,0.23,1
0.25,1.35,1.4,0.05,0.02,1
0.24,0.85,0.82,0.51,0.58,1
0.2,1.13,1.14,0.32,0.35,1
0.57,1.2,1.25,0.22,0.2,1
0.89,1.17,1.12,0.18,0.21,1
0.32,0.94,0.89,0.4,0.34,1
0.43,1.06,1.02,0.16,0.13,1
0.56,1.25,1.27,0.23,0.26,1
1.09,1.76,1.75,0.56,0.58,1
0.78,1.34,1.33,0.48,0.43,1
0.25,0.97,0.89,0.46,0.54,1
0.23,1.21,1.22,0.26,0.35,1
0.23,1.39,1.43,0.18,0.22,1
0.24,0.9,0.82,0.49,0.61,1
0.19,0.86,0.82,0.09,0.05,1
0.36,1.05,1.14,0.23,0.36,1
0.6,1.23,1.05,0.2,0.2,1
0.75,1.25,0.74,0.06,0.45,1
0.6,1.28,0.84,0.09,0.15,1
0.52,0.95,0.89,0.35,0.06,1
0.49,0.81,0.86,0.28,0.04,1
0.35,0.87,0.82,0.17,0.05,1
0.29,1.33,1.38,0.5,0.58,1
0.31,0.97,0.96,0.36,0.43,1
0.22,0.78,0.73,0.38,0.4,1
0.19,0.8,0.76,0.11,0.12,1
0.44,1.54,1.54,0.76,0.79,1
0.38,1.31,1.26,0.25,0.34,1
0.32,1.0,1.07,0.33,0.2,1
0.52,1.02,1.24,0.02,0.23,1
0.49,1.02,0.98,0.02,0.29,1
0.31,1.0,0.83,0.03,0.27,1
0.33,1.0,0.85,0.04,0.03,1
0.49,1.13,0.88,0.21,0.05,1
0.74,1.25,0.88,0.25,0.01,1
0.71,1.15,0.87,0.19,0.02,1
0.37,0.97,0.92,0.33,0.09,1
0.38,1.0,1.14,0.04,0.23,1
0.66,1.02,1.01,0.04,0.32,1
0.51,1.0,0.74,0.03,0.43,1
0.44,1.03,0.77,0.08,0.08,1
0.59,1.28,0.81,0.28,0.06,1
0.66,0.83,0.79,0.62,0.04,1
0.45,0.76,0.83,0.29,0.06,1
0.43,0.89,1.1,0.22,0.33,1
0.5,1.21,0.77,0.33,0.42,1
0.47,1.22,0.85,0.1,0.11,1
0.29,0.88,0.85,0.36,0.01,1
0.3,1.17,1.2,0.31,0.37,1
0.32,1.39,1.47,0.23,0.29,1
0.27,0.94,0.92,0.45,0.56,1
0.24,0.83,0.79,0.19,0.2,1
0.22,0.86,0.82,0.03,0.04,1
0.26,0.93,0.91,0.09,0.1,1
0.35,1.04,1.05,0.14,0.15,1
0.49,1.19,1.23,0.19,0.19,1
1.07,1.58,1.6,0.49,0.5,1
0.86,1.48,1.47,0.16,0.16,1
0.45,1.1,1.05,0.42,0.48,1
0.23,0.95,0.91,0.21,0.19,1
0.25,0.97,0.93,0.03,0.03,1
0.26,0.97,0.92,0.01,0.02,1
0.25,0.99,0.94,0.02,0.03,1
0.31,1.04,0.97,0.07,0.04,1
0.35,1.16,1.13,0.13,0.17,1
0.89,1.31,1.34,0.33,0.34,1
0.75,1.11,1.02,0.24,0.35,1
0.42,0.85,0.8,0.33,0.28,1
0.88,1.28,0.79,0.54,0.05,1
0.83,1.43,0.8,0.35,0.03,1
0.62,1.03,1.21,0.44,0.52,1
0.62,0.99,1.47,0.1,0.36,1
0.35,1.06,1.16,0.09,0.34,1
0.26,1.23,1.34,0.2,0.21,1
0.25,0.98,0.97,0.25,0.37,1
1.3,1.26,1.25,0.61,0.61,1
0.87,1.03,0.95,0.32,0.37,1
0.3,1.03,0.96,0.32,0.29,1
0.24,1.35,1.38,0.32,0.42,1
0.24,1.42,1.46,0.09,0.1,1
0.26,1.23,1.23,0.21,0.27,1
0.28,1.1,1.14,0.15,0.11,1
0.84,1.43,1.47,0.48,0.45,1
0.36,1.37,1.42,0.3,0.31,1
0.22,0.89,0.84,0.49,0.58,1
0.22,0.9,0.8,0.02,0.08,1
0.38,1.07,0.9,0.25,0.13,1
0.62,1.06,0.99,0.3,0.1,1
0.74,0.96,1.07,0.28,0.38,1
0.32,1.04,1.03,0.11,0.36,1
1.03,1.25,1.29,0.42,0.46,1
0.79,1.01,0.95,0.28,0.4,1
0.6,1.19,1.22,0.23,0.3,1
0.62,1.46,1.52,0.28,0.33,1
0.67,0.85,0.8,0.62,0.72,1
0.54,0.75,0.74,0.25,0.14,1
0.51,0.77,0.75,0.13,0.07,1
0.73,1.29,1.33,0.63,0.66,1
0.54,1.43,1.44,0.27,0.25,1
0.42,1.52,1.52,0.1,0.12,1
0.33,1.08,1.04,0.49,0.55,1
0.26,0.81,0.77,0.38,0.37,1
0.37,0.82,0.93,0.02,0.27,1
0.7,0.78,1.4,0.08,0.5,1
0.36,0.87,0.95,0.26,0.45,1
0.68,1.36,0.89,0.51,0.07,1
0.29,1.3,1.24,0.14,0.38,1
1.15,1.25,1.27,0.44,0.43,1
0.93,0.99,1.51,0.35,0.38,1
0.7,1.02,1.51,0.19,0.14,1
0.54,1.08,0.92,0.08,0.6,1
0.78,1.18,0.8,0.27,0.23,1
0.45,0.88,0.83,0.43,0.03,1
0.4,1.3,1.35,0.45,0.53,1
0.29,1.35,1.4,0.1,0.07,1
0.22,0.81,0.75,0.56,0.67,1
0.24,0.79,0.75,0.03,0.02,1
0.21,0.77,0.73,0.07,0.05,1
0.28,0.83,0.82,0.18,0.21,1
0.4,1.55,1.59,0.73,0.78,1
0.35,1.54,1.56,0.04,0.03,1
0.31,0.94,0.89,0.64,0.71,1
0.27,0.77,0.73,0.31,0.3,1
0.32,1.01,1.02,0.39,0.43,1
0.18,1.29,1.33,0.29,0.32,1
0.33,1.26,1.3,0.09,0.08,1
0.99,1.21,1.2,0.4,0.36,1
0.53,1.06,0.98,0.32,0.33,1
0.73,1.34,0.95,0.33,0.05,1
0.82,1.53,1.0,0.3,0.05,1
0.55,1.14,1.3,0.44,0.32,1
