distanza,altezza,distanzaDx,distanzaSx,Sesso
0.73,1.55,0.0,0.0,1
0.67,1.56,0.01,0.12,1
0.43,1.55,0.13,0.47,1
0.4,1.49,0.05,0.14,1
0.37,1.43,0.06,0.05,1
0.36,1.43,0.02,0.05,1
0.36,1.4,0.06,0.09,1
0.36,1.43,0.03,0.01,1
0.36,1.55,0.11,0.14,1
0.38,1.58,0.05,0.01,1
0.39,1.58,0.48,0.52,1
1.23,1.6,0.41,0.44,1
0.68,1.59,0.42,0.43,1
0.16,1.58,0.37,0.29,1
0.2,1.57,0.03,0.05,1
0.19,1.57,0.05,0.01,1
0.2,1.58,0.04,0.06,1
0.27,1.59,0.05,0.1,1
0.45,1.59,0.05,0.32,1
0.3,1.59,0.05,0.41,1
0.32,1.58,0.19,0.15,1
0.49,1.59,0.25,0.14,1
0.39,1.58,0.67,0.41,1
0.32,1.57,0.11,0.06,1
0.33,1.57,0.02,0.02,1
0.35,1.57,0.02,0.05,1
0.35,1.58,0.03,0.02,1
0.37,1.59,0.02,0.04,1
0.38,1.58,0.03,0.01,1
0.39,1.57,0.01,0.0,1
0.39,1.57,0.0,0.01,1
0.36,1.56,0.03,0.01,1
0.32,1.55,0.01,0.06,1
0.46,1.57,0.18,0.16,1
0.75,1.57,0.41,0.28,1
1.0,1.56,0.54,0.57,1
0.51,1.56,0.3,0.36,1
0.21,1.57,0.17,0.16,1
0.21,1.57,0.38,0.44,1
0.22,1.58,0.13,0.14,1
0.25,1.58,0.47,0.5,1
0.25,1.58,0.07,0.1,1
0.25,1.57,0.05,0.05,1
0.25,1.59,0.11,0.11,1
0.24,1.62,0.05,0.08,1
0.27,1.59,0.1,0.1,1
0.62,1.58,0.05,0.49,1
0.67,1.58,0.03,0.06,1
0.72,1.59,0.16,0.01,1
0.83,1.59,0.28,0.06,1
0.57,1.59,0.41,0.35,1
0.41,1.58,0.1,0.16,1
0.7,1.59,0.02,0.33,1
0.99,1.61,0.07,0.36,1
