distanza,altezza,distanzaDx,distanzaSx,Sesso
0.21,1.55,0.0,0.0,1
0.21,1.55,0.01,0.0,1
0.2,1.55,0.01,0.0,1
0.2,1.55,0.0,0.0,1
0.21,1.57,0.01,0.02,1
0.19,1.58,0.01,0.02,1
0.15,1.58,0.01,0.03,1
0.16,1.59,0.04,0.05,1
0.15,1.59,0.01,0.01,1
0.28,1.58,0.06,0.07,1
0.17,1.58,0.06,0.07,1
0.19,1.58,0.02,0.03,1
0.66,1.58,0.25,0.23,1
0.4,1.58,0.17,0.1,1
0.31,1.59,0.04,0.07,1
0.32,1.59,0.02,0.02,1
0.35,1.59,0.03,0.06,1
0.33,1.58,0.02,0.02,1
0.34,1.57,0.03,0.02,1
0.33,1.57,0.02,0.1,1
0.39,1.57,0.03,0.13,1
0.36,1.57,0.03,0.04,1
0.41,1.56,0.24,0.08,1
0.38,1.57,0.22,0.02,1
0.34,1.57,0.13,0.05,1
0.35,1.58,0.02,0.03,1
0.36,1.58,0.02,0.01,1
0.37,1.58,0.01,0.02,1
0.37,1.58,0.0,0.02,1
0.37,1.58,0.01,0.01,1
0.38,1.58,0.01,0.03,1
0.37,1.58,0.01,0.03,1
0.36,1.58,0.01,0.01,1
0.37,1.58,0.0,0.01,1
0.4,1.58,0.02,0.03,1
0.44,1.57,0.02,0.04,1
0.67,1.57,0.37,0.41,1
0.57,1.57,0.11,0.13,1
0.46,1.57,0.22,0.18,1
0.42,1.57,0.07,0.07,1
0.38,1.57,0.02,0.03,1
0.37,1.57,0.44,0.44,1
0.38,1.57,0.34,0.34,1
0.32,1.57,0.07,0.05,1
0.34,1.57,0.05,0.01,1
0.3,1.57,0.07,0.05,1
0.31,1.57,0.02,0.02,1
0.3,1.57,0.0,0.01,1
0.29,1.57,0.02,0.01,1
0.36,1.57,0.09,0.01,1
0.68,1.57,0.36,0.02,1
0.34,1.57,0.25,0.1,1
0.3,1.57,0.03,0.08,1
0.41,1.57,0.01,0.13,1
0.72,1.57,0.02,0.42,1
0.37,1.57,0.03,0.37,1
0.34,1.57,0.04,0.08,1
0.32,1.57,0.04,0.08,1
0.3,1.57,0.04,0.02,1
0.37,1.57,0.32,0.28,1
0.38,1.57,0.12,0.1,1
0.26,1.57,0.1,0.07,1
0.92,1.57,0.33,0.33,1
0.42,1.56,0.3,0.27,1
0.32,1.57,0.35,0.32,1
0.39,1.57,0.31,0.28,1
0.35,1.57,0.14,0.02,1
0.41,1.57,0.05,0.02,1
0.68,1.57,0.47,0.02,1
0.41,1.57,0.29,0.07,1
0.3,1.57,0.12,0.14,1
0.32,1.57,0.03,0.06,1
0.65,1.57,0.03,0.47,1
0.7,1.57,0.01,0.18,1
0.4,1.57,0.05,0.3,1
0.35,1.57,0.02,0.09,1
0.45,1.57,0.08,0.14,1
0.6,1.57,0.08,0.07,1
0.5,1.56,0.23,0.02,1
0.52,1.56,0.41,0.19,1
0.4,1.58,0.1,0.08,1
0.38,1.57,0.09,0.08,1
0.32,1.56,0.08,0.03,1
0.29,1.56,0.47,0.45,1
0.35,1.56,0.35,0.36,1
0.33,1.57,0.07,0.05,1
0.39,1.57,0.09,0.04,1
0.47,1.57,0.04,0.05,1
0.58,1.57,0.01,0.25,1
0.42,1.57,0.01,0.19,1
0.38,1.57,0.01,0.11,1
0.5,1.57,0.01,0.16,1
0.67,1.57,0.02,0.22,1
0.43,1.57,0.1,0.17,1
0.38,1.57,0.11,0.05,1
0.51,1.59,0.25,0.02,1
0.65,1.58,0.21,0.02,1
0.42,1.58,0.32,0.06,1
0.33,1.57,0.12,0.12,1
0.55,1.57,0.39,0.08,1
0.37,1.57,0.38,0.02,1
0.79,1.57,0.41,0.01,1
0.43,1.57,0.36,0.04,1
0.38,1.57,0.08,0.02,1
0.3,1.57,0.12,0.04,1
0.28,1.56,0.51,0.51,1
0.36,1.57,0.44,0.43,1
0.31,1.57,0.11,0.07,1
0.78,1.57,0.5,0.05,1
0.41,1.56,0.21,0.22,1
0.83,1.56,0.12,0.5,1
0.59,1.56,0.1,0.22,1
0.33,1.57,0.1,0.17,1
0.27,1.57,0.11,0.14,1
0.82,1.58,0.61,0.6,1
0.76,1.58,0.17,0.17,1
0.48,1.57,0.39,0.23,1
0.52,1.57,0.09,0.29,1
0.46,1.57,0.09,0.22,1
0.45,1.57,0.51,0.12,1
0.39,1.57,0.31,0.03,1
0.29,1.57,0.26,0.29,1
0.35,1.56,0.35,0.41,1
0.4,1.57,0.32,0.25,1
0.45,1.57,0.05,0.06,1
0.46,1.57,0.02,0.02,1
0.4,1.57,0.04,0.04,1
0.32,1.57,0.06,0.05,1
0.3,1.57,0.61,0.59,1
0.35,1.57,0.38,0.38,1
0.33,1.57,0.1,0.16,1
0.32,1.56,0.23,0.21,1
0.32,1.56,0.36,0.35,1
0.31,1.57,0.16,0.14,1
0.32,1.57,0.51,0.49,1
0.24,1.57,0.1,0.14,1
0.14,1.57,0.19,0.21,1
1.1,1.57,0.48,0.55,1
0.71,1.57,0.16,0.25,1
0.3,1.57,0.31,0.31,1
0.25,1.57,0.02,0.04,1
0.29,1.58,0.07,0.1,1
0.86,1.58,0.7,0.63,1
0.67,1.58,0.29,0.23,1
0.54,1.57,0.17,0.11,1
0.43,1.57,0.07,0.06,1
0.37,1.57,0.29,0.25,1
0.31,1.57,0.33,0.32,1
0.4,1.56,0.34,0.29,1
0.49,1.56,0.05,0.1,1
0.64,1.56,0.01,0.4,1
0.42,1.56,0.02,0.32,1
0.45,1.56,0.06,0.05,1
0.63,1.56,0.51,0.03,1
0.5,1.56,0.4,0.04,1
0.46,1.56,0.1,0.05,1
0.38,1.56,0.09,0.07,1
0.32,1.57,0.6,0.55,1
0.34,1.57,0.36,0.38,1
0.33,1.56,0.26,0.28,1
0.31,1.57,0.44,0.36,1
0.32,1.57,0.12,0.19,1
0.31,1.57,0.1,0.04,1
0.78,1.57,0.01,0.51,1
0.41,1.57,0.07,0.33,1
0.34,1.57,0.11,0.08,1
0.31,1.57,0.02,0.03,1
0.3,1.57,0.02,0.01,1
0.71,1.57,0.43,0.0,1
0.46,1.57,0.2,0.09,1
0.35,1.57,0.09,0.07,1
0.4,1.56,0.03,0.08,1
0.82,1.56,0.03,0.49,1
0.42,1.56,0.06,0.37,1
0.29,1.56,0.1,0.12,1
0.53,1.56,0.28,0.02,1
0.63,1.56,0.22,0.03,1
0.39,1.56,0.31,0.04,1
0.47,1.56,0.03,0.24,1
0.32,1.56,0.07,0.28,1
0.53,1.56,0.43,0.03,1
0.39,1.56,0.37,0.01,1
0.36,1.57,0.09,0.04,1
0.32,1.56,0.04,0.03,1
0.33,1.57,0.41,0.41,1
0.38,1.57,0.4,0.36,1
0.36,1.57,0.04,0.05,1
0.33,1.57,0.01,0.07,1
0.3,1.57,0.16,0.08,1
0.32,1.58,0.09,0.1,1
0.85,1.58,0.59,0.58,1
0.59,1.57,0.29,0.22,1
0.44,1.57,0.14,0.18,1
0.39,1.57,0.03,0.07,1
0.38,1.57,0.01,0.02,1
0.32,1.57,0.06,0.06,1
0.27,1.57,0.04,0.04,1
0.23,1.57,0.03,0.02,1
0.17,1.57,0.04,0.04,1
0.96,1.57,0.4,0.43,1
0.51,1.57,0.25,0.26,1
0.49,1.57,0.19,0.08,1
0.59,1.57,0.47,0.04,1
0.52,1.57,0.36,0.25,1
0.57,1.57,0.06,0.44,1
0.44,1.57,0.06,0.2,1
0.37,1.57,0.27,0.22,1
0.3,1.57,0.24,0.24,1
0.3,1.57,0.12,0.08,1
1.02,1.57,0.44,0.41,1
0.61,1.57,0.2,0.21,1
0.43,1.57,0.16,0.08,1
0.39,1.57,0.03,0.04,1
0.33,1.57,0.04,0.04,1
0.25,1.57,0.49,0.5,1
0.96,1.57,0.51,0.5,1
0.66,1.57,0.24,0.29,1
0.3,1.56,0.43,0.46,1
0.44,1.56,0.18,0.25,1
0.39,1.56,0.06,0.09,1
0.74,1.56,0.38,0.04,1
0.56,1.56,0.21,0.2,1
0.7,1.56,0.09,0.21,1
0.36,1.56,0.21,0.25,1
0.94,1.56,0.31,0.27,1
0.46,1.57,0.27,0.24,1
0.48,1.56,0.09,0.09,1
0.73,1.56,0.35,0.38,1
0.68,1.56,0.11,0.17,1
0.55,1.56,0.07,0.09,1
0.54,1.56,0.35,0.34,1
0.65,1.55,0.63,0.58,1
0.53,1.56,0.11,0.05,1
0.43,1.56,0.08,0.04,1
0.42,1.56,0.45,0.36,1
0.35,1.56,0.33,0.2,1
0.44,1.56,0.04,0.13,1
0.37,1.56,0.18,0.1,1
0.51,1.56,0.2,0.13,1
0.38,1.56,0.39,0.03,1
0.24,1.56,0.11,0.11,1
0.97,1.57,0.39,0.41,1
0.62,1.56,0.17,0.19,1
0.65,1.56,0.04,0.09,1
0.69,1.56,0.04,0.3,1
0.64,1.56,0.42,0.14,1
0.5,1.56,0.27,0.04,1
0.39,1.56,0.17,0.12,1
0.31,1.55,0.32,0.26,1
0.39,1.56,0.21,0.22,1
0.36,1.56,0.05,0.09,1
0.35,1.56,0.27,0.27,1
0.32,1.56,0.3,0.33,1
0.3,1.57,0.12,0.06,1
0.28,1.57,0.11,0.1,1
0.32,1.57,0.23,0.16,1
0.29,1.56,0.09,0.16,1
0.3,1.56,0.21,0.27,1
0.26,1.57,0.2,0.08,1
0.95,1.57,0.34,0.37,1
0.63,1.57,0.15,0.19,1
0.36,1.57,0.23,0.23,1
0.79,1.57,0.56,0.03,1
0.51,1.57,0.29,0.04,1
0.48,1.57,0.08,0.14,1
0.68,1.57,0.02,0.37,1
0.42,1.57,0.09,0.31,1
0.32,1.57,0.06,0.08,1
0.17,1.56,0.07,0.09,1
