distanza,distanzaDx,distanzaSx
0.49,0.0,0.0
0.47,0.01,0.04
0.48,0.02,0.03
0.48,0.01,0.01
0.49,0.04,0.12
0.54,0.21,0.23
0.53,0.5,0.15
0.57,0.33,0.29
0.54,0.18,0.47
0.51,0.34,0.23
0.54,0.47,0.35
0.44,0.22,0.46
0.55,0.15,0.31
0.57,0.44,0.4
0.46,0.22,0.53
0.5,0.08,0.43
0.28,0.37,0.31
0.24,0.29,0.25
0.24,0.14,0.3
0.25,0.17,0.18
0.2,0.18,0.2
0.21,0.18,0.17
0.26,0.22,0.24
0.27,0.17,0.22
0.3,0.16,0.19
0.26,0.19,0.19
0.31,0.16,0.15
0.29,0.15,0.19
0.23,0.18,0.27
0.25,0.09,0.16
0.35,0.17,0.22
0.4,0.23,0.22
0.54,0.39,0.27
0.61,0.4,0.32
0.47,0.21,0.4
0.31,0.17,0.34
0.28,0.25,0.28
0.36,0.28,0.33
0.49,0.34,0.28
0.45,0.33,0.26
0.43,0.31,0.33
0.4,0.26,0.36
