distanza,altezza,distanzaDx,distanzaSx,Sesso
0.42,1.55,0.0,0.0,0
0.33,1.56,0.14,0.01,0
0.39,1.57,0.05,0.16,0
0.45,1.56,0.21,0.34,0
0.36,1.55,0.12,0.09,0
0.33,1.54,0.04,0.02,0
0.36,1.56,0.12,0.05,0
0.36,1.56,0.04,0.01,0
0.53,1.59,0.11,0.22,0
0.42,1.59,0.47,0.39,0
0.2,1.59,0.12,0.2,0
1.26,1.6,0.5,0.6,0
0.68,1.59,0.38,0.34,0
0.24,1.59,0.24,0.29,0
0.17,1.57,0.05,0.07,0
0.21,1.58,0.02,0.1,0
0.28,1.58,0.06,0.08,0
0.24,1.58,0.04,0.05,0
0.33,1.58,0.17,0.33,0
0.28,1.58,0.13,0.44,0
0.39,1.58,0.26,0.16,0
0.42,1.58,0.5,0.01,0
0.28,1.58,0.13,0.03,0
0.23,1.58,0.09,0.02,0
0.23,1.58,0.01,0.01,0
0.24,1.58,0.01,0.01,0
0.24,1.58,0.01,0.03,0
0.3,1.58,0.05,0.04,0
0.39,1.58,0.04,0.05,0
0.4,1.58,0.02,0.0,0
0.39,1.58,0.01,0.01,0
0.38,1.58,0.02,0.02,0
0.45,1.58,0.07,0.06,0
0.5,1.58,0.08,0.12,0
0.69,1.58,0.23,0.25,0
0.78,1.58,0.4,0.39,0
0.57,1.58,0.17,0.16,0
0.33,1.58,0.19,0.17,0
0.27,1.58,0.12,0.11,0
0.29,1.58,0.2,0.2,0
0.29,1.58,0.28,0.29,0
0.29,1.58,0.14,0.16,0
0.27,1.58,0.07,0.03,0
0.26,1.58,0.01,0.01,0
0.26,1.58,0.01,0.0,0
0.29,1.58,0.01,0.02,0
0.31,1.58,0.05,0.01,0
0.45,1.58,0.19,0.01,0
0.57,1.58,0.15,0.03,0
0.89,1.58,0.57,0.03,0
0.79,1.59,0.37,0.19,0
0.71,1.58,0.24,0.16,0
0.35,1.59,0.07,0.4,0
1.1,1.59,0.04,0.88,0
0.76,1.59,0.11,0.28,0
0.32,1.59,0.03,0.64,0
0.25,1.59,0.17,0.15,0
0.31,1.59,0.53,0.59,0
0.36,1.59,0.62,0.64,0
0.44,1.59,0.17,0.21,0
0.41,1.59,0.42,0.4,0
1.32,1.58,0.46,0.54,0
0.37,1.57,0.57,0.53,0
0.33,1.57,0.31,0.38,0
0.27,1.58,0.19,0.2,0
0.44,1.59,0.14,0.13,0
0.44,1.59,0.16,0.02,0
1.2,1.6,0.97,0.04,0
1.0,1.59,0.28,0.04,0
0.57,1.59,0.61,0.06,0
0.59,1.58,0.18,0.12,0
0.44,1.58,0.08,0.38,0
1.07,1.59,0.04,0.92,0
0.6,1.59,0.1,0.53,0
0.38,1.59,0.13,0.29,0
0.32,1.58,0.27,0.3,0
0.63,1.58,0.29,0.39,0
1.43,1.58,0.98,1.03,0
1.23,1.58,0.08,0.2,0
0.59,1.58,0.3,0.43,0
0.54,1.59,0.14,0.21,0
0.32,1.58,0.41,0.54,0
0.62,1.58,0.63,0.65,0
0.7,1.58,0.05,0.09,0
0.42,1.58,0.37,0.51,0
0.84,1.58,0.18,0.42,0
0.48,1.58,0.05,0.68,0
0.58,1.59,0.05,0.5,0
0.68,1.58,0.04,0.52,0
0.51,1.58,0.06,0.57,0
0.79,1.59,0.01,0.44,0
1.0,1.59,0.04,0.91,0
0.54,1.59,0.12,0.52,0
0.46,1.6,0.08,0.31,0
0.7,1.6,0.49,0.3,0
0.95,1.6,0.6,0.69,0
0.43,1.6,0.69,0.77,0
0.51,1.59,0.19,0.22,0
0.44,1.59,0.16,0.04,0
0.46,1.59,0.33,0.05,0
1.04,1.6,0.77,0.06,0
0.49,1.59,0.58,0.14,0
0.32,1.59,0.6,0.6,0
0.31,1.58,0.16,0.17,0
0.42,1.58,0.58,0.67,0
