distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.29,1.29,1.23,0.0,0.0,1
0.32,1.25,1.23,0.05,0.01,1
0.41,1.11,1.22,0.16,0.01,1
0.42,1.09,1.22,0.02,0.01,1
0.42,1.09,1.22,0.0,0.01,1
0.35,1.15,1.23,0.09,0.02,1
0.31,1.15,1.21,0.04,0.02,1
0.29,1.16,1.21,0.04,0.11,1
0.25,1.16,1.15,0.04,0.07,1
0.26,1.15,1.16,0.02,0.03,1
0.24,1.15,1.16,0.03,0.02,1
0.22,1.15,1.16,0.01,0.02,1
0.22,1.16,1.16,0.02,0.02,1
0.21,1.16,1.16,0.01,0.0,1
0.21,1.15,1.16,0.01,0.01,1
0.2,1.16,1.16,0.01,0.01,1
0.2,1.16,1.16,0.01,0.01,1
0.18,1.18,1.16,0.03,0.01,1
1.24,1.39,1.42,0.62,0.58,1
0.72,1.29,1.27,0.24,0.34,1
0.25,1.18,1.17,0.29,0.22,1
0.19,1.23,1.2,0.06,0.04,1
0.24,1.24,1.19,0.02,0.02,1
0.25,1.27,1.18,0.03,0.01,1
0.3,1.33,1.17,0.06,0.02,1
0.3,1.26,1.17,0.09,0.02,1
0.36,1.0,1.21,0.28,0.05,1
0.39,1.18,1.41,0.19,0.2,1
0.45,1.22,0.94,0.07,0.49,1
0.3,1.22,1.16,0.04,0.23,1
0.27,1.22,1.22,0.01,0.06,1
0.25,1.22,1.21,0.01,0.02,1
0.25,1.21,1.21,0.01,0.0,1
0.23,1.21,1.22,0.01,0.02,1
0.23,1.21,1.21,0.01,0.02,1
0.2,1.19,1.2,0.03,0.01,1
0.22,1.2,1.2,0.01,0.01,1
0.26,1.2,1.19,0.02,0.03,1
0.37,1.2,1.2,0.05,0.06,1
0.4,1.21,1.2,0.02,0.02,1
0.51,1.33,1.31,0.13,0.12,1
0.61,1.48,1.46,0.16,0.16,1
0.7,0.89,0.92,0.61,0.56,1
0.64,1.32,1.3,0.43,0.39,1
0.42,1.44,1.39,0.17,0.16,1
0.3,1.47,1.43,0.1,0.05,1
0.22,1.03,1.01,0.49,0.46,1
0.19,1.05,1.09,0.09,0.11,1
0.22,1.29,1.27,0.24,0.18,1
0.25,1.35,1.34,0.09,0.09,1
0.3,1.29,1.26,0.07,0.08,1
0.29,1.28,1.26,0.01,0.01,1
0.29,1.28,1.25,0.0,0.01,1
0.28,1.27,1.23,0.01,0.02,1
0.29,1.27,1.22,0.01,0.01,1
0.31,1.28,1.22,0.01,0.02,1
0.8,1.33,1.42,0.05,0.54,1
0.44,1.32,1.21,0.07,0.37,1
0.39,1.29,1.2,0.05,0.08,1
0.42,1.32,1.18,0.12,0.07,1
0.97,1.65,1.2,0.56,0.13,1
0.56,1.42,1.21,0.27,0.21,1
0.23,1.25,1.22,0.31,0.07,1
0.14,1.31,1.29,0.13,0.07,1
0.19,1.37,1.36,0.06,0.09,1
0.22,0.98,1.0,0.39,0.36,1
0.12,1.24,1.19,0.26,0.21,1
0.31,1.28,1.22,0.13,0.15,1
0.65,1.6,1.59,0.4,0.45,1
0.23,0.87,0.85,0.78,0.79,1
0.18,1.14,1.09,0.29,0.28,1
0.2,1.23,1.18,0.1,0.1,1
0.22,1.22,1.14,0.01,0.04,1
0.29,1.25,1.19,0.03,0.11,1
0.91,1.28,1.78,0.05,0.73,1
0.47,1.28,1.3,0.05,0.54,1
0.35,1.25,1.15,0.05,0.24,1
0.26,1.24,1.16,0.02,0.09,1
0.64,1.45,1.12,0.35,0.06,1
0.86,1.67,1.17,0.41,0.05,1
0.38,1.31,1.15,0.5,0.07,1
0.14,1.16,1.14,0.26,0.05,1
0.14,1.17,1.16,0.04,0.03,1
0.12,1.21,1.2,0.06,0.07,1
