distanza,altezza,distanzaDx,distanzaSx,Sesso
0.24,1.62,0.0,0.0,1
0.24,1.62,0.01,0.0,1
0.24,1.62,0.01,0.01,1
0.24,1.62,0.01,0.01,1
0.24,1.62,0.0,0.01,1
0.2,1.63,0.03,0.07,1
0.18,1.63,0.06,0.09,1
0.16,1.63,0.03,0.05,1
0.17,1.63,0.02,0.02,1
0.21,1.63,0.03,0.02,1
0.29,1.63,0.05,0.14,1
0.27,1.62,0.09,0.08,1
0.25,1.62,0.13,0.1,1
0.27,1.62,0.08,0.02,1
0.27,1.62,0.01,0.01,1
0.28,1.63,0.06,0.04,1
0.37,1.63,0.17,0.2,1
1.53,1.64,0.71,0.65,1
0.93,1.63,0.49,0.48,1
0.3,1.63,0.36,0.4,1
0.28,1.63,0.03,0.03,1
0.25,1.63,0.04,0.04,1
0.26,1.62,0.02,0.05,1
0.34,1.62,0.03,0.13,1
0.51,1.62,0.05,0.17,1
0.41,1.62,0.05,0.41,1
0.48,1.62,0.22,0.12,1
0.42,1.61,0.45,0.05,1
0.29,1.62,0.16,0.07,1
0.29,1.63,0.14,0.05,1
0.26,1.64,0.04,0.02,1
0.21,1.63,0.03,0.01,1
0.21,1.63,0.01,0.01,1
0.23,1.63,0.02,0.01,1
0.24,1.63,0.01,0.01,1
0.25,1.63,0.02,0.01,1
0.26,1.63,0.01,0.0,1
0.26,1.63,0.01,0.01,1
0.27,1.63,0.01,0.01,1
0.3,1.62,0.03,0.03,1
0.79,1.61,0.39,0.38,1
0.75,1.58,0.6,0.56,1
0.44,1.62,0.19,0.21,1
0.29,1.61,0.18,0.13,1
0.3,1.61,0.2,0.23,1
0.3,1.59,0.18,0.17,1
0.29,1.6,0.34,0.32,1
0.28,1.63,0.14,0.13,1
0.26,1.63,0.05,0.01,1
0.26,1.63,0.03,0.03,1
0.23,1.63,0.03,0.01,1
0.22,1.63,0.01,0.01,1
0.21,1.63,0.02,0.01,1
0.26,1.63,0.11,0.02,1
0.69,1.63,0.47,0.06,1
0.78,1.63,0.6,0.11,1
0.36,1.63,0.44,0.04,1
0.34,1.63,0.11,0.09,1
0.73,1.65,0.07,0.43,1
1.23,1.66,0.02,0.62,1
0.5,1.64,0.17,0.76,1
0.14,1.63,0.06,0.4,1
0.19,1.62,0.06,0.01,1
0.25,1.61,0.35,0.37,1
0.28,1.6,0.5,0.49,1
0.22,1.62,0.15,0.17,1
0.8,1.63,0.56,0.57,1
1.28,1.62,0.48,0.53,1
0.36,1.59,0.6,0.66,1
0.39,1.62,0.22,0.19,1
0.16,1.63,0.22,0.17,1
0.19,1.64,0.15,0.04,1
0.64,1.65,0.44,0.04,1
1.24,1.66,0.78,0.1,1
0.46,1.64,0.89,0.14,1
0.24,1.64,0.3,0.08,1
0.34,1.64,0.07,0.11,1
1.03,1.65,0.03,0.71,1
1.03,1.65,0.06,0.64,1
0.31,1.64,0.05,0.77,1
0.22,1.61,0.05,0.14,1
0.31,1.61,0.13,0.18,1
0.49,1.62,0.28,0.24,1
0.37,1.63,0.27,0.29,1
0.42,1.63,0.27,0.36,1
0.27,1.63,0.24,0.41,1
0.31,1.61,0.31,0.39,1
0.32,1.56,0.25,0.21,1
0.33,1.61,0.34,0.3,1
0.26,1.61,0.12,0.11,1
0.22,1.62,0.04,0.02,1
0.29,1.62,0.01,0.14,1
0.4,1.58,0.08,0.32,1
0.27,1.62,0.02,0.2,1
0.18,1.62,0.04,0.09,1
0.29,1.63,0.03,0.2,1
1.0,1.63,0.02,0.74,1
0.64,1.64,0.02,0.61,1
0.26,1.64,0.03,0.41,1
0.35,1.64,0.23,0.3,1
1.31,1.69,0.88,0.83,1
1.47,1.67,0.51,0.67,1
0.57,1.62,0.55,0.65,1
0.45,1.59,0.46,0.16,1
0.41,1.61,0.14,0.07,1
0.83,1.62,0.53,0.03,1
