distanza,altezza,distanzaDx,distanzaSx,Sesso
0.27,1.59,0.0,0.0,1
0.28,1.59,0.01,0.0,1
0.28,1.59,0.01,0.01,1
0.34,1.59,0.13,0.12,1
0.37,1.59,0.07,0.02,1
0.51,1.59,0.07,0.09,1
0.33,1.58,0.1,0.08,1
0.4,1.58,0.06,0.14,1
0.44,1.59,0.1,0.12,1
0.58,1.59,0.1,0.06,1
0.16,1.59,0.25,0.39,1
0.16,1.59,0.04,0.06,1
1.52,1.59,0.79,0.86,1
1.14,1.58,0.36,0.34,1
1.02,1.58,0.26,0.26,1
0.57,1.58,0.39,0.42,1
0.51,1.58,0.05,0.08,1
0.39,1.58,0.05,0.08,1
0.64,1.57,0.02,0.45,1
0.58,1.56,0.03,0.05,1
0.37,1.57,0.06,0.38,1
0.6,1.57,0.43,0.06,1
0.43,1.56,0.58,0.02,1
0.4,1.55,0.05,0.03,1
0.4,1.55,0.03,0.02,1
0.4,1.56,0.01,0.01,1
0.39,1.55,0.01,0.02,1
0.34,1.55,0.03,0.05,1
0.26,1.56,0.03,0.05,1
0.37,1.56,0.04,0.07,1
0.49,1.56,0.07,0.05,1
0.55,1.56,0.11,0.08,1
0.52,1.56,0.09,0.07,1
0.53,1.56,0.05,0.04,1
0.56,1.56,0.07,0.06,1
0.81,1.56,0.36,0.43,1
0.9,1.56,0.53,0.56,1
0.81,1.56,0.23,0.24,1
0.73,1.56,0.18,0.19,1
0.74,1.56,0.38,0.4,1
0.41,1.55,0.19,0.17,1
0.65,1.57,0.41,0.42,1
0.53,1.56,0.11,0.16,1
0.58,1.56,0.08,0.13,1
0.53,1.56,0.17,0.11,1
0.47,1.57,0.04,0.06,1
0.45,1.57,0.02,0.02,1
0.48,1.57,0.14,0.04,1
0.44,1.57,0.25,0.04,1
1.09,1.57,0.72,0.03,1
1.02,1.57,0.65,0.14,1
1.22,1.57,0.25,0.64,1
0.67,1.57,0.11,0.63,1
0.74,1.58,0.11,0.09,1
1.31,1.59,0.09,0.92,1
1.18,1.59,0.18,0.35,1
0.6,1.58,0.04,0.74,1
0.37,1.57,0.2,0.23,1
0.36,1.57,0.37,0.35,1
0.41,1.58,0.59,0.61,1
0.38,1.58,0.44,0.53,1
1.1,1.58,0.78,0.78,1
1.0,1.57,0.24,0.31,1
0.56,1.57,0.8,0.85,1
0.64,1.57,0.32,0.39,1
0.49,1.58,0.58,0.61,1
0.38,1.58,0.13,0.17,1
0.88,1.59,0.37,0.21,1
1.28,1.6,0.79,0.29,1
1.17,1.59,0.5,0.13,1
1.16,1.59,0.61,0.52,1
0.62,1.59,0.3,0.64,1
1.28,1.59,0.08,0.78,1
1.28,1.6,0.25,0.79,1
0.96,1.59,0.22,0.59,1
0.25,1.59,0.17,0.69,1
0.53,1.58,0.18,0.31,1
0.45,1.57,0.35,0.39,1
1.44,1.57,0.94,1.03,1
0.81,1.57,0.47,0.47,1
0.92,1.58,0.12,0.11,1
1.36,1.58,0.25,0.27,1
0.38,1.55,0.6,0.65,1
0.69,1.57,0.43,0.56,1
0.54,1.57,0.36,0.51,1
0.55,1.57,0.23,0.3,1
0.93,1.56,0.19,0.83,1
0.66,1.56,0.12,0.97,1
0.64,1.57,0.06,0.31,1
0.69,1.57,0.06,0.48,1
0.44,1.57,0.14,0.64,1
1.24,1.59,0.12,1.12,1
1.16,1.58,0.13,0.24,1
0.8,1.58,0.09,0.57,1
0.22,1.59,0.27,0.64,1
1.21,1.6,1.19,1.12,1
0.99,1.59,0.19,0.13,1
0.79,1.58,0.3,0.11,1
1.05,1.57,0.93,0.31,1
0.38,1.58,0.42,0.7,1
1.28,1.58,0.97,0.09,1
1.2,1.59,0.65,0.21,1
0.6,1.59,0.7,0.16,1
0.39,1.58,0.59,0.7,1
0.34,1.58,0.42,0.51,1
0.67,1.57,0.61,0.69,1
0.28,1.56,0.66,0.42,1
1.07,1.55,0.87,0.04,1
0.8,1.56,0.58,0.16,1
0.69,1.57,0.28,0.3,1
1.33,1.57,0.16,0.94,1
1.09,1.58,0.13,0.43,1
0.35,1.58,0.59,0.83,1
0.19,1.59,0.29,0.26,1
0.99,1.59,1.01,1.01,1
0.83,1.58,0.28,0.24,1
0.86,1.57,0.32,0.91,1
