distanza,altezza,distanzaDx,distanzaSx,Sesso
0.21,1.65,0.0,0.0,0
0.21,1.65,0.01,0.0,0
0.21,1.66,0.02,0.01,0
0.19,1.66,0.09,0.06,0
0.15,1.66,0.11,0.09,0
0.26,1.65,0.14,0.02,0
0.27,1.65,0.1,0.02,0
0.31,1.63,0.09,0.02,0
0.31,1.64,0.08,0.01,0
0.25,1.66,0.11,0.04,0
0.22,1.66,0.09,0.04,0
0.25,1.67,0.12,0.08,0
0.23,1.68,0.07,0.03,0
0.25,1.67,0.07,0.02,0
0.21,1.67,0.05,0.11,0
0.2,1.67,0.16,0.19,0
0.16,1.67,0.25,0.11,0
1.41,1.67,0.65,0.81,0
1.17,1.67,0.15,0.16,0
0.41,1.68,0.56,0.52,0
0.35,1.67,0.19,0.16,0
0.26,1.66,0.06,0.12,0
0.25,1.65,0.05,0.06,0
0.31,1.65,0.04,0.13,0
0.53,1.64,0.02,0.42,0
0.49,1.65,0.02,0.38,0
0.42,1.65,0.1,0.37,0
0.31,1.65,0.33,0.07,0
0.33,1.66,0.34,0.06,0
0.25,1.66,0.19,0.03,0
0.24,1.64,0.06,0.02,0
0.23,1.66,0.02,0.03,0
0.21,1.66,0.06,0.04,0
0.28,1.66,0.12,0.06,0
0.37,1.66,0.09,0.08,0
0.34,1.66,0.01,0.03,0
0.4,1.66,0.06,0.03,0
0.37,1.65,0.02,0.02,0
0.35,1.65,0.03,0.03,0
0.82,1.64,0.59,0.59,0
0.74,1.62,0.4,0.44,0
1.09,1.6,0.73,0.78,0
0.84,1.65,0.51,0.5,0
0.37,1.66,0.45,0.51,0
0.48,1.67,0.51,0.61,0
0.35,1.66,0.36,0.3,0
0.32,1.66,0.19,0.22,0
0.37,1.67,0.3,0.17,0
0.31,1.68,0.48,0.39,0
0.35,1.68,0.13,0.18,0
0.28,1.68,0.1,0.13,0
0.26,1.67,0.02,0.07,0
0.28,1.66,0.06,0.06,0
0.37,1.66,0.13,0.07,0
0.65,1.66,0.38,0.04,0
0.92,1.67,0.32,0.01,0
0.29,1.67,0.69,0.04,0
0.37,1.67,0.02,0.1,0
0.49,1.67,0.1,0.27,0
1.26,1.68,0.05,0.88,0
0.81,1.67,0.02,0.53,0
0.3,1.67,0.01,0.61,0
0.31,1.66,0.13,0.14,0
0.39,1.66,0.59,0.58,0
0.35,1.66,0.65,0.63,0
0.25,1.67,0.18,0.22,0
0.35,1.68,0.32,0.28,0
1.06,1.67,0.34,0.45,0
0.24,1.66,0.56,0.61,0
0.25,1.68,0.2,0.23,0
0.37,1.68,0.12,0.13,0
0.37,1.67,0.04,0.1,0
0.62,1.67,0.34,0.07,0
1.3,1.69,0.71,0.03,0
0.9,1.68,0.38,0.05,0
0.32,1.68,0.63,0.06,0
0.34,1.68,0.09,0.13,0
0.89,1.68,0.03,0.74,0
1.12,1.68,0.03,0.27,0
