distanza,altezza,distanzaDx,distanzaSx,Sesso
0.2,1.52,0.0,0.0,1
0.2,1.52,0.01,0.0,1
0.2,1.52,0.0,0.0,1
0.2,1.52,0.01,0.01,1
0.19,1.52,0.01,0.01,1
0.17,1.52,0.02,0.02,1
0.2,1.52,0.03,0.03,1
0.22,1.53,0.01,0.03,1
0.2,1.53,0.03,0.05,1
0.19,1.52,0.08,0.09,1
0.28,1.52,0.07,0.02,1
0.59,1.52,0.13,0.21,1
1.29,1.51,0.32,0.39,1
0.56,1.51,0.41,0.39,1
0.3,1.52,0.1,0.18,1
0.26,1.52,0.02,0.06,1
0.22,1.52,0.01,0.04,1
0.23,1.51,0.01,0.01,1
0.27,1.51,0.07,0.04,1
0.46,1.51,0.3,0.05,1
0.56,1.52,0.09,0.13,1
0.53,1.51,0.08,0.09,1
0.38,1.5,0.04,0.34,1
0.3,1.5,0.13,0.18,1
0.3,1.51,0.06,0.1,1
0.28,1.51,0.04,0.03,1
0.28,1.51,0.04,0.05,1
0.26,1.53,0.01,0.01,1
0.28,1.53,0.02,0.04,1
0.29,1.52,0.03,0.01,1
0.3,1.52,0.03,0.0,1
0.47,1.51,0.07,0.09,1
0.65,1.51,0.09,0.09,1
0.81,1.51,0.07,0.1,1
0.78,1.51,0.07,0.09,1
0.84,1.52,0.09,0.08,1
0.76,1.51,0.44,0.42,1
0.49,1.51,0.23,0.27,1
0.31,1.51,0.26,0.22,1
0.28,1.52,0.03,0.04,1
0.27,1.49,0.4,0.44,1
0.21,1.51,0.11,0.09,1
0.21,1.51,0.15,0.14,1
0.27,1.51,0.03,0.07,1
0.28,1.51,0.06,0.06,1
0.27,1.52,0.05,0.08,1
0.27,1.52,0.03,0.04,1
0.27,1.52,0.05,0.06,1
0.33,1.51,0.05,0.09,1
0.96,1.52,0.05,0.59,1
0.61,1.52,0.07,0.38,1
0.52,1.53,0.19,0.23,1
0.6,1.54,0.16,0.09,1
0.8,1.56,0.33,0.03,1
1.04,1.56,0.32,0.07,1
0.57,1.53,0.51,0.08,1
0.32,1.52,0.3,0.06,1
0.29,1.52,0.06,0.04,1
0.29,1.52,0.13,0.13,1
0.34,1.52,0.22,0.16,1
0.53,1.51,0.28,0.26,1
1.31,1.51,0.44,0.42,1
0.7,1.5,0.33,0.3,1
0.29,1.5,0.49,0.59,1
0.31,1.52,0.06,0.09,1
0.33,1.52,0.11,0.21,1
0.6,1.53,0.04,0.27,1
0.95,1.54,0.05,0.36,1
0.97,1.55,0.04,0.2,1
0.54,1.53,0.07,0.44,1
0.55,1.53,0.13,0.1,1
0.62,1.54,0.21,0.08,1
0.94,1.55,0.57,0.05,1
0.94,1.54,0.13,0.15,1
0.6,1.53,0.57,0.08,1
0.41,1.52,0.11,0.13,1
0.2,1.53,0.34,0.18,1
0.2,1.53,0.12,0.09,1
0.74,1.52,0.41,0.42,1
0.39,1.5,0.17,0.2,1
0.35,1.51,0.05,0.04,1
0.35,1.53,0.06,0.03,1
0.32,1.52,0.39,0.43,1
0.31,1.52,0.1,0.14,1
0.37,1.52,0.22,0.21,1
0.35,1.51,0.09,0.09,1
0.41,1.52,0.1,0.03,1
0.53,1.52,0.23,0.03,1
0.42,1.53,0.19,0.04,1
0.49,1.53,0.15,0.04,1
0.64,1.53,0.22,0.03,1
0.92,1.53,0.35,0.03,1
0.65,1.53,0.3,0.1,1
0.72,1.54,0.09,0.17,1
0.87,1.54,0.15,0.16,1
1.25,1.61,0.46,0.51,1
0.68,1.56,0.57,0.52,1
0.43,1.52,0.21,0.19,1
0.52,1.53,0.05,0.36,1
0.47,1.52,0.03,0.25,1
0.78,1.52,0.04,0.42,1
0.51,1.52,0.07,0.27,1
0.31,1.52,0.09,0.16,1
0.34,1.52,0.04,0.03,1
0.33,1.51,0.36,0.38,1
0.36,1.52,0.13,0.09,1
0.42,1.51,0.13,0.15,1
0.76,1.51,0.03,0.37,1
0.58,1.52,0.06,0.27,1
0.76,1.52,0.36,0.18,1
0.79,1.52,0.11,0.07,1
0.65,1.54,0.29,0.18,1
0.79,1.54,0.14,0.19,1
1.12,1.63,0.4,0.37,1
0.86,1.57,0.22,0.24,1
0.43,1.53,0.5,0.37,1
0.46,1.53,0.14,0.05,1
0.7,1.53,0.37,0.07,1
0.41,1.53,0.09,0.52,1
0.32,1.53,0.04,0.15,1
0.24,1.53,0.12,0.08,1
0.32,1.51,0.41,0.49,1
0.31,1.53,0.21,0.14,1
0.33,1.53,0.19,0.23,1
0.29,1.52,0.08,0.11,1
0.24,1.57,0.07,0.08,1
0.25,1.58,0.03,0.08,1
0.32,1.57,0.43,0.47,1
0.28,1.57,0.07,0.1,1
0.19,1.56,0.02,0.07,1
0.29,1.55,0.12,0.15,1
0.37,1.55,0.42,0.49,1
0.34,1.55,0.05,0.03,1
0.31,1.56,0.16,0.25,1
0.32,1.57,0.27,0.21,1
0.56,1.57,0.35,0.34,1
1.12,1.58,0.31,0.33,1
1.14,1.57,0.13,0.09,1
0.56,1.57,0.34,0.31,1
0.67,1.58,0.12,0.09,1
0.85,1.58,0.15,0.16,1
1.3,1.66,0.57,0.59,1
0.71,1.58,0.49,0.54,1
0.21,1.57,0.34,0.37,1
0.24,1.56,0.02,0.03,1
0.29,1.54,0.07,0.07,1
0.34,1.55,0.26,0.36,1
0.58,1.55,0.22,0.11,1
0.81,1.55,0.2,0.16,1
0.7,1.54,0.41,0.05,1
0.52,1.56,0.24,0.32,1
0.53,1.56,0.23,0.35,1
0.5,1.56,0.04,0.41,1
0.39,1.56,0.09,0.23,1
0.25,1.57,0.1,0.22,1
0.28,1.57,0.06,0.06,1
0.3,1.56,0.34,0.36,1
0.23,1.56,0.13,0.14,1
