distanza,altezza,distanzaDx,distanzaSx,Sesso
0.18,1.53,0.0,0.0,1
0.18,1.53,0.01,0.01,1
0.19,1.53,0.0,0.01,1
0.19,1.54,0.01,0.01,1
0.17,1.55,0.05,0.04,1
0.16,1.55,0.05,0.03,1
0.17,1.55,0.01,0.01,1
0.17,1.55,0.01,0.01,1
0.17,1.55,0.01,0.01,1
0.16,1.55,0.06,0.02,1
0.21,1.56,0.04,0.07,1
0.35,1.56,0.03,0.14,1
1.35,1.56,0.55,0.5,1
0.98,1.56,0.3,0.35,1
0.54,1.56,0.18,0.28,1
0.46,1.55,0.04,0.07,1
0.42,1.55,0.01,0.03,1
0.38,1.55,0.02,0.11,1
0.54,1.55,0.03,0.37,1
0.51,1.56,0.05,0.46,1
0.49,1.56,0.05,0.32,1
0.62,1.56,0.33,0.1,1
0.48,1.55,0.56,0.17,1
0.58,1.56,0.2,0.07,1
0.5,1.56,0.08,0.05,1
0.41,1.56,0.07,0.04,1
0.39,1.55,0.02,0.02,1
0.38,1.56,0.01,0.01,1
0.38,1.55,0.02,0.0,1
0.36,1.56,0.02,0.01,1
0.37,1.56,0.01,0.01,1
0.41,1.56,0.03,0.02,1
0.42,1.56,0.01,0.01,1
0.37,1.56,0.02,0.04,1
0.49,1.56,0.02,0.22,1
0.58,1.56,0.03,0.1,1
0.74,1.56,0.34,0.5,1
0.66,1.56,0.3,0.24,1
0.42,1.56,0.13,0.13,1
0.21,1.56,0.18,0.17,1
0.21,1.56,0.03,0.02,1
0.26,1.56,0.27,0.25,1
0.31,1.56,0.12,0.07,1
0.3,1.56,0.02,0.02,1
0.3,1.56,0.01,0.01,1
0.3,1.56,0.01,0.01,1
0.29,1.56,0.02,0.01,1
0.26,1.56,0.12,0.04,1
0.41,1.56,0.11,0.06,1
0.67,1.56,0.24,0.02,1
0.9,1.56,0.41,0.01,1
0.83,1.56,0.04,0.07,1
0.63,1.56,0.21,0.06,1
0.71,1.56,0.28,0.26,1
1.14,1.56,0.05,0.52,1
0.96,1.56,0.05,0.25,1
0.43,1.56,0.09,0.54,1
0.28,1.56,0.02,0.14,1
0.32,1.55,0.31,0.3,1
0.32,1.56,0.44,0.38,1
0.34,1.56,0.21,0.17,1
0.43,1.56,0.18,0.22,1
1.06,1.56,0.41,0.4,1
0.38,1.55,0.59,0.52,1
0.36,1.56,0.24,0.25,1
0.24,1.56,0.16,0.17,1
0.31,1.56,0.12,0.02,1
0.61,1.56,0.33,0.03,1
0.96,1.56,0.42,0.03,1
0.58,1.56,0.38,0.12,1
0.42,1.56,0.27,0.09,1
0.49,1.56,0.04,0.07,1
0.9,1.56,0.01,0.46,1
0.89,1.56,0.04,0.16,1
0.55,1.55,0.06,0.41,1
0.44,1.55,0.03,0.09,1
0.33,1.55,0.06,0.1,1
0.53,1.57,0.17,0.24,1
0.94,1.55,0.27,0.68,1
1.06,1.57,0.64,0.22,1
0.88,1.57,0.23,0.14,1
0.49,1.57,0.28,0.25,1
0.33,1.57,0.16,0.06,1
0.5,1.57,0.27,0.26,1
0.5,1.56,0.2,0.1,1
0.43,1.56,0.02,0.13,1
0.57,1.56,0.07,0.16,1
0.74,1.56,0.04,0.5,1
0.6,1.56,0.08,0.26,1
0.46,1.56,0.03,0.15,1
0.55,1.56,0.04,0.11,1
1.01,1.57,0.02,0.48,1
0.66,1.56,0.03,0.33,1
0.47,1.56,0.07,0.2,1
0.4,1.56,0.05,0.02,1
1.0,1.58,0.62,0.62,1
0.88,1.57,0.37,0.31,1
0.48,1.56,0.35,0.44,1
0.63,1.56,0.33,0.12,1
0.63,1.57,0.13,0.03,1
0.74,1.57,0.39,0.08,1
0.96,1.57,0.33,0.05,1
0.55,1.57,0.27,0.17,1
0.47,1.56,0.1,0.03,1
0.39,1.55,0.11,0.13,1
0.43,1.55,0.41,0.3,1
0.47,1.53,0.26,0.17,1
0.49,1.55,0.07,0.06,1
0.78,1.56,0.39,0.03,1
0.43,1.57,0.21,0.17,1
1.0,1.57,0.04,0.6,1
0.66,1.57,0.09,0.26,1
0.37,1.57,0.13,0.19,1
0.46,1.56,0.13,0.16,1
1.2,1.57,0.64,0.67,1
0.82,1.56,0.65,0.5,1
0.51,1.56,0.15,0.22,1
0.58,1.56,0.09,0.36,1
0.55,1.56,0.33,0.22,1
0.64,1.56,0.33,0.03,1
0.46,1.56,0.11,0.14,1
0.31,1.56,0.24,0.14,1
0.43,1.56,0.23,0.33,1
0.39,1.56,0.1,0.12,1
0.3,1.56,0.07,0.05,1
0.31,1.56,0.2,0.19,1
0.3,1.56,0.09,0.13,1
0.3,1.57,0.47,0.44,1
0.36,1.56,0.16,0.13,1
0.35,1.55,0.14,0.09,1
0.32,1.55,0.15,0.18,1
0.3,1.56,0.37,0.32,1
0.35,1.56,0.34,0.28,1
0.28,1.56,0.05,0.04,1
0.31,1.56,0.21,0.18,1
0.27,1.56,0.22,0.17,1
0.24,1.56,0.05,0.01,1
0.96,1.56,0.43,0.4,1
0.72,1.56,0.19,0.21,1
0.39,1.56,0.22,0.17,1
