velocityDx,velocitySx,velocity,distanza,distanzaDx,distanzaSx,Sesso
0.0,0.0,0.07,0.23,0.0,0.0,1
0.0,0.0,0.07,0.23,0.01,0.01,1
0.0,0.01,0.07,0.23,0.01,0.02,1
0.01,0.0,0.07,0.24,0.02,0.01,1
0.01,0.01,0.07,0.25,0.04,0.02,1
0.01,0.01,0.07,0.23,0.02,0.02,1
0.0,0.01,0.07,0.23,0.01,0.02,1
0.01,0.0,0.06,0.2,0.04,0.01,1
0.01,0.01,0.07,0.22,0.04,0.03,1
0.03,0.02,0.07,0.24,0.09,0.06,1
0.01,0.02,0.05,0.18,0.05,0.08,1
0.07,0.04,0.15,0.51,0.24,0.14,1
0.08,0.1,0.32,1.05,0.27,0.32,1
0.14,0.14,0.05,0.17,0.47,0.45,1
0.01,0.0,0.05,0.18,0.02,0.01,1
0.01,0.01,0.07,0.23,0.02,0.04,1
0.0,0.0,0.07,0.23,0.01,0.01,1
0.01,0.0,0.07,0.23,0.03,0.01,1
0.04,0.01,0.09,0.31,0.13,0.02,1
0.14,0.01,0.17,0.55,0.47,0.03,1
0.06,0.01,0.12,0.39,0.19,0.03,1
0.03,0.07,0.1,0.34,0.11,0.22,1
0.04,0.04,0.09,0.31,0.12,0.14,1
0.04,0.06,0.07,0.25,0.14,0.21,1
0.01,0.01,0.07,0.22,0.05,0.04,1
0.0,0.01,0.07,0.23,0.01,0.04,1
0.0,0.01,0.07,0.25,0.01,0.02,1
0.01,0.0,0.07,0.23,0.02,0.01,1
0.0,0.0,0.07,0.23,0.01,0.01,1
0.0,0.0,0.07,0.24,0.01,0.01,1
0.01,0.0,0.09,0.29,0.04,0.01,1
0.01,0.0,0.09,0.31,0.03,0.01,1
0.01,0.01,0.09,0.29,0.04,0.05,1
0.02,0.01,0.09,0.3,0.06,0.05,1
0.02,0.02,0.12,0.4,0.07,0.06,1
0.06,0.1,0.28,0.94,0.21,0.35,1
0.09,0.08,0.28,0.92,0.31,0.28,1
0.11,0.1,0.13,0.43,0.37,0.35,1
