distanza,altezza,distanzaDx,distanzaSx,Sesso
0.23,1.76,0.0,0.0,1
0.3,1.76,0.17,0.14,1
0.35,1.75,0.49,0.58,1
0.29,1.76,0.04,0.1,1
0.31,1.77,0.08,0.06,1
0.38,1.77,0.1,0.12,1
0.36,1.77,0.1,0.08,1
0.41,1.78,0.22,0.32,1
0.3,1.79,0.33,0.27,1
0.35,1.79,0.11,0.08,1
0.38,1.79,0.09,0.09,1
1.2,1.79,0.38,0.45,1
0.91,1.79,0.19,0.11,1
0.5,1.79,0.21,0.2,1
0.37,1.78,0.14,0.1,1
0.35,1.78,0.09,0.1,1
0.31,1.79,0.09,0.09,1
0.46,1.79,0.07,0.26,1
0.48,1.78,0.05,0.08,1
0.75,1.77,0.12,0.76,1
1.0,1.78,0.4,0.08,1
0.44,1.76,0.89,0.12,1
0.49,1.77,0.15,0.11,1
0.44,1.79,0.04,0.05,1
0.4,1.79,0.03,0.05,1
0.36,1.79,0.03,0.01,1
0.32,1.79,0.11,0.08,1
0.36,1.78,0.04,0.1,1
0.34,1.8,0.03,0.04,1
0.36,1.79,0.15,0.14,1
0.44,1.79,0.13,0.08,1
0.4,1.8,0.09,0.05,1
0.39,1.79,0.1,0.08,1
0.59,1.79,0.46,0.42,1
0.81,1.79,0.32,0.39,1
1.11,1.78,0.51,0.54,1
1.05,1.78,0.13,0.19,1
0.92,1.78,0.49,0.49,1
0.55,1.78,0.31,0.37,1
0.43,1.78,0.15,0.15,1
0.38,1.77,0.47,0.49,1
0.4,1.78,0.05,0.06,1
0.41,1.77,0.01,0.02,1
0.42,1.78,0.01,0.01,1
0.44,1.79,0.27,0.25,1
0.55,1.8,0.36,0.36,1
0.51,1.79,0.31,0.28,1
0.56,1.8,0.6,0.1,1
0.63,1.8,0.08,0.07,1
1.01,1.79,0.8,0.03,1
0.94,1.79,0.22,0.04,1
0.62,1.8,0.33,0.05,1
0.55,1.79,0.41,0.19,1
1.4,1.79,0.1,0.93,1
1.3,1.79,0.1,0.19,1
0.71,1.79,0.22,0.59,1
0.39,1.79,0.32,0.23,1
