distanza,altezza,distanzaDx,distanzaSx,Sesso
0.49,1.75,0.0,0.0,0
0.42,1.76,0.03,0.2,0
0.41,1.77,0.01,0.05,0
0.39,1.79,0.03,0.07,0
0.29,1.81,0.09,0.06,0
0.28,1.79,0.02,0.03,0
0.24,1.76,0.04,0.02,0
0.24,1.77,0.04,0.04,0
0.28,1.79,0.04,0.08,0
0.27,1.8,0.03,0.02,0
0.23,1.82,0.05,0.06,0
0.21,1.82,0.07,0.09,0
0.21,1.83,0.05,0.06,0
0.2,1.82,0.03,0.04,0
0.2,1.82,0.0,0.0,0
0.19,1.82,0.07,0.06,0
0.57,1.82,0.21,0.22,0
0.83,1.82,0.16,0.17,0
0.31,1.82,0.29,0.28,0
0.24,1.83,0.07,0.1,0
0.25,1.82,0.02,0.03,0
0.24,1.82,0.03,0.03,0
0.24,1.82,0.03,0.0,0
0.25,1.82,0.05,0.03,0
0.38,1.82,0.3,0.04,0
0.35,1.82,0.1,0.05,0
0.33,1.82,0.08,0.23,0
0.3,1.82,0.03,0.13,0
0.27,1.81,0.03,0.03,0
0.35,1.78,0.05,0.05,0
0.34,1.77,0.01,0.01,0
0.3,1.77,0.05,0.02,0
0.33,1.78,0.04,0.06,0
0.32,1.79,0.01,0.04,0
0.36,1.8,0.06,0.07,0
0.41,1.81,0.04,0.02,0
0.36,1.81,0.02,0.05,0
0.28,1.81,0.03,0.05,0
0.32,1.81,0.01,0.03,0
0.47,1.81,0.13,0.13,0
0.75,1.81,0.22,0.25,0
0.6,1.81,0.12,0.15,0
0.38,1.81,0.22,0.29,0
0.32,1.82,0.15,0.13,0
0.29,1.82,0.03,0.01,0
0.23,1.82,0.36,0.35,0
0.22,1.81,0.1,0.11,0
0.24,1.81,0.03,0.03,0
0.33,1.81,0.06,0.05,0
0.37,1.81,0.04,0.03,0
0.26,1.81,0.06,0.05,0
0.17,1.81,0.06,0.04,0
0.19,1.81,0.0,0.02,0
0.45,1.81,0.02,0.29,0
0.71,1.82,0.01,0.32,0
0.41,1.82,0.04,0.27,0
0.23,1.82,0.06,0.22,0
0.37,1.82,0.17,0.01,0
0.84,1.83,0.5,0.02,0
0.57,1.82,0.25,0.04,0
0.21,1.82,0.39,0.01,0
0.21,1.82,0.07,0.05,0
0.29,1.82,0.22,0.21,0
0.27,1.82,0.18,0.18,0
0.28,1.82,0.19,0.19,0
0.3,1.81,0.3,0.27,0
0.95,1.82,0.34,0.37,0
0.45,1.81,0.26,0.24,0
0.21,1.81,0.48,0.5,0
0.21,1.82,0.17,0.21,0
0.23,1.82,0.05,0.04,0
