distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.29,1.03,1.12,0.0,0.0,0
0.27,1.04,1.12,0.01,0.01,0
0.27,1.05,1.13,0.02,0.01,0
0.23,1.07,1.13,0.05,0.01,0
0.21,1.1,1.14,0.04,0.01,0
0.19,1.1,1.14,0.03,0.01,0
0.19,1.1,1.14,0.01,0.01,0
0.19,1.11,1.14,0.01,0.0,0
0.21,1.11,1.15,0.01,0.02,0
0.2,1.11,1.14,0.01,0.01,0
0.19,1.11,1.13,0.01,0.01,0
0.19,1.12,1.13,0.01,0.0,0
0.18,1.12,1.13,0.01,0.0,0
0.18,1.11,1.12,0.01,0.01,0
0.16,1.11,1.12,0.01,0.01,0
0.36,1.19,1.23,0.12,0.17,0
1.31,1.39,1.36,0.55,0.5,0
0.89,1.27,1.21,0.27,0.25,0
0.34,1.18,1.17,0.29,0.29,0
0.26,1.12,1.11,0.08,0.07,0
0.24,1.12,1.11,0.0,0.02,0
0.23,1.11,1.11,0.02,0.02,0
0.26,1.19,1.11,0.08,0.0,0
0.28,1.05,1.11,0.14,0.01,0
0.26,1.1,1.12,0.07,0.02,0
0.31,1.12,1.29,0.03,0.17,0
0.34,1.15,1.0,0.04,0.29,0
0.27,1.16,1.23,0.02,0.23,0
0.22,1.13,1.09,0.04,0.14,0
0.2,1.13,1.11,0.01,0.02,0
0.21,1.12,1.11,0.02,0.01,0
0.21,1.12,1.11,0.01,0.01,0
0.21,1.12,1.11,0.0,0.01,0
0.22,1.12,1.1,0.01,0.01,0
0.24,1.12,1.1,0.01,0.01,0
0.24,1.11,1.1,0.01,0.0,0
0.26,1.11,1.1,0.01,0.01,0
0.27,1.1,1.09,0.01,0.01,0
0.39,1.19,1.17,0.11,0.1,0
0.59,1.38,1.35,0.22,0.21,0
0.67,0.99,0.89,0.39,0.47,0
0.5,1.18,1.17,0.21,0.3,0
0.34,1.12,1.11,0.09,0.11,0
0.26,1.26,1.24,0.14,0.14,0
0.28,0.99,0.98,0.28,0.27,0
0.31,1.1,1.06,0.12,0.11,0
0.27,1.17,1.15,0.07,0.1,0
0.29,1.13,1.08,0.05,0.07,0
0.25,1.12,1.08,0.02,0.02,0
0.24,1.12,1.08,0.01,0.0,0
0.24,1.12,1.07,0.0,0.01,0
0.24,1.13,1.07,0.01,0.01,0
0.24,1.13,1.09,0.01,0.02,0
0.72,1.14,1.34,0.01,0.51,0
0.61,1.15,1.25,0.02,0.14,0
0.3,1.14,1.08,0.05,0.31,0
0.29,1.1,1.04,0.06,0.07,0
0.48,1.23,1.03,0.22,0.01,0
1.04,1.68,1.06,0.6,0.04,0
0.52,1.28,1.08,0.54,0.03,0
0.25,1.05,1.06,0.31,0.03,0
0.25,1.13,1.1,0.08,0.05,0
0.31,1.26,1.21,0.13,0.12,0
0.31,1.01,1.0,0.25,0.23,0
0.15,1.23,1.25,0.23,0.27,0
0.48,1.17,1.17,0.18,0.19,0
0.77,1.23,1.2,0.15,0.19,0
0.32,0.96,0.91,0.35,0.37,0
0.28,1.23,1.19,0.27,0.28,0
0.21,1.15,1.14,0.08,0.07,0
0.23,1.13,1.05,0.04,0.09,0
0.46,1.15,1.26,0.04,0.3,0
0.88,1.16,1.56,0.03,0.46,0
0.4,1.19,1.14,0.08,0.53,0
0.27,1.15,1.08,0.05,0.18,0
0.3,1.14,1.07,0.07,0.05,0
0.94,1.62,1.09,0.66,0.04,0
0.78,1.41,1.11,0.24,0.05,0
0.55,1.32,1.12,0.24,0.02,0
0.3,1.15,1.11,0.26,0.02,0
0.25,1.15,1.08,0.04,0.04,0
0.17,1.19,1.07,0.22,0.15,0
1.28,1.24,1.07,0.7,0.75,0
0.49,1.18,1.05,0.36,0.52,0
0.19,1.13,1.06,0.14,0.16,0
0.24,1.25,1.21,0.12,0.15,0
0.32,0.98,0.95,0.27,0.27,0
0.26,1.17,1.15,0.2,0.21,0
0.21,1.12,1.09,0.05,0.08,0
0.19,1.09,1.08,0.03,0.02,0
0.28,1.26,1.09,0.17,0.01,0
0.26,1.04,1.11,0.22,0.03,0
0.23,1.19,1.11,0.16,0.01,0
0.23,1.13,1.11,0.06,0.01,0
0.26,1.13,1.1,0.02,0.01,0
0.68,1.31,1.12,0.42,0.02,0
0.36,1.21,1.12,0.32,0.02,0
0.24,1.15,1.11,0.13,0.01,0
0.32,1.14,1.11,0.07,0.04,0
1.09,1.58,1.56,0.53,0.65,0
0.79,1.4,1.39,0.24,0.22,0
0.39,1.27,1.31,0.21,0.25,0
0.46,1.28,1.02,0.03,0.29,0
0.3,1.25,1.25,0.04,0.24,0
0.7,1.25,1.27,0.03,0.37,0
0.5,1.24,1.22,0.03,0.18,0
0.24,1.15,1.11,0.11,0.23,0
0.21,1.22,1.2,0.07,0.1,0
0.29,1.07,1.02,0.17,0.21,0
0.25,1.11,1.08,0.08,0.12,0
0.17,1.11,1.09,0.02,0.06,0
0.74,1.13,1.05,0.07,0.5,0
0.5,1.12,1.02,0.08,0.18,0
0.49,1.06,1.04,0.24,0.23,0
0.58,1.01,1.02,0.11,0.03,0
0.24,1.07,1.06,0.29,0.07,0
0.26,1.1,1.05,0.03,0.02,0
0.53,1.3,1.27,0.27,0.27,0
1.12,1.61,1.6,0.42,0.48,0
0.58,1.29,1.2,0.43,0.49,0
0.32,1.24,1.24,0.11,0.16,0
0.35,1.06,1.27,0.18,0.05,0
0.33,1.15,0.97,0.09,0.32,0
0.3,1.21,1.03,0.06,0.14,0
0.22,0.99,0.92,0.22,0.11,0
0.3,1.2,1.19,0.24,0.31,0
0.36,1.27,1.23,0.1,0.09,0
0.25,1.08,1.07,0.2,0.17,0
0.2,1.07,1.06,0.02,0.04,0
0.18,1.06,1.03,0.01,0.05,0
0.21,1.06,1.04,0.02,0.02,0
0.3,1.0,0.96,0.06,0.12,0
0.25,1.13,1.13,0.13,0.18,0
0.21,1.04,1.0,0.09,0.14,0
0.26,1.05,1.04,0.05,0.08,0
0.39,1.2,1.14,0.15,0.15,0
0.27,1.11,1.08,0.09,0.14,0
0.24,1.05,1.01,0.08,0.1,0
0.28,0.99,0.89,0.1,0.18,0
0.21,1.1,1.05,0.12,0.18,0
0.76,1.26,1.25,0.34,0.36,0
0.94,1.26,1.22,0.11,0.17,0
0.34,1.15,1.09,0.29,0.37,0
0.29,1.09,1.04,0.06,0.07,0
0.33,1.09,1.08,0.01,0.06,0
1.19,1.62,1.67,0.68,0.73,0
0.78,1.36,1.3,0.35,0.42,0
0.33,1.12,1.06,0.31,0.35,0
0.18,1.05,1.01,0.09,0.11,0
0.25,1.25,1.2,0.2,0.2,0
0.31,0.97,0.89,0.29,0.33,0
0.26,1.09,1.0,0.13,0.12,0
0.32,1.16,1.05,0.1,0.05,0
0.53,1.06,1.11,0.18,0.1,0
0.43,1.12,1.08,0.14,0.04,0
0.37,1.07,1.23,0.13,0.15,0
0.53,1.12,0.94,0.06,0.33,0
0.33,1.13,1.15,0.04,0.25,0
0.22,1.09,1.03,0.04,0.17,0
0.25,1.21,1.21,0.13,0.18,0
0.32,1.0,0.92,0.22,0.3,0
0.26,1.09,1.05,0.1,0.17,0
0.32,1.17,1.1,0.08,0.1,0
0.28,1.39,1.39,0.23,0.3,0
0.32,1.18,1.12,0.22,0.27,0
0.22,1.11,1.04,0.08,0.11,0
0.45,1.23,1.06,0.25,0.02,0
0.58,1.23,1.07,0.15,0.03,0
0.26,1.1,1.04,0.32,0.03,0
0.25,1.1,1.02,0.02,0.02,0
0.25,1.09,1.04,0.01,0.02,0
0.68,1.1,1.31,0.03,0.46,0
0.58,1.12,1.19,0.02,0.15,0
0.26,1.09,1.03,0.07,0.31,0
0.28,1.06,1.0,0.09,0.07,0
0.58,1.03,1.03,0.29,0.04,0
0.48,1.02,1.03,0.13,0.01,0
0.29,1.08,1.02,0.21,0.01,0
0.35,1.09,1.24,0.02,0.23,0
0.6,1.1,0.92,0.02,0.4,0
0.29,1.11,1.01,0.05,0.27,0
0.29,1.01,1.06,0.1,0.05,0
0.27,1.09,1.12,0.08,0.06,0
0.25,1.12,1.18,0.03,0.08,0
0.34,1.15,1.04,0.03,0.16,0
0.23,1.11,1.07,0.05,0.07,0
0.21,1.21,1.18,0.1,0.11,0
0.28,1.03,0.93,0.18,0.26,0
0.23,1.13,1.08,0.1,0.15,0
0.22,1.11,1.08,0.02,0.01,0
0.26,1.12,1.07,0.02,0.02,0
0.27,1.11,1.1,0.01,0.03,0
0.29,1.09,1.07,0.03,0.03,0
1.2,1.59,1.6,0.69,0.69,0
0.89,1.43,1.36,0.24,0.27,0
0.35,1.15,1.11,0.38,0.38,0
0.23,1.11,1.05,0.07,0.09,0
0.22,1.1,1.05,0.01,0.01,0
0.21,1.11,1.06,0.01,0.01,0
0.2,1.1,1.07,0.02,0.02,0
0.24,1.1,1.07,0.02,0.02,0
0.22,1.1,1.09,0.02,0.03,0
1.34,1.25,1.25,0.57,0.59,0
0.85,1.16,1.08,0.26,0.3,0
0.42,1.07,0.95,0.28,0.23,0
0.74,1.16,1.49,0.11,0.58,0
0.51,1.11,1.12,0.06,0.39,0
0.67,1.29,1.01,0.29,0.17,0
0.72,1.28,1.02,0.09,0.02,0
0.39,1.08,0.98,0.28,0.11,0
0.27,1.33,1.27,0.27,0.29,0
0.26,1.12,1.11,0.23,0.17,0
0.95,1.25,1.17,0.39,0.34,0
0.45,1.18,1.12,0.22,0.3,0
0.24,1.04,0.99,0.18,0.18,0
0.22,1.04,0.99,0.01,0.03,0
0.2,1.07,1.02,0.04,0.05,0
