distanza,altezza,distanzaDx,distanzaSx,Sesso
0.22,1.61,0.0,0.0,1
0.21,1.62,0.0,0.01,1
0.24,1.62,0.02,0.03,1
0.21,1.63,0.06,0.11,1
0.16,1.64,0.03,0.04,1
0.18,1.64,0.03,0.04,1
0.15,1.64,0.03,0.03,1
0.15,1.64,0.04,0.01,1
0.18,1.64,0.02,0.01,1
0.22,1.64,0.02,0.05,1
0.42,1.64,0.17,0.24,1
0.75,1.65,0.27,0.26,1
0.95,1.65,0.22,0.21,1
0.25,1.65,0.46,0.47,1
0.32,1.64,0.09,0.05,1
0.42,1.64,0.04,0.18,1
0.37,1.64,0.02,0.07,1
0.23,1.64,0.05,0.13,1
0.38,1.63,0.23,0.03,1
0.54,1.63,0.28,0.07,1
0.34,1.63,0.34,0.09,1
0.49,1.63,0.04,0.22,1
0.32,1.63,0.07,0.29,1
0.27,1.63,0.12,0.14,1
0.23,1.64,0.04,0.04,1
0.28,1.64,0.04,0.03,1
0.28,1.63,0.0,0.01,1
0.25,1.63,0.02,0.02,1
0.24,1.63,0.05,0.05,1
0.24,1.63,0.01,0.01,1
0.23,1.62,0.01,0.02,1
0.23,1.61,0.02,0.02,1
0.2,1.62,0.04,0.04,1
0.21,1.62,0.01,0.01,1
0.4,1.62,0.21,0.08,1
0.78,1.63,0.29,0.27,1
0.59,1.63,0.45,0.32,1
0.14,1.62,0.23,0.25,1
0.17,1.62,0.02,0.01,1
0.25,1.62,0.14,0.14,1
0.34,1.62,0.22,0.24,1
0.17,1.63,0.31,0.25,1
0.16,1.62,0.04,0.08,1
0.12,1.63,0.02,0.06,1
0.17,1.63,0.04,0.01,1
0.17,1.61,0.01,0.01,1
0.18,1.59,0.02,0.02,1
0.18,1.63,0.04,0.02,1
0.18,1.63,0.03,0.06,1
0.96,1.63,0.01,0.79,1
0.45,1.64,0.03,0.5,1
0.2,1.65,0.12,0.25,1
0.48,1.65,0.23,0.13,1
1.12,1.66,0.56,0.1,1
0.66,1.65,0.36,0.12,1
0.17,1.65,0.42,0.1,1
0.26,1.64,0.07,0.04,1
0.3,1.64,0.04,0.14,1
0.4,1.64,0.27,0.33,1
0.21,1.64,0.3,0.29,1
0.2,1.65,0.07,0.1,1
1.03,1.65,0.58,0.6,1
0.53,1.64,0.25,0.29,1
0.27,1.63,0.34,0.38,1
0.26,1.63,0.2,0.22,1
0.2,1.64,0.08,0.03,1
0.31,1.65,0.03,0.16,1
0.97,1.66,0.06,0.64,1
0.67,1.65,0.02,0.31,1
0.22,1.65,0.06,0.47,1
0.35,1.65,0.08,0.1,1
0.78,1.65,0.29,0.18,1
1.29,1.67,0.54,0.08,1
0.37,1.66,0.78,0.17,1
0.16,1.65,0.21,0.04,1
0.22,1.64,0.09,0.1,1
0.37,1.64,0.14,0.11,1
0.66,1.64,0.19,0.25,1
0.4,1.64,0.6,0.47,1
0.41,1.64,0.34,0.54,1
0.37,1.63,0.08,0.03,1
0.32,1.63,0.27,0.37,1
0.31,1.62,0.22,0.32,1
0.24,1.63,0.3,0.3,1
0.34,1.64,0.09,0.1,1
0.28,1.63,0.04,0.1,1
