distanza,distanzaDx,distanzaSx,Sesso
0.92,0.0,0.0,1
0.77,0.04,0.16,1
0.69,0.22,0.04,1
0.34,0.09,0.52,1
0.34,0.04,0.13,1
0.34,0.04,0.05,1
0.34,0.04,0.04,1
0.35,0.03,0.11,1
0.43,0.06,0.04,1
0.41,0.05,0.05,1
0.45,0.05,0.03,1
1.28,0.46,0.41,1
0.71,0.32,0.26,1
0.37,0.31,0.53,1
0.62,0.09,0.23,1
0.54,0.06,0.21,1
0.45,0.05,0.04,1
0.52,0.05,0.15,1
0.56,0.02,0.07,1
0.58,0.5,0.12,1
0.69,0.1,0.26,1
0.55,0.06,0.52,1
0.61,0.1,0.02,1
0.39,0.28,0.4,1
0.25,0.21,0.24,1
0.39,0.17,0.02,1
0.62,0.33,0.36,1
0.78,0.52,0.55,1
0.39,0.07,0.64,1
0.25,0.16,0.16,1
0.32,0.02,0.13,1
0.31,0.0,0.01,1
0.32,0.01,0.04,1
0.91,0.41,0.56,1
0.86,0.27,0.35,1
1.01,0.68,0.61,1
0.69,0.15,0.25,1
0.38,0.36,0.4,1
0.32,0.11,0.18,1
0.31,0.08,0.1,1
0.48,0.48,0.6,1
0.45,0.07,0.09,1
0.41,0.06,0.01,1
0.43,0.03,0.04,1
0.46,0.04,0.05,1
0.49,0.02,0.12,1
0.48,0.01,0.02,1
0.55,0.01,0.24,1
0.81,0.04,0.39,1
1.07,0.06,0.69,1
0.71,0.18,0.48,1
0.71,0.3,0.32,1
0.77,0.15,0.06,1
1.19,0.61,0.07,1
0.97,0.23,0.07,1
0.47,0.4,0.35,1
0.3,0.07,0.16,1
0.27,0.04,0.1,1
0.45,0.48,0.49,1
0.43,0.37,0.27,1
0.51,0.28,0.3,1
1.2,0.44,0.45,1
0.39,0.52,0.47,1
0.38,0.33,0.47,1
0.35,0.01,0.07,1
0.3,0.05,0.06,1
0.62,0.02,0.46,1
1.28,0.06,0.78,1
1.28,0.03,0.13,1
0.74,0.03,0.71,1
0.31,0.02,0.49,1
0.8,0.57,0.04,1
1.29,0.61,0.02,1
0.9,0.42,0.06,1
0.43,0.5,0.26,1
0.42,0.1,0.22,1
0.42,0.04,0.03,1
1.05,0.68,0.68,1
0.92,0.09,0.11,1
0.4,0.24,0.33,1
0.28,0.05,0.08,1
0.28,0.05,0.04,1
0.42,0.39,0.48,1
0.39,0.14,0.05,1
0.42,0.03,0.04,1
0.66,0.33,0.03,1
0.47,0.31,0.03,1
0.51,0.03,0.03,1
0.52,0.15,0.05,1
0.63,0.13,0.02,1
1.0,0.48,0.03,1
0.98,0.28,0.03,1
0.61,0.49,0.21,1
0.42,0.38,0.44,1
0.75,0.39,0.35,1
0.9,0.35,0.34,1
0.66,0.7,0.36,1
0.52,0.16,0.59,1
0.36,0.06,0.12,1
0.53,0.06,0.4,1
1.0,0.05,0.75,1
0.78,0.11,0.27,1
0.36,0.25,0.38,1
0.32,0.08,0.16,1
0.44,0.47,0.59,1
0.47,0.01,0.32,1
0.56,0.05,0.16,1
0.81,0.16,0.63,1
0.6,0.22,0.41,1
0.84,0.59,0.19,1
0.59,0.32,0.01,1
0.37,0.21,0.09,1
0.53,0.61,0.64,1
1.13,0.6,0.51,1
0.72,0.3,0.42,1
0.64,0.31,0.5,1
0.67,0.65,0.29,1
0.75,0.04,0.25,1
0.42,0.03,0.67,1
0.36,0.05,0.08,1
0.36,0.05,0.01,1
0.38,0.74,0.74,1
0.28,0.16,0.09,1
0.28,0.1,0.1,1
0.33,0.01,0.03,1
0.32,0.02,0.01,1
0.4,0.22,0.25,1
0.44,0.32,0.44,1
0.38,0.05,0.06,1
0.37,0.01,0.01,1
0.38,0.79,0.76,1
0.29,0.05,0.11,1
0.28,0.09,0.09,1
0.4,0.71,0.76,1
0.34,0.49,0.52,1
0.38,0.15,0.18,1
1.14,0.55,0.51,1
0.68,0.44,0.37,1
0.45,0.11,0.14,1
0.59,0.25,0.28,1
0.87,0.29,0.23,1
1.03,0.36,0.29,1
0.46,0.56,0.48,1
0.23,0.22,0.25,1
0.28,0.09,0.07,1
0.46,0.47,0.46,1
0.57,0.19,0.14,1
0.72,0.32,0.02,1
0.78,0.06,0.02,1
0.6,0.52,0.24,1
0.88,0.14,0.51,1
0.94,0.1,0.18,1
0.68,0.05,0.7,1
0.54,0.13,0.29,1
0.39,0.28,0.39,1
0.33,0.06,0.07,1
0.35,0.34,0.47,1
0.31,0.03,0.02,1
0.34,0.59,0.59,1
0.28,0.14,0.19,1
0.39,0.12,0.34,1
0.67,0.09,0.24,1
0.95,0.41,0.14,1
0.54,0.36,0.16,1
0.58,0.23,0.44,1
0.73,0.09,0.09,1
0.83,0.04,0.15,1
1.05,0.11,0.63,1
0.6,0.14,0.49,1
0.55,0.22,0.27,1
0.7,0.12,0.06,1
0.73,0.61,0.02,1
0.39,0.23,0.2,1
0.61,0.01,0.42,1
0.77,0.01,0.5,1
0.86,0.31,0.66,1
0.59,0.16,0.37,1
0.61,0.34,0.3,1
0.74,0.11,0.27,1
0.55,0.05,0.65,1
0.5,0.14,0.2,1
0.39,0.43,0.5,1
0.4,0.32,0.32,1
0.47,0.3,0.38,1
0.46,0.01,0.05,1
0.48,0.03,0.01,1
0.51,0.11,0.11,1
0.48,0.55,0.52,1
0.78,0.31,0.29,1
1.02,0.4,0.39,1
0.7,0.33,0.31,1
0.39,0.61,0.64,1
0.43,0.23,0.22,1
0.42,0.01,0.01,1
0.36,0.01,0.07,1
0.4,0.02,0.05,1
0.48,0.45,0.48,1
0.77,0.28,0.23,1
1.38,0.39,0.42,1
0.66,0.58,0.49,1
0.98,0.05,0.46,1
1.04,0.02,0.41,1
0.73,0.26,0.65,1
0.89,0.62,0.16,1
0.54,0.19,0.39,1
0.32,0.1,0.28,1
0.38,0.67,0.66,1
0.78,0.56,0.51,1
1.06,0.26,0.35,1
0.59,0.24,0.29,1
0.47,0.05,0.08,1
0.42,0.04,0.04,1
0.38,0.15,0.17,1
0.38,0.1,0.16,1
1.11,0.52,0.55,1
0.45,0.37,0.39,1
0.39,0.66,0.72,1
0.41,0.04,0.24,1
0.5,0.05,0.24,1
0.83,0.34,0.71,1
1.2,0.54,0.22,1
0.64,0.37,0.57,1
0.49,0.21,0.26,1
1.25,0.45,0.49,1
0.99,0.24,0.11,1
0.88,0.08,0.09,1
0.99,0.58,0.56,1
0.94,0.03,0.13,1
0.93,0.13,0.12,1
1.05,0.1,0.13,1
1.03,0.58,0.69,1
0.66,0.21,0.2,1
0.4,0.48,0.47,1
0.4,0.34,0.53,1
0.39,0.08,0.07,1
0.88,0.74,0.06,1
0.8,0.12,0.02,1
0.51,0.17,0.8,1
0.41,0.11,0.16,1
0.85,0.35,0.2,1
1.2,0.3,0.4,1
0.92,0.17,0.18,1
0.83,0.1,0.25,1
1.12,0.63,0.25,1
0.77,0.31,0.81,1
0.45,0.57,0.82,1
0.34,0.09,0.14,1
0.36,0.65,0.71,1
0.38,0.08,0.06,1
0.34,0.03,0.02,1
0.39,0.21,0.27,1
0.37,0.59,0.67,1
0.32,0.04,0.06,1
0.37,0.57,0.52,1
0.35,0.25,0.46,1
0.27,0.06,0.05,1
0.35,0.73,0.74,1
0.36,0.18,0.18,1
1.26,0.58,0.56,1
0.75,0.49,0.38,1
0.71,0.38,0.16,1
1.22,0.12,0.63,1
0.79,0.17,0.52,1
1.19,0.8,0.62,1
1.04,0.2,0.01,1
0.52,0.6,0.09,1
0.29,0.19,0.05,1
0.35,0.34,0.39,1
1.29,0.6,0.57,1
0.87,0.32,0.2,1
0.41,0.27,0.28,1
0.4,0.43,0.39,1
0.38,0.28,0.51,1
0.33,0.03,0.07,1
0.38,0.6,0.53,1
0.33,0.29,0.45,1
0.32,0.18,0.2,1
0.41,0.67,0.77,1
0.37,0.37,0.46,1
1.18,0.87,0.83,1
1.1,0.18,0.32,1
0.81,0.49,0.82,1
0.43,0.65,0.05,1
0.41,0.07,0.11,1
0.39,0.02,0.05,1
0.75,0.05,0.61,1
0.36,0.01,0.63,1
0.3,0.02,0.04,1
0.32,0.01,0.04,1
0.32,0.04,0.16,1
0.4,0.57,0.55,1
1.14,0.41,0.38,1
1.3,0.27,0.24,1
0.68,0.34,0.35,1
0.4,0.13,0.17,1
0.42,0.47,0.4,1
0.46,0.31,0.49,1
0.36,0.09,0.1,1
0.37,0.02,0.02,1
0.39,0.4,0.36,1
0.39,0.59,0.67,1
0.41,0.03,0.01,1
0.38,0.04,0.01,1
0.41,0.4,0.39,1
0.56,0.22,0.19,1
1.14,0.56,0.57,1
0.68,0.4,0.32,1
0.45,0.48,0.48,1
0.72,0.54,0.57,1
0.85,0.09,0.09,1
0.93,0.7,0.68,1
0.44,0.33,0.34,1
0.33,0.63,0.72,1
0.24,0.09,0.12,1
0.34,0.17,0.12,1
0.37,0.38,0.52,1
0.41,0.52,0.47,1
0.38,0.06,0.22,1
0.19,0.33,0.45,1
0.04,0.13,0.14,1
0.04,0.05,0.04,1
0.07,0.09,0.06,1
0.06,0.11,0.15,1
0.07,0.21,0.21,1
0.08,0.53,0.6,1
0.06,0.49,0.45,1
0.07,0.28,0.29,1
0.07,0.81,0.86,1
0.08,0.5,0.54,1
0.07,0.05,0.05,1
