distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.42,1.04,1.1,0.0,0.0,0
0.42,1.02,1.08,0.02,0.02,0
0.36,0.93,0.99,0.12,0.1,0
0.43,0.79,0.78,0.26,0.34,0
0.5,0.79,0.75,0.07,0.17,0
0.42,1.01,0.92,0.29,0.34,0
0.38,1.69,1.7,0.7,0.79,0
0.32,1.74,1.74,0.09,0.16,0
0.3,1.74,1.73,0.02,0.04,0
0.44,1.62,1.59,0.36,0.35,0
0.4,1.41,1.25,0.24,0.36,0
0.39,1.3,1.34,0.17,0.12,0
0.36,1.27,1.24,0.05,0.11,0
0.44,1.25,1.22,0.04,0.11,0
0.4,1.16,1.18,0.09,0.06,0
0.71,1.34,1.32,0.23,0.22,0
1.59,1.18,1.19,0.55,0.69,0
0.62,0.77,0.79,0.62,0.65,0
0.38,0.86,0.95,0.21,0.34,0
0.38,0.86,0.87,0.02,0.12,0
0.34,0.8,0.78,0.13,0.18,0
0.48,0.81,1.03,0.06,0.38,0
0.9,0.79,1.61,0.05,0.58,0
0.41,0.85,0.8,0.09,0.81,0
1.05,1.74,0.8,0.9,0.09,0
0.66,1.3,0.83,0.47,0.06,0
0.34,0.76,0.83,0.62,0.03,0
0.34,0.8,0.81,0.06,0.03,0
0.35,0.81,0.82,0.04,0.04,0
0.5,0.78,0.76,0.11,0.15,0
0.51,0.76,0.77,0.16,0.14,0
0.44,0.84,0.83,0.3,0.24,0
0.46,0.82,0.78,0.05,0.07,0
0.39,0.78,0.79,0.09,0.08,0
0.36,0.8,0.82,0.09,0.1,0
0.31,0.8,0.79,0.04,0.09,0
0.35,0.78,0.79,0.07,0.04,0
0.5,1.07,1.08,0.36,0.38,0
0.73,1.55,1.58,0.51,0.51,0
1.14,0.96,0.97,0.62,0.67,0
0.43,0.79,0.81,0.76,0.77,0
0.68,0.88,0.82,0.67,0.59,0
0.39,1.74,1.75,0.87,0.95,0
0.34,1.65,1.69,0.1,0.06,0
0.43,0.76,0.76,0.91,0.95,0
0.72,0.85,0.84,0.58,0.55,0
0.4,0.83,0.81,0.63,0.6,0
0.23,1.11,1.13,0.38,0.42,0
0.57,0.74,0.75,0.63,0.62,0
0.62,0.77,0.78,0.23,0.24,0
0.41,0.89,0.88,0.57,0.52,0
0.38,1.11,0.84,0.31,0.06,0
0.63,1.2,0.76,0.1,0.27,0
1.25,1.39,0.83,1.04,0.24,0
1.07,1.01,0.84,0.59,0.09,0
0.42,0.74,0.8,0.63,0.1,0
0.54,0.81,0.85,0.18,0.08,0
1.36,0.77,1.67,0.14,1.05,0
1.53,0.77,2.06,0.1,0.75,0
1.45,0.87,2.05,0.2,0.18,0
0.69,1.91,2.07,1.04,0.15,0
0.48,1.96,2.0,0.12,0.12,0
0.45,1.06,1.07,0.97,1.02,0
0.38,0.94,0.92,0.17,0.23,0
0.39,1.4,1.28,0.47,0.39,0
1.67,1.46,1.46,0.68,0.76,0
0.5,1.72,1.72,0.64,0.66,0
0.33,0.75,0.77,1.0,0.97,0
0.25,0.81,0.84,0.13,0.17,0
0.25,0.82,0.8,0.03,0.1,0
0.51,1.02,0.76,0.24,0.13,0
1.35,1.88,0.81,1.01,0.16,0
1.28,1.95,0.84,0.54,0.1,0
1.18,1.79,0.84,0.3,0.04,0
0.53,0.87,0.85,0.94,0.05,0
0.6,0.75,1.01,0.31,0.2,0
1.57,0.81,2.03,0.13,1.16,0
1.46,0.8,2.06,0.04,0.26,0
0.89,0.87,1.61,0.17,0.66,0
0.58,1.08,1.32,0.47,0.71,0
0.63,1.13,1.35,0.07,0.05,0
1.08,1.01,1.33,0.84,0.9,0
1.53,1.09,1.1,0.72,0.82,0
1.24,0.93,0.99,0.46,0.43,0
0.77,1.83,1.85,0.93,0.92,0
0.45,1.76,1.76,0.19,0.17,0
0.29,0.76,0.78,1.01,0.99,0
0.33,0.8,0.81,0.1,0.1,0
0.32,0.78,0.81,0.07,0.03,0
0.86,0.77,1.55,0.01,0.77,0
0.76,0.8,1.38,0.04,0.2,0
0.43,0.81,0.72,0.05,0.76,0
0.3,0.81,0.88,0.01,0.3,0
0.43,0.8,1.22,0.02,0.45,0
0.76,0.8,1.32,0.06,0.6,0
1.21,0.81,1.21,0.08,0.99,0
0.7,0.8,0.82,0.07,0.6,0
0.37,0.82,0.85,0.11,0.4,0
0.66,0.98,0.98,0.25,0.28,0
1.28,2.0,2.01,1.14,1.21,0
0.82,2.07,2.1,0.25,0.32,0
0.58,1.47,1.62,0.83,0.63,0
0.48,0.79,0.77,0.73,0.9,0
0.48,1.15,0.8,0.42,0.06,0
1.2,1.34,0.85,1.04,0.19,0
0.96,0.95,0.83,0.5,0.02,0
0.67,1.43,1.47,0.89,0.7,0
0.34,1.82,1.81,0.55,0.51,0
0.36,0.75,0.77,1.07,1.04,0
0.27,0.83,0.83,0.13,0.12,0
0.35,1.16,0.87,0.35,0.07,0
0.9,0.97,0.86,0.82,0.05,0
0.69,0.85,1.24,0.21,0.45,0
1.25,0.9,1.15,0.21,0.8,0
1.22,0.84,0.95,0.1,0.63,0
0.47,0.79,0.85,0.19,0.67,0
0.35,0.8,0.84,0.08,0.04,0
1.43,1.68,1.73,1.03,1.09,0
1.01,1.98,2.0,0.58,0.61,0
