distanza,distanzaDx,distanzaSx
0.2,0.01,0.01
0.2,0.04,0.02
0.21,0.06,0.02
0.27,0.03,0.02
0.26,0.04,0.03
0.27,0.05,0.04
0.26,0.03,0.01
0.28,0.15,0.15
0.34,0.14,0.15
0.33,0.04,0.03
0.35,0.42,0.39
1.11,0.18,0.17
1.29,0.49,0.45
0.5,0.1,0.1
0.36,0.01,0.02
0.34,0.01,0.02
0.34,0.37,0.01
0.46,0.15,0.01
0.56,0.68,0.03
0.47,0.03,0.41
0.75,0.09,0.57
0.35,0.07,0.18
0.3,0.01,0.07
0.29,0.0,0.02
0.27,0.0,0.02
0.29,0.0,0.01
0.28,0.02,0.01
0.28,0.01,0.01
0.3,0.01,0.01
0.3,0.08,0.07
0.45,0.37,0.38
0.57,0.17,0.12
0.54,0.04,0.03
0.61,0.09,0.07
0.72,0.41,0.41
0.96,0.36,0.26
0.81,0.1,0.09
0.73,0.44,0.44
0.72,0.18,0.13
0.52,0.58,0.54
0.37,0.02,0.02
0.4,0.04,0.02
0.38,0.02,0.02
0.42,0.02,0.01
0.4,0.16,0.17
0.35,0.02,0.05
0.35,0.03,0.34
0.44,0.06,0.24
0.64,0.09,0.75
1.12,0.04,0.3
0.98,0.02,0.16
0.85,0.2,0.45
0.61,1.0,0.18
1.39,0.19,0.04
1.39,0.83,0.02
0.83,0.13,0.22
0.98,0.72,0.62
0.8,0.61,0.59
0.46,0.3,0.26
0.43,0.46,0.39
0.4,0.69,0.66
1.54,0.51,0.49
0.61,0.76,0.75
0.27,0.03,0.07
0.37,0.05,0.06
0.29,0.06,0.35
0.6,0.1,0.84
1.29,0.04,0.26
1.27,0.07,0.93
0.61,0.15,0.42
0.46,0.62,0.06
0.97,0.72,0.02
1.48,0.69,0.06
0.87,0.68,0.05
0.41,0.51,0.27
0.27,0.18,0.2
0.39,0.7,0.53
0.89,0.39,0.33
1.2,0.55,0.4
0.43,0.52,0.53
1.04,0.37,0.33
0.61,0.66,0.65
0.38,0.21,0.14
0.35,0.06,0.04
0.35,0.33,0.18
0.77,0.21,0.04
0.71,0.63,0.01
0.43,0.37,0.03
0.42,0.21,0.02
0.45,0.47,0.02
0.85,0.32,0.04
0.9,0.57,0.01
0.41,0.09,0.1
0.4,0.49,0.48
0.85,0.94,0.9
1.33,0.33,0.3
0.84,0.41,0.44
0.5,0.84,0.66
0.44,0.15,0.32
0.46,0.1,0.87
1.01,0.33,0.46
1.03,0.64,0.59
1.0,0.2,0.33
0.55,0.79,0.76
0.38,0.05,0.27
0.39,0.14,0.21
0.41,0.1,0.63
0.84,0.24,0.4
0.68,0.61,0.21
1.11,0.36,0.07
0.9,0.32,0.09
0.52,0.15,0.09
0.43,0.93,0.92
1.34,0.41,0.34
1.31,0.43,0.4
0.66,0.81,0.24
0.74,0.3,0.04
0.88,0.12,0.72
0.39,0.11,0.08
0.41,0.03,0.06
0.38,0.73,0.67
0.34,0.11,0.14
0.34,0.48,0.38
0.35,0.27,0.35
0.48,0.52,0.51
0.38,0.03,0.04
0.35,0.69,0.65
0.37,0.04,0.05
0.35,0.02,0.02
0.34,0.53,0.53
0.4,0.31,0.27
0.31,0.02,0.01
0.29,0.67,0.65
0.35,0.09,0.08
0.26,0.34,0.27
0.18,0.83,0.8
1.64,0.3,0.35
1.27,0.47,0.46
0.43,0.06,0.07
0.42,0.68,0.69
1.01,0.66,0.63
1.31,0.37,0.31
0.66,0.14,0.12
0.47,0.17,0.17
0.4,0.76,0.75
0.38,0.39,0.35
0.46,0.65,0.03
0.81,0.21,0.04
0.98,0.81,0.04
0.64,0.14,0.69
0.94,0.15,0.15
0.9,0.06,0.72
0.6,0.07,0.11
0.62,0.67,0.64
0.49,0.01,0.12
0.37,0.75,0.71
0.39,0.1,0.1
0.36,0.57,0.57
0.47,0.25,0.24
0.38,0.3,0.58
0.45,0.07,0.29
0.72,0.78,0.2
1.26,0.41,0.03
0.92,0.55,0.09
0.42,0.08,0.13
0.48,0.1,0.35
0.45,0.02,0.7
1.06,0.09,0.41
0.69,0.11,0.56
0.49,0.44,0.07
0.83,0.91,0.05
0.71,0.25,0.25
0.63,0.29,0.51
0.68,0.1,0.47
0.78,0.03,0.67
0.58,0.57,0.16
0.84,0.68,0.32
0.59,0.1,0.7
0.91,0.04,0.73
0.35,0.06,0.19
0.32,0.65,0.68
0.3,0.19,0.17
0.33,0.62,0.59
0.37,0.09,0.07
0.36,0.01,0.03
0.35,0.02,0.01
0.34,0.33,0.31
0.43,0.53,0.54
1.04,0.54,0.55
1.44,0.63,0.74
0.75,0.7,0.6
0.35,0.14,0.12
0.22,0.04,0.01
0.24,0.06,0.02
0.28,0.13,0.09
0.25,0.09,0.12
0.32,0.29,0.3
0.73,0.51,0.44
1.54,0.61,0.51
0.63,0.11,0.22
0.73,0.1,0.48
1.04,0.31,0.38
0.9,0.72,0.15
1.1,0.13,0.29
0.85,0.1,0.31
0.55,0.65,0.58
0.47,0.18,0.22
0.57,0.47,0.47
1.3,0.53,0.5
0.63,0.08,0.12
0.45,0.44,0.44
0.37,0.12,0.1
0.35,0.25,0.27
0.38,0.58,0.57
1.35,0.47,0.41
0.64,0.66,0.67
0.36,0.07,0.03
0.38,0.09,0.13
0.41,0.09,0.59
0.85,0.47,0.34
1.11,0.31,0.17
0.95,0.55,0.51
0.66,0.47,0.48
1.5,0.49,0.45
0.71,0.04,0.04
0.63,0.65,0.67
0.89,0.31,0.23
0.73,0.07,0.06
0.66,0.23,0.22
0.89,0.59,0.52
0.88,0.17,0.18
0.61,0.29,0.31
