distanza,altezza,distanzaDx,distanzaSx,Sesso
0.25,1.66,0.0,0.0,0
0.26,1.66,0.05,0.04,0
0.29,1.66,0.14,0.18,0
0.34,1.66,0.16,0.24,0
0.33,1.69,0.11,0.1,0
0.32,1.75,0.16,0.14,0
0.39,1.76,0.29,0.32,0
0.35,1.76,0.26,0.24,0
0.31,1.77,0.1,0.08,0
0.42,1.79,0.33,0.33,0
0.36,1.8,0.39,0.4,0
1.47,1.79,0.52,0.6,0
1.39,1.78,0.58,0.6,0
0.78,1.77,0.54,0.63,0
0.58,1.79,0.26,0.21,0
0.57,1.78,0.07,0.04,0
0.53,1.78,0.03,0.02,0
0.62,1.78,0.08,0.45,0
0.54,1.78,0.01,0.11,0
1.11,1.79,0.56,0.79,0
0.94,1.78,0.13,0.15,0
0.42,1.77,0.91,0.06,0
0.39,1.79,0.07,0.09,0
0.36,1.81,0.04,0.06,0
0.34,1.81,0.15,0.17,0
0.38,1.8,0.05,0.1,0
0.34,1.77,0.71,0.7,0
0.33,1.76,0.32,0.29,0
0.29,1.76,0.02,0.04,0
0.29,1.77,0.02,0.02,0
0.39,1.8,0.3,0.27,0
0.52,1.8,0.62,0.58,0
0.6,1.8,0.33,0.4,0
0.8,1.79,0.55,0.63,0
0.8,1.78,0.02,0.05,0
0.89,1.77,0.56,0.61,0
0.7,1.78,0.14,0.23,0
0.57,1.79,0.45,0.46,0
0.4,1.78,0.43,0.52,0
0.39,1.78,0.18,0.2,0
0.39,1.77,0.58,0.61,0
0.35,1.79,0.11,0.11,0
0.33,1.79,0.02,0.05,0
0.41,1.79,0.08,0.05,0
0.56,1.79,0.21,0.01,0
0.58,1.79,0.18,0.02,0
0.55,1.79,0.17,0.01,0
0.59,1.79,0.07,0.06,0
0.69,1.79,0.22,0.06,0
0.92,1.78,0.5,0.05,0
0.83,1.78,0.11,0.07,0
0.69,1.8,0.27,0.21,0
0.67,1.8,0.16,0.17,0
1.33,1.8,0.04,0.81,0
1.15,1.8,0.05,0.2,0
0.76,1.79,0.23,0.33,0
0.49,1.79,0.38,0.2,0
0.38,1.78,0.16,0.11,0
0.42,1.78,0.62,0.68,0
0.44,1.79,0.37,0.34,0
0.64,1.79,0.16,0.19,0
1.14,1.78,0.36,0.39,0
0.36,1.77,0.63,0.62,0
0.27,1.77,0.42,0.4,0
0.28,1.8,0.17,0.22,0
0.39,1.8,0.13,0.09,0
0.75,1.8,0.36,0.14,0
1.22,1.82,0.72,0.2,0
0.93,1.81,0.23,0.09,0
0.51,1.8,0.75,0.13,0
0.75,1.8,0.3,0.26,0
0.97,1.8,0.11,0.29,0
1.34,1.8,0.08,0.55,0
1.08,1.8,0.19,0.21,0
0.59,1.8,0.49,0.25,0
0.36,1.8,0.52,0.55,0
0.34,1.79,0.06,0.09,0
1.2,1.78,0.73,0.8,0
1.03,1.79,0.16,0.11,0
0.67,1.8,0.25,0.23,0
0.37,1.79,0.32,0.31,0
0.31,1.78,0.29,0.26,0
0.31,1.77,0.39,0.42,0
0.33,1.79,0.13,0.14,0
0.33,1.79,0.02,0.12,0
0.62,1.78,0.04,0.38,0
0.42,1.78,0.02,0.44,0
0.38,1.78,0.03,0.14,0
0.53,1.79,0.09,0.35,0
0.58,1.79,0.02,0.07,0
0.93,1.79,0.06,0.49,0
0.88,1.79,0.02,0.15,0
0.68,1.8,0.34,0.27,0
0.62,1.8,0.27,0.14,0
1.06,1.81,0.25,0.33,0
1.05,1.8,0.43,0.49,0
0.55,1.8,0.3,0.32,0
0.88,1.79,0.74,0.05,0
0.73,1.79,0.14,0.04,0
0.66,1.79,0.26,0.07,0
1.0,1.79,0.59,0.05,0
0.72,1.79,0.33,0.02,0
0.47,1.79,0.31,0.07,0
0.35,1.78,0.3,0.25,0
0.38,1.78,0.71,0.74,0
0.4,1.79,0.37,0.2,0
0.51,1.79,0.16,0.11,0
0.71,1.78,0.48,0.15,0
0.74,1.79,0.08,0.18,0
1.25,1.78,0.08,0.68,0
1.03,1.8,0.09,0.18,0
0.58,1.8,0.14,0.35,0
0.54,1.8,0.09,0.09,0
1.49,1.8,0.78,0.9,0
1.09,1.79,0.18,0.29,0
0.65,1.79,0.24,0.39,0
1.18,1.79,0.06,0.98,0
0.88,1.78,0.28,0.11,0
0.4,1.78,0.83,0.11,0
