distanza,altezza,distanzaDx,distanzaSx,Sesso
0.31,1.68,0.0,0.0,0
0.29,1.68,0.02,0.01,0
0.28,1.68,0.02,0.01,0
0.29,1.69,0.05,0.01,0
0.24,1.7,0.08,0.07,0
0.28,1.71,0.05,0.05,0
0.29,1.72,0.02,0.01,0
0.26,1.72,0.05,0.05,0
0.28,1.72,0.01,0.03,0
0.24,1.72,0.05,0.03,0
0.19,1.72,0.04,0.02,0
0.45,1.72,0.2,0.18,0
1.35,1.72,0.57,0.42,0
0.76,1.72,0.34,0.36,0
0.2,1.72,0.34,0.28,0
0.34,1.72,0.12,0.06,0
0.34,1.71,0.04,0.05,0
0.41,1.71,0.21,0.01,0
0.42,1.71,0.07,0.04,0
0.53,1.71,0.56,0.03,0
0.59,1.71,0.17,0.03,0
0.56,1.7,0.15,0.15,0
0.51,1.7,0.03,0.59,0
0.47,1.71,0.06,0.12,0
0.37,1.71,0.14,0.09,0
0.34,1.66,0.02,0.09,0
0.34,1.63,0.04,0.03,0
0.38,1.64,0.04,0.06,0
0.37,1.66,0.07,0.06,0
0.38,1.64,0.09,0.1,0
0.38,1.68,0.02,0.01,0
0.34,1.69,0.01,0.04,0
0.37,1.71,0.08,0.06,0
0.41,1.71,0.07,0.06,0
0.45,1.71,0.17,0.13,0
0.63,1.71,0.15,0.09,0
0.88,1.7,0.6,0.57,0
0.62,1.7,0.24,0.14,0
0.29,1.7,0.42,0.37,0
0.32,1.7,0.21,0.17,0
0.35,1.69,0.52,0.49,0
0.46,1.7,0.21,0.16,0
0.43,1.7,0.09,0.08,0
0.32,1.71,0.25,0.19,0
0.31,1.71,0.09,0.06,0
0.31,1.71,0.01,0.03,0
0.32,1.71,0.01,0.0,0
0.28,1.71,0.01,0.05,0
0.29,1.72,0.03,0.04,0
0.69,1.71,0.01,0.5,0
0.73,1.71,0.03,0.27,0
0.33,1.71,0.1,0.51,0
0.27,1.72,0.12,0.12,0
0.54,1.72,0.35,0.01,0
0.98,1.72,0.56,0.01,0
0.5,1.71,0.54,0.04,0
0.33,1.71,0.2,0.07,0
0.36,1.71,0.22,0.18,0
0.34,1.71,0.22,0.21,0
0.49,1.7,0.42,0.37,0
0.44,1.7,0.09,0.05,0
0.84,1.7,0.54,0.52,0
0.79,1.7,0.16,0.12,0
0.27,1.7,0.62,0.59,0
0.4,1.71,0.09,0.15,0
0.32,1.7,0.1,0.12,0
0.43,1.71,0.06,0.25,0
0.73,1.71,0.01,0.34,0
0.91,1.71,0.03,0.26,0
0.52,1.71,0.02,0.43,0
0.32,1.71,0.03,0.32,0
0.38,1.71,0.05,0.06,0
0.89,1.72,0.6,0.02,0
0.86,1.71,0.08,0.02,0
0.43,1.71,0.48,0.05,0
0.42,1.71,0.02,0.02,0
0.51,1.71,0.14,0.09,0
0.17,1.71,0.24,0.27,0
1.01,1.71,0.55,0.48,0
0.33,1.71,0.45,0.35,0
0.31,1.7,0.09,0.08,0
0.4,1.7,0.29,0.27,0
0.35,1.7,0.46,0.39,0
