distanza,altezza,distanzaDx,distanzaSx,Sesso
0.32,1.56,0.0,0.0,1
0.33,1.56,0.01,0.01,1
0.35,1.56,0.04,0.0,1
0.33,1.57,0.15,0.12,1
0.31,1.57,0.19,0.1,1
0.29,1.57,0.05,0.02,1
0.28,1.57,0.03,0.04,1
0.19,1.57,0.07,0.04,1
0.31,1.58,0.09,0.06,1
0.24,1.58,0.15,0.07,1
0.3,1.59,0.05,0.01,1
0.25,1.57,0.11,0.1,1
0.27,1.56,0.06,0.05,1
0.26,1.57,0.11,0.07,1
0.25,1.57,0.06,0.03,1
0.34,1.58,0.14,0.12,1
0.89,1.58,0.31,0.27,1
0.46,1.57,0.27,0.26,1
0.27,1.56,0.14,0.13,1
0.23,1.56,0.08,0.01,1
0.22,1.57,0.05,0.04,1
0.27,1.57,0.07,0.03,1
0.49,1.59,0.25,0.03,1
0.31,1.58,0.62,0.04,1
0.29,1.58,0.17,0.11,1
0.34,1.58,0.07,0.12,1
0.44,1.58,0.02,0.33,1
0.27,1.56,0.07,0.21,1
0.42,1.54,0.12,0.15,1
0.52,1.52,0.09,0.02,1
0.45,1.47,0.08,0.03,1
0.37,1.54,0.11,0.03,1
0.29,1.58,0.08,0.03,1
0.27,1.59,0.03,0.04,1
0.29,1.59,0.08,0.02,1
0.3,1.59,0.11,0.02,1
0.3,1.59,0.02,0.04,1
0.39,1.58,0.02,0.1,1
0.48,1.58,0.24,0.14,1
0.55,1.58,0.08,0.06,1
0.57,1.56,0.62,0.6,1
0.31,1.57,0.24,0.27,1
0.24,1.56,0.33,0.3,1
0.25,1.56,0.13,0.11,1
0.32,1.52,0.7,0.59,1
0.23,1.56,0.23,0.27,1
0.19,1.55,0.21,0.16,1
0.26,1.55,0.18,0.05,1
0.19,1.54,0.12,0.04,1
0.27,1.55,0.09,0.05,1
0.38,1.56,0.05,0.08,1
0.27,1.56,0.11,0.09,1
0.34,1.57,0.03,0.18,1
0.84,1.58,0.04,0.46,1
0.52,1.58,0.06,0.27,1
0.28,1.57,0.05,0.3,1
0.34,1.57,0.1,0.13,1
0.96,1.57,0.7,0.02,1
0.56,1.57,0.42,0.05,1
0.27,1.58,0.3,0.03,1
0.23,1.57,0.14,0.16,1
0.29,1.57,0.29,0.27,1
0.28,1.58,0.1,0.07,1
0.31,1.57,0.42,0.37,1
0.24,1.57,0.23,0.25,1
0.95,1.57,0.41,0.4,1
0.51,1.57,0.23,0.31,1
0.35,1.57,0.51,0.44,1
0.3,1.57,0.09,0.07,1
0.29,1.56,0.04,0.11,1
0.27,1.57,0.11,0.08,1
0.59,1.58,0.04,0.37,1
0.6,1.58,0.02,0.15,1
0.3,1.58,0.02,0.51,1
0.26,1.58,0.04,0.07,1
0.16,1.58,0.14,0.05,1
0.79,1.59,0.7,0.05,1
0.58,1.58,0.23,0.03,1
0.33,1.56,0.34,0.07,1
0.44,1.55,0.08,0.05,1
0.39,1.56,0.2,0.12,1
0.24,1.57,0.23,0.34,1
0.57,1.56,0.46,0.31,1
0.35,1.54,0.19,0.1,1
0.31,1.54,0.1,0.07,1
0.33,1.56,0.25,0.19,1
0.34,1.54,0.42,0.37,1
0.29,1.56,0.09,0.17,1
0.32,1.56,0.29,0.13,1
0.43,1.56,0.14,0.02,1
0.53,1.57,0.1,0.05,1
0.31,1.57,0.56,0.04,1
0.24,1.57,0.33,0.04,1
0.36,1.57,0.12,0.02,1
0.33,1.58,0.04,0.01,1
0.67,1.58,0.49,0.02,1
0.41,1.57,0.25,0.05,1
0.32,1.57,0.13,0.05,1
0.29,1.58,0.13,0.06,1
0.55,1.58,0.59,0.56,1
0.46,1.57,0.23,0.32,1
0.38,1.57,0.11,0.06,1
0.58,1.57,0.02,0.51,1
0.35,1.57,0.06,0.34,1
0.65,1.58,0.02,0.32,1
0.34,1.58,0.03,0.34,1
0.28,1.57,0.09,0.12,1
0.36,1.58,0.15,0.16,1
0.36,1.55,0.61,0.52,1
0.27,1.57,0.12,0.14,1
0.3,1.57,0.09,0.15,1
0.63,1.57,0.03,0.32,1
0.28,1.57,0.06,0.39,1
0.36,1.57,0.09,0.09,1
0.48,1.57,0.19,0.01,1
0.21,1.56,0.21,0.08,1
0.31,1.55,0.09,0.14,1
0.36,1.58,0.06,0.04,1
0.61,1.59,0.63,0.66,1
0.43,1.57,0.36,0.37,1
0.37,1.58,0.07,0.15,1
0.46,1.57,0.46,0.02,1
0.51,1.57,0.12,0.35,1
0.36,1.57,0.14,0.18,1
0.33,1.57,0.21,0.09,1
0.37,1.57,0.35,0.33,1
0.34,1.56,0.46,0.42,1
0.28,1.55,0.14,0.14,1
0.28,1.55,0.04,0.04,1
0.25,1.54,0.05,0.01,1
0.32,1.56,0.15,0.09,1
0.41,1.49,0.67,0.59,1
0.26,1.54,0.15,0.17,1
0.3,1.56,0.1,0.05,1
0.31,1.56,0.14,0.13,1
0.32,1.56,0.6,0.55,1
0.3,1.55,0.18,0.12,1
0.28,1.57,0.54,0.41,1
0.27,1.57,0.3,0.28,1
0.21,1.57,0.37,0.35,1
0.94,1.57,0.45,0.39,1
0.42,1.57,0.33,0.28,1
0.22,1.57,0.2,0.25,1
0.28,1.58,0.02,0.04,1
0.3,1.56,0.06,0.08,1
0.51,1.57,0.69,0.69,1
0.46,1.57,0.1,0.18,1
0.37,1.56,0.33,0.29,1
0.39,1.56,0.13,0.08,1
