distanza,altezza,distanzaDx,distanzaSx,Sesso
0.27,1.59,0.0,0.0,1
0.27,1.59,0.0,0.0,1
0.27,1.59,0.0,0.0,1
0.27,1.59,0.0,0.0,1
0.27,1.59,0.0,0.0,1
0.27,1.59,0.0,0.0,1
0.27,1.59,0.0,0.0,1
0.25,1.59,0.02,0.01,1
0.24,1.59,0.01,0.02,1
0.22,1.59,0.02,0.01,1
0.27,1.6,0.04,0.07,1
0.24,1.59,0.01,0.03,1
0.17,1.59,0.06,0.03,1
0.14,1.59,0.02,0.02,1
0.13,1.59,0.01,0.01,1
0.15,1.59,0.05,0.02,1
0.16,1.59,0.02,0.02,1
0.19,1.59,0.12,0.01,1
0.22,1.59,0.05,0.01,1
0.18,1.59,0.04,0.03,1
0.29,1.59,0.03,0.25,1
0.22,1.59,0.01,0.09,1
0.14,1.59,0.01,0.13,1
0.13,1.59,0.0,0.04,1
0.13,1.59,0.01,0.01,1
0.15,1.59,0.0,0.02,1
0.13,1.6,0.01,0.02,1
0.15,1.6,0.01,0.02,1
0.17,1.59,0.02,0.01,1
0.18,1.59,0.0,0.01,1
0.19,1.59,0.01,0.0,1
0.21,1.59,0.01,0.01,1
0.36,1.59,0.08,0.07,1
0.5,1.59,0.11,0.1,1
0.59,1.59,0.12,0.15,1
0.41,1.59,0.1,0.14,1
0.26,1.59,0.07,0.08,1
0.19,1.6,0.08,0.06,1
0.22,1.59,0.23,0.24,1
0.21,1.6,0.1,0.1,1
0.17,1.6,0.07,0.07,1
0.17,1.6,0.02,0.01,1
0.18,1.6,0.01,0.04,1
0.2,1.6,0.01,0.01,1
0.21,1.6,0.01,0.02,1
0.21,1.6,0.01,0.01,1
0.21,1.6,0.01,0.02,1
0.52,1.59,0.01,0.31,1
0.54,1.59,0.0,0.08,1
0.41,1.59,0.01,0.13,1
0.28,1.59,0.01,0.15,1
0.35,1.6,0.12,0.05,1
0.59,1.59,0.26,0.02,1
0.4,1.59,0.2,0.01,1
0.21,1.59,0.19,0.04,1
0.16,1.59,0.04,0.03,1
0.17,1.59,0.01,0.02,1
0.21,1.6,0.15,0.16,1
0.19,1.59,0.12,0.16,1
0.55,1.6,0.16,0.2,1
0.66,1.6,0.09,0.07,1
0.22,1.59,0.29,0.29,1
0.25,1.6,0.13,0.13,1
0.22,1.6,0.05,0.04,1
0.2,1.6,0.05,0.04,1
0.35,1.6,0.02,0.16,1
0.63,1.6,0.01,0.33,1
0.47,1.6,0.03,0.16,1
0.22,1.6,0.03,0.32,1
0.24,1.6,0.05,0.03,1
0.58,1.6,0.33,0.02,1
0.55,1.6,0.09,0.01,1
0.28,1.6,0.3,0.02,1
0.22,1.6,0.06,0.02,1
0.13,1.6,0.09,0.07,1
0.23,1.6,0.03,0.14,1
0.41,1.6,0.23,0.34,1
0.33,1.6,0.14,0.22,1
0.21,1.6,0.03,0.13,1
0.18,1.6,0.08,0.08,1
0.22,1.6,0.07,0.12,1
0.27,1.6,0.11,0.1,1
0.23,1.6,0.15,0.15,1
0.2,1.6,0.02,0.05,1
0.21,1.6,0.04,0.01,1
0.36,1.6,0.25,0.05,1
0.25,1.6,0.15,0.01,1
0.2,1.6,0.07,0.02,1
0.21,1.6,0.01,0.01,1
0.59,1.6,0.36,0.02,1
0.4,1.6,0.18,0.02,1
0.25,1.6,0.15,0.02,1
0.27,1.6,0.03,0.05,1
0.75,1.6,0.4,0.32,1
0.53,1.6,0.17,0.16,1
0.29,1.6,0.12,0.19,1
0.45,1.6,0.04,0.32,1
0.25,1.6,0.01,0.24,1
0.45,1.6,0.04,0.27,1
0.5,1.6,0.02,0.07,1
0.19,1.59,0.05,0.29,1
0.21,1.59,0.03,0.02,1
0.21,1.6,0.09,0.09,1
0.29,1.6,0.06,0.07,1
0.29,1.6,0.08,0.09,1
0.56,1.6,0.02,0.29,1
0.55,1.6,0.02,0.09,1
0.27,1.6,0.03,0.28,1
0.52,1.6,0.23,0.03,1
0.3,1.6,0.2,0.04,1
0.33,1.6,0.05,0.08,1
0.42,1.6,0.06,0.08,1
0.81,1.6,0.31,0.26,1
0.44,1.6,0.25,0.25,1
0.31,1.6,0.11,0.13,1
0.3,1.6,0.23,0.06,1
0.31,1.6,0.15,0.21,1
0.26,1.6,0.15,0.13,1
0.23,1.6,0.08,0.02,1
0.24,1.6,0.07,0.11,1
0.29,1.6,0.25,0.3,1
0.22,1.6,0.07,0.08,1
