distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.36,1.14,1.18,0.0,0.0,0
0.38,1.14,1.21,0.01,0.04,0
0.67,1.15,1.68,0.02,0.52,0
0.76,1.15,1.74,0.02,0.12,0
0.77,1.15,1.74,0.05,0.04,0
0.68,1.18,1.7,0.09,0.21,0
0.3,1.28,1.27,0.15,0.53,0
0.32,1.47,1.46,0.19,0.19,0
0.36,1.78,1.79,0.42,0.43,0
0.29,1.77,1.78,0.11,0.05,0
0.41,1.8,1.8,0.15,0.14,0
0.7,0.94,0.96,0.92,0.88,0
0.52,0.84,0.86,0.8,0.84,0
0.59,0.82,0.8,0.57,0.51,0
0.41,1.06,1.04,0.3,0.38,0
0.95,1.28,1.29,0.33,0.41,0
1.28,1.36,1.46,0.16,0.32,0
0.8,1.89,1.88,0.56,0.53,0
0.36,1.72,1.72,0.3,0.26,0
0.28,1.45,1.44,0.27,0.29,0
0.31,1.45,1.46,0.05,0.06,0
0.33,1.45,1.5,0.01,0.04,0
0.42,1.45,1.67,0.01,0.19,0
0.8,1.51,0.8,0.06,0.87,0
1.07,1.79,0.81,0.34,0.06,0
0.55,1.23,0.85,0.64,0.08,0
0.33,0.78,0.81,0.52,0.08,0
0.33,0.81,0.81,0.04,0.02,0
0.8,0.82,1.56,0.01,0.76,0
0.99,0.84,1.78,0.03,0.27,0
0.97,0.85,1.77,0.04,0.01,0
0.88,0.87,1.7,0.03,0.14,0
0.28,1.1,1.21,0.25,0.51,0
0.3,1.16,1.32,0.09,0.14,0
0.22,1.29,1.27,0.14,0.08,0
0.21,1.28,1.31,0.02,0.05,0
0.35,1.08,1.04,0.21,0.28,0
0.69,1.1,1.02,0.19,0.15,0
0.74,1.39,1.46,0.29,0.44,0
0.95,1.04,1.09,0.36,0.4,0
0.87,0.87,0.88,0.22,0.27,0
0.43,1.01,1.07,0.25,0.32,0
0.42,1.36,1.42,0.35,0.35,0
0.37,1.4,1.47,0.07,0.06,0
0.43,0.88,0.9,0.52,0.57,0
0.4,0.85,0.88,0.07,0.04,0
0.38,0.9,0.97,0.07,0.12,0
0.35,0.97,0.98,0.08,0.01,0
0.39,0.97,0.93,0.01,0.07,0
0.4,0.97,0.89,0.04,0.07,0
0.42,1.08,0.84,0.18,0.11,0
0.4,1.15,0.84,0.14,0.05,0
0.51,1.24,0.84,0.2,0.13,0
0.85,1.36,0.88,0.62,0.16,0
0.82,1.25,0.89,0.26,0.06,0
0.67,1.17,0.96,0.17,0.08,0
0.64,1.09,1.15,0.19,0.26,0
0.93,1.09,1.53,0.13,0.5,0
1.11,1.1,1.77,0.06,0.47,0
0.83,1.25,1.72,0.16,0.19,0
0.51,1.5,1.68,0.26,0.18,0
0.38,1.46,1.59,0.07,0.15,0
0.34,1.09,1.13,0.37,0.48,0
0.32,1.18,1.2,0.09,0.07,0
0.42,1.35,1.36,0.18,0.17,0
0.98,1.41,1.45,0.26,0.35,0
0.43,1.38,1.43,0.26,0.3,0
0.27,0.95,0.91,0.45,0.53,0
0.36,1.05,0.99,0.12,0.1,0
0.44,1.21,1.02,0.17,0.03,0
0.46,1.3,1.09,0.1,0.08,0
0.73,1.52,1.08,0.3,0.04,0
0.86,1.67,1.08,0.27,0.01,0
0.52,1.31,1.2,0.41,0.14,0
0.45,1.18,1.22,0.16,0.05,0
0.51,1.15,1.28,0.04,0.07,0
1.0,1.14,1.68,0.02,0.58,0
0.83,1.14,1.68,0.05,0.19,0
0.4,1.13,1.44,0.08,0.43,0
0.37,1.13,1.34,0.24,0.35,0
0.41,1.11,1.31,0.05,0.04,0
0.38,1.02,1.32,0.31,0.37,0
1.13,1.0,1.26,0.46,0.5,0
0.71,1.06,1.19,0.23,0.25,0
0.42,1.35,1.39,0.32,0.26,0
0.29,1.34,1.39,0.05,0.08,0
0.36,0.82,0.83,0.53,0.58,0
0.37,0.79,0.79,0.07,0.11,0
0.36,0.8,0.8,0.01,0.04,0
0.36,0.81,0.99,0.04,0.26,0
0.59,0.79,1.28,0.03,0.29,0
0.34,0.8,0.84,0.02,0.46,0
0.44,0.8,1.03,0.01,0.24,0
0.58,0.81,1.28,0.02,0.27,0
0.74,0.79,1.34,0.05,0.21,0
0.91,0.8,1.39,0.04,0.33,0
0.64,1.0,1.34,0.27,0.3,0
0.53,1.39,1.41,0.41,0.12,0
0.64,1.43,1.45,0.07,0.07,0
1.14,1.75,1.8,0.51,0.64,0
0.65,1.74,1.78,0.24,0.29,0
0.49,1.31,1.55,0.53,0.35,0
0.52,0.97,1.3,0.35,0.26,0
0.4,1.22,1.29,0.26,0.02,0
0.82,1.38,1.3,0.49,0.03,0
0.63,1.56,1.43,0.28,0.13,0
0.39,1.6,1.62,0.17,0.23,0
0.31,1.48,1.5,0.16,0.17,0
0.3,1.02,1.01,0.46,0.49,0
0.38,1.1,1.04,0.09,0.05,0
0.44,1.14,1.04,0.08,0.01,0
0.57,1.06,1.08,0.24,0.09,0
0.57,1.03,1.18,0.09,0.13,0
0.82,1.04,1.16,0.08,0.35,0
0.79,1.06,1.11,0.02,0.07,0
0.62,1.09,1.12,0.03,0.18,0
0.54,1.24,1.24,0.15,0.15,0
0.86,1.53,1.57,0.32,0.38,0
0.7,1.72,1.79,0.47,0.55,0
0.47,1.7,1.73,0.16,0.23,0
0.72,1.66,1.13,0.08,0.65,0
0.77,1.62,0.96,0.09,0.19,0
0.33,0.99,1.04,0.65,0.09,0
0.38,0.88,1.08,0.14,0.05,0
