distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.17,1.05,1.15,0.0,0.0,1
0.17,1.06,1.15,0.01,0.0,1
0.17,1.05,1.15,0.01,0.0,1
0.17,1.06,1.15,0.01,0.0,1
0.21,1.07,1.15,0.06,0.01,1
0.25,1.07,1.14,0.05,0.01,1
0.41,1.14,1.17,0.11,0.09,1
0.33,1.09,1.1,0.06,0.08,1
0.29,0.99,1.02,0.1,0.09,1
0.27,0.95,0.97,0.04,0.05,1
0.3,0.99,1.0,0.05,0.05,1
0.31,1.0,1.04,0.02,0.04,1
0.34,1.0,1.05,0.01,0.01,1
0.33,1.01,1.05,0.01,0.0,1
0.33,1.02,1.07,0.01,0.02,1
0.31,1.06,1.13,0.05,0.07,1
1.31,1.24,1.21,0.59,0.67,1
1.14,1.17,1.16,0.18,0.16,1
0.77,1.22,1.22,0.21,0.26,1
0.61,1.26,1.22,0.09,0.1,1
0.58,1.27,1.23,0.02,0.02,1
0.59,1.27,1.45,0.06,0.22,1
0.68,1.23,1.61,0.11,0.18,1
0.77,1.27,1.25,0.07,0.59,1
0.64,1.45,1.21,0.19,0.2,1
0.46,1.55,1.36,0.15,0.28,1
0.6,0.93,1.34,0.62,0.12,1
0.44,1.15,1.33,0.26,0.11,1
0.45,1.26,1.32,0.12,0.09,1
0.49,1.27,1.33,0.06,0.06,1
0.48,1.27,1.33,0.01,0.02,1
0.47,1.27,1.34,0.0,0.02,1
0.47,1.27,1.35,0.01,0.01,1
0.47,1.28,1.35,0.02,0.02,1
0.48,1.28,1.36,0.01,0.02,1
0.5,1.3,1.38,0.02,0.03,1
0.51,1.31,1.4,0.02,0.02,1
0.53,1.31,1.41,0.01,0.01,1
0.53,1.32,1.42,0.01,0.01,1
0.64,1.48,1.57,0.18,0.16,1
0.89,0.84,0.9,0.65,0.7,1
0.85,1.0,1.06,0.16,0.17,1
0.61,1.43,1.5,0.46,0.47,1
0.39,1.52,1.52,0.21,0.2,1
0.34,1.41,1.46,0.28,0.23,1
0.34,0.76,0.8,0.65,0.67,1
0.33,1.07,1.11,0.32,0.32,1
0.34,1.3,1.31,0.25,0.25,1
0.4,1.2,0.9,0.16,0.41,1
0.36,1.15,0.87,0.06,0.07,1
0.37,1.15,0.88,0.03,0.02,1
0.34,1.14,0.89,0.02,0.01,1
0.35,1.14,0.88,0.0,0.01,1
0.45,1.18,0.89,0.15,0.04,1
0.88,1.37,1.0,0.62,0.14,1
0.43,1.08,1.21,0.43,0.23,1
0.41,0.85,1.18,0.31,0.08,1
0.47,0.84,1.21,0.05,0.09,1
1.16,0.89,1.77,0.06,0.76,1
0.95,0.97,1.67,0.1,0.17,1
0.51,1.03,1.25,0.07,0.47,1
0.46,1.07,1.12,0.09,0.17,1
0.43,1.45,1.5,0.4,0.4,1
0.42,0.82,0.85,0.64,0.66,1
0.14,1.21,1.32,0.42,0.52,1
0.26,1.27,1.37,0.1,0.09,1
1.2,1.51,1.48,0.6,0.65,1
0.38,1.41,1.45,0.5,0.47,1
0.45,0.8,0.82,0.62,0.63,1
0.37,0.88,0.83,0.14,0.04,1
0.34,1.0,0.83,0.15,0.02,1
0.53,1.13,0.84,0.28,0.02,1
1.02,1.66,1.01,0.67,0.18,1
0.69,1.42,1.14,0.28,0.14,1
0.53,1.19,1.23,0.24,0.1,1
0.66,0.73,1.23,0.51,0.01,1
0.95,0.71,1.39,0.08,0.24,1
1.36,0.76,1.69,0.07,0.56,1
0.89,0.83,1.42,0.14,0.39,1
0.45,0.91,1.04,0.1,0.42,1
0.26,0.9,1.13,0.13,0.23,1
0.57,1.03,1.3,0.31,0.38,1
1.03,0.89,1.21,0.69,0.83,1
1.16,0.84,1.12,0.3,0.23,1
1.06,0.86,1.08,0.04,0.09,1
0.72,1.29,1.35,0.51,0.34,1
0.43,1.34,1.39,0.21,0.14,1
0.36,0.69,0.72,0.69,0.68,1
0.25,0.72,0.78,0.1,0.06,1
0.5,0.66,0.98,0.1,0.24,1
0.95,0.71,1.57,0.1,0.62,1
0.51,0.83,0.95,0.15,0.68,1
0.31,0.87,0.81,0.05,0.24,1
0.36,0.73,1.06,0.18,0.35,1
0.47,0.73,1.18,0.03,0.15,1
0.76,0.74,1.33,0.01,0.53,1
0.97,0.75,1.24,0.03,0.59,1
0.5,0.87,1.04,0.15,0.45,1
0.4,1.07,1.08,0.21,0.13,1
0.94,1.55,1.61,0.59,0.65,1
1.2,1.68,1.65,0.25,0.23,1
0.76,1.52,1.58,0.28,0.23,1
0.69,1.14,1.53,0.42,0.14,1
0.66,0.89,1.44,0.33,0.09,1
0.45,1.2,1.38,0.32,0.06,1
1.05,1.13,1.4,0.72,0.04,1
0.7,0.92,1.34,0.5,0.06,1
0.43,1.52,1.54,0.62,0.24,1
0.37,1.45,1.49,0.11,0.13,1
0.38,0.7,0.72,0.75,0.77,1
0.36,1.06,0.81,0.46,0.16,1
0.42,1.1,0.85,0.15,0.06,1
0.89,0.98,0.96,0.64,0.12,1
0.41,0.8,1.1,0.51,0.21,1
0.9,0.8,1.01,0.08,0.71,1
0.68,0.84,0.86,0.07,0.3,1
0.42,0.83,0.95,0.03,0.32,1
0.32,1.15,1.23,0.32,0.29,1
1.26,1.65,1.61,0.64,0.68,1
1.08,1.66,1.63,0.14,0.13,1
0.67,1.53,1.6,0.23,0.24,1
0.93,1.49,0.74,0.13,0.91,1
0.89,1.57,0.8,0.13,0.12,1
0.66,0.64,1.06,0.93,0.26,1
0.55,0.65,0.83,0.04,0.24,1
0.53,0.65,0.66,0.04,0.21,1
0.35,1.4,1.5,0.82,0.89,1
0.4,1.45,1.51,0.1,0.1,1
0.35,1.48,1.54,0.1,0.13,1
0.38,1.48,1.55,0.01,0.02,1
0.39,1.49,1.55,0.02,0.02,1
0.33,1.22,1.31,0.31,0.31,1
0.38,0.7,0.71,0.55,0.61,1
0.4,0.71,0.73,0.02,0.02,1
0.36,0.68,0.68,0.05,0.08,1
0.27,1.2,1.35,0.6,0.72,1
0.32,1.53,1.54,0.47,0.4,1
0.28,1.51,1.52,0.04,0.06,1
0.31,0.7,0.7,0.81,0.83,1
0.4,0.69,0.68,0.07,0.09,1
0.17,1.16,1.31,0.54,0.7,1
1.48,1.27,1.26,0.77,0.81,1
1.18,1.23,1.24,0.17,0.19,1
0.35,1.08,1.17,0.44,0.44,1
0.22,1.11,1.24,0.09,0.13,1
0.48,1.32,1.41,0.32,0.29,1
1.38,1.68,1.66,0.62,0.65,1
1.09,1.76,1.76,0.14,0.22,1
0.58,1.71,1.69,0.26,0.28,1
0.46,1.68,1.67,0.14,0.1,1
0.3,0.87,0.83,0.87,0.91,1
0.3,0.7,0.68,0.32,0.28,1
0.56,0.7,1.06,0.09,0.44,1
0.96,0.7,1.51,0.06,0.52,1
0.55,0.75,0.66,0.08,0.87,1
0.87,1.37,0.71,0.66,0.09,1
0.86,1.4,0.81,0.1,0.12,1
0.72,0.72,0.98,0.7,0.19,1
0.6,0.81,1.15,0.19,0.17,1
0.46,1.47,1.51,0.66,0.39,1
0.36,1.41,1.47,0.11,0.09,1
0.42,0.65,0.64,0.79,0.84,1
0.41,0.64,0.61,0.03,0.03,1
0.35,1.3,1.39,0.72,0.81,1
0.39,1.57,1.6,0.38,0.33,1
0.32,1.12,1.4,0.47,0.38,1
0.59,0.72,1.24,0.45,0.17,1
1.15,0.74,1.34,0.05,0.87,1
1.12,0.77,1.37,0.06,0.09,1
0.31,1.1,1.05,0.5,0.49,1
0.44,1.22,0.84,0.14,0.25,1
0.49,1.24,0.89,0.16,0.07,1
1.06,1.21,1.02,0.8,0.14,1
0.6,1.03,1.1,0.39,0.15,1
0.83,0.72,1.48,0.44,0.38,1
0.99,0.71,1.6,0.05,0.14,1
0.75,0.72,0.76,0.05,0.95,1
0.64,0.8,0.83,0.17,0.23,1
0.72,1.47,0.84,0.69,0.13,1
0.75,0.95,0.87,0.69,0.06,1
0.77,0.78,0.99,0.3,0.13,1
0.93,0.67,1.44,0.3,0.45,1
0.76,0.96,0.65,0.41,0.82,1
0.96,1.55,0.7,0.63,0.1,1
0.68,0.63,0.93,0.93,0.25,1
0.56,1.07,1.19,0.59,0.28,1
0.4,1.57,1.55,0.69,0.48,1
0.36,1.19,1.24,0.59,0.51,1
0.5,0.64,0.66,0.65,0.65,1
0.35,0.72,0.75,0.19,0.17,1
0.24,1.15,1.15,0.46,0.41,1
0.24,1.27,1.19,0.16,0.12,1
0.21,1.25,1.19,0.02,0.04,1
0.61,1.43,1.38,0.29,0.3,1
1.39,1.68,1.65,0.54,0.53,1
0.88,1.49,1.48,0.32,0.32,1
0.44,1.02,1.13,0.53,0.41,1
0.32,1.06,1.11,0.08,0.05,1
0.33,1.07,1.12,0.07,0.03,1
0.38,1.07,1.13,0.02,0.02,1
0.32,1.15,1.23,0.11,0.13,1
0.25,1.23,1.31,0.09,0.11,1
0.24,1.31,1.36,0.11,0.11,1
1.54,1.26,1.25,0.63,0.75,1
1.13,1.31,1.21,0.26,0.3,1
0.77,1.01,0.99,0.34,0.31,1
