distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.52,1.17,0.74,0.0,0.0,0
0.44,1.1,0.73,0.1,0.01,0
0.37,1.02,0.73,0.09,0.03,0
0.37,1.02,0.73,0.01,0.0,0
0.31,1.06,0.88,0.07,0.16,0
0.27,1.08,1.07,0.13,0.2,0
0.24,1.08,1.1,0.06,0.09,0
0.25,1.04,1.06,0.06,0.05,0
0.26,1.06,1.09,0.02,0.07,0
0.22,1.08,1.1,0.05,0.01,0
0.24,1.08,1.09,0.08,0.1,0
0.24,1.07,1.07,0.03,0.04,0
0.25,1.1,1.07,0.06,0.02,0
0.26,1.11,1.07,0.05,0.04,0
0.28,1.09,1.06,0.05,0.02,0
0.26,1.08,1.06,0.03,0.04,0
0.29,1.11,1.09,0.03,0.05,0
0.56,1.18,1.15,0.18,0.19,0
1.11,1.28,1.23,0.23,0.35,0
0.47,1.09,1.12,0.37,0.35,0
0.23,1.06,1.06,0.13,0.17,0
0.24,1.08,1.07,0.02,0.01,0
0.23,1.09,1.07,0.01,0.01,0
0.25,1.1,1.06,0.02,0.01,0
0.27,1.09,1.06,0.02,0.05,0
0.4,1.08,0.96,0.03,0.15,0
0.29,1.04,0.96,0.05,0.12,0
0.41,1.18,0.94,0.19,0.07,0
0.37,1.0,0.98,0.18,0.06,0
0.25,1.02,1.02,0.08,0.1,0
0.21,1.04,1.02,0.02,0.03,0
0.19,1.03,1.02,0.02,0.01,0
0.18,1.05,1.04,0.03,0.02,0
0.15,1.08,1.07,0.04,0.03,0
0.15,1.13,1.1,0.05,0.03,0
0.16,1.13,1.11,0.03,0.02,0
0.21,1.14,1.13,0.02,0.04,0
0.23,1.15,1.14,0.01,0.02,0
0.28,1.14,1.13,0.02,0.03,0
0.31,1.13,1.12,0.01,0.03,0
0.4,1.08,1.07,0.07,0.07,0
0.67,1.14,1.1,0.15,0.18,0
0.68,1.0,0.97,0.14,0.14,0
0.25,1.01,0.99,0.23,0.21,0
0.23,1.02,1.02,0.04,0.03,0
0.23,1.08,1.05,0.08,0.04,0
0.31,0.94,0.9,0.19,0.16,0
0.24,0.98,1.0,0.17,0.14,0
0.22,1.05,1.03,0.08,0.03,0
0.21,1.09,1.06,0.04,0.03,0
0.22,1.09,1.1,0.02,0.05,0
0.21,1.12,1.1,0.05,0.03,0
0.17,1.09,1.09,0.07,0.02,0
0.18,1.08,1.04,0.04,0.06,0
0.31,1.1,1.0,0.14,0.05,0
0.76,1.27,1.01,0.48,0.03,0
0.39,1.11,1.04,0.35,0.04,0
0.19,1.09,1.1,0.24,0.07,0
0.29,1.1,1.12,0.01,0.11,0
0.49,1.09,1.31,0.02,0.23,0
0.54,1.08,1.44,0.02,0.14,0
0.24,1.09,1.08,0.02,0.4,0
0.22,1.08,1.06,0.01,0.04,0
0.22,1.0,1.0,0.09,0.07,0
0.24,1.14,1.12,0.15,0.12,0
0.25,0.97,0.96,0.18,0.17,0
0.33,1.06,1.05,0.11,0.12,0
1.02,1.2,1.13,0.38,0.36,0
0.57,1.22,1.21,0.28,0.21,0
0.27,0.99,0.95,0.25,0.33,0
0.27,1.1,1.06,0.12,0.11,0
0.32,1.13,1.03,0.04,0.04,0
0.35,1.16,1.04,0.05,0.02,0
0.52,1.29,1.05,0.19,0.01,0
0.71,1.46,1.08,0.23,0.04,0
0.33,1.1,1.07,0.45,0.02,0
0.22,1.06,1.07,0.19,0.06,0
0.32,1.06,1.13,0.05,0.14,0
0.7,1.06,1.44,0.03,0.4,0
0.58,1.06,1.39,0.03,0.12,0
0.27,1.06,1.0,0.04,0.46,0
0.24,1.1,1.06,0.04,0.08,0
0.22,1.08,1.02,0.02,0.05,0
0.33,0.98,1.25,0.2,0.25,0
0.4,0.99,1.2,0.15,0.24,0
0.34,1.05,1.17,0.15,0.15,0
0.27,1.1,1.14,0.06,0.07,0
0.26,1.16,1.13,0.06,0.03,0
0.3,0.95,0.92,0.22,0.21,0
0.26,0.96,0.96,0.15,0.12,0
0.23,1.01,1.04,0.05,0.08,0
0.24,1.01,1.04,0.01,0.01,0
0.29,1.02,1.09,0.03,0.07,0
0.33,1.02,0.94,0.02,0.15,0
0.31,1.01,0.97,0.04,0.04,0
0.31,1.01,1.04,0.03,0.08,0
0.4,1.02,1.12,0.02,0.1,0
0.68,1.01,1.19,0.02,0.28,0
0.44,1.04,1.1,0.04,0.26,0
0.36,1.12,0.99,0.12,0.21,0
0.52,1.29,1.24,0.24,0.27,0
1.07,1.6,1.6,0.39,0.48,0
0.55,1.32,1.32,0.38,0.39,0
0.32,1.18,1.1,0.2,0.26,0
0.48,0.93,1.11,0.26,0.09,0
0.41,1.11,1.07,0.18,0.06,0
0.71,1.26,1.08,0.39,0.07,0
0.51,1.1,1.08,0.21,0.06,0
0.25,1.04,1.07,0.28,0.03,0
0.23,1.09,1.08,0.1,0.05,0
0.3,0.98,0.96,0.15,0.15,0
0.26,1.08,1.09,0.15,0.14,0
0.34,1.08,1.11,0.09,0.04,0
0.73,1.01,1.11,0.38,0.03,0
0.41,0.97,1.14,0.26,0.11,0
0.43,0.95,0.99,0.13,0.22,0
0.66,1.0,0.98,0.05,0.28,0
0.32,1.07,0.99,0.1,0.33,0
0.41,1.17,1.17,0.13,0.19,0
0.78,1.39,1.4,0.3,0.3,0
0.93,1.57,1.55,0.2,0.21,0
0.42,1.19,1.21,0.46,0.43,0
0.37,1.06,1.09,0.19,0.14,0
0.4,1.05,0.88,0.01,0.24,0
0.38,1.0,0.93,0.18,0.09,0
0.28,0.97,0.97,0.09,0.07,0
0.24,0.92,0.92,0.05,0.07,0
0.27,1.14,1.14,0.3,0.27,0
0.27,1.26,1.27,0.18,0.16,0
0.25,1.07,1.09,0.22,0.2,0
0.22,1.13,1.13,0.07,0.04,0
0.22,1.1,1.1,0.05,0.05,0
0.25,1.1,1.08,0.03,0.03,0
0.33,0.92,0.89,0.2,0.19,0
0.29,0.93,0.92,0.08,0.06,0
0.27,0.94,0.91,0.04,0.03,0
0.26,0.93,0.93,0.12,0.1,0
0.25,1.24,1.25,0.31,0.32,0
0.25,1.2,1.19,0.06,0.07,0
0.27,1.05,1.03,0.16,0.16,0
0.27,1.02,0.97,0.07,0.07,0
0.33,1.09,1.05,0.08,0.08,0
0.98,1.28,1.19,0.38,0.36,0
0.94,1.21,1.14,0.11,0.09,0
0.52,1.15,1.12,0.21,0.22,0
0.53,1.15,1.15,0.02,0.04,0
0.75,1.38,1.37,0.26,0.26,0
1.19,1.61,1.65,0.32,0.37,0
0.81,1.39,1.45,0.3,0.26,0
0.37,1.02,1.01,0.43,0.51,0
0.25,1.03,1.02,0.06,0.06,0
0.25,1.15,1.13,0.13,0.12,0
0.35,0.92,0.93,0.25,0.21,0
0.33,0.97,0.97,0.05,0.04,0
0.43,0.98,1.14,0.05,0.22,0
0.57,0.96,0.89,0.04,0.33,0
0.45,0.97,0.83,0.04,0.17,0
0.59,1.15,0.89,0.29,0.12,0
0.66,0.95,0.91,0.23,0.03,0
0.41,0.88,0.91,0.25,0.03,0
0.25,1.0,0.98,0.16,0.1,0
0.23,1.01,1.0,0.02,0.02,0
0.33,0.93,0.9,0.13,0.12,0
0.28,0.94,0.92,0.07,0.05,0
0.29,0.96,0.95,0.13,0.1,0
0.29,1.28,1.28,0.32,0.33,0
0.3,1.16,1.16,0.13,0.13,0
0.41,1.03,1.08,0.15,0.12,0
0.54,1.07,1.21,0.05,0.2,0
0.59,1.08,1.18,0.02,0.07,0
0.32,1.04,0.98,0.04,0.36,0
0.35,1.1,0.99,0.12,0.07,0
0.53,1.24,0.99,0.17,0.04,0
0.85,1.32,1.0,0.34,0.02,0
0.65,1.17,1.02,0.21,0.04,0
0.33,1.01,1.05,0.35,0.04,0
0.34,1.0,1.25,0.07,0.2,0
0.63,0.98,0.96,0.04,0.51,0
0.53,0.99,0.84,0.02,0.22,0
