distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.18,1.05,1.14,0.0,0.0,0
0.19,1.05,1.12,0.01,0.02,0
0.19,1.06,1.11,0.02,0.01,0
0.23,1.09,1.11,0.06,0.01,0
0.23,1.11,1.1,0.03,0.02,0
0.25,1.11,1.1,0.06,0.06,0
0.27,1.14,1.13,0.07,0.04,0
0.31,1.14,1.14,0.03,0.07,0
0.34,1.15,1.15,0.02,0.03,0
0.38,1.17,1.17,0.04,0.02,0
0.34,1.2,1.18,0.05,0.02,0
1.09,1.29,1.26,0.35,0.42,0
0.81,1.21,1.19,0.15,0.18,0
0.35,1.24,1.2,0.23,0.25,0
0.23,1.08,1.11,0.18,0.12,0
0.21,1.07,1.07,0.01,0.06,0
0.22,1.05,1.06,0.02,0.02,0
0.2,0.91,0.95,0.15,0.11,0
0.42,1.31,0.99,0.43,0.05,0
0.32,0.82,1.0,0.51,0.02,0
0.36,0.88,1.1,0.06,0.12,0
0.39,0.89,0.89,0.01,0.24,0
0.29,0.9,0.83,0.02,0.21,0
0.26,0.99,1.0,0.11,0.19,0
0.26,1.05,1.08,0.06,0.08,0
0.17,0.97,0.98,0.12,0.12,0
0.2,1.0,1.02,0.04,0.05,0
0.25,1.0,1.02,0.04,0.01,0
0.27,1.02,1.03,0.02,0.04,0
0.28,1.02,1.04,0.01,0.01,0
0.3,1.02,1.05,0.0,0.02,0
0.33,1.03,1.05,0.02,0.01,0
0.42,1.09,1.11,0.08,0.08,0
0.5,1.07,1.08,0.03,0.07,0
0.61,1.3,1.28,0.25,0.21,0
0.75,0.86,0.85,0.46,0.44,0
0.5,0.88,0.84,0.13,0.12,0
0.31,1.12,1.13,0.27,0.33,0
0.29,1.23,1.21,0.11,0.09,0
0.27,1.33,1.27,0.1,0.06,0
0.28,0.79,0.79,0.56,0.5,0
0.28,1.01,0.96,0.27,0.2,0
0.25,1.01,1.0,0.05,0.05,0
0.28,1.04,1.04,0.04,0.05,0
0.29,1.04,1.08,0.0,0.04,0
0.3,1.06,1.07,0.02,0.02,0
0.32,1.07,1.08,0.02,0.01,0
0.35,1.07,1.15,0.0,0.09,0
0.48,1.07,1.26,0.01,0.15,0
0.93,1.07,1.1,0.02,0.57,0
0.7,1.09,0.86,0.03,0.36,0
0.67,1.32,0.99,0.27,0.27,0
0.55,1.28,0.98,0.08,0.06,0
0.97,1.6,0.96,0.45,0.05,0
0.79,1.54,0.97,0.18,0.04,0
0.27,0.92,0.97,0.68,0.0,0
0.19,0.84,0.83,0.09,0.16,0
0.23,1.41,1.34,0.59,0.53,0
0.29,0.9,0.87,0.51,0.47,0
0.37,1.0,0.93,0.11,0.07,0
0.53,1.29,1.25,0.31,0.36,0
1.33,1.33,1.27,0.44,0.45,0
0.47,1.33,1.25,0.45,0.49,0
0.26,0.72,0.72,0.72,0.63,0
0.36,0.81,0.76,0.18,0.07,0
0.3,1.01,1.05,0.23,0.36,0
0.67,0.98,1.44,0.04,0.43,0
1.14,0.97,1.73,0.02,0.5,0
0.83,0.97,1.41,0.04,0.34,0
0.71,1.35,0.99,0.43,0.5,0
0.84,1.56,0.91,0.21,0.17,0
0.63,1.34,0.9,0.23,0.04,0
1.01,1.67,0.91,0.51,0.02,0
0.53,1.29,0.99,0.46,0.1,0
0.28,0.88,0.93,0.47,0.07,0
0.24,1.16,0.95,0.36,0.15,0
0.41,1.2,1.01,0.3,0.16,0
0.85,1.26,0.97,0.62,0.57,0
0.64,1.13,0.94,0.17,0.1,0
0.24,0.98,0.91,0.25,0.25,0
0.33,1.05,1.0,0.09,0.11,0
0.34,1.24,1.21,0.2,0.22,0
0.27,0.77,0.75,0.52,0.51,0
0.32,1.05,0.99,0.33,0.28,0
0.32,1.05,1.02,0.07,0.08,0
0.34,1.04,1.03,0.01,0.04,0
0.4,1.05,1.02,0.1,0.02,0
0.32,0.89,1.01,0.21,0.02,0
0.31,1.02,1.02,0.13,0.02,0
0.47,1.18,1.03,0.21,0.01,0
0.61,1.29,1.01,0.16,0.03,0
0.62,1.29,1.02,0.18,0.02,0
0.51,1.28,1.14,0.15,0.15,0
0.63,1.49,1.44,0.22,0.34,0
0.81,1.55,1.52,0.11,0.13,0
1.08,1.77,1.68,0.34,0.28,0
0.55,1.44,1.38,0.44,0.43,0
0.52,1.32,1.06,0.12,0.34,0
0.54,1.21,0.93,0.12,0.15,0
0.54,1.16,1.29,0.06,0.37,0
1.08,1.12,1.19,0.05,0.69,0
0.57,1.03,1.0,0.12,0.47,0
0.29,1.25,1.17,0.23,0.34,0
0.3,1.43,1.35,0.18,0.18,0
0.32,0.77,0.78,0.67,0.59,0
0.38,0.87,1.11,0.13,0.39,0
0.51,0.83,1.09,0.07,0.13,0
0.89,0.81,0.92,0.05,0.59,0
0.41,0.93,0.78,0.19,0.47,0
0.93,1.15,0.8,0.59,0.04,0
0.54,0.95,0.86,0.34,0.1,0
0.44,1.13,1.04,0.25,0.2,0
0.63,1.36,1.35,0.25,0.37,0
1.17,1.78,1.75,0.51,0.51,0
0.87,1.71,1.59,0.18,0.23,0
0.53,1.46,1.33,0.27,0.35,0
0.62,0.78,1.23,0.69,0.1,0
0.62,0.78,1.25,0.07,0.07,0
0.42,0.79,0.81,0.02,0.45,0
0.34,0.92,0.93,0.16,0.13,0
0.27,0.8,0.8,0.13,0.17,0
0.28,1.49,1.39,0.7,0.6,0
0.29,1.33,1.26,0.16,0.14,0
0.31,1.32,1.28,0.03,0.03,0
0.27,1.26,1.24,0.06,0.04,0
0.26,1.17,1.16,0.09,0.08,0
0.29,1.17,1.13,0.1,0.1,0
0.29,0.77,0.77,0.45,0.41,0
0.26,1.05,1.03,0.33,0.3,0
0.26,0.76,0.78,0.36,0.29,0
0.3,1.35,1.25,0.67,0.55,0
0.27,1.48,1.44,0.18,0.24,0
0.25,1.42,1.37,0.06,0.07,0
0.29,0.76,0.74,0.66,0.64,0
0.34,1.04,0.97,0.34,0.27,0
0.34,1.22,1.2,0.18,0.24,0
1.43,1.37,1.33,0.63,0.61,0
0.82,1.34,1.26,0.33,0.39,0
0.67,1.64,1.55,0.31,0.31,0
0.49,1.37,1.37,0.31,0.18,0
0.65,1.35,1.34,0.07,0.1,0
1.15,1.78,1.72,0.58,0.48,0
0.75,1.52,1.48,0.36,0.38,0
0.36,1.13,1.18,0.45,0.35,0
0.28,1.3,1.26,0.18,0.09,0
0.3,0.85,0.89,0.45,0.37,0
0.33,0.92,0.88,0.07,0.06,0
0.5,1.29,0.99,0.39,0.12,0
