distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.15,1.06,1.06,0.0,0.0,0
0.13,1.07,1.06,0.04,0.04,0
0.15,1.06,1.05,0.06,0.05,0
0.14,1.05,1.05,0.01,0.02,0
0.14,1.06,1.08,0.04,0.06,0
0.16,1.08,1.07,0.04,0.06,0
0.21,1.08,1.07,0.07,0.03,0
0.25,1.07,1.09,0.02,0.04,0
0.25,1.08,1.1,0.05,0.05,0
0.29,1.1,1.11,0.06,0.01,0
0.4,1.12,1.13,0.08,0.05,0
0.44,1.21,1.25,0.2,0.2,0
1.32,1.27,1.34,0.41,0.5,0
0.7,1.07,1.07,0.39,0.4,0
0.51,1.27,1.32,0.22,0.27,0
0.52,1.24,1.32,0.04,0.04,0
0.47,1.25,1.27,0.05,0.08,0
0.41,1.22,1.23,0.09,0.11,0
0.36,1.2,1.19,0.06,0.06,0
0.34,1.14,1.07,0.06,0.13,0
0.4,1.11,0.79,0.04,0.32,0
0.33,1.21,1.07,0.11,0.3,0
0.47,0.69,0.98,0.53,0.13,0
0.34,0.96,0.98,0.28,0.02,0
0.36,1.04,1.03,0.09,0.06,0
0.31,1.05,1.03,0.02,0.03,0
0.37,1.25,1.17,0.2,0.14,0
0.33,1.49,1.49,0.26,0.36,0
0.29,1.49,1.5,0.01,0.03,0
0.28,1.49,1.49,0.01,0.01,0
0.26,1.49,1.48,0.02,0.01,0
0.24,1.49,1.48,0.01,0.01,0
0.24,1.49,1.48,0.0,0.01,0
0.27,1.44,1.43,0.06,0.09,0
0.48,1.24,1.26,0.28,0.23,0
0.58,1.19,1.26,0.08,0.06,0
0.84,0.75,0.74,0.47,0.55,0
0.7,0.99,1.04,0.31,0.36,0
0.49,1.39,1.45,0.41,0.43,0
0.38,1.47,1.5,0.1,0.13,0
0.34,1.1,1.15,0.45,0.47,0
0.23,0.64,0.65,0.58,0.64,0
0.3,1.09,1.15,0.56,0.6,0
0.3,1.33,1.35,0.28,0.25,0
0.32,1.23,1.25,0.1,0.1,0
0.32,1.18,1.18,0.05,0.07,0
0.32,1.16,1.18,0.02,0.0,0
0.33,1.17,1.18,0.02,0.0,0
0.34,1.17,1.17,0.03,0.01,0
0.64,1.22,1.17,0.31,0.01,0
0.74,1.04,1.14,0.31,0.05,0
0.58,0.93,1.27,0.41,0.18,0
0.73,0.96,1.43,0.08,0.22,0
0.63,0.96,1.34,0.02,0.12,0
0.95,0.95,1.65,0.01,0.41,0
0.56,1.01,1.33,0.08,0.39,0
0.26,0.89,0.86,0.13,0.52,0
0.28,1.09,1.14,0.28,0.34,0
0.3,1.16,1.24,0.09,0.12,0
0.29,0.71,0.73,0.47,0.53,0
0.39,1.06,1.13,0.39,0.46,0
0.83,1.28,1.3,0.35,0.25,0
0.94,1.32,1.43,0.16,0.29,0
0.22,0.76,0.75,0.66,0.77,0
0.22,0.72,0.74,0.09,0.04,0
0.31,0.97,0.95,0.3,0.25,0
0.65,1.3,0.93,0.38,0.06,0
0.76,1.41,0.92,0.13,0.04,0
1.01,1.53,0.96,0.34,0.04,0
0.55,1.14,1.0,0.5,0.05,0
0.5,0.85,1.13,0.38,0.15,0
0.5,0.81,1.1,0.05,0.05,0
0.67,0.79,1.24,0.04,0.18,0
0.89,0.8,1.55,0.04,0.44,0
0.48,0.9,1.15,0.11,0.48,0
0.3,0.88,1.16,0.15,0.28,0
0.47,0.94,1.19,0.12,0.32,0
0.31,0.93,1.22,0.17,0.21,0
1.15,0.95,1.17,0.57,0.7,0
0.94,1.02,1.21,0.16,0.11,0
0.61,1.06,1.17,0.13,0.21,0
0.41,1.21,1.31,0.19,0.16,0
0.31,1.1,1.13,0.13,0.18,0
0.32,0.88,0.9,0.23,0.23,0
0.29,1.01,1.08,0.13,0.18,0
0.23,0.9,0.86,0.13,0.24,0
0.51,0.94,1.4,0.05,0.54,0
0.31,0.92,0.77,0.03,0.63,0
0.35,0.94,1.12,0.03,0.39,0
0.68,0.93,1.3,0.03,0.32,0
0.26,0.93,1.15,0.02,0.45,0
0.81,0.93,1.28,0.02,0.63,0
0.72,0.97,1.15,0.06,0.15,0
0.67,1.22,1.33,0.28,0.27,0
0.27,0.98,0.94,0.26,0.52,0
1.16,1.57,1.68,0.75,0.87,0
0.93,1.66,1.73,0.21,0.27,0
0.72,1.49,1.69,0.32,0.07,0
0.81,0.77,1.38,0.73,0.35,0
0.3,0.72,0.75,0.14,0.69,0
0.8,1.21,0.72,0.59,0.05,0
0.82,0.93,0.72,0.5,0.01,0
0.37,0.83,0.82,0.44,0.18,0
0.37,1.28,1.4,0.46,0.58,0
0.26,1.16,1.2,0.13,0.22,0
0.3,0.79,0.75,0.38,0.47,0
0.34,1.0,0.85,0.25,0.13,0
0.56,1.0,0.84,0.23,0.02,0
0.5,0.88,0.9,0.18,0.07,0
0.4,0.88,1.07,0.19,0.18,0
0.77,0.89,1.1,0.03,0.37,0
0.68,1.1,1.26,0.22,0.21,0
0.59,1.18,1.27,0.08,0.11,0
0.6,1.21,1.25,0.06,0.06,0
0.99,1.73,1.82,0.59,0.65,0
0.7,1.56,1.67,0.26,0.21,0
0.57,1.29,1.42,0.28,0.28,0
0.61,1.12,0.67,0.19,0.79,0
0.49,1.11,0.72,0.12,0.08,0
0.25,0.73,0.72,0.42,0.03,0
0.22,0.73,0.77,0.03,0.07,0
0.26,0.87,0.91,0.21,0.21,0
0.25,1.21,1.27,0.35,0.37,0
0.25,1.18,1.24,0.04,0.03,0
0.19,1.16,1.17,0.05,0.07,0
0.18,1.05,1.05,0.11,0.12,0
0.26,1.22,1.26,0.18,0.21,0
0.32,0.91,0.86,0.31,0.4,0
0.25,0.93,0.96,0.05,0.11,0
0.23,0.81,0.8,0.13,0.17,0
0.23,0.74,0.76,0.09,0.06,0
0.23,1.06,1.06,0.34,0.32,0
0.21,0.97,0.98,0.09,0.08,0
0.19,1.15,1.19,0.18,0.21,0
0.24,0.87,0.9,0.28,0.29,0
0.27,0.96,0.99,0.1,0.11,0
0.47,1.15,1.16,0.23,0.19,0
0.8,1.19,1.26,0.18,0.22,0
0.57,1.15,1.24,0.15,0.11,0
0.62,1.27,1.36,0.12,0.13,0
0.36,1.06,1.06,0.23,0.35,0
1.14,1.57,1.64,0.64,0.7,0
0.86,1.49,1.58,0.15,0.18,0
0.5,1.15,1.28,0.43,0.36,0
0.27,1.09,1.09,0.13,0.22,0
0.32,1.3,1.39,0.21,0.31,0
0.29,0.83,0.83,0.47,0.56,0
0.36,0.92,1.03,0.11,0.25,0
0.66,0.9,1.41,0.04,0.4,0
0.5,0.91,0.82,0.02,0.59,0
0.51,0.96,0.78,0.1,0.12,0
0.66,1.3,0.96,0.36,0.2,0
0.62,0.86,1.01,0.45,0.06,0
0.52,0.71,1.0,0.3,0.01,0
0.36,0.79,0.94,0.11,0.07,0
0.29,1.1,1.19,0.33,0.26,0
0.36,0.93,1.01,0.18,0.18,0
0.34,0.78,0.86,0.19,0.17,0
