distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.25,1.23,1.16,0.0,0.0,1
0.25,1.23,1.16,0.01,0.0,1
0.24,1.23,1.16,0.01,0.01,1
0.24,1.23,1.16,0.0,0.0,1
0.25,1.22,1.17,0.01,0.01,1
0.23,1.22,1.18,0.01,0.02,1
0.23,1.2,1.19,0.03,0.03,1
0.23,1.2,1.18,0.03,0.03,1
0.23,1.24,1.18,0.04,0.01,1
0.24,1.22,1.19,0.03,0.01,1
0.33,1.22,1.25,0.06,0.07,1
0.32,1.31,1.18,0.11,0.08,1
0.27,1.3,1.2,0.03,0.07,1
0.29,1.27,1.2,0.04,0.01,1
0.29,1.25,1.2,0.02,0.01,1
0.27,1.25,1.19,0.02,0.01,1
0.34,1.3,1.2,0.07,0.01,1
0.75,1.23,1.24,0.24,0.22,1
0.48,1.26,1.22,0.16,0.15,1
0.3,1.25,1.2,0.1,0.08,1
0.27,1.23,1.19,0.02,0.02,1
0.26,1.22,1.18,0.02,0.01,1
0.23,1.22,1.2,0.04,0.03,1
0.24,1.22,1.22,0.02,0.04,1
0.34,1.22,1.01,0.01,0.21,1
0.36,1.28,1.02,0.07,0.05,1
0.32,1.19,1.04,0.1,0.02,1
0.27,1.05,1.06,0.16,0.02,1
0.22,1.17,1.13,0.13,0.08,1
0.18,1.18,1.16,0.02,0.05,1
0.18,1.19,1.17,0.02,0.02,1
0.21,1.2,1.16,0.03,0.01,1
0.2,1.19,1.15,0.01,0.02,1
0.21,1.19,1.15,0.01,0.01,1
0.21,1.19,1.16,0.01,0.03,1
0.21,1.19,1.16,0.0,0.0,1
0.21,1.19,1.15,0.0,0.01,1
0.21,1.18,1.15,0.01,0.01,1
0.23,1.18,1.15,0.01,0.01,1
0.28,1.19,1.17,0.02,0.04,1
0.47,1.27,1.22,0.14,0.09,1
0.43,1.12,1.08,0.15,0.14,1
0.28,1.21,1.17,0.14,0.1,1
0.2,1.21,1.19,0.05,0.03,1
0.2,1.22,1.2,0.01,0.01,1
0.22,1.06,1.03,0.16,0.17,1
0.21,1.14,1.11,0.08,0.08,1
0.2,1.18,1.15,0.04,0.04,1
0.19,1.18,1.15,0.01,0.01,1
0.2,1.18,1.16,0.01,0.01,1
0.2,1.18,1.16,0.01,0.01,1
0.2,1.18,1.16,0.01,0.0,1
0.2,1.18,1.15,0.0,0.01,1
0.21,1.2,1.15,0.02,0.01,1
0.54,1.29,1.15,0.33,0.01,1
0.38,1.23,1.16,0.15,0.02,1
0.39,1.22,1.16,0.02,0.01,1
0.2,1.17,1.18,0.22,0.03,1
0.45,1.17,1.43,0.02,0.31,1
0.37,1.17,1.3,0.03,0.15,1
0.22,1.17,1.15,0.01,0.2,1
0.18,1.17,1.15,0.01,0.03,1
0.21,1.21,1.2,0.04,0.05,1
0.23,1.25,1.24,0.04,0.05,1
0.2,1.1,1.07,0.15,0.17,1
0.18,1.22,1.18,0.12,0.11,1
0.68,1.25,1.23,0.29,0.24,1
0.38,1.32,1.3,0.2,0.14,1
0.25,1.1,1.07,0.23,0.24,1
0.27,1.18,1.15,0.08,0.08,1
0.24,1.19,1.16,0.02,0.02,1
0.24,1.2,1.15,0.02,0.01,1
0.57,1.48,1.14,0.36,0.01,1
0.56,1.46,1.14,0.05,0.01,1
0.25,1.22,1.16,0.31,0.03,1
0.21,1.17,1.17,0.07,0.03,1
0.27,1.16,1.23,0.01,0.09,1
0.8,1.16,1.63,0.01,0.56,1
0.39,1.17,1.28,0.03,0.43,1
0.18,1.16,1.12,0.01,0.26,1
0.17,1.14,1.12,0.02,0.01,1
0.24,1.14,1.12,0.01,0.06,1
0.38,1.14,1.13,0.05,0.12,1
0.53,1.45,1.4,0.36,0.3,1
0.35,1.24,1.3,0.3,0.11,1
0.25,1.17,1.13,0.12,0.25,1
0.23,1.25,1.22,0.08,0.1,1
0.34,1.01,1.0,0.26,0.22,1
0.27,1.1,1.07,0.13,0.09,1
0.22,1.17,1.13,0.08,0.06,1
0.21,1.15,1.13,0.03,0.03,1
0.27,1.18,1.26,0.04,0.14,1
0.35,1.18,0.99,0.02,0.27,1
0.26,1.18,1.09,0.04,0.1,1
0.26,1.17,1.14,0.01,0.06,1
0.31,1.17,1.23,0.01,0.11,1
0.66,1.17,1.33,0.01,0.37,1
0.31,1.17,1.15,0.02,0.36,1
0.25,1.18,1.16,0.01,0.06,1
0.41,1.37,1.32,0.22,0.19,1
0.88,1.62,1.63,0.38,0.4,1
0.44,1.25,1.25,0.44,0.43,1
0.31,1.18,1.27,0.1,0.18,1
0.32,0.97,1.05,0.22,0.22,1
0.26,1.09,1.03,0.21,0.18,1
0.8,1.46,1.03,0.58,0.02,1
0.39,1.18,1.05,0.41,0.04,1
0.25,1.13,1.07,0.1,0.04,1
0.28,1.2,1.16,0.08,0.1,1
0.31,1.08,1.09,0.13,0.09,1
0.3,1.08,1.04,0.06,0.09,1
0.25,1.15,1.07,0.08,0.04,1
0.7,1.16,1.06,0.42,0.03,1
0.28,1.07,1.09,0.4,0.04,1
0.46,1.08,1.13,0.08,0.25,1
0.38,1.08,1.07,0.03,0.16,1
0.22,1.13,1.12,0.06,0.16,1
0.24,1.18,1.17,0.06,0.06,1
0.56,1.47,1.44,0.33,0.33,1
0.72,1.5,1.49,0.11,0.14,1
0.36,1.16,1.16,0.38,0.38,1
0.31,1.17,1.2,0.03,0.11,1
0.41,1.31,1.0,0.14,0.22,1
0.34,1.03,1.08,0.28,0.09,1
0.28,1.13,1.11,0.11,0.03,1
0.23,1.06,1.04,0.08,0.07,1
0.36,1.25,1.23,0.29,0.22,1
0.24,1.13,1.1,0.2,0.15,1
0.21,1.07,1.05,0.08,0.06,1
0.19,1.09,1.06,0.02,0.02,1
0.2,1.08,1.06,0.01,0.01,1
0.25,1.24,1.2,0.17,0.16,1
0.32,0.96,0.95,0.29,0.25,1
0.31,1.01,0.98,0.07,0.09,1
0.29,1.02,0.99,0.03,0.01,1
0.29,0.94,0.94,0.12,0.12,1
0.22,1.05,1.05,0.13,0.12,1
0.21,1.03,1.04,0.07,0.05,1
0.25,1.21,1.16,0.19,0.14,1
0.27,0.98,0.94,0.23,0.23,1
0.21,1.14,1.12,0.18,0.2,1
0.87,1.34,1.3,0.42,0.36,1
0.79,1.16,1.18,0.21,0.17,1
0.32,1.07,1.06,0.26,0.26,1
0.29,1.11,1.1,0.05,0.04,1
0.36,1.3,1.27,0.2,0.2,1
1.02,1.61,1.6,0.47,0.47,1
0.52,1.15,1.22,0.53,0.45,1
0.29,1.12,1.1,0.1,0.19,1
0.24,1.1,1.09,0.03,0.03,1
0.28,1.24,1.22,0.19,0.19,1
0.34,0.97,0.97,0.29,0.27,1
0.31,1.03,1.02,0.09,0.07,1
0.53,1.06,1.29,0.04,0.35,1
0.59,1.04,0.95,0.04,0.35,1
0.34,1.05,0.94,0.04,0.26,1
0.49,1.27,1.0,0.28,0.08,1
0.62,0.96,1.0,0.38,0.02,1
0.33,1.0,1.03,0.26,0.04,1
0.21,1.09,1.06,0.13,0.04,1
0.28,1.27,1.23,0.19,0.18,1
0.31,0.98,0.95,0.29,0.28,1
0.3,0.95,0.92,0.06,0.08,1
0.31,0.94,0.93,0.13,0.12,1
0.28,1.17,1.14,0.24,0.21,1
0.2,1.07,1.04,0.16,0.13,1
0.2,1.06,1.08,0.03,0.07,1
0.58,1.06,1.32,0.02,0.39,1
0.51,1.06,1.15,0.04,0.21,1
0.23,1.06,1.01,0.02,0.3,1
0.24,1.07,1.02,0.03,0.03,1
0.38,1.18,1.01,0.17,0.02,1
0.92,1.37,1.02,0.55,0.01,1
0.57,1.11,1.02,0.36,0.04,1
0.26,1.05,1.04,0.29,0.03,1
0.33,1.04,1.14,0.05,0.17,1
0.65,1.03,0.97,0.05,0.35,1
0.43,1.03,0.95,0.02,0.25,1
0.21,1.05,1.02,0.04,0.2,1
0.49,1.23,1.01,0.28,0.02,1
0.65,0.91,1.01,0.48,0.02,1
0.32,1.01,1.02,0.32,0.04,1
0.36,1.07,0.91,0.12,0.17,1
0.31,1.05,0.91,0.03,0.11,1
0.5,1.25,0.94,0.23,0.03,1
0.39,0.95,0.96,0.31,0.02,1
0.26,1.04,0.99,0.12,0.07,1
0.26,1.23,1.18,0.2,0.21,1
0.34,0.99,0.96,0.25,0.22,1
0.31,1.01,0.97,0.06,0.07,1
0.26,1.03,1.01,0.04,0.04,1
0.26,1.05,1.03,0.02,0.02,1
0.3,1.13,1.1,0.09,0.09,1
0.4,1.27,1.24,0.16,0.17,1
1.15,1.72,1.71,0.63,0.6,1
0.69,1.3,1.32,0.51,0.45,1
0.24,1.06,1.03,0.33,0.39,1
0.2,1.07,1.04,0.03,0.02,1
0.23,1.07,1.06,0.02,0.02,1
0.22,1.07,1.06,0.0,0.01,1
0.24,1.07,1.05,0.03,0.02,1
0.27,1.11,1.07,0.05,0.03,1
0.3,1.19,1.18,0.11,0.17,1
1.2,1.41,1.37,0.51,0.48,1
0.68,1.02,1.0,0.46,0.48,1
0.53,1.07,0.99,0.1,0.16,1
0.79,1.37,1.0,0.33,0.05,1
0.45,1.01,1.01,0.43,0.03,1
0.73,1.03,1.37,0.08,0.49,1
0.41,1.03,1.03,0.02,0.41,1
0.25,1.09,1.07,0.07,0.14,1
0.28,1.26,1.24,0.2,0.2,1
0.3,1.13,1.07,0.16,0.18,1
1.13,1.35,1.32,0.5,0.51,1
0.65,1.1,1.06,0.35,0.36,1
0.32,1.07,1.03,0.17,0.16,1
0.29,1.15,1.12,0.09,0.11,1
0.26,1.21,1.19,0.07,0.09,1
0.4,1.05,1.01,0.21,0.2,1
0.69,1.37,1.32,0.34,0.37,1
0.74,1.25,1.23,0.16,0.16,1
0.35,1.28,1.25,0.2,0.22,1
0.31,1.0,0.97,0.3,0.3,1
0.36,1.1,1.02,0.12,0.06,1
0.47,1.15,1.02,0.12,0.02,1
0.5,1.01,1.08,0.23,0.12,1
0.6,0.99,1.0,0.19,0.31,1
0.3,1.09,1.06,0.13,0.26,1
1.17,1.44,1.37,0.6,0.49,1
0.74,1.15,1.18,0.37,0.29,1
0.37,1.15,1.12,0.16,0.22,1
0.55,1.27,1.25,0.17,0.17,1
0.64,0.95,0.93,0.34,0.35,1
0.52,0.95,0.93,0.05,0.08,1
0.55,0.95,0.94,0.04,0.06,1
0.85,1.23,1.19,0.33,0.28,1
0.48,1.08,1.06,0.3,0.19,1
0.26,1.26,1.23,0.23,0.2,1
0.26,0.94,0.94,0.32,0.29,1
0.26,0.96,0.93,0.09,0.01,1
0.39,0.99,1.09,0.04,0.2,1
0.29,0.98,0.94,0.04,0.23,1
0.35,0.92,0.95,0.09,0.06,1
0.42,1.11,0.99,0.2,0.05,1
0.3,1.23,1.18,0.13,0.24,1
1.27,1.33,1.33,0.54,0.53,1
0.59,1.06,1.03,0.44,0.46,1
0.44,1.09,1.21,0.13,0.23,1
0.58,1.0,0.94,0.13,0.28,1
0.81,0.95,0.93,0.27,0.1,1
0.48,0.92,0.97,0.27,0.07,1
0.27,1.11,1.08,0.24,0.16,1
0.32,1.22,1.19,0.16,0.14,1
0.33,0.99,0.95,0.26,0.27,1
0.33,0.99,0.95,0.0,0.03,1
0.31,0.91,0.89,0.09,0.09,1
0.38,1.22,1.16,0.33,0.28,1
0.27,1.1,1.05,0.19,0.14,1
0.24,1.23,1.22,0.13,0.18,1
0.26,0.89,0.88,0.34,0.34,1
0.27,0.87,0.86,0.04,0.05,1
0.36,1.22,1.18,0.37,0.33,1
0.28,1.19,1.13,0.09,0.06,1
0.54,1.29,1.28,0.21,0.23,1
1.07,1.24,1.28,0.32,0.34,1
0.46,1.11,1.06,0.32,0.39,1
0.74,1.59,1.09,0.5,0.06,1
0.85,1.61,1.09,0.22,0.03,1
0.47,1.05,1.21,0.62,0.14,1
1.03,1.05,1.67,0.03,0.62,1
0.51,1.03,1.09,0.07,0.64,1
0.23,1.03,1.03,0.04,0.24,1
0.27,1.09,1.09,0.09,0.08,1
0.5,1.32,1.31,0.32,0.29,1
1.03,1.24,1.28,0.3,0.31,1
0.46,1.08,1.05,0.3,0.39,1
0.33,1.28,1.26,0.23,0.25,1
0.26,0.94,0.92,0.35,0.34,1
0.25,0.97,0.97,0.08,0.08,1
0.25,0.9,0.91,0.07,0.06,1
0.31,1.35,1.35,0.45,0.44,1
0.27,1.38,1.36,0.04,0.02,1
0.27,0.94,0.93,0.44,0.43,1
0.27,1.11,1.1,0.17,0.17,1
0.62,1.5,1.53,0.44,0.48,1
1.2,1.63,1.6,0.44,0.4,1
0.6,1.09,1.1,0.63,0.59,1
0.31,1.13,1.13,0.16,0.22,1
0.4,1.06,0.84,0.09,0.35,1
0.38,1.08,0.89,0.05,0.07,1
0.36,1.08,0.92,0.04,0.04,1
0.6,1.21,0.91,0.22,0.05,1
0.37,0.87,0.92,0.42,0.02,1
0.18,0.96,0.94,0.14,0.09,1
0.19,1.09,1.0,0.13,0.06,1
0.19,1.11,1.08,0.05,0.12,1
0.3,1.25,1.21,0.18,0.19,1
1.23,1.27,1.3,0.5,0.47,1
0.67,1.08,1.08,0.34,0.36,1
0.31,1.17,1.14,0.18,0.23,1
0.3,1.26,1.25,0.1,0.13,1
0.35,0.95,0.91,0.32,0.35,1
0.33,0.98,0.94,0.07,0.08,1
0.31,1.0,0.96,0.02,0.03,1
0.29,0.96,0.94,0.04,0.03,1
0.43,1.3,1.25,0.36,0.33,1
0.22,1.15,1.13,0.24,0.15,1
0.21,1.11,1.1,0.06,0.04,1
0.21,1.11,1.11,0.0,0.01,1
0.34,1.27,1.21,0.19,0.11,1
1.29,1.72,1.76,0.7,0.71,1
0.82,1.35,1.38,0.47,0.45,1
0.35,1.23,1.23,0.24,0.3,1
0.29,0.95,0.92,0.28,0.31,1
0.39,0.91,0.89,0.08,0.09,1
0.69,0.91,0.99,0.15,0.24,1
0.5,1.36,1.33,0.45,0.36,1
0.27,0.91,0.9,0.47,0.45,1
0.3,0.9,0.89,0.12,0.14,1
0.27,0.98,0.97,0.1,0.09,1
0.26,1.27,1.25,0.3,0.3,1
0.31,1.29,1.28,0.06,0.04,1
0.32,0.85,0.84,0.47,0.47,1
0.32,0.9,0.87,0.06,0.04,1
0.3,0.95,0.9,0.05,0.03,1
0.28,0.97,0.94,0.03,0.05,1
0.23,0.97,0.96,0.03,0.07,1
0.18,0.98,0.98,0.02,0.05,1
0.18,0.99,0.97,0.01,0.02,1
0.18,0.99,0.96,0.01,0.01,1
