distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.33,1.05,1.1,0.0,0.0,0
0.3,1.06,1.11,0.04,0.01,0
0.3,1.11,1.13,0.08,0.07,0
0.2,0.99,0.99,0.16,0.14,0
0.54,0.8,0.76,0.26,0.38,0
0.6,0.79,0.78,0.11,0.02,0
0.41,0.84,0.83,0.16,0.18,0
0.36,0.92,0.85,0.1,0.05,0
0.37,1.0,0.97,0.08,0.13,0
0.5,1.04,1.0,0.1,0.07,0
0.45,1.05,1.0,0.04,0.02,0
0.26,1.05,1.05,0.12,0.11,0
0.3,1.15,1.2,0.12,0.16,0
0.35,1.22,1.25,0.08,0.06,0
0.33,1.3,1.29,0.08,0.05,0
0.86,1.36,1.37,0.28,0.28,0
1.12,1.32,1.31,0.22,0.23,0
0.36,1.11,1.08,0.4,0.49,0
0.22,1.09,1.07,0.08,0.08,0
0.25,1.09,1.11,0.01,0.05,0
0.25,1.07,1.11,0.04,0.02,0
0.28,1.14,1.1,0.13,0.04,0
0.57,1.58,1.12,0.46,0.04,0
0.42,0.87,1.07,0.71,0.08,0
0.39,1.0,1.29,0.16,0.22,0
0.26,1.02,1.04,0.05,0.26,0
0.33,1.02,0.91,0.03,0.15,0
0.25,1.0,0.99,0.05,0.09,0
0.2,1.01,1.04,0.02,0.06,0
0.21,1.08,1.05,0.07,0.02,0
0.2,1.1,1.18,0.02,0.13,0
0.21,1.15,1.12,0.05,0.06,0
0.27,1.15,1.11,0.05,0.02,0
0.24,1.12,1.14,0.04,0.03,0
0.27,1.1,1.12,0.03,0.03,0
0.37,1.15,1.09,0.06,0.08,0
0.43,1.14,1.1,0.05,0.03,0
0.65,1.14,1.13,0.1,0.12,0
0.82,1.38,1.38,0.25,0.27,0
0.87,0.92,0.94,0.46,0.44,0
0.62,0.8,0.79,0.28,0.27,0
0.47,1.06,1.02,0.36,0.36,0
0.36,1.5,1.5,0.44,0.48,0
0.29,1.5,1.49,0.05,0.06,0
0.36,0.8,0.8,0.7,0.69,0
0.42,0.77,0.8,0.14,0.06,0
0.27,0.9,0.86,0.22,0.12,0
0.41,0.99,1.25,0.11,0.45,0
0.7,0.96,1.52,0.05,0.28,0
0.81,0.95,1.58,0.02,0.08,0
0.8,0.96,1.61,0.03,0.04,0
