distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.53,0.99,0.79,0.0,0.0,1
0.56,0.99,0.79,0.01,0.08,1
0.52,0.99,0.8,0.01,0.04,1
0.43,0.89,0.76,0.1,0.07,1
0.31,0.72,0.74,0.23,0.06,1
0.29,0.71,0.73,0.03,0.01,1
0.34,0.73,0.73,0.06,0.05,1
0.24,0.73,0.75,0.02,0.08,1
0.28,0.8,0.79,0.07,0.07,1
0.42,1.12,1.1,0.35,0.34,1
0.44,1.16,1.14,0.04,0.05,1
0.55,1.18,1.16,0.06,0.06,1
1.23,1.24,1.18,0.32,0.37,1
0.51,1.1,1.03,0.37,0.41,1
0.38,1.22,1.07,0.18,0.12,1
0.32,1.23,1.05,0.03,0.11,1
0.3,1.2,1.1,0.05,0.06,1
0.32,1.19,1.17,0.04,0.12,1
0.43,1.13,1.34,0.06,0.2,1
0.52,1.12,1.04,0.02,0.36,1
0.61,1.27,0.75,0.16,0.44,1
0.63,1.28,0.8,0.06,0.12,1
0.45,0.77,0.88,0.52,0.08,1
0.32,0.96,0.94,0.2,0.11,1
0.25,0.99,1.0,0.06,0.07,1
0.24,0.98,1.02,0.03,0.02,1
0.25,0.99,1.03,0.04,0.05,1
0.23,1.0,1.04,0.02,0.02,1
0.25,1.02,1.04,0.05,0.01,1
0.26,1.01,1.04,0.01,0.01,1
0.26,1.04,1.04,0.03,0.01,1
0.36,1.13,1.11,0.1,0.09,1
0.45,1.12,1.15,0.06,0.05,1
0.44,1.11,1.13,0.01,0.02,1
0.52,1.07,1.1,0.07,0.05,1
0.67,1.17,1.14,0.13,0.08,1
0.73,0.81,0.79,0.37,0.36,1
0.39,1.01,0.96,0.3,0.23,1
0.21,1.17,1.17,0.19,0.22,1
0.19,1.22,1.2,0.08,0.07,1
0.25,0.94,0.91,0.3,0.31,1
0.22,0.91,0.85,0.09,0.11,1
0.27,1.08,0.93,0.17,0.08,1
0.21,1.06,0.97,0.05,0.04,1
0.19,1.04,0.97,0.04,0.02,1
