distanza,y,y2,distanzaDx,distanzaSx,Sesso
0.47,1.1,1.32,0.0,0.0,0
0.47,1.1,1.32,0.01,0.01,0
0.45,1.21,1.36,0.11,0.05,0
0.46,1.28,1.39,0.07,0.05,0
0.34,1.34,1.44,0.08,0.11,0
0.36,1.39,1.52,0.06,0.1,0
0.37,1.38,1.41,0.03,0.14,0
0.3,1.38,1.42,0.07,0.01,0
0.29,1.35,1.35,0.06,0.09,0
0.29,1.35,1.36,0.06,0.05,0
0.29,1.35,1.38,0.04,0.05,0
0.33,1.36,1.37,0.02,0.06,0
0.35,1.36,1.37,0.02,0.01,0
0.34,1.35,1.37,0.02,0.02,0
0.28,1.36,1.38,0.03,0.03,0
0.57,1.42,1.41,0.18,0.16,0
1.44,1.47,1.34,0.56,0.57,0
0.79,1.45,1.37,0.45,0.4,0
0.38,1.35,1.3,0.21,0.25,0
0.3,1.4,1.42,0.06,0.13,0
0.3,1.35,1.36,0.05,0.06,0
0.33,1.4,1.38,0.05,0.03,0
0.36,1.49,1.38,0.09,0.02,0
0.59,0.93,1.38,0.57,0.01,0
0.62,0.9,1.35,0.22,0.04,0
0.47,1.02,1.17,0.13,0.22,0
0.52,1.05,0.86,0.04,0.52,0
0.28,1.15,1.11,0.12,0.4,0
0.24,1.19,1.25,0.06,0.16,0
0.2,1.24,1.27,0.06,0.04,0
0.21,1.22,1.28,0.04,0.05,0
0.21,1.19,1.23,0.04,0.06,0
0.2,1.19,1.21,0.06,0.08,0
0.19,1.23,1.19,0.05,0.03,0
0.21,1.21,1.21,0.06,0.07,0
0.21,1.22,1.21,0.02,0.02,0
0.25,1.2,1.2,0.04,0.01,0
0.28,1.2,1.19,0.02,0.02,0
0.58,1.48,1.48,0.3,0.35,0
0.8,1.12,1.09,0.4,0.42,0
0.57,0.86,0.84,0.51,0.52,0
0.35,1.24,1.23,0.54,0.6,0
0.24,1.52,1.54,0.29,0.32,0
0.22,1.57,1.57,0.06,0.06,0
0.34,0.89,0.89,0.69,0.69,0
0.5,0.95,0.94,0.24,0.22,0
0.25,1.2,1.18,0.33,0.31,0
0.22,1.23,1.21,0.06,0.05,0
0.2,1.23,1.25,0.03,0.07,0
0.21,1.21,1.24,0.03,0.04,0
0.21,1.2,1.21,0.02,0.04,0
0.23,1.2,1.2,0.04,0.02,0
0.33,1.19,1.34,0.02,0.15,0
0.88,1.23,1.33,0.06,0.63,0
0.5,1.24,1.04,0.04,0.54,0
0.32,1.26,1.19,0.05,0.24,0
0.5,1.31,1.13,0.12,0.08,0
1.12,1.97,1.15,0.73,0.03,0
0.84,1.72,1.18,0.31,0.03,0
0.46,1.3,1.18,0.47,0.02,0
0.27,1.2,1.15,0.16,0.08,0
0.25,1.23,1.2,0.05,0.07,0
0.3,1.27,1.22,0.08,0.1,0
0.35,1.01,1.01,0.31,0.29,0
0.26,1.25,1.22,0.26,0.24,0
1.27,1.45,1.39,0.52,0.56,0
0.39,1.38,1.34,0.44,0.45,0
0.33,0.95,0.94,0.45,0.43,0
0.33,1.13,1.08,0.19,0.15,0
0.25,1.15,1.13,0.04,0.07,0
0.43,1.13,1.23,0.05,0.16,0
1.09,1.15,1.82,0.03,0.74,0
0.91,1.15,1.56,0.02,0.3,0
0.43,1.32,1.31,0.18,0.42,0
0.36,1.22,1.16,0.12,0.21,0
0.5,1.37,1.14,0.21,0.05,0
1.04,1.76,1.16,0.57,0.02,0
0.49,1.24,1.15,0.66,0.04,0
0.21,1.09,1.1,0.29,0.07,0
0.31,1.09,1.08,0.07,0.04,0
0.3,1.12,1.13,0.1,0.12,0
0.4,1.14,1.41,0.19,0.35,0
0.43,1.21,1.45,0.39,0.45,0
0.46,1.24,1.28,0.35,0.28,0
0.33,1.24,1.23,0.05,0.17,0
0.27,1.43,1.42,0.19,0.2,0
0.3,0.94,0.95,0.49,0.48,0
0.32,1.04,1.04,0.1,0.09,0
0.29,1.14,1.11,0.1,0.07,0
0.32,1.17,1.09,0.04,0.03,0
0.45,1.38,1.11,0.22,0.02,0
0.42,0.96,1.12,0.44,0.02,0
0.39,1.1,1.14,0.15,0.03,0
0.44,1.18,1.15,0.11,0.01,0
0.45,1.37,1.14,0.19,0.02,0
0.87,1.27,1.14,0.48,0.01,0
0.44,1.07,1.15,0.48,0.02,0
0.48,1.19,1.19,0.13,0.07,0
0.67,1.38,1.39,0.21,0.24,0
1.35,1.99,1.94,0.72,0.72,0
0.85,1.52,1.51,0.53,0.55,0
0.53,1.24,1.47,0.36,0.21,0
0.48,1.23,0.92,0.03,0.57,0
0.45,1.19,1.36,0.06,0.48,0
0.97,1.2,1.4,0.02,0.6,0
0.48,1.08,1.05,0.14,0.55,0
0.25,1.12,1.11,0.05,0.23,0
0.29,1.4,1.4,0.28,0.3,0
0.38,0.91,0.91,0.49,0.5,0
0.49,0.91,0.91,0.22,0.2,0
0.32,1.05,1.16,0.23,0.36,0
0.82,1.09,1.06,0.06,0.52,0
0.53,1.24,0.92,0.16,0.39,0
0.73,1.18,0.96,0.4,0.13,0
0.57,0.98,0.98,0.33,0.06,0
0.37,1.06,1.07,0.21,0.11,0
0.49,1.29,1.26,0.25,0.21,0
